"Index","open","high","low","close","volume","adjusted"
2013-10-16,20.049999,21.450001,20,20.34,837500,19.696678
2013-10-17,20.25,20.469999,20.209999,20.43,251900,19.783831
2013-10-18,20.65,20.75,20.549999,20.719999,161200,20.064658
2013-10-21,21.59,21.59,20.52,20.629999,166700,19.977505
2013-10-22,20.780001,21.1,20.469999,20.66,122600,20.006556
2013-10-23,20.700001,20.700001,20.42,20.5,239700,19.851617
2013-10-24,20.65,20.75,20.549999,20.75,60200,20.09371
2013-10-25,20.879999,20.879999,20.58,20.68,37400,20.025924
2013-10-28,20.75,20.75,20.35,20.450001,53300,19.803199
2013-10-29,20.559999,20.559999,20.299999,20.379999,166400,19.735412
2013-10-30,20.360001,20.459999,20.25,20.34,81200,19.696678
2013-10-31,20.299999,20.4,20.049999,20.299999,41200,19.657942
2013-11-01,20.26,20.370001,20.110001,20.16,25000,19.522371
2013-11-04,20.299999,20.379999,20.200001,20.379999,35900,19.735412
2013-11-05,20.33,20.51,20.25,20.48,82300,19.832249
2013-11-06,20.6,20.620001,20.35,20.440001,102900,19.793515
2013-11-07,20.5,20.5,19.870001,19.879999,75800,19.251226
2013-11-08,19.91,20.16,19.91,20.1,34500,19.464269
2013-11-11,20.209999,20.209999,20.110001,20.15,12000,19.512687
2013-11-12,20.1,20.209999,20.09,20.16,17300,19.522371
2013-11-13,20.059999,20.42,20.059999,20.42,25200,19.774148
2013-11-14,20.450001,20.6,20.450001,20.6,22600,19.948455
2013-11-15,20.6,20.790001,20.6,20.790001,32900,20.132446
2013-11-18,20.82,20.82,20.32,20.34,46000,19.696678
2013-11-19,20.33,20.4,20.110001,20.190001,34200,19.551423
2013-11-20,20.209999,20.299999,20.059999,20.139999,20000,19.503003
2013-11-21,20.26,20.43,20.23,20.389999,19600,19.745096
2013-11-22,20.459999,20.629999,20.459999,20.610001,41600,19.958139
2013-11-25,20.610001,20.610001,20.370001,20.450001,48900,19.803199
2013-11-26,20.5,20.75,20.5,20.67,17900,20.01624
2013-11-27,20.700001,20.799999,20.700001,20.790001,18800,20.132446
2013-11-29,20.799999,20.84,20.799999,20.799999,6500,20.142128
2013-12-02,20.75,20.809999,20.66,20.66,10100,20.006556
2013-12-03,20.67,20.67,20.48,20.49,20000,19.841933
2013-12-04,20.49,20.639999,20.389999,20.6,12100,19.948455
2013-12-05,20.58,20.75,20.559999,20.690001,18300,20.035608
2013-12-06,20.709999,20.790001,20.620001,20.67,19400,20.01624
2013-12-09,20.709999,20.799999,20.68,20.790001,13600,20.132446
2013-12-10,20.790001,21,20.790001,20.98,21800,20.316435
2013-12-11,21,21,20.57,20.610001,48200,19.958139
2013-12-12,20.66,20.84,20.610001,20.82,24200,20.161496
2013-12-13,20.889999,21.030001,20.84,21.030001,49600,20.364855
2013-12-16,21.030001,21.18,21.030001,21.18,13600,20.51011
2013-12-17,21.190001,21.27,21.049999,21.219999,7000,20.548844
2013-12-18,21.23,21.5,21.07,21.5,21000,20.819989
2013-12-19,21.32,21.440001,21.280001,21.33,52800,20.655366
2013-12-20,21.35,21.450001,21.32,21.450001,45500,20.787164
2013-12-23,21.639999,21.790001,21.59,21.790001,15600,21.116657
2013-12-24,21.93,21.93,21.719999,21.85,9300,21.174803
2013-12-26,21.99,21.99,21.85,21.969999,8700,21.291094
2013-12-27,21.9,21.940001,21.780001,21.780001,17000,21.106966
2013-12-30,21.66,21.74,21.6,21.65,23500,20.980982
2013-12-31,21.77,21.860001,21.75,21.860001,8300,21.184494
2014-01-02,21.9,21.9,21.66,21.76,12200,21.087584
2014-01-03,21.85,21.91,21.75,21.860001,11400,21.184494
2014-01-06,21.860001,21.889999,21.809999,21.889999,17400,21.213566
2014-01-07,21.85,22.120001,21.85,22.040001,28100,21.358932
2014-01-08,22.1,22.1,21.93,21.950001,10200,21.271713
2014-01-09,22.07,22.1,21.799999,21.879999,10000,21.203875
2014-01-10,22.030001,22.08,21.9,22.059999,19700,21.378313
2014-01-13,22.049999,22.049999,21.57,21.639999,22100,20.971291
2014-01-14,21.719999,21.99,21.709999,21.99,5300,21.310476
2014-01-15,22.1,22.17,22.02,22.15,22100,21.465532
2014-01-16,22.190001,22.32,22.120001,22.280001,19900,21.591515
2014-01-17,22.35,22.360001,22.059999,22.08,13900,21.397695
2014-01-21,22.15,22.309999,22.049999,22.16,14700,21.475223
2014-01-22,22.120001,22.27,22.120001,22.23,7300,21.543059
2014-01-23,22.190001,22.190001,21.959999,22.08,18900,21.397695
2014-01-24,21.959999,21.959999,21.530001,21.540001,32300,20.874383
2014-01-27,21.51,21.610001,21.059999,21.33,29400,20.670871
2014-01-28,21.309999,21.610001,21.309999,21.610001,14600,20.942219
2014-01-29,21.41,21.52,21.209999,21.25,22900,20.593343
2014-01-30,21.52,22.059999,21.52,21.92,11400,21.242639
2014-01-31,21.76,21.98,21.67,21.889999,26500,21.213566
2014-02-03,21.959999,21.959999,21.32,21.440001,55500,20.777473
2014-02-04,21.6,21.690001,21.6,21.67,4600,21.000365
2014-02-05,21.65,21.67,21.34,21.57,33000,20.903455
2014-02-06,21.5,21.65,21.5,21.620001,6400,20.951911
2014-02-07,21.889999,22.040001,21.790001,22.040001,8400,21.358932
2014-02-10,22.120001,22.120001,21.959999,22.049999,18500,21.368621
2014-02-11,22.07,22.219999,21.959999,22.17,11300,21.484914
2014-02-12,22.27,22.33,22.219999,22.27,11600,21.581824
2014-02-13,22.25,22.66,22.200001,22.629999,12600,21.930698
2014-02-14,22.709999,22.75,22.610001,22.75,12300,22.046991
2014-02-18,22.790001,22.91,22.780001,22.870001,41100,22.163284
2014-02-19,22.84,22.879999,22.709999,22.76,19800,22.056682
2014-02-20,22.68,22.950001,22.620001,22.92,30400,22.211738
2014-02-21,23.01,23.01,22.82,22.93,19300,22.221429
2014-02-24,23.09,23.299999,23.08,23.15,40600,22.43463
2014-02-25,23.219999,23.23,23.07,23.129999,34100,22.415248
2014-02-26,23.26,23.41,23.200001,23.280001,20100,22.560614
2014-02-27,23.41,23.639999,23.379999,23.639999,31200,22.909488
2014-02-28,23.75,23.790001,23.299999,23.559999,83000,22.83196
2014-03-03,23.6,23.6,23.16,23.32,31300,22.599377
2014-03-04,23.65,23.709999,23.540001,23.620001,41800,22.890108
2014-03-05,23.700001,23.700001,23.620001,23.690001,23100,22.957944
2014-03-06,23.73,23.809999,23.610001,23.66,27900,22.928871
2014-03-07,23.700001,23.700001,23.42,23.48,14200,22.754433
2014-03-10,23.549999,23.549999,23.299999,23.43,12600,22.705978
2014-03-11,23.59,23.629999,23.25,23.25,32600,22.53154
2014-03-12,23.27,23.32,23.040001,23.32,15200,22.599377
2014-03-13,23.459999,23.459999,22.9,22.969999,20200,22.260192
2014-03-14,22.91,23.040001,22.879999,22.98,15400,22.269883
2014-03-17,23.1,23.18,23.01,23.129999,33300,22.415248
2014-03-18,23.23,23.389999,23.17,23.280001,25800,22.560614
2014-03-19,23.450001,23.450001,23.09,23.17,27900,22.454013
2014-03-20,23.110001,23.219999,23.01,23.120001,58800,22.405558
2014-03-21,23.25,23.25,22.879999,22.93,59900,22.228159
2014-03-24,23.07,23.200001,22.280001,22.469999,61400,21.782238
2014-03-25,22.75,22.75,22.360001,22.51,29400,21.821014
2014-03-26,22.700001,22.700001,22.09,22.09,87300,21.413869
2014-03-27,22.049999,22.18,21.84,22.08,48300,21.404175
2014-03-28,22.18,22.370001,22.139999,22.17,9900,21.491421
2014-03-31,22.27,22.34,22.25,22.299999,9600,21.617441
2014-04-01,22.42,22.75,22.42,22.75,7100,22.053668
2014-04-02,22.879999,22.879999,22.549999,22.67,10500,21.976117
2014-04-03,22.559999,22.559999,22.049999,22.09,20000,21.413869
2014-04-04,22.25,22.27,21.559999,21.620001,53500,20.958256
2014-04-07,21.52,21.639999,21.040001,21.200001,50900,20.551111
2014-04-08,21.24,21.49,21.190001,21.389999,21700,20.735294
2014-04-09,21.549999,21.940001,21.530001,21.9,9300,21.229684
2014-04-10,21.9,21.92,21.08,21.200001,17600,20.551111
2014-04-11,21,21.190001,20.82,20.85,33600,20.211824
2014-04-14,20.799999,21.200001,20.799999,21,14700,20.357232
2014-04-15,21.040001,21.23,20.58,21.17,24900,20.522029
2014-04-16,21.309999,21.43,21.23,21.41,11700,20.754683
2014-04-17,21.389999,21.6,21.389999,21.57,4600,20.909785
2014-04-21,21.57,21.639999,21.43,21.620001,9200,20.958256
2014-04-22,21.799999,22.08,21.799999,21.99,6500,21.31693
2014-04-23,22.059999,22.059999,21.68,21.709999,8400,21.045499
2014-04-24,21.67,21.67,21.35,21.549999,11200,20.890397
2014-04-25,21.389999,21.41,21.030001,21.120001,21800,20.47356
2014-04-28,21.190001,21.209999,20.59,20.92,16900,20.279681
2014-04-29,20.91,21.209999,20.91,21.209999,3700,20.560803
2014-04-30,21.049999,21.219999,20.98,21.219999,11900,20.570498
2014-05-01,21.360001,21.549999,21.360001,21.41,8100,20.754683
2014-05-02,21.389999,21.52,21.389999,21.440001,23200,20.783765
2014-05-05,21.309999,21.42,21.200001,21.41,11000,20.754683
2014-05-06,21.290001,21.4,21.09,21.09,14200,20.444477
2014-05-07,21.09,21.09,20.469999,20.700001,25700,20.066415
2014-05-08,20.68,20.99,20.57,20.59,11800,19.959781
2014-05-09,20.709999,20.709999,20.49,20.559999,6800,19.930699
2014-05-12,20.719999,21.129999,20.719999,21.110001,16600,20.463866
