"Index","open","high","low","close","volume","adjusted"
2004-01-23,100.699997,100.959999,99.910004,99.910004,66800,19.600248
2004-01-26,100.239998,101.269997,100.239998,101.269997,10800,19.86705
2004-01-27,101.300003,101.360001,100.449997,100.449997,28800,19.706183
2004-01-28,100.800003,100.809998,98.970001,98.970001,29200,19.415839
2004-01-29,99.339996,99.510002,98.870003,99.510002,13200,19.521776
2004-01-30,99.169998,99.269997,99,99.269997,178400,19.474692
2004-02-02,99.269997,99.889999,99.099998,99.459999,6000,19.511966
2004-02-03,99.5,99.57,99.400002,99.400002,8000,19.500196
2004-02-04,99,99.290001,98.709999,98.709999,8800,19.364832
2004-02-05,100,100,98.830002,99.089996,2800,19.43938
2004-02-06,99.089996,99.940002,99.089996,99.919998,23600,19.602209
2004-02-09,100,100.43,100,100.07,17600,19.631636
2004-02-10,100.190002,100.699997,100.190002,100.379997,9200,19.692451
2004-02-11,100.5,101.699997,100.5,101.660004,60800,19.943561
2004-02-12,101.32,101.620003,101.209999,101.290001,62800,19.870974
2004-02-13,101.5,101.5,100.459999,100.730003,15600,19.761115
2004-02-17,101.5,101.769997,101.5,101.769997,12800,19.965139
2004-02-18,101.629997,101.629997,101.349998,101.349998,6000,19.882745
2004-02-19,101.510002,101.769997,101.169998,101.169998,12400,19.847432
2004-02-20,101.150002,101.150002,100.239998,100.68,14800,19.751305
2004-02-23,100.330002,100.330002,99.949997,100.07,17200,19.631636
2004-02-24,99.75,100.379997,99.699997,100.019997,40400,19.621826
2004-02-25,100.279999,100.489998,100.279999,100.489998,12800,19.714031
2004-02-26,100.199997,100.720001,100.160004,100.650002,31600,19.74542
2004-02-27,100.739998,101.160004,100.57,100.849998,22400,19.784655
2004-03-01,101.080002,101.800003,101.080002,101.730003,37200,19.957294
2004-03-02,101.519997,101.540001,101.019997,101.370003,14800,19.886669
2004-03-03,101.040001,101.300003,100.82,101.300003,29600,19.872937
2004-03-04,101.269997,101.639999,101.269997,101.639999,9200,19.939637
