"Index","open","high","low","close","volume","adjusted"
2000-05-26,59.609379,59.609379,59.3125,59.3125,2900,41.245506
2000-05-30,59.90625,60.21875,59.90625,60.21875,1800,41.875706
2000-05-31,60.1875,60.796879,60.1875,60.671879,12200,42.190809
2000-06-01,60.78125,61.421879,60.6875,61.421879,25400,42.712353
2000-06-02,62.46875,62.59375,62.28125,62.28125,10000,43.309954
2000-06-05,62.34375,62.34375,61.921879,62,15500,43.114375
2000-06-06,61.859379,61.921879,61.859379,61.921879,4100,43.06005
2000-06-07,61.703121,62.078121,61.703121,62,4800,43.114375
2000-06-08,61.875,61.875,61.3125,61.4375,16000,42.723216
2000-06-09,61.796879,61.796879,61.15625,61.15625,7100,42.527637
2000-06-12,61.5625,61.5625,61.484379,61.5,1800,42.766678
2000-06-13,61.21875,61.21875,61.046879,61.046879,4300,42.451581
2000-06-14,61.6875,61.984379,61.6875,61.796879,4500,42.973126
2000-06-15,61.59375,61.59375,60.890621,61.078121,5000,42.473307
2000-06-16,61.578121,61.625,59.953121,60.046879,25400,41.756188
2000-06-19,60.25,60.59375,60.125,60.5,12300,42.071285
2000-06-20,60.375,60.375,59.875,60.15625,40900,41.832244
2000-06-21,59.90625,59.953121,59.65625,59.78125,5800,41.621286
2000-06-22,59.828121,59.828121,59.1875,59.34375,4900,41.316686
2000-06-23,59.609379,59.609379,59.015621,59.015621,20100,41.088235
2000-06-26,59.53125,59.53125,59.15625,59.40625,11900,41.360201
2000-06-27,59.65625,59.65625,59.3125,59.3125,13800,41.294929
2000-06-28,59.53125,59.859379,59.171879,59.296879,12200,41.284054
2000-06-29,59,59.15625,58.734379,58.734379,11000,40.892426
2000-06-30,59,59.0625,58.5,58.515621,27000,40.740121
2000-07-03,58.375,59.140621,58.375,59.140621,2500,41.175263
2000-07-05,59.375,59.625,59.046879,59.046879,6100,41.109997
2000-07-06,59.328121,59.421879,58.984379,59.15625,5300,41.186144
2000-07-07,59.46875,60.140621,59.46875,60.03125,28100,41.795342
2000-07-10,60.296879,60.328121,60.078121,60.078121,22900,41.827975
2000-07-11,60.15625,60.765621,60.15625,60.5625,8400,42.165212
2000-07-12,61.0625,61.09375,60.6875,60.6875,29600,42.252241
2000-07-13,60.921879,61.109379,60.890621,60.953121,3800,42.437173
2000-07-14,61.21875,61.21875,61.125,61.15625,3000,42.578597
2000-07-17,60.875,60.90625,60.40625,60.40625,38800,42.056427
2000-07-18,60.375,60.375,60.25,60.3125,19800,41.991156
2000-07-19,60.515621,60.6875,60.25,60.25,29100,41.947642
2000-07-20,60.46875,60.75,60.46875,60.5,3300,42.121698
2000-07-21,60.625,60.703121,60.078121,60.078121,28900,41.827975
2000-07-24,60.203121,60.203121,59.75,59.75,2300,41.599528
