"Index","open","high","low","close","volume","adjusted"
2010-09-09,50.830002,50.84,50.389999,50.389999,46300,48.455561
2010-09-10,50.599998,50.669998,50.369999,50.669998,62700,48.724811
2010-09-13,51.150002,51.529999,51.150002,51.509998,2600,49.532564
2010-09-14,51.5,51.799999,51.310001,51.759998,10500,49.772967
2010-09-15,51.389999,51.939999,51.369999,51.91,12600,49.91721
2010-09-16,51.830002,51.93,51.66,51.849998,17500,49.859512
2010-09-17,52.009998,52.150002,51.919998,51.919998,5500,49.926824
2010-09-20,52.630001,52.630001,52.560001,52.560001,1400,50.542258
2010-09-21,52.82,52.82,52.669998,52.669998,300,50.648032
2010-09-22,52.18,52.259998,52.099998,52.169998,4100,50.167227
2010-09-23,52.330002,52.610001,51.889999,51.93,5100,49.936443
2010-09-24,52.66,53.200001,52.66,53.200001,8400,51.157689
2010-09-27,53.299999,53.360001,52.990002,53.360001,7800,51.311546
2010-09-28,52.93,53.549999,52.93,53.549999,17100,51.494251
2010-09-29,53.5,53.740002,53.470001,53.57,9400,51.513484
2010-09-30,53.91,54.029999,53.5,53.5,700,51.446171
2010-10-01,53.400002,53.599998,53.400002,53.599998,1100,51.542331
2010-10-04,53.290001,53.290001,52.810001,52.970001,4500,50.936519
2010-10-05,52.970001,52.970001,52.970001,52.970001,0,50.936519
2010-10-06,53.970001,54.040001,53.380001,53.43,2400,51.378859
2010-10-07,53.43,53.43,53.43,53.43,0,51.378859
2010-10-08,53.889999,53.889999,53.889999,53.889999,1000,51.821199
2010-10-11,54.150002,54.349998,54.150002,54.349998,2600,52.263539
2010-10-12,54,54.439999,53.529999,54.439999,3100,52.350084
2010-10-13,54.68,55.02,54.650002,55.02,3100,52.90782
2010-10-14,55.02,55.02,55.02,55.02,0,52.90782
2010-10-15,54.57,54.57,54.57,54.57,100,52.475094
2010-10-18,54.57,54.57,54.57,54.57,0,52.475094
2010-10-19,54.419998,54.419998,54.259998,54.389999,1700,52.302004
2010-10-20,54.23,54.23,54.23,54.23,1000,52.148146
2010-10-21,54.849998,55,54.099998,54.169998,2600,52.090448
2010-10-22,54.84,54.950001,54.84,54.950001,1600,52.840507
2010-10-25,55.5,55.610001,55.5,55.610001,500,53.47517
2010-10-26,55.200001,55.459999,55.200001,55.459999,200,53.330927
2010-10-27,55.029999,55.029999,55.029999,55.029999,200,52.917434
2010-10-28,55.029999,55.029999,55.029999,55.029999,0,52.917434
2010-10-29,55.599998,55.720001,55.599998,55.709999,3200,53.57133
2010-11-01,56.060001,56.060001,55.580002,55.619999,3400,53.484785
2010-11-02,56.040001,56.330002,55.950001,56.200001,1900,54.042521
2010-11-03,56.369999,56.369999,55.75,56.360001,4500,54.196378
2010-11-04,57.27,57.27,57.099998,57.209999,8100,55.013746
2010-11-05,57.5,57.740002,57.5,57.700001,8800,55.484937
2010-11-08,57.709999,57.709999,57.380001,57.630001,3500,55.417624
2010-11-09,57.93,57.98,57.009998,57.009998,10700,54.821423
2010-11-10,57.049999,57.619999,56.919998,57.619999,4100,55.408006
2010-11-11,57.41,57.41,57.41,57.41,300,55.206069
2010-11-12,57.27,57.27,56.619999,56.889999,2000,54.706031
2010-11-15,57.060001,57.369999,56.93,56.93,3000,54.744496
2010-11-16,56.75,56.75,55.880001,55.959999,6200,53.811732
2010-11-17,56.099998,56.509998,56.099998,56.43,14700,54.263691
2010-11-18,57.119999,57.549999,57.119999,57.169998,8000,54.975281
2010-11-19,57.349998,57.41,57.349998,57.380001,4200,55.177222
2010-11-22,57.349998,57.959999,57.349998,57.959999,3600,55.734954
2010-11-23,57.349998,57.419998,57.130001,57.369999,10200,55.167603
2010-11-24,58,58.5,58,58.5,2400,56.254224
2010-11-26,58.630001,58.630001,58.560001,58.57,600,56.321537
2010-11-29,58.150002,58.150002,57.73,57.73,900,55.513784
2010-11-30,58.34,58.43,58.25,58.32,2000,56.081134
2010-12-01,59.139999,59.290001,59.040001,59.290001,4600,57.013898
2010-12-02,59.400002,59.91,59.400002,59.91,6400,57.610095
2010-12-03,60.139999,60.450001,59.869999,60.450001,26700,58.129366
2010-12-06,60.41,60.41,60.23,60.310001,6400,57.994741
2010-12-07,60.630001,60.889999,60.560001,60.560001,9600,58.235144
2010-12-08,60.610001,60.709999,60.23,60.290001,5200,57.975508
2010-12-09,60.57,60.57,60.220001,60.490002,11800,58.167831
2010-12-10,60.82,61.16,60.540001,61.110001,20000,58.764029
2010-12-13,61.830002,61.830002,60.880001,60.880001,19100,58.542859
2010-12-14,61.07,61.07,60.669998,60.779999,5700,58.446696
2010-12-15,60.77,60.869999,60.669998,60.669998,3300,58.340918
2010-12-16,60.73,61.279999,60.599998,61.27,23800,58.917886
2010-12-17,61.41,61.669998,61.150002,61.490002,24400,59.129442
2010-12-20,61.810001,61.810001,61.119999,61.470001,11100,59.110209
2010-12-21,61.639999,61.860001,61.610001,61.860001,2600,59.485237
2010-12-22,62.060001,62.060001,61.700001,61.810001,8200,59.437157
2010-12-23,61.810001,61.849998,61.619999,61.720001,12500,59.350612
2010-12-27,61.790001,61.790001,61.09,61.619999,21100,59.350607
2010-12-28,61.48,61.48,61.360001,61.43,5100,59.167606
2010-12-29,61.509998,61.68,61.509998,61.610001,8600,59.340977
2010-12-30,61.830002,61.880001,61.580002,61.779999,11700,59.504715
2010-12-31,61.700001,61.700001,61.25,61.25,5500,58.994235
2011-01-03,61.970001,62.360001,61.830002,62.080002,30400,59.793669
2011-01-04,62.389999,62.389999,61.009998,61.419998,11700,59.157972
2011-01-05,61.470001,61.799999,61.23,61.77,11900,59.495084
2011-01-06,62,62.009998,61.52,61.57,14600,59.30245
2011-01-07,61.869999,61.869999,60.970001,61.419998,8100,59.157972
2011-01-10,61.099998,61.939999,60.75,61.939999,4300,59.658822
