"Index","open","high","low","close","volume","adjusted"
2010-09-09,50.400002,50.400002,50.400002,50.400002,100,47.110748
2010-09-10,50.560001,50.560001,50.560001,50.560001,100,47.260305
2010-09-13,50.560001,50.560001,50.560001,50.560001,0,47.260305
2010-09-14,51.369999,51.599998,51.369999,51.560001,2300,48.195042
2010-09-15,51.200001,51.200001,51.200001,51.200001,100,47.858536
2010-09-16,51.619999,51.630001,51.43,51.57,5200,48.204388
2010-09-17,51.740002,51.740002,51.619999,51.619999,2400,48.251124
2010-09-20,51.799999,52.240002,51.799999,52.200001,800,48.793274
2010-09-21,52.389999,52.439999,52.299999,52.299999,800,48.886746
2010-09-22,52.240002,52.240002,52.240002,52.240002,200,48.830664
2010-09-23,52.049999,52.060001,52.049999,52.060001,1200,48.662411
2010-09-24,52.009998,52.529999,52.009998,52.529999,800,49.101735
2010-09-27,52.560001,52.560001,52.560001,52.560001,100,49.129779
2010-09-28,52.82,52.98,52.790001,52.82,2200,49.372809
2010-09-29,53.09,53.200001,53.07,53.07,2200,49.606494
2010-09-30,53.290001,53.73,53.290001,53.5,2200,50.008431
2010-10-01,53.48,53.48,53.400002,53.400002,400,49.914959
2010-10-04,53.400002,53.400002,53.400002,53.400002,0,49.914959
2010-10-05,53.220001,53.509998,53.139999,53.509998,600,50.017777
2010-10-06,53.209999,53.220001,53.209999,53.220001,700,49.746706
2010-10-07,53.080002,53.080002,53.080002,53.080002,200,49.615843
2010-10-08,53.080002,53.080002,53.080002,53.080002,0,49.615843
2010-10-11,54,54.049999,53.849998,53.849998,400,50.335587
2010-10-12,53.849998,53.849998,53.849998,53.849998,0,50.335587
2010-10-13,54.240002,54.549999,54.240002,54.549999,800,50.989904
2010-10-14,54.549999,54.549999,54.549999,54.549999,0,50.989904
2010-10-15,54.549999,54.549999,54.549999,54.549999,0,50.989904
2010-10-18,54.450001,54.470001,54.450001,54.470001,400,50.915127
2010-10-19,54.34,54.34,53.439999,53.68,1000,50.176684
2010-10-20,54.459999,54.459999,54.459999,54.459999,200,50.905778
2010-10-21,54.25,54.25,54,54.029999,1300,50.50384
2010-10-22,54.029999,54.029999,54.029999,54.029999,0,50.50384
2010-10-25,55,55.119999,54.950001,54.950001,12100,51.3638
2010-10-26,54.900002,55.040001,54.889999,54.889999,4400,51.307715
2010-10-27,54.759998,54.759998,54.330002,54.580002,4100,51.017949
2010-10-28,54.540001,54.77,54.540001,54.77,2200,51.195547
2010-10-29,54.759998,55.02,54.759998,54.959999,2700,51.373146
2010-11-01,55.209999,55.459999,54.630001,54.720001,7800,51.148811
2010-11-02,55.389999,55.59,55.389999,55.5,3400,51.877905
2010-11-03,55.650002,55.68,55.220001,55.68,36100,52.046158
2010-11-04,56.360001,56.360001,56.360001,56.360001,300,52.681779
2010-11-05,56.650002,57.09,56.650002,56.91,4500,53.195884
2010-11-08,56.93,57.060001,56.93,57.060001,2300,53.336096
2010-11-09,57.169998,57.169998,56.25,56.400002,8700,52.71917
2010-11-10,56.299999,56.779999,56.080002,56.779999,13500,53.074367
2010-11-11,56.860001,56.860001,56.779999,56.779999,600,53.074367
2010-11-12,56.389999,56.389999,56.389999,56.389999,300,52.70982
2010-11-15,56.52,56.52,56.52,56.52,900,52.831337
2010-11-16,55.650002,55.650002,55.009998,55.009998,2500,51.419882
2010-11-17,55.419998,55.52,55.419998,55.450001,3700,51.831169
2010-11-18,55.450001,55.450001,55.450001,55.450001,0,51.831169
2010-11-19,55.450001,55.450001,55.450001,55.450001,0,51.831169
2010-11-22,56.080002,56.720001,56.080002,56.720001,1000,53.018285
2010-11-23,56.720001,56.720001,56.720001,56.720001,0,53.018285
2010-11-24,56.540001,56.84,56.540001,56.759998,800,53.055672
2010-11-26,57.07,57.07,57.07,57.07,100,53.345442
2010-11-29,56.84,56.84,56.419998,56.419998,1500,52.737861
2010-11-30,56.369999,56.84,56.34,56.560001,900,52.868728
2010-12-01,56.560001,56.560001,56.560001,56.560001,0,52.868728
2010-12-02,57.830002,58.470001,57.830002,58.470001,1900,54.654075
2010-12-03,58.400002,58.91,58.400002,58.900002,22400,55.056012
2010-12-06,58.759998,58.779999,58.720001,58.779999,1900,54.943841
2010-12-07,59.220001,59.290001,59.220001,59.290001,1600,55.420559
2010-12-08,58.869999,58.869999,58.869999,58.869999,200,55.027968
2010-12-09,59.709999,59.709999,59,59.02,27400,55.16818
2010-12-10,59.25,59.720001,59.18,59.650002,8100,55.757065
2010-12-13,59.810001,59.830002,59.459999,59.459999,10800,55.579463
2010-12-14,59.740002,59.740002,59.439999,59.439999,1600,55.560768
2010-12-15,59.52,59.529999,59.27,59.27,1100,55.401864
2010-12-16,59.689999,59.759998,59.599998,59.75,10100,55.850537
2010-12-17,60.099998,60.150002,59.98,59.990002,12700,56.074876
2010-12-20,60.080002,60.080002,59.950001,60.029999,26000,56.112263
2010-12-21,60.299999,60.459999,60.279999,60.459999,14700,56.5142
2010-12-22,60.540001,60.740002,60.48,60.599998,4300,56.645062
2010-12-23,60.650002,60.700001,60.450001,60.540001,11800,56.58898
2010-12-27,60.060001,60.41,59.91,60.360001,3300,56.588979
2010-12-28,60.18,60.290001,60.18,60.290001,800,56.523353
2010-12-29,60.389999,60.5,60.389999,60.5,16300,56.720232
2010-12-30,60.59,60.630001,60.5,60.5,900,56.720232
2010-12-31,60.48,60.48,60.43,60.450001,1300,56.673357
2011-01-03,61.200001,61.200001,61.200001,61.200001,2400,57.3765
2011-01-04,61,61,59.950001,60.200001,17500,56.438975
2011-01-05,60.169998,60.630001,60.169998,60.630001,8600,56.842111
2011-01-06,60.52,60.810001,60.470001,60.470001,4200,56.692108
2011-01-07,60.759998,60.759998,59.939999,60.23,6100,56.4671
2011-01-10,60.040001,60.75,59.68,60.720001,32100,56.926489
2011-01-11,61.009998,61.049999,60.650002,60.790001,3800,56.992115
2011-01-12,61.330002,61.330002,61.16,61.259998,5500,57.432749
2011-01-13,61.290001,61.310001,61.130001,61.310001,9600,57.479628
2011-01-14,61.200001,61.560001,61.200001,61.560001,400,57.714009
2011-01-18,61.59,61.73,61.59,61.720001,2200,57.864013
2011-01-19,61.630001,61.630001,61.139999,61.139999,800,57.320247
2011-01-20,61.119999,61.119999,60.830002,60.830002,800,57.029617
2011-01-21,60.970001,60.970001,60.700001,60.700001,1600,56.907738
2011-01-24,60.68,61.110001,60.68,61.110001,600,57.292123
2011-01-25,60.919998,60.919998,60.880001,60.880001,3000,57.076492
2011-01-26,61.389999,61.779999,61.169998,61.540001,24900,57.695258
2011-01-27,61.650002,62.080002,61.650002,62.009998,16800,58.135893
2011-01-28,62.02,62.02,60.82,60.82,2600,57.02024
2011-01-31,61.060001,61.310001,61.060001,61.299999,2700,57.470251
2011-02-01,61.900002,62.27,61.759998,62.259998,4700,58.370274
2011-02-02,62.27,62.27,62.23,62.25,9300,58.3609
2011-02-03,62.080002,62.34,62.009998,62.330002,8700,58.435904
2011-02-04,62.34,62.610001,62.34,62.610001,1000,58.698409
2011-02-07,62.93,63.299999,62.93,63.299999,8400,59.3453
2011-02-08,63.259998,63.490002,63.060001,63.490002,5900,59.523432
2011-02-09,63.580002,63.580002,63.259998,63.259998,1300,59.307798
2011-02-10,63.080002,63.689999,63.07,63.689999,25200,59.710934
2011-02-11,63.5,64.330002,63.5,64.330002,25700,60.310953
2011-02-14,64.410004,64.57,64.389999,64.57,22700,60.535957
2011-02-15,64.419998,64.480003,64.269997,64.349998,12700,60.3297
2011-02-16,64.660004,64.790001,64.660004,64.790001,3200,60.742213
2011-02-17,64.709999,65.220001,64.709999,65.220001,7400,61.145349
2011-02-18,65.230003,65.239998,64.959999,65.120003,16700,61.051598
2011-02-22,64.489998,64.550003,63.549999,63.549999,39100,59.579681
2011-02-23,63.610001,63.619999,62.75,62.75,13200,58.829662
2011-02-24,62.75,63.119999,62.75,62.900002,600,58.970292
2011-02-25,63.279999,63.77,63.279999,63.740002,2600,59.757813
2011-02-28,64.349998,64.370003,63.939999,63.98,1800,59.982817
2011-03-01,64.019997,64.019997,62.919998,62.939999,1800,59.007791
2011-03-02,63.360001,63.66,63.139999,63.380001,8000,59.420304
2011-03-03,63.959999,64.779999,63.959999,64.779999,2200,60.732836
2011-03-04,64.309998,64.309998,63.939999,63.970001,2300,59.973443
2011-03-07,64.93,64.93,63.150002,63.470001,9700,59.504681
2011-03-08,64.419998,64.419998,64.25,64.25,800,60.235949
2011-03-09,64.239998,64.239998,63.939999,64.120003,400,60.114073
2011-03-10,63.27,63.27,62.860001,62.950001,8000,59.017168
2011-03-11,62.73,63.34,62.650002,63.34,800,59.382802
2011-03-14,62.82,63.130001,62.82,63.040001,5100,59.101545
2011-03-15,61.380001,62.720001,61.110001,62.720001,30700,58.801538
2011-03-16,62.490002,62.490002,62.009998,62.009998,1700,58.135893
2011-03-17,62.860001,62.860001,62.32,62.32,1000,58.426526
2011-03-18,62.849998,62.849998,62.720001,62.720001,5700,58.801538
2011-03-21,63.48,63.869999,63.48,63.77,24800,59.785938
2011-03-22,63.82,63.82,63.380001,63.450001,3600,59.48593
2011-03-23,63.220001,63.540001,62.799999,63.310001,62300,59.354677
2011-03-24,63.610001,63.900002,63.060001,63.900002,23600,59.907817
2011-03-25,64.040001,64.910004,63.970001,64.470001,33300,60.442205
2011-03-28,64.540001,64.660004,64.269997,64.269997,11300,60.254696
2011-03-29,64.150002,64.730003,63.970001,64.730003,5000,60.685964
2011-03-30,65.07,65.470001,65.050003,65.360001,3600,61.276602
2011-03-31,65.290001,65.730003,65.290001,65.699997,4800,61.595357
2011-04-01,66.260002,66.260002,66.110001,66.110001,1200,61.979745
2011-04-04,66.360001,66.360001,66.139999,66.139999,4900,62.00787
2011-04-05,66.260002,66.699997,66.169998,66.639999,2200,62.476632
2011-04-06,66.790001,66.910004,66.230003,66.510002,87800,62.354756
2011-04-07,66.470001,66.470001,65.989998,66.160004,30100,62.026624
2011-04-08,66.470001,66.470001,65.400002,65.529999,1800,61.435979
2011-04-11,65.739998,65.739998,65,65.129997,2200,61.060968
2011-04-12,64.839996,65.029999,64.379997,64.489998,5100,60.460953
2011-04-13,64.93,64.980003,64.400002,64.470001,3300,60.442205
2011-04-14,64.32,64.75,64.32,64.75,6100,60.704711
2011-04-15,64.760002,65.349998,64.760002,65.309998,1400,61.229723
2011-04-18,64.769997,64.769997,63.709999,64.160004,4100,60.151575
2011-04-19,64.449997,64.510002,64.18,64.510002,3800,60.479707
2011-04-20,65.519997,65.690002,65.5,65.68,2700,61.576609
2011-04-21,65.940002,66.080002,65.75,66.059998,3200,61.932866
2011-04-25,66.080002,66.160004,65.779999,66.07,7800,61.942243
2011-04-26,66.660004,66.82,66.660004,66.730003,1200,62.561013
2011-04-27,66.870003,67.18,66.559998,67.18,11700,62.982896
2011-04-28,67.120003,67.419998,66.989998,67.160004,75200,62.964149
2011-04-29,67.330002,67.519997,67.220001,67.489998,4800,63.273526
2011-05-02,67.650002,67.650002,67.040001,67.040001,1900,62.851643
2011-05-03,66.93,67.010002,66.139999,66.269997,25000,62.129745
2011-05-04,66.5,66.5,65.790001,65.989998,11000,61.86724
2011-05-05,65.389999,66.120003,65.279999,65.620003,3300,61.52036
2011-05-06,66.379997,66.440002,65.970001,66,1900,61.876617
2011-05-09,65.669998,65.879997,65.629997,65.879997,3100,61.764111
2011-05-10,66.550003,66.879997,66.550003,66.879997,1800,62.701636
2011-05-11,66.989998,66.989998,66.07,66.269997,3500,62.129745
2011-05-12,66.050003,66.980003,65.839996,66.790001,16000,62.617262
2011-05-13,66.720001,66.800003,65.989998,66.099998,3600,61.970368
2011-05-16,65.790001,66,65.449997,65.489998,7000,61.398477
2011-05-17,65.050003,65.360001,64.720001,65.050003,19200,60.985971
2011-05-18,65.389999,66.019997,65.389999,66.019997,2200,61.895364
2011-05-19,66.379997,66.379997,65.769997,66.129997,3300,61.998492
2011-05-20,65.980003,65.980003,65.5,65.639999,3600,61.539107
2011-05-23,64.699997,64.790001,64.449997,64.580002,800,60.545334
2011-05-24,64.5,64.529999,64.360001,64.529999,9800,60.498455
2011-05-25,64.400002,64.860001,64.400002,64.860001,7600,60.807839
2011-05-26,64.809998,65.459999,64.809998,65.459999,8800,61.370353
2011-05-27,65.790001,65.980003,65.720001,65.860001,2700,61.745364
2011-05-31,66.540001,66.580002,66.160004,66.489998,3800,62.336002
2011-06-01,66.519997,66.519997,64.970001,64.970001,2300,60.910968
2011-06-02,65.129997,65.129997,64.599998,64.790001,6600,60.742213
2011-06-03,63.93,64.25,63.849998,64.099998,5800,60.095319
2011-06-06,63.630001,63.630001,63.34,63.34,1800,59.382802
2011-06-07,63.360001,63.619999,63.209999,63.27,8600,59.317175
2011-06-08,63.07,63.080002,62.650002,62.700001,5800,58.782787
2011-06-09,62.66,63.200001,62.619999,63.16,2300,59.214047
2011-06-10,62.599998,62.599998,61.98,62.009998,1300,58.135893
2011-06-13,62.049999,62.299999,61.84,61.970001,7100,58.098394
2011-06-14,62.970001,62.98,62.950001,62.98,2100,59.045292
2011-06-15,62.360001,62.57,62.27,62.299999,2000,58.407775
2011-06-16,62.240002,62.310001,61.639999,61.970001,3300,58.098394
2011-06-17,61.970001,61.970001,61.970001,61.970001,0,58.098394
2011-06-20,61.919998,62.5,61.919998,62.450001,3400,58.548406
2011-06-21,62.98,63.830002,62.880001,63.799999,16600,59.814062
2011-06-22,63.52,64.019997,63.5,63.900002,8700,59.907817
2011-06-23,62.689999,63.240002,62.259998,63.240002,1800,59.289051
2011-06-24,63.580002,63.759998,63.080002,63.080002,2700,59.139047
2011-06-27,63.049999,63.48,63.049999,63.450001,2000,59.48593
2011-06-28,63.43,64.260002,63.43,64.199997,3300,60.18907
2011-06-29,64.599998,64.760002,64.589996,64.760002,11400,60.714088
2011-06-30,64.919998,65.360001,64.919998,65.330002,11700,61.248477
2011-07-01,65.32,66.260002,65.279999,66.260002,8100,62.120375
2011-07-05,66.370003,66.370003,66.010002,66.269997,3100,62.129745
2011-07-06,66.32,66.800003,66.160004,66.669998,10300,62.504757
2011-07-07,67.300003,67.470001,67.220001,67.449997,7800,63.236024
2011-07-08,66.599998,66.839996,66.489998,66.830002,3200,62.654764
2011-07-11,66.239998,66.269997,65.529999,65.540001,11100,61.445356
2011-07-12,65.290001,65.529999,65.290001,65.529999,1800,61.435979
2011-07-13,65.639999,66.139999,65.639999,65.870003,4000,61.754741
2011-07-14,65.510002,65.959999,64.650002,64.68,4500,60.639085
2011-07-15,64.849998,64.889999,64.839996,64.889999,4900,60.835964
2011-07-18,64.849998,64.870003,63.830002,63.990002,5400,59.992194
2011-07-19,64.82,65.449997,64.82,65.449997,3900,61.360976
2011-07-20,65.480003,65.480003,65.120003,65.349998,17100,61.267224
2011-07-21,65.589996,66.019997,65.589996,65.940002,7900,61.820368
2011-07-22,65.82,66.110001,65.82,66.110001,6000,61.979745
2011-07-25,65.220001,65.849998,65.220001,65.709999,5200,61.604734
2011-07-26,65.449997,65.449997,65.190002,65.25,5900,61.173473
2011-07-27,64.160004,64.160004,63.509998,63.509998,8100,59.542179
2011-07-28,63.509998,63.759998,63.009998,63.009998,2900,59.073417
2011-07-29,62.18,63.02,61.919998,62.82,7200,58.895289
2011-08-01,63.540001,63.619999,61.880001,62.490002,11400,58.585907
2011-08-02,62.23,62.48,60.619999,60.619999,5500,56.832734
2011-08-03,60.619999,60.849998,59.139999,60.849998,115700,57.048364
2011-08-04,59.939999,59.939999,57.439999,57.439999,10700,53.851406
