"Index","open","high","low","close","volume","adjusted"
2000-05-19,75.40625,75.40625,74.3125,74.3125,8100,55.470513
2000-05-22,74.609383,74.609383,72.078117,74.09375,751300,55.307227
2000-05-23,74.125,74.125,72.84375,72.84375,271200,54.374166
2000-05-24,72.890617,73.46875,72,73.46875,17900,54.840696
2000-05-25,74.265617,74.359383,72.921883,72.921883,2100,54.432488
2000-05-26,73.125,73.125,72.484383,72.484383,1800,54.105916
2000-05-30,73.578117,73.953117,73.578117,73.953117,600,55.202252
2000-05-31,73.953117,73.953117,73.953117,73.953117,0,55.202252
2000-06-01,75.65625,76.6875,75.65625,76.265617,400,56.928416
2000-06-02,78.59375,78.703117,78.375,78.375,5700,58.502963
2000-06-05,78.078117,78.34375,78,78,21000,58.223045
2000-06-06,77.953117,78.046883,77.53125,77.53125,3200,57.873147
2000-06-07,77.5,78.28125,77.5,78.09375,2700,58.293024
2000-06-08,78.03125,78.03125,77.5,77.5,600,57.84982
2000-06-09,78.078117,78.078117,77.75,77.765617,1300,58.04809
2000-06-12,77.828117,77.84375,77.453117,77.453117,1100,57.814825
2000-06-13,76.578117,77.90625,76.578117,77.90625,1100,58.153065
2000-06-14,78.703117,78.703117,78.015617,78.015617,1000,58.234702
2000-06-15,78.015617,78.015617,78.015617,78.015617,0,58.234702
2000-06-16,78.3125,78.3125,78.15625,78.15625,20200,58.339677
2000-06-19,78.71875,78.71875,77.921883,77.921883,500,58.164734
2000-06-20,78.609383,78.890617,78.4375,78.4375,500,58.549616
2000-06-21,78.34375,78.59375,78.3125,78.59375,1900,58.712659
2000-06-22,78.328117,78.328117,77,77,13600,57.522064
2000-06-23,77.25,77.25,76.46875,76.46875,13500,57.125199
2000-06-26,77.109383,77.109383,76.9375,76.9375,12400,57.475374
2000-06-27,77.296883,77.375,77.265617,77.265617,300,57.720491
2000-06-28,77.09375,77.75,77.09375,77.46875,18000,57.872239
2000-06-29,76.390617,76.390617,76.390617,76.390617,5000,57.066831
2000-06-30,76.6875,76.6875,76.6875,76.6875,100,57.288614
2000-07-03,77.0625,77.53125,77.0625,77.53125,1500,57.918929
2000-07-05,77.46875,77.46875,76.53125,76.53125,6200,57.171889
2000-07-06,76.5,77.171883,76.21875,77.171883,2100,57.650467
2000-07-07,77.78125,78.5,77.78125,78.40625,1200,58.572589
2000-07-10,78.453117,78.53125,78.234383,78.421883,2100,58.584267
2000-07-11,78.828117,78.859383,78.828117,78.859383,1400,58.911097
2000-07-12,79.0625,79.28125,79.0625,79.28125,700,59.226249
2000-07-13,79.5625,79.6875,79.5625,79.671883,29700,59.518067
2000-07-14,79.921883,80.109383,79.546883,80.109383,3000,59.844897
2000-07-17,80.21875,80.5625,80.21875,80.5625,1200,60.183393
2000-07-18,79.9375,79.9375,79.40625,79.546883,12100,59.424687
2000-07-19,79.1875,79.34375,78.59375,78.75,2700,58.829384
2000-07-20,78.96875,78.96875,78.96875,78.96875,100,58.992799
2000-07-21,78.984383,78.984383,78.9375,78.96875,900,58.992799
2000-07-24,78.734383,78.734383,77.921883,77.921883,400,58.210747
2000-07-25,78.5,78.5,77.953117,78.140617,1200,58.374151
2000-07-26,77.5,77.5,77,77.484383,12000,57.883917
2000-07-27,76.671883,77.015617,76.671883,77.015617,21700,57.533731
2000-07-28,76.484383,76.484383,75.46875,75.515617,1200,56.413171
2000-07-31,75,75.75,75,75.75,2000,56.588264
2000-08-01,75.71875,76.1875,75.71875,76.1875,6100,56.915094
2000-08-02,75.921883,76.6875,75.921883,76.640617,3500,57.253591
2000-08-03,75.390617,76.546883,75.390617,76.484383,1700,57.136878
2000-08-04,77.25,77.28125,77.1875,77.234383,4500,57.697157
2000-08-07,77.671883,78.265617,77.671883,78.265617,1600,58.467531
2000-08-08,78.40625,78.5,78.40625,78.5,1300,58.642624
2000-08-09,78.296883,78.59375,78.296883,78.59375,300,58.712659
2000-08-10,77.859383,77.984383,77.65625,77.65625,5800,58.012309
2000-08-11,77.1875,77.1875,77.1875,77.1875,600,57.662134
2000-08-14,78.125,78.8125,78.125,78.78125,900,58.852729
2000-08-15,78.953117,79,78.734383,79,600,59.016144
2000-08-16,79,79,78.359383,78.359383,2000,58.537577
2000-08-17,79,79.265617,79,79.265617,900,59.214571
2000-08-18,79.609383,79.609383,79.28125,79.28125,4200,59.226249
2000-08-21,79.28125,79.28125,79.28125,79.28125,0,59.226249
2000-08-22,79.84375,80.09375,79.6875,79.6875,56800,59.529734
