"Index","open","high","low","close","volume","adjusted"
2005-08-16,50.25,50.419998,49.799999,49.84,99000,44.131131
2005-08-17,49.84,50.34,49.84,50.099998,51300,44.361349
2005-08-18,49.630001,50.09,49.490002,49.59,28800,43.909767
2005-08-19,49.75,50.029999,49.689999,50.029999,38600,44.299367
2005-08-22,50.150002,50.25,49.700001,50.150002,80400,44.405624
2005-08-23,50.400002,50.400002,49.849998,50.150002,43300,44.405624
2005-08-24,50.400002,50.880001,50,50.25,51500,44.494168
2005-08-25,50.299999,50.59,50.07,50.330002,21800,44.565006
2005-08-26,50.25,50.25,49.599998,49.75,37300,44.05144
2005-08-29,49.549999,50.040001,49.400002,50.029999,31700,44.299367
2005-08-30,50.049999,50.080002,49.68,49.880001,17400,44.16655
2005-08-31,49.98,50.849998,49.849998,50.689999,68000,44.883768
2005-09-01,50.919998,51.119999,50.700001,50.900002,30200,45.069716
2005-09-02,51,51.009998,50.650002,50.75,24900,44.936896
2005-09-06,51.18,51.5,51.119999,51.5,26600,45.600988
2005-09-07,51.5,51.740002,51.330002,51.720001,49000,45.79579
2005-09-08,51.52,51.700001,51.27,51.439999,52100,45.54786
2005-09-09,51.599998,51.77,51.599998,51.720001,14700,45.79579
2005-09-12,51.830002,52.07,51.73,52,16900,46.043716
2005-09-13,51.700001,51.759998,51.450001,51.490002,30700,45.592135
2005-09-14,51.669998,51.669998,50.970001,50.990002,15000,45.149407
2005-09-15,51.130001,51.139999,50.610001,50.709999,20500,44.901477
2005-09-16,51.119999,51.279999,50.799999,51.200001,58800,45.335352
2005-09-19,51.400002,51.400002,50.779999,50.919998,42000,45.087422
2005-09-20,51.189999,51.220001,50.400002,50.560001,36100,44.768661
2005-09-21,50.299999,50.299999,49.77,49.77,35100,44.06915
2005-09-22,49.52,49.990002,49.34,49.720001,32800,44.024878
2005-09-23,49.59,50.049999,49.419998,50.040001,31200,44.31803
2005-09-26,50.290001,50.5,50.110001,50.360001,25200,44.601439
2005-09-27,50.5,50.57,50.080002,50.369999,328700,44.610294
2005-09-28,50.400002,50.450001,49.919998,50.049999,36200,44.326885
2005-09-29,50.110001,50.650002,49.950001,50.650002,67000,44.858278
2005-09-30,50.75,50.880001,50.439999,50.869999,39200,45.05312
2005-10-03,51.049999,51.290001,50.970001,51.099998,64500,45.256819
2005-10-04,51.349998,51.41,50.689999,50.709999,37800,44.911415
2005-10-05,50.549999,50.549999,49.34,49.389999,36400,43.742355
2005-10-06,49.439999,49.560001,48.459999,48.860001,64400,43.27296
2005-10-07,49.279999,49.299999,49,49.27,58700,43.636078
2005-10-10,49.52,49.52,48.849998,48.93,39600,43.334956
2005-10-11,49.209999,49.209999,48.27,48.299999,20300,42.776994
2005-10-12,48.32,48.32,47.189999,47.509998,52100,42.077328
2005-10-13,47.41,47.709999,47.060001,47.599998,41400,42.157037
2005-10-14,48,48.330002,47.610001,48.330002,52900,42.803566
2005-10-17,48.560001,48.560001,47.889999,48.34,38400,42.812421
2005-10-18,48.380001,48.380001,47.849998,47.869999,34900,42.396163
2005-10-19,47.75,48.689999,47.490002,48.689999,23600,43.122398
2005-10-20,48.740002,48.790001,47.709999,48,35800,42.511299
2005-10-21,48.34,48.5,48.09,48.369999,22100,42.838989
2005-10-24,48.57,49.18,48.57,49.18,0,43.556369
2005-10-25,49.110001,49.27,48.650002,48.98,0,43.379238
2005-10-26,49.009998,49.400002,48.720001,48.77,0,43.193252
2005-10-27,48.630001,48.630001,47.650002,47.720001,0,42.263318
2005-10-28,47.990002,48.400002,47.75,48.34,0,42.812421
2005-10-31,48.75,49.240002,48.75,48.900002,0,43.308387
2005-11-01,49.049999,49.049999,48.759998,48.919998,0,43.326097
2005-11-02,48.950001,49.720001,48.950001,49.720001,0,44.034622
2005-11-03,50.040001,50.330002,49.84,50,104600,44.282603
2005-11-04,50.16,50.16,49.759998,49.970001,24700,44.256035
2005-11-07,50.279999,50.369999,49.970001,50.23,26800,44.486303
2005-11-08,49.990002,50.119999,49.91,50.07,43200,44.344599
2005-11-09,50.040001,50.369999,49.860001,50.189999,20500,44.450876
2005-11-10,49.98,50.439999,49.57,50.43,51700,44.663434
2005-11-11,50.5,50.75,50.400002,50.669998,25100,44.875989
2005-11-14,50.740002,50.740002,50.310001,50.450001,70400,44.681147
2005-11-15,50.48,50.48,49.790001,49.849998,31000,44.149754
2005-11-16,49.889999,49.889999,49.299999,49.560001,57800,43.892918
2005-11-17,49.860001,50.400002,49.860001,50.380001,30200,44.619152
2005-11-18,50.700001,50.900002,50.57,50.830002,53700,45.017696
2005-11-21,50.939999,51.380001,50.68,51.380001,55700,45.504804
2005-11-22,51.259998,51.669998,51.169998,51.599998,47100,45.699645
2005-11-23,51.599998,51.849998,51.57,51.639999,35500,45.735072
2005-11-25,51.650002,51.75,51.580002,51.68,35100,45.770499
2005-11-28,51.650002,51.650002,50.889999,50.889999,22700,45.070833
2005-11-29,51.169998,51.18,50.830002,50.91,23100,45.088547
2005-11-30,51.18,51.360001,51.080002,51.32,32600,45.451664
2005-12-01,51.639999,52.220001,51.639999,52.130001,109100,46.169043
2005-12-02,52.07,52.189999,51.82,52.169998,46900,46.204467
2005-12-05,52.23,52.23,51.77,52.060001,52200,46.107048
2005-12-06,52.34,52.52,52.080002,52.150002,19600,46.186757
2005-12-07,52.259998,52.259998,51.689999,51.919998,76300,45.983054
2005-12-08,52.009998,52.380001,51.849998,52,43700,46.053907
2005-12-09,52.200001,52.490002,52,52.360001,25400,46.372743
2005-12-12,52.720001,52.720001,52.32,52.509998,58300,46.505588
2005-12-13,52.400002,52.68,52.32,52.48,32500,46.47902
2005-12-14,52.529999,52.619999,52.240002,52.380001,40600,46.390456
2005-12-15,52.360001,52.360001,51.799999,51.98,54500,46.036194
2005-12-16,52,52.119999,51.82,51.939999,94200,46.000767
2005-12-19,51.75,51.75,51.119999,51.23,98100,45.371955
2005-12-20,51.310001,51.48,50.900002,51.130001,65400,45.283391
2005-12-21,51.360001,51.75,51.360001,51.68,55300,45.770499
2005-12-22,51.860001,51.919998,51.599998,51.919998,40200,46.058808
2005-12-23,52.130001,52.130001,51.93,52.080002,15000,46.200749
2005-12-27,52.220001,52.27,51.43,51.5,24500,45.686223
2005-12-28,51.610001,51.619999,51.27,51.59,80600,45.766063
2005-12-29,51.599998,51.720001,51.400002,51.52,45200,45.703966
2005-12-30,50.98,51.310001,50.98,51.150002,75700,45.375736
2006-01-03,51.669998,52.009998,50.830002,51.950001,46200,46.085424
2006-01-04,51.990002,52.459999,51.959999,52.360001,39000,46.449139
2006-01-05,52.5,52.75,52.299999,52.700001,87100,46.750757
2006-01-06,52.939999,53.290001,52.720001,53.23,34300,47.220925
2006-01-09,53.23,53.810001,53.23,53.66,51600,47.602383
2006-01-10,53.549999,54.029999,53.470001,54.029999,55300,47.930613
2006-01-11,54.110001,54.110001,53.75,54.080002,62800,47.974971
2006-01-12,54.169998,54.27,53.84,53.900002,52400,47.815291
