"Index","open","high","low","close","volume","adjusted"
2000-05-26,55.5,55.734379,55.4375,55.5,9500,38.393838
2000-05-30,55.890621,56.140621,55.890621,56.140621,1200,38.837007
2000-05-31,56.515621,56.828121,56.515621,56.546879,25500,39.118049
2000-06-01,56.8125,57.328121,56.8125,57.0625,15300,39.474746
2000-06-02,58.375,58.515621,58.09375,58.09375,14200,40.188145
2000-06-05,58,58,57.71875,57.78125,1600,39.971963
2000-06-06,57.640621,57.640621,57.515621,57.625,2100,39.863872
2000-06-07,57.671879,57.84375,57.671879,57.71875,20400,39.928727
2000-06-08,57.78125,57.78125,57.34375,57.34375,19200,39.669309
2000-06-09,57.734379,57.734379,57.328121,57.328121,4100,39.658497
2000-06-12,57.40625,57.46875,57.40625,57.46875,4200,39.755782
2000-06-13,57.140621,57.609379,57.140621,57.546879,20400,39.80983
2000-06-14,57.78125,57.921879,57.625,57.65625,115000,39.885491
2000-06-15,57.84375,57.84375,57.0625,57.09375,30800,39.496364
2000-06-16,57.25,57.25,56.25,56.25,2100,38.912674
2000-06-19,56.28125,56.765621,56.28125,56.609379,13900,39.161285
2000-06-20,56.4375,56.625,56,56,19500,38.739728
2000-06-21,56.0625,56.25,55.96875,55.96875,18000,38.765875
2000-06-22,56.0625,56.0625,55.546879,55.59375,8200,38.506137
2000-06-23,55.828121,55.921879,55.5,55.5,1700,38.441203
2000-06-26,55.671879,56.015621,55.515621,55.609379,13900,38.516962
2000-06-27,56,56,55.59375,55.59375,14400,38.506137
2000-06-28,55.71875,55.90625,55.375,55.40625,5800,38.376268
2000-06-29,55,55.203121,55,55.203121,300,38.235574
2000-06-30,55.3125,55.328121,54.8125,54.8125,7700,37.965017
2000-07-03,54.375,54.4375,54.375,54.4375,800,37.705279
2000-07-05,55,55.171879,54.921879,54.921879,1100,38.040776
2000-07-06,54.984379,55.125,54.8125,54.8125,12500,37.965017
2000-07-07,54.109379,55.640621,54.109379,55.4375,5500,38.397913
2000-07-10,55.6875,55.765621,55.5,55.5,64200,38.441203
2000-07-11,55.484379,55.96875,55.359379,55.734379,33600,38.603542
2000-07-12,56.140621,56.140621,55.765621,55.765621,1000,38.625181
2000-07-13,56.125,56.125,55.65625,55.875,32300,38.700941
2000-07-14,56.125,56.125,55.859379,55.953121,13500,38.75505
2000-07-17,55.84375,55.859379,55.390621,55.390621,4800,38.365443
2000-07-18,55.375,55.625,55.25,55.25,32700,38.268044
2000-07-19,55.4375,55.65625,55.3125,55.3125,22700,38.311334
2000-07-20,55.515621,55.765621,55.515621,55.734379,38800,38.603542
2000-07-21,55.78125,55.78125,55.25,55.3125,9100,38.311334
2000-07-24,55.3125,55.40625,55,55,4300,38.094886
2000-07-25,55.09375,55.59375,55.09375,55.109379,38700,38.170645
2000-07-26,55.125,55.28125,54.75,54.90625,19100,38.029951
2000-07-27,54.9375,55.21875,54.9375,55.1875,15900,38.224755
2000-07-28,55.125,55.125,54.25,54.25,4500,37.57541
2000-07-31,54.75,54.921879,54.59375,54.734379,10100,37.910907
2000-08-01,54.765621,55.328121,54.765621,55.1875,20400,38.224755
2000-08-02,55.4375,55.796879,55.4375,55.75,11400,38.614361
2000-08-03,55.375,55.953121,55.375,55.890621,80600,38.71176
2000-08-04,56.125,56.546879,56.125,56.546879,7400,39.166307
2000-08-07,56.75,57.09375,56.625,57.078121,10600,39.534264
2000-08-08,56.765621,56.90625,56.765621,56.90625,6800,39.41522
2000-08-09,57,57,56.5,56.5625,30200,39.177127
2000-08-10,56.71875,56.78125,56.6875,56.6875,1700,39.263706
2000-08-11,56.96875,57.375,56.96875,57.25,6000,39.653313
2000-08-14,57.21875,57.75,57.21875,57.75,126100,39.99963
2000-08-15,57.75,57.75,57.375,57.5625,243900,39.869761
2000-08-16,57.5,57.65625,57.0625,57.0625,51800,39.523444
2000-08-17,57.46875,57.484379,57.34375,57.4375,34100,39.783182
2000-08-18,57.34375,57.359379,57.15625,57.359379,20900,39.729072
2000-08-21,57.375,57.53125,57.359379,57.53125,3000,39.848116
2000-08-22,57.625,57.875,57.625,57.71875,10100,39.977985
2000-08-23,57.5,57.5625,57.46875,57.5625,22200,39.869761
2000-08-24,57.5,57.5,57.28125,57.4375,7000,39.783182
2000-08-25,57.4375,57.4375,57.28125,57.375,2400,39.739892
2000-08-28,57.5,57.90625,57.46875,57.65625,53700,39.934695
2000-08-29,57.625,57.625,57.28125,57.375,6700,39.739892
2000-08-30,57.375,57.421879,57.1875,57.421879,16400,39.772362
2000-08-31,58.125,58.125,58,58,3500,40.172789
2000-09-01,57.9375,58,57.625,57.875,28600,40.086209
2000-09-05,57.84375,58.03125,57.84375,57.9375,1600,40.129499
2000-09-06,58.34375,58.375,58.09375,58.09375,5700,40.237723
2000-09-07,58,58.0625,57.84375,57.96875,26400,40.151144
2000-09-08,57.96875,58.34375,57.96875,58.34375,13100,40.410882
