"Index","open","high","low","close","volume","adjusted"
2000-05-26,78.1875,78.1875,78.140617,78.140617,10300,64.57676
2000-05-30,79.484383,79.625,79.484383,79.625,1100,65.80348
2000-05-31,80.96875,82.09375,80.96875,82.09375,1000,67.843697
2000-06-01,82.046883,83.1875,82.046883,82.875,5200,68.489336
2000-06-02,85.515617,85.890617,85.234383,85.890617,8000,70.981494
2000-06-05,85.125,86,85.125,85.390617,20400,70.568286
2000-06-06,85.375,85.671883,85.375,85.609383,400,70.749077
2000-06-07,84.40625,85.28125,84.40625,85.28125,1200,70.477903
2000-06-08,85.625,85.640617,84.75,84.75,13400,70.038868
2000-06-09,85.65625,85.65625,85.046883,85.046883,1700,70.284217
2000-06-12,85.296883,85.375,83.859383,83.859383,3800,69.302847
2000-06-13,83.21875,85.296883,83.21875,85.296883,7600,70.490822
2000-06-14,85.9375,85.9375,85.5625,85.5625,600,70.710333
2000-06-15,85.5,85.5,85.5,85.5,2600,70.658681
2000-06-16,86.515617,86.828117,85.90625,85.9375,282100,71.020239
2000-06-19,86.15625,88,86.15625,88,9500,72.724725
2000-06-20,87.953117,88.171883,87.46875,87.59375,111700,72.388993
2000-06-21,87.4375,88,87.21875,87.6875,16100,72.492127
2000-06-22,87.59375,87.59375,85.921883,85.921883,7300,71.032473
2000-06-23,85.4375,85.4375,85.25,85.34375,700,70.554525
2000-06-26,85.59375,85.8125,85.328117,85.765617,12000,70.903287
2000-06-27,85.84375,86.03125,85.609383,85.609383,5900,70.774126
2000-06-28,85.515617,86.6875,85.515617,86.609383,6100,71.600836
2000-06-29,85.28125,85.84375,84.6875,85.171883,24100,70.412441
2000-06-30,85,86.53125,85,86.53125,18600,71.536243
2000-07-03,86.390617,87.265617,86.390617,87.265617,17600,72.143352
2000-07-05,86.46875,86.46875,84.71875,84.71875,22900,70.037832
2000-07-06,84.9375,86.15625,84.1875,86.0625,45500,71.148723
2000-07-07,87.234383,88.359383,87.234383,87.8125,6200,72.595465
2000-07-10,87.34375,88.25,87.265617,87.265617,32400,72.143352
2000-07-11,87.421883,88.375,86.8125,87.265617,30900,72.143352
2000-07-12,88.421883,89.046883,88.09375,88.921883,20500,73.512603
2000-07-13,89.375,90.171883,89.109383,89.65625,9700,74.119712
2000-07-14,90.296883,91,89.640617,91,25500,75.230603
2000-07-17,90.59375,92.328117,90.59375,91.859383,13100,75.941063
2000-07-18,91.5,91.921883,90.09375,90.5,9500,74.817248
2000-07-19,89.6875,89.6875,88.265617,88.5625,67800,73.215498
2000-07-20,89.421883,90.5,89.421883,90.5,16200,74.817248
2000-07-21,89.03125,89.1875,88.625,89.140617,7200,73.693433
2000-07-24,88.5625,89.09375,87.15625,87.15625,6700,72.052937
2000-07-25,86.75,87.546883,86.75,87.40625,30200,72.259614
2000-07-26,86.875,86.875,85.78125,86.5625,15900,71.562078
2000-07-27,85.5625,85.9375,85.1875,85.390617,27700,70.593271
2000-07-28,85.1875,85.1875,81.65625,82.015617,20700,67.803125
2000-07-31,82.84375,83.671883,81.875,83.140617,20000,68.733174
2000-08-01,83.703117,83.703117,83.265617,83.546883,2600,69.069037
2000-08-02,82.6875,84.109383,82.65625,82.65625,8500,68.332742
2000-08-03,81.3125,83.71875,80.875,83.71875,5000,69.211122
2000-08-04,84.515617,84.515617,83.625,84.203117,60100,69.611553
2000-08-07,84.46875,85.6875,84.46875,85.625,24700,70.787037
2000-08-08,85.15625,86.09375,85.15625,85.875,13700,70.993715
2000-08-09,86.8125,86.8125,85.25,85.4375,8500,70.632029
2000-08-10,84.8125,85.28125,84,84.25,12100,69.650311
2000-08-11,84,84.59375,83,84.46875,7600,69.831154
2000-08-14,84.40625,85.9375,84.40625,85.9375,105200,71.045384
2000-08-15,85.875,86.25,85.8125,86.09375,1500,71.174558
2000-08-16,86.90625,86.90625,85.5625,85.765617,42100,70.903287
2000-08-17,85.9375,87.40625,85.9375,87.28125,22000,72.156276
2000-08-18,87.75,88.0625,87.125,87.28125,11000,72.156276
