"Index","open","high","low","close","volume","adjusted"
2000-07-28,102.375,102.624985,102.312515,102.437485,4200,25.065101
2000-07-31,102.343735,103.062515,102.343735,103.062515,7500,25.218037
2000-08-01,103.937485,104.093765,103.937485,104.093765,2400,25.470371
2000-08-02,104.25,104.671864,104.25,104.671864,1500,25.611824
2000-08-03,103.812515,104.874985,103.812515,104.874985,45300,25.661525
2000-08-04,105.125015,105.500015,104.71875,105.375,68100,25.783872
2000-08-07,105.734367,106.234383,105.734367,106.234383,6600,25.994151
2000-08-08,106.21875,106.546864,106.21875,106.390617,1800,26.03238
2000-08-09,106.734364,106.843735,106.203117,106.203117,3000,25.986501
2000-08-10,105.999985,105.999985,105.999985,105.999985,2700,25.936797
2000-08-11,105.812485,105.812485,105.812485,105.812485,600,25.890919
2000-08-14,107.406235,108.1875,107.406235,108.1875,1500,26.472053
2000-08-15,108.109383,108.109383,107.25,107.25,5400,26.24266
2000-08-16,107.499985,107.750015,107.499985,107.562515,5400,26.319128
2000-08-17,107.406235,108.062485,107.406235,108.062485,1200,26.441464
2000-08-18,108.062485,108.062485,108.062485,108.062485,0,26.441464
2000-08-21,107.375015,107.375015,107.34375,107.34375,3000,26.265599
2000-08-22,107.4375,107.4375,107.4375,107.4375,600,26.288538
2000-08-23,107.390636,107.390636,107.390636,107.390636,300,26.277071
2000-08-24,107.359383,107.562515,107.359383,107.562515,900,26.319128
2000-08-25,107.750015,107.750015,107.499985,107.687485,20100,26.349706
2000-08-28,107.968735,107.968735,107.53125,107.53125,9000,26.311478
2000-08-29,107.593735,108.062485,107.593735,108.062485,15000,26.441464
2000-08-30,107.921883,108.046864,107.750015,108.046864,37500,26.437642
2000-08-31,108.624985,108.624985,108.624985,108.624985,12300,26.5791
2000-09-01,108.968765,109.171864,108.812485,108.812485,32100,26.624979
2000-09-05,109.109367,109.109367,108.812485,108.812485,11400,26.624979
2000-09-06,108.812485,109.625015,108.781265,109.5,127800,26.793205
2000-09-07,109.859367,110.4375,109.749985,110.4375,47700,27.022599
2000-09-08,110.25,110.312485,109.812515,109.812515,12600,26.869673
2000-09-11,110.218735,110.750015,110.15625,110.34375,28200,26.999659
2000-09-12,110.4375,110.453133,110.124985,110.124985,6900,26.94613
2000-09-13,110.687485,110.687485,109.890633,110.4375,73200,27.022599
2000-09-14,110.499985,110.750015,110.265633,110.750015,8100,27.099067
2000-09-15,109.843735,110.000015,109.374985,109.374985,46500,26.762615
2000-09-18,108.999985,108.999985,107.499985,107.515617,34200,26.307653
2000-09-19,107.53125,107.53125,107.000015,107.4375,4800,26.288538
2000-09-20,106.875,107.515617,106.875,106.937485,116400,26.263972
2000-09-21,107.281265,107.281265,106.625015,106.625015,4200,26.187229
2000-09-22,104.375015,106.062515,104.375015,106.062515,13200,26.049079
2000-09-25,106.374985,106.374985,105.812485,105.812485,16500,25.987671
2000-09-26,105.812485,105.812485,105.687515,105.687515,15900,25.956978
2000-09-27,105.312515,105.718735,105.312515,105.718735,4800,25.964646
2000-09-28,105.718735,105.718735,105.718735,105.718735,0,25.964646
2000-09-29,107.843765,108,107.843765,108,3900,26.524927
2000-10-02,107.874985,107.874985,107.312485,107.312485,3300,26.356073
2000-10-03,106.937485,106.937485,106.437515,106.437515,1200,26.141179
2000-10-04,106.187485,106.203117,105.999985,106.203117,1500,26.083611
2000-10-05,106.203117,106.203117,106.203117,106.203117,0,26.083611
2000-10-06,105.375,105.375,105.28125,105.28125,900,25.857199
2000-10-09,104.968735,104.968735,104.4375,104.468765,2400,25.657652
2000-10-10,104.937515,104.937515,103.625015,103.625015,5400,25.450426
2000-10-11,103.343765,103.374985,102.5625,102.875015,164100,25.266225
2000-10-12,102.9375,102.9375,100.6875,101.187515,105300,24.851773
2000-10-13,101.124985,103.374985,101.124985,103.374985,157800,25.389018
2000-10-16,103.062515,103.437515,103.062515,103.437515,8100,25.404376
2000-10-17,102.9375,102.9375,101.000015,101.000015,2400,24.805723
2000-10-18,99.500015,100.625015,99.500015,100.625015,8400,24.713622
2000-10-19,101.499985,102.500015,101.375015,102.500015,47700,25.174124
2000-10-20,102.875015,103.109367,102.875015,103.109367,7500,25.323782
2000-10-23,103.125,103.281235,102.875015,103.281235,4800,25.365993
2000-10-24,103.21875,103.21875,103.21875,103.21875,300,25.350647
2000-10-25,102.859383,102.999985,102.249985,102.249985,3900,25.112717
2000-10-26,102.249985,102.500015,101.8125,102.500015,3300,25.174124
2000-10-27,103.343765,103.859367,103.343765,103.812515,13200,25.496476
2000-10-30,103.875,105.500015,103.875,105.500015,3600,25.910928
2000-10-31,105.968765,107.124985,105.968765,107.124985,8100,26.310022
2000-11-01,107.187515,107.187515,106.749985,106.812515,9000,26.233279
2000-11-02,107.750015,108.312515,107.750015,108.312515,6300,26.601681
2000-11-03,108.437485,108.437485,108,108.375,433500,26.617028
2000-11-06,108.437485,108.437485,107.8125,107.8125,61500,26.478877
2000-11-07,107.8125,108.312515,107.625,108.312515,45000,26.601681
2000-11-08,108.062485,108.9375,108.062485,108.500015,70800,26.647731
2000-11-09,107.625,107.625,106.281235,107.4375,53400,26.386776
2000-11-10,107.281265,107.499985,105.875015,105.999985,5700,26.033721
2000-11-13,105.437485,105.999985,104.687485,105.999985,91200,26.033721
2000-11-14,107.124985,107.187515,106.749985,107.046867,15300,26.290837
2000-11-15,106.875,108.062485,106.875,107.625,900,26.432827
2000-11-16,108.062485,108.062485,107.000015,107.000015,6300,26.27933
2000-11-17,108.312515,108.375,107.687485,107.687485,47700,26.448173
2000-11-20,106.374985,106.749985,106.250015,106.250015,102300,26.095129
2000-11-21,106.3125,106.374985,105.812485,106.374985,15000,26.125821
2000-11-22,106.062515,106.062515,105.249985,105.624985,16500,25.941621
2000-11-24,106.437515,107.000015,106.437515,106.812515,3300,26.233279
2000-11-27,107.750015,108,107.4375,107.4375,124200,26.386776
2000-11-28,107.187515,107.187515,106.562485,106.562485,7800,26.171872
2000-11-29,106.3125,106.3125,105.875015,106.187485,3300,26.079771
2000-11-30,105.75,106.062515,104.937515,106.062515,21000,26.049079
2000-12-01,105.999985,106.875,105.999985,106.625015,8400,26.187229
2000-12-04,106.5,107.124985,106.5,106.625015,27900,26.187229
2000-12-05,107.000015,109.562485,107.000015,109.5,257100,26.893329
2000-12-06,109.250015,109.250015,107.625,107.687485,59400,26.448173
2000-12-07,107.625,108.062485,107.625,107.874985,117300,26.494223
2000-12-08,108.624985,110.25,108.624985,110.000015,191700,27.016133
2000-12-11,110.406235,111.500015,110.406235,111.249985,302400,27.323127
2000-12-12,110.968735,111.09375,110.000015,110.000015,21900,27.016133
2000-12-13,109.718765,109.718765,108.375,108.437485,32700,26.749589
2000-12-14,108.531235,108.531235,107.187515,107.625,190200,26.549164
2000-12-15,107.625,107.625,106.437515,106.875,129000,26.364152
2000-12-18,107.499985,108.812485,107.499985,108.437485,509400,26.749589
2000-12-19,109.250015,109.828136,108.624985,109.062515,179100,26.903773
2000-12-20,108,108,106.875,107.375015,30600,26.487497
2000-12-21,107.281265,108.75,106.937485,108.5625,316500,26.780428
2000-12-22,108.999985,111.249985,108.999985,111.125015,212100,27.412555
2000-12-26,111.375,112.656235,111.375,112.437515,96600,27.736325
2000-12-27,112.40625,114.687515,112.125,114.687515,82500,28.29136
2000-12-28,114.75,117.812485,114.75,117.812485,1263600,29.062234
2000-12-29,117.9375,118.062515,115.625015,115.625015,216900,28.522625
2001-01-02,115.562485,115.562485,112.453136,112.453136,207900,27.740179
