"Index","open","high","low","close","volume","adjusted"
2000-07-28,77.734383,77.734383,75,75.53125,4300,68.111711
2000-07-31,75.125,76.3125,75.125,76.3125,51100,68.816218
2000-08-01,76.375,76.75,75.5625,75.5625,47600,68.139892
2000-08-02,76,77.09375,75.921883,75.921883,1000,68.463972
2000-08-03,74.25,75.375,73.90625,75.03125,16000,67.660827
2000-08-04,76.375,76.9375,76.34375,76.71875,145700,69.182562
2000-08-07,77.6875,78.4375,77.265617,78.203117,168200,70.521118
2000-08-08,77.953117,78.609383,77.453117,77.453117,7800,69.844791
2000-08-09,78.390617,78.5,77.25,77.265617,47600,69.67571
2000-08-10,76.3125,76.71875,75.96875,75.96875,1600,68.506235
2000-08-11,76.125,76.53125,75.28125,76.53125,1500,69.01348
2000-08-14,77.875,78.1875,77.5,78,20600,70.337953
2000-08-15,78.484383,78.484383,77.375,77.375,4100,69.774347
2000-08-16,78.125,78.328117,77.8125,78.25,60100,70.563395
2000-08-17,77.875,79.15625,77.875,78.9375,21400,71.183361
2000-08-18,79.3125,79.609383,78.96875,78.96875,14300,71.211541
2000-08-21,79.96875,79.96875,79.34375,79.34375,2200,71.549704
2000-08-22,80,80.1875,79.5625,79.5625,2300,71.746966
2000-08-23,79.546883,79.875,79.546883,79.875,12900,72.028769
2000-08-24,80.8125,81.5,80.8125,81.21875,13000,73.24052
2000-08-25,81.625,81.875,81.4375,81.75,63000,73.719585
2000-08-28,82.28125,82.875,81.9375,82.4375,57700,74.339551
2000-08-29,82.96875,83.25,82.25,83.015617,34000,74.860879
2000-08-30,83,83.875,83,83.5,84300,75.29768
2000-08-31,84,85.125,84,84.8125,45000,76.481251
2000-09-01,86.5,86.5,84.75,85.515617,132100,77.115301
2000-09-05,85.5,85.921883,84.875,84.875,154400,76.537612
2000-09-06,84.84375,84.9375,83.671883,83.703117,62300,75.480845
2000-09-07,84.359383,85.25,84.359383,85.078117,14800,76.720777
2000-09-08,84.5625,84.6875,83.3125,83.3125,64800,75.128599
2000-09-11,82.75,84.25,82.53125,82.53125,25900,74.424092
2000-09-12,83.28125,83.359383,82.421883,82.421883,2000,74.325468
2000-09-13,81.640617,82.8125,81.640617,82.8125,2400,74.677714
2000-09-14,83.84375,84.5,83.703117,83.875,4700,75.635843
2000-09-15,83.3125,83.3125,82.21875,82.21875,4600,74.142289
2000-09-18,82,82,79.53125,79.578117,6700,71.761049
2000-09-19,80.03125,80.84375,79.640617,80.84375,1700,72.902357
2000-09-20,81.09375,81.125,80.625,80.765617,1400,72.840912
2000-09-21,80.96875,80.96875,79.75,80.0625,39100,72.206784
2000-09-22,77.5,80.0625,77.5,80.0625,22400,72.206784
2000-09-25,81.15625,81.609383,80.0625,80.0625,11500,72.206784
2000-09-26,79.625,79.625,78.875,78.875,19200,71.135801
2000-09-27,79.8125,79.875,78.265617,78.265617,150900,70.586211
2000-09-28,79.1875,81.375,79.1875,81.375,29500,73.390502
2000-09-29,80.75,81,80.5,80.90625,152900,72.967745
2000-10-02,80.8125,80.8125,78.375,78.625,121000,70.910331
2000-10-03,78,78.6875,78,78.375,17700,70.684861
2000-10-04,75.75,77.625,75.75,77.625,1900,70.008451
2000-10-05,77.8125,77.8125,77.140617,77.140617,800,69.571596
2000-10-06,74.984383,74.984383,73.625,73.84375,41200,66.598216
2000-10-09,72.75,73.25,71.96875,72.96875,167300,65.809071
2000-10-10,73.359383,73.671883,71.5,71.5,28500,64.484435
2000-10-11,70.59375,71.296883,69.9375,70.609383,4100,63.681204
2000-10-12,71,71.09375,68.0625,68.34375,4200,61.637875
2000-10-13,68.03125,72,67.65625,71.6875,23500,64.653537
2000-10-16,72.15625,73.4375,71.984383,73,5500,65.837255
2000-10-17,72.96875,72.96875,70,70.328117,10300,63.427537
2000-10-18,67,69.78125,67,69.5625,3700,62.737042
2000-10-19,71.1875,72.4375,71,72.4375,12400,65.329947
2000-10-20,72.875,74.375,72.875,74.0625,11400,66.795503
2000-10-23,74.5,74.5625,74.375,74.5625,2900,67.246443
2000-10-24,74.875,75.59375,74.25,74.25,17500,66.964605
