"Index","open","high","low","close","volume","adjusted"
2001-08-27,58.830002,58.830002,58.560001,58.560001,500,46.632851
2001-08-28,58.700001,58.700001,58.700001,58.700001,1000,46.744336
2001-08-29,57.799999,57.799999,57.799999,57.799999,100,46.027641
2001-08-30,57.549999,57.549999,56.950001,56.950001,20100,45.350765
2001-08-31,56.950001,56.950001,56.950001,56.950001,0,45.350765
2001-09-04,56.950001,56.950001,56.950001,56.950001,0,45.350765
2001-09-05,56.900002,56.900002,56.580002,56.580002,1300,45.056125
2001-09-06,56.09,56.09,56.09,56.09,1500,44.665924
2001-09-07,55,55,55,55,800,43.797929
2001-09-10,55,55,55,55,0,43.797929
2001-09-17,55,55,55,55,0,43.797929
2001-09-18,52.040001,52.040001,50.799999,50.799999,2500,40.453359
2001-09-19,51.150002,51.150002,49.700001,49.700001,5100,39.577402
2001-09-20,49.700001,49.700001,49.700001,49.700001,0,39.577402
2001-09-21,47.75,47.98,47.5,47.720001,2200,38.000677
2001-09-24,49,49,49,49,1000,39.019973
2001-09-25,49,49,49,49,0,39.019973
2001-09-26,49.099998,49.099998,48.549999,48.619999,500,38.717368
2001-09-27,48.619999,48.619999,48.619999,48.619999,0,38.717368
2001-09-28,50.299999,50.299999,50.299999,50.299999,4000,40.055196
2001-10-01,49.599998,49.700001,49.599998,49.700001,700,39.729054
2001-10-02,50.099998,50.099998,50.099998,50.099998,400,40.048803
2001-10-03,51.299999,51.400002,51.299999,51.400002,1200,41.087996
2001-10-04,52.349998,52.349998,51.830002,51.830002,16900,41.431728
2001-10-05,50.75,51.490002,50.75,51.490002,5000,41.15994
2001-10-08,51.419998,51.419998,51.419998,51.419998,100,41.10398
2001-10-09,51.419998,51.419998,51.419998,51.419998,0,41.10398
2001-10-10,51.419998,51.419998,51.419998,51.419998,0,41.10398
2001-10-11,53.450001,53.650002,53.400002,53.650002,3400,42.886595
2001-10-12,53.360001,53.400002,52.299999,52.790001,13500,42.19913
2001-10-15,52.889999,52.889999,52.759998,52.759998,900,42.175146
2001-10-16,53.549999,53.560001,53.27,53.27,300,42.58283
2001-10-17,54.150002,54.150002,52.810001,52.810001,500,42.215117
2001-10-18,52.810001,52.810001,52.810001,52.810001,0,42.215117
2001-10-19,51.619999,52.119999,51.619999,52.119999,2600,41.663545
2001-10-22,52.349998,52.349998,52.349998,52.349998,1900,41.847402
2001-10-23,53.560001,53.560001,52.880001,52.880001,600,42.271074
2001-10-24,52.93,53.080002,52.93,53.080002,400,42.43095
2001-10-25,52.57,53.41,52.34,53.41,500,42.694743
2001-10-26,53.41,53.41,53.41,53.41,0,42.694743
2001-10-29,53.310001,53.310001,53.310001,53.310001,800,42.614806
2001-10-30,51.650002,51.900002,51.650002,51.900002,500,41.487684
2001-10-31,52.099998,52.099998,52.099998,52.099998,200,41.647557
2001-11-01,51.849998,52.900002,51.849998,52.75,51300,42.167154
2001-11-02,53.419998,53.419998,53.419998,53.419998,100,42.702735
2001-11-05,54.200001,54.400002,54.200001,54.400002,2400,43.486128
2001-11-06,54.18,54.5,54.18,54.5,1000,43.566064
2001-11-07,54.98,55.200001,54.98,55,3900,43.965753
2001-11-08,55.619999,55.630001,55,55,8300,43.965753
2001-11-09,54.439999,54.790001,54.439999,54.75,1200,43.765908
2001-11-12,54.02,54.720001,53.759998,54.720001,11700,43.741928
2001-11-13,55.380001,55.610001,55.380001,55.610001,800,44.453373
2001-11-14,56.049999,56.099998,55.759998,55.830002,11000,44.629237
2001-11-15,55.66,55.91,55.66,55.91,6200,44.693186
2001-11-16,55.950001,55.950001,55.59,55.93,4700,44.709174
