"Index","open","high","low","close","volume","adjusted"
2001-08-02,79.100012,79.100012,79.100012,79.100012,0,19.229984
2001-08-03,78.950008,79.199999,78.950008,79.199999,600,19.254291
2001-08-06,78.77001,78.77001,78.600002,78.600002,900,19.108426
2001-08-07,78.75,78.75,78.519991,78.540001,39900,19.093839
2001-08-08,78.800011,78.800011,78.800011,78.800011,900,19.15705
2001-08-09,77.75001,77.900007,77.75001,77.900007,2100,18.938251
2001-08-10,77.900007,77.900007,77.900007,77.900007,0,18.938251
2001-08-13,78.300001,78.300001,78.300001,78.300001,300,19.035493
2001-08-14,78.680008,78.800011,78.680008,78.800011,4200,19.15705
2001-08-15,78.99999,78.99999,78.75,78.759991,5700,19.147321
2001-08-16,78.279991,78.410007,78.279991,78.410007,2700,19.062237
2001-08-17,78.200008,78.200008,78.200008,78.200008,300,19.011184
2001-08-20,78.200008,78.200008,78.200008,78.200008,0,19.011184
2001-08-21,78.200008,78.200008,78.200008,78.200008,0,19.011184
2001-08-22,78.399988,78.399988,78.399988,78.399988,6900,19.059801
2001-08-23,78.399988,78.399988,78.399988,78.399988,0,19.059801
2001-08-24,78.449999,78.72999,78.449999,78.699989,6600,19.132734
2001-08-27,78.929998,78.929998,78.51,78.51,2700,19.086546
2001-08-28,78.26001,78.26001,77.919989,77.919989,2400,18.943108
2001-08-29,77.75001,77.75001,77.75001,77.75001,300,18.901785
2001-08-30,77.049992,77.049992,77.049992,77.049992,1500,18.731604
2001-08-31,77.049992,77.559992,77.049992,77.52,7200,18.845867
2001-09-04,77.879997,77.879997,77.879997,77.879997,300,18.933386
2001-09-05,77.319992,77.319992,77.319992,77.319992,600,18.797243
2001-09-06,76.970009,76.970009,76.190008,76.190008,3300,18.522533
2001-09-07,75.549992,75.549992,75.549992,75.549992,2400,18.366939
2001-09-10,75.02001,75.02001,75.02001,75.02001,3900,18.238095
2001-09-17,71.949989,71.949989,71.00001,71.150007,21600,17.29726
2001-09-18,70.800001,70.800001,70.800001,70.800001,1500,17.21217
2001-09-19,69,69,68.00001,68.850002,57600,16.738106
2001-09-20,67.400007,67.469999,66.99999,66.99999,11400,16.28835
2001-09-21,64.52001,65.600012,64.52001,65.580002,1500,15.943137
2001-09-24,67.400007,67.649998,67.400007,67.599993,9600,16.434217
2001-09-25,68.00001,68.22999,68.00001,68.150007,900,16.567931
2001-09-26,68.349993,68.349993,67.550011,67.550011,8700,16.422066
2001-09-27,68.360012,68.360012,68.360012,68.360012,900,16.618985
2001-09-28,69.899998,69.99999,69.899998,69.920008,21900,16.998235
2001-10-01,69.050011,69.050011,69.050011,69.050011,72000,16.875551
2001-10-02,69.800011,69.890013,69.800011,69.890013,900,17.080844
2001-10-03,69.950008,69.99999,69.950008,69.99999,30600,17.107723
2001-10-04,71.589993,71.589993,71.589993,71.589993,300,17.496313
2001-10-05,70.580011,70.580011,70.580011,70.580011,300,17.249477
2001-10-08,70.379997,70.379997,69.72999,69.72999,1200,17.041736
2001-10-09,69.72999,69.72999,69.72999,69.72999,0,17.041736
2001-10-10,70.25001,71.379988,70.25001,71.379988,1500,17.444989
2001-10-11,72.72999,72.72999,72.72999,72.72999,300,17.774924
2001-10-12,72.72999,72.72999,72.72999,72.72999,0,17.774924
2001-10-15,71.070002,71.600012,71.070002,71.600012,48600,17.498762
2001-10-16,71.600012,71.600012,71.600012,71.600012,0,17.498762
2001-10-17,71.600012,71.600012,71.600012,71.600012,0,17.498762
2001-10-18,70.74999,70.74999,70.379997,70.379997,3900,17.200595
2001-10-19,70.149988,70.149988,70.149988,70.149988,300,17.144381
2001-10-22,70.149988,70.149988,70.149988,70.149988,0,17.144381
2001-10-23,71.189999,71.699999,70.919998,71.159998,86700,17.391224
2001-10-24,70.919998,70.919998,70.430008,70.430008,600,17.212817
2001-10-25,70.350002,71.46999,70.350002,71.46999,5100,17.466985
2001-10-26,71.439989,71.439989,71.439989,71.439989,300,17.459653
2001-10-29,71.379988,71.429998,71.129997,71.129997,2700,17.383892
2001-10-30,70.779991,70.779991,69.380013,69.879988,244800,17.078394
2001-10-31,70.400007,70.400007,70.130013,70.130013,1800,17.139499
2001-11-01,70.649998,70.649998,70.649998,70.649998,1200,17.266582
2001-11-02,71.660007,71.660007,71.660007,71.660007,300,17.513424
2001-11-05,72.699989,72.699989,72.699989,72.699989,300,17.767592
2001-11-06,72.519991,72.549992,72.429989,72.549992,6300,17.730933
2001-11-07,73.350002,73.350002,73.269991,73.269991,900,17.906898
2001-11-08,73.670008,73.899988,73.599993,73.670008,6600,18.00466
2001-11-09,72.72999,72.959999,72.669989,72.959999,2400,17.831137
2001-11-12,71.570011,72.950008,71.570011,72.780001,6300,17.787146
2001-11-13,73.490009,73.620003,73.110003,73.590002,19500,17.985107
2001-11-14,74.189999,74.280001,74.00001,74.120012,9900,18.11464
2001-11-15,74.199989,74.199989,74.100002,74.199989,1200,18.134186
2001-11-16,74.100002,74.100002,73.800001,73.98,1500,18.080421
2001-11-19,74.49999,74.769991,74.129997,74.769991,24600,18.273492
2001-11-20,74.889988,74.900007,74.580002,74.850002,56400,18.293046
2001-11-21,74.300011,74.480009,74.159998,74.360012,15300,18.173295
2001-11-23,74.879997,75.179998,74.879997,75.179998,5700,18.373696
2001-11-26,75.030001,75.449999,74.900007,75.389997,3600,18.425019
2001-11-27,75,75.689999,74.900007,74.97999,12600,18.324815
2001-11-28,75.039991,75.039991,74.240009,74.240009,1800,18.143967
2001-11-29,74.360012,74.459999,74.360012,74.459999,1200,18.197731
2001-11-30,74.879997,75.21999,74.820002,75.21999,43500,18.38347
2001-12-03,74.480009,74.76,74.439989,74.75001,7200,18.268609
2001-12-04,74.829992,75.699989,74.829992,75.699989,9600,18.50078
2001-12-05,76.79001,77.399998,76.590002,77.280001,47400,18.886929
2001-12-06,76.820011,77.259991,76.820011,77.129997,10200,18.850268
2001-12-07,76.850012,76.98999,76.850012,76.889997,2100,18.791613
2001-12-10,76.689989,76.74999,76.400007,76.400007,5100,18.671862
2001-12-11,76.169998,76.169998,75.929998,75.99,13500,18.571657
2001-12-12,76.070011,76.070011,75.410007,75.860012,535800,18.539889
2001-12-13,75.629997,75.719999,75,75.039991,12000,18.339479
2001-12-14,74.52,74.919989,74.49999,74.919989,13200,18.40039
2001-12-17,75.200008,75.200008,74.900007,75.080011,6600,18.439691
2001-12-18,75.759991,75.890013,75.759991,75.890013,2400,18.638628
2001-12-19,76.04001,76.509991,76.04001,76.460009,26700,18.77862
2001-12-20,76.569992,76.569992,76.100012,76.25001,25800,18.727044
2001-12-21,76.350002,76.490009,76.139997,76.490009,13800,18.785988
2001-12-24,76.640013,76.809992,76.640013,76.809992,5700,18.864576
2001-12-26,77.070002,77.180008,77.070002,77.180008,4800,18.955452
2001-12-27,77.450008,77.610003,77.330011,77.610003,12000,19.061059
2001-12-28,77.769991,78.099993,77.769991,78.069992,60000,19.174032
2001-12-31,78,78.179998,77.660007,77.930008,15600,19.139652
