"Index","open","high","low","close","volume","adjusted"
2000-05-26,75.28125,75.28125,75.28125,75.28125,300,56.71966
2000-05-30,76.03125,77.4375,76.03125,77.4375,1700,58.344258
2000-05-31,77.6875,78.265617,77.6875,78.265617,700,58.968192
2000-06-01,78.15625,79,78.15625,78.484383,800,59.133018
2000-06-02,81.25,81.25,80.96875,80.984383,19100,61.01661
2000-06-05,80.71875,80.71875,80.5625,80.5625,500,60.698748
2000-06-06,80.375,80.75,80,80.125,4200,60.369119
2000-06-07,80.125,80.125,80.125,80.125,0,60.369119
2000-06-08,80.875,80.875,80.421883,80.453117,1000,60.616335
2000-06-09,80.75,80.796883,80.40625,80.40625,800,60.581023
2000-06-12,80.6875,80.6875,79.703117,79.75,7100,60.08658
2000-06-13,79.4375,80.53125,79.375,80.53125,8800,60.675203
2000-06-14,80.875,81.265617,80.875,80.921883,600,60.96952
2000-06-15,80.59375,81.046883,80.59375,80.890617,1400,60.945963
2000-06-16,80.75,80.75,80.75,80.75,600,60.840017
2000-06-19,79.96875,80.84375,79.96875,80.84375,1000,60.910652
2000-06-20,81.625,81.625,80.84375,81.53125,1200,61.42864
2000-06-21,80.6875,81.046883,80.6875,81.046883,2500,61.109423
2000-06-22,80.40625,80.4375,80,80,1900,60.320072
2000-06-23,78.9375,79.703117,78.9375,79.703117,300,60.096222
2000-06-26,79.953117,79.953117,79.53125,79.640617,3200,60.049097
2000-06-27,79.796883,79.796883,79.5625,79.5625,2000,59.990197
2000-06-28,79.921883,80.25,79.8125,79.8125,1300,60.178697
2000-06-29,79,79.875,79,79.28125,10500,59.778134
2000-06-30,79.53125,79.53125,78.96875,78.96875,800,59.542509
2000-07-03,78.96875,78.96875,78.96875,78.96875,0,59.542509
2000-07-05,80.078117,80.09375,79.953117,79.953117,900,60.284723
2000-07-06,79.140617,79.796883,79.140617,79.796883,3000,60.166921
2000-07-07,80.3125,81.25,80.3125,81.1875,4700,61.215448
2000-07-10,81.265617,81.265617,81,81,200,61.074073
2000-07-11,80.8125,81.171883,80.796883,81.171883,1500,61.203673
2000-07-12,81.875,81.9375,81.78125,81.921883,1300,61.769173
2000-07-13,82.4375,82.59375,82.046883,82.046883,3300,61.863424
2000-07-14,82.75,82.9375,82.546883,82.9375,1400,62.53495
2000-07-17,83.21875,83.515617,83.03125,83.453117,2900,62.923726
2000-07-18,82.75,82.75,82,82.40625,5200,62.134387
2000-07-19,81.359383,81.609383,81.359383,81.375,62100,61.356823
2000-07-20,82.34375,82.6875,82.15625,82.6875,73300,62.34645
2000-07-21,82.171883,82.171883,81.453117,81.53125,6700,61.474636
2000-07-24,81.5625,81.640617,80.53125,80.53125,1900,60.720635
2000-07-25,80.84375,80.84375,80.234383,80.5,3000,60.697073
2000-07-26,80.203117,80.203117,79.53125,79.921883,7100,60.261172
2000-07-27,79.6875,79.703117,79.21875,79.21875,2100,59.731009
2000-07-28,79.25,79.5,77.625,77.984383,14800,58.800295
2000-07-31,78.09375,78.375,77.625,78.375,5900,59.094821
2000-08-01,78.5625,78.640617,78.5625,78.640617,500,59.295096
2000-08-02,78.875,79.21875,78.875,79.109383,5200,59.648546
2000-08-03,77.6875,79.0625,77.6875,79.0625,3000,59.613196
2000-08-04,79.546883,79.796883,79.546883,79.578117,2500,60.001972
2000-08-07,79.8125,80.984383,79.8125,80.828117,2900,60.944473
2000-08-08,80.859383,80.859383,80.78125,80.78125,300,60.909135
2000-08-09,80.90625,81.0625,80.46875,80.46875,2500,60.67351
2000-08-10,80,80.03125,79.984383,80.03125,600,60.343635
2000-08-11,79.625,80.65625,79.5625,80.65625,2300,60.814885
2000-08-14,80.84375,81.53125,80.78125,81.53125,23800,61.474636
2000-08-15,81.46875,81.46875,81.21875,81.25,24100,61.262573
2000-08-16,81.75,81.75,80.96875,80.96875,98400,61.050511
2000-08-17,81.1875,82,81.1875,81.875,11200,61.733824
2000-08-18,82.203117,82.203117,81.796883,82.015617,1300,61.839849
2000-08-21,82.25,82.421883,82.125,82.125,1400,61.922324
2000-08-22,82.40625,82.5625,82.375,82.375,8100,62.110824
2000-08-23,82.1875,82.1875,82.1875,82.1875,900,61.969449
2000-08-24,82.671883,83.15625,82.671883,83.15625,3300,62.699888
2000-08-25,83.234383,83.234383,82.96875,83.015617,2900,62.59385
2000-08-28,83.875,83.890617,83.78125,83.796883,7400,63.182925
2000-08-29,83.3125,83.375,83.25,83.375,11900,62.864825
2000-08-30,83.25,83.25,83,83.09375,8500,62.652762
2000-08-31,83.53125,84.234383,83.53125,84.171883,2500,63.465675
2000-09-01,84.625,84.6875,84.125,84.28125,9200,63.548139
2000-09-05,84.03125,84.03125,83.375,83.640617,7200,63.065101
2000-09-06,83.5,83.609383,83.125,83.15625,4900,62.699888
