"Index","open","high","low","close","volume","adjusted"
2009-09-28,25.01,25.01,24.99,24.99,1400,21.129302
2009-09-29,25.139999,25.139999,24.969999,24.969999,10000,21.112392
2009-09-30,24.969999,24.969999,24.969999,24.969999,0,21.112392
2009-10-01,24.57,24.58,24.57,24.58,2200,20.782643
2009-10-02,23.98,23.98,23.969999,23.969999,1000,20.266881
2009-10-05,23.969999,23.969999,23.969999,23.969999,0,20.266881
2009-10-06,24.940001,24.940001,24.700001,24.700001,3500,20.884105
2009-10-07,24.700001,24.700001,24.700001,24.700001,0,20.884105
2009-10-08,24.700001,24.700001,24.700001,24.700001,0,20.884105
2009-10-09,24.700001,24.700001,24.700001,24.700001,0,20.884105
2009-10-12,25.34,25.34,25.34,25.34,8000,21.425231
2009-10-13,25.34,25.34,25.34,25.34,0,21.425231
2009-10-14,25.549999,25.65,25.540001,25.65,3900,21.687339
2009-10-15,25.67,25.67,25.67,25.67,200,21.70425
2009-10-16,25.6,25.65,25.540001,25.65,31400,21.687339
2009-10-19,25.559999,25.629999,25.559999,25.629999,400,21.670428
2009-10-20,25.629999,25.629999,25.629999,25.629999,0,21.670428
2009-10-21,25.700001,25.700001,25.34,25.35,57400,21.433687
2009-10-22,25.35,25.35,25.35,25.35,0,21.433687
2009-10-23,25.42,25.42,25.309999,25.309999,1200,21.399865
2009-10-26,25.24,25.24,24.950001,24.950001,9400,21.095483
2009-10-27,24.91,24.950001,24.870001,24.889999,7000,21.044751
2009-10-28,24.690001,24.690001,24.59,24.59,9000,20.791099
2009-10-29,24.950001,24.950001,24.950001,24.950001,200,21.095483
2009-10-30,24.780001,24.82,24.75,24.82,7100,20.985565
2009-11-02,24.09,24.09,24.09,24.09,100,20.368343
2009-11-03,24.09,24.09,24.09,24.09,0,20.368343
2009-11-04,24.629999,24.700001,24.629999,24.700001,4100,20.884105
2009-11-05,24.700001,24.700001,24.700001,24.700001,0,20.884105
2009-11-06,24.870001,24.870001,24.870001,24.870001,2000,21.027842
2009-11-09,25.290001,25.290001,25.290001,25.290001,1000,21.382956
2009-11-10,25.5,25.52,25.459999,25.52,1900,21.577423
2009-11-11,25.52,25.52,25.52,25.52,0,21.577423
2009-11-12,25.52,25.52,25.52,25.52,0,21.577423
2009-11-13,25.360001,25.360001,25.35,25.35,7100,21.433687
2009-11-16,25.35,25.35,25.35,25.35,0,21.433687
2009-11-17,25.73,25.73,25.73,25.73,1500,21.75498
2009-11-18,25.73,25.73,25.73,25.73,0,21.75498
2009-11-19,25.52,25.559999,25.52,25.559999,200,21.611243
2009-11-20,25.389999,25.389999,25.389999,25.389999,200,21.467506
2009-11-23,25.790001,25.790001,25.790001,25.790001,1000,21.805712
2009-11-24,25.610001,25.610001,25.610001,25.610001,1000,21.653519
2009-11-25,25.610001,25.610001,25.610001,25.610001,0,21.653519
2009-11-27,25.610001,25.610001,25.610001,25.610001,0,21.653519
2009-11-30,25.469999,25.49,25.43,25.440001,13000,21.509783
2009-12-01,25.85,25.889999,25.85,25.889999,600,21.890261
2009-12-02,25.889999,25.889999,25.889999,25.889999,0,21.890261
2009-12-03,25.84,25.84,25.610001,25.610001,1900,21.653519
2009-12-04,25.940001,26.030001,25.629999,25.66,1300,21.695794
2009-12-07,25.85,25.85,25.639999,25.690001,3500,21.72116
2009-12-08,25.530001,25.530001,25.42,25.42,1000,21.492872
2009-12-09,25.42,25.42,25.42,25.42,0,21.492872
2009-12-10,25.42,25.42,25.42,25.42,0,21.492872
2009-12-11,25.73,25.73,25.73,25.73,200,21.75498
2009-12-14,25.73,25.73,25.73,25.73,0,21.75498
2009-12-15,25.780001,25.780001,25.65,25.68,11600,21.712705
2009-12-16,25.809999,25.879999,25.809999,25.879999,6100,21.881806
2009-12-17,25.879999,25.879999,25.879999,25.879999,0,21.881806
2009-12-18,25.610001,25.610001,25.370001,25.370001,600,21.450597
2009-12-21,25.84,25.84,25.84,25.84,100,21.847986
2009-12-22,25.879999,25.91,25.879999,25.889999,19000,21.890261
2009-12-23,25.700001,25.700001,25.67,25.68,6200,21.834994
2009-12-24,25.77,25.77,25.77,25.77,400,21.911519
2009-12-28,25.75,25.75,25.75,25.75,600,21.894513
2009-12-29,25.870001,25.870001,25.77,25.77,3200,21.911519
2009-12-30,25.690001,25.75,25.690001,25.75,5600,21.894513
2009-12-31,25.76,25.76,25.76,25.76,1400,21.903016
2010-01-04,25.76,25.76,25.76,25.76,0,21.903016
2010-01-05,26.129999,26.129999,26.129999,26.129999,400,22.217616
2010-01-06,26.129999,26.129999,26.129999,26.129999,0,22.217616
2010-01-07,26.549999,26.549999,26.549999,26.549999,1500,22.57473
2010-01-08,26.43,26.440001,26.370001,26.42,1900,22.464196
2010-01-11,26.6,26.620001,26.59,26.620001,500,22.634251
2010-01-12,26.4,26.41,26.4,26.41,600,22.455693
2010-01-13,26.41,26.41,26.41,26.41,0,22.455693
2010-01-14,26.41,26.41,26.41,26.41,0,22.455693
2010-01-15,26.41,26.41,26.41,26.41,0,22.455693
2010-01-19,26.23,26.57,26.219999,26.57,47900,22.591736
2010-01-20,26.360001,26.370001,26.15,26.33,2000,22.387671
2010-01-21,26.370001,26.370001,25.690001,25.690001,1000,21.843497
2010-01-22,25.690001,25.690001,25.690001,25.690001,0,21.843497
2010-01-25,25.43,25.440001,25.209999,25.299999,57200,21.51189
2010-01-26,25.35,25.35,25.35,25.35,400,21.554405
2010-01-27,25.09,25.09,24.99,25.08,1000,21.324831
