"Index","open","high","low","close","volume","adjusted"
2009-09-28,24.98,25.049999,24.98,24.98,800,22.328168
2009-09-29,24.98,24.98,24.98,24.98,0,22.328168
2009-09-30,24.65,24.65,24.65,24.65,1000,22.0332
2009-10-01,24.690001,24.690001,24.66,24.67,22000,22.051077
2009-10-02,24.33,24.33,24.32,24.32,2200,21.738232
2009-10-05,24.32,24.32,24.32,24.32,0,21.738232
2009-10-06,24.32,24.32,24.32,24.32,0,21.738232
2009-10-07,24.889999,24.959999,24.889999,24.959999,600,22.310291
2009-10-08,24.959999,24.959999,24.959999,24.959999,0,22.310291
2009-10-09,24.959999,24.959999,24.959999,24.959999,0,22.310291
2009-10-12,25.379999,25.379999,25.379999,25.379999,300,22.685704
2009-10-13,25.379999,25.379999,25.379999,25.379999,0,22.685704
2009-10-14,25.51,25.639999,25.459999,25.639999,13900,22.918103
2009-10-15,25.6,25.639999,25.59,25.639999,1500,22.918103
2009-10-16,25.610001,25.67,25.52,25.67,14700,22.944919
2009-10-19,25.870001,25.879999,25.860001,25.870001,2900,23.123688
2009-10-20,25.809999,25.809999,25.65,25.73,1700,22.998549
2009-10-21,25.76,25.870001,25.52,25.530001,53500,22.819782
2009-10-22,25.58,25.58,25.58,25.58,100,22.864473
2009-10-23,25.690001,25.690001,25.5,25.620001,36700,22.900228
2009-10-26,25.719999,25.719999,25.48,25.48,7500,22.775089
2009-10-27,25.440001,25.440001,25.280001,25.309999,600,22.623136
2009-10-28,25.25,25.25,25,25,4100,22.346045
2009-10-29,25.120001,25.360001,25.110001,25.360001,2100,22.667829
2009-10-30,25.309999,25.35,24.790001,24.790001,13600,22.158339
2009-11-02,24.9,25.07,24.9,24.93,9600,22.283476
2009-11-03,24.969999,24.969999,24.889999,24.950001,1300,22.301354
2009-11-04,25.280001,25.35,24.530001,25.1,6400,22.43543
2009-11-05,25.309999,25.559999,25.309999,25.559999,2000,22.846596
2009-11-06,25.639999,25.639999,25.639999,25.639999,100,22.918103
2009-11-09,25.969999,26.059999,25.969999,26.059999,3500,23.293517
2009-11-10,26.16,26.209999,26.16,26.209999,800,23.427593
2009-11-11,26.370001,26.42,26.32,26.34,2200,23.543793
2009-11-12,26.25,26.280001,26.18,26.18,900,23.400779
2009-11-13,26.23,26.389999,26.219999,26.219999,2500,23.436531
2009-11-16,26.559999,26.559999,26.559999,26.559999,100,23.740438
2009-11-17,26.610001,26.719999,26.610001,26.719999,900,23.883452
2009-11-18,26.6,26.629999,26.6,26.629999,1800,23.803006
2009-11-19,26.35,26.440001,26.35,26.440001,1200,23.633178
2009-11-20,26.360001,26.379999,26.360001,26.379999,3300,23.579546
2009-11-23,26.76,26.76,26.719999,26.719999,1400,23.883452
2009-11-24,26.719999,26.719999,26.719999,26.719999,0,23.883452
2009-11-25,26.74,26.82,26.74,26.809999,2100,23.963898
2009-11-27,26.42,26.42,26.42,26.42,100,23.615301
2009-11-30,26.559999,26.559999,26.41,26.41,23500,23.606362
2009-12-01,26.709999,26.879999,26.709999,26.860001,10400,24.008591
2009-12-02,26.93,26.93,26.93,26.93,200,24.07116
2009-12-03,26.860001,26.889999,26.629999,26.629999,3100,23.803006
2009-12-04,26.639999,26.73,26.639999,26.73,400,23.892391
2009-12-07,26.73,26.73,26.73,26.73,0,23.892391
2009-12-08,26.5,26.5,26.33,26.33,23700,23.534855
2009-12-09,26.370001,26.370001,26.370001,26.370001,100,23.570609
2009-12-10,26.700001,26.700001,26.700001,26.700001,500,23.865577
2009-12-11,26.83,26.83,26.83,26.83,300,23.981776
2009-12-14,26.889999,26.889999,26.799999,26.889999,2200,24.035406
2009-12-15,26.790001,26.790001,26.75,26.75,6300,23.910268
2009-12-16,26.91,26.91,26.73,26.73,1400,23.892391
2009-12-17,26.73,26.73,26.73,26.73,0,23.892391
2009-12-18,26.59,26.59,26.43,26.43,1400,23.624239
2009-12-21,26.84,26.870001,26.84,26.860001,700,24.008591
2009-12-22,26.969999,26.99,26.959999,26.969999,16500,24.106913
