"Index","open","high","low","close","volume","adjusted"
2000-06-16,68.75,68.75,67.828117,67.9375,3500,51.587393
2000-06-19,67.875,69.375,67.6875,69.125,10200,52.489105
2000-06-20,69.25,69.25,68.75,69,4800,52.394188
2000-06-21,69.125,69.40625,68.75,69.1875,10700,52.536563
2000-06-22,69,69,68.125,68.125,3300,51.729769
2000-06-23,67.75,67.75,67.125,67.234383,4900,51.053491
2000-06-26,67.40625,67.703117,67.40625,67.703117,200,51.409418
2000-06-27,68.1875,68.1875,67.71875,67.8125,10800,51.492476
2000-06-28,67.6875,68.03125,67.6875,67.984383,2000,51.622993
2000-06-29,67,67.65625,67,67.34375,3200,51.136537
2000-06-30,67.265617,67.265617,67.265617,67.265617,700,51.077208
2000-07-03,68.125,68.203117,68.125,68.203117,1200,51.789086
2000-07-05,68.09375,68.09375,67.46875,67.46875,900,51.231454
2000-07-06,67.6875,67.90625,67.578117,67.90625,1300,51.563664
2000-07-07,68.4375,69.328117,68.4375,69.328117,2100,52.643339
2000-07-10,69.125,69.515617,69.125,69.515617,1700,52.785715
2000-07-11,69,69.640617,69,69.421883,1800,52.714538
2000-07-12,69.65625,70.109383,69.640617,70.03125,2100,53.177253
2000-07-13,70.1875,70.421883,70,70.359383,104000,53.426416
2000-07-14,70.6875,70.8125,70.265617,70.8125,3600,53.770484
2000-07-17,71,71.375,71,71,9700,53.91286
2000-07-18,70.625,70.625,70.15625,70.15625,600,53.27217
2000-07-19,69.796883,69.90625,69.546883,69.546883,400,52.850888
2000-07-20,70.015617,70.25,70.015617,70.109383,4800,53.27835
2000-07-21,69.625,69.625,69.390617,69.5,34300,52.81526
2000-07-24,68.6875,68.8125,68.4375,68.53125,102300,52.079076
2000-07-25,68.875,68.875,68.21875,68.59375,8400,52.126572
2000-07-26,67.953117,68.1875,67.9375,68.1875,1100,51.81785
2000-07-27,67.625,67.625,67.453117,67.625,2000,51.390388
2000-07-28,67.40625,67.40625,65.890617,65.890617,9600,50.072376
2000-07-31,66.3125,66.78125,66.296883,66.71875,900,50.7017
2000-08-01,66.703117,66.703117,66.703117,66.703117,200,50.68982
2000-08-02,67.1875,67.484383,67.1875,67.234383,500,51.093546
2000-08-03,66.234383,67.140617,66.234383,66.953117,6200,50.879803
2000-08-04,67.78125,68.078117,67.78125,67.890617,600,51.592239
2000-08-07,68.203117,68.84375,68.203117,68.84375,3000,52.316555
2000-08-08,68.71875,69.109383,68.71875,69.109383,800,52.518418
2000-08-09,69.15625,69.15625,69.15625,69.15625,100,52.554034
2000-08-10,68.625,68.625,68.140617,68.140617,700,51.782222
2000-08-11,68.46875,68.5,68.421883,68.5,1000,52.055328
2000-08-14,68.75,69.3125,68.75,69.296883,1700,52.660905
2000-08-15,69.296883,69.375,69.125,69.375,1000,52.720269
2000-08-16,69.28125,69.5,69.015617,69.015617,61000,52.447163
2000-08-17,69.671883,69.90625,69.484383,69.90625,29100,53.123983
2000-08-18,69.953117,69.953117,69.546883,69.625,1700,52.910252
2000-08-21,69.90625,70.1875,69.828117,69.828117,10000,53.064607
2000-08-22,70.1875,70.34375,70.1875,70.34375,7400,53.456453
2000-08-23,69.765617,70.46875,69.65625,70.421883,5000,53.515828
2000-08-24,70.5,70.640617,70.3125,70.640617,5100,53.682052
2000-08-25,70.671883,70.84375,70.4375,70.46875,1200,53.551444
2000-08-28,71.296883,71.3125,70.9375,70.96875,32000,53.93141
2000-08-29,70.828117,71,70.640617,70.890617,4900,53.872035
2000-08-30,70.734383,70.828117,70.453117,70.828117,2900,53.824539
2000-08-31,71.015617,71.5,71.015617,71.4375,34100,54.287628
2000-09-01,71.875,71.96875,71.640617,71.6875,14300,54.477611
2000-09-05,71.5,71.53125,70.953117,71.1875,8000,54.097645
2000-09-06,70.828117,70.828117,70.8125,70.8125,3000,53.812671
2000-09-07,70.8125,70.8125,70.78125,70.78125,59100,53.788923
2000-09-08,70.625,70.625,70.234383,70.40625,1000,53.503948
2000-09-11,70.28125,70.8125,70,70.140617,17800,53.302086
2000-09-12,70.34375,70.453117,70.125,70.125,5600,53.290218
2000-09-13,69.484383,70.03125,69.484383,69.953117,6700,53.159599
2000-09-14,70.5,70.5,69.84375,69.84375,1300,53.076487
2000-09-15,69.546883,69.71875,69,69,4500,52.435294
2000-09-18,68.875,69.125,68,68,4600,51.675363
2000-09-19,68.125,68.546883,68.125,68.546883,5100,52.090956
2000-09-20,68.75,68.75,67.5,68.53125,4500,52.079076
2000-09-21,68.40625,68.40625,68.015617,68.375,2700,51.960337
2000-09-22,67,68.53125,66.9375,68.53125,9400,52.079076
2000-09-25,68.875,68.9375,68.296883,68.296883,6900,51.900973
2000-09-26,68.390617,68.53125,67.5,67.65625,5900,51.414136
2000-09-27,67.875,67.875,67.5625,67.5625,5700,51.342892
2000-09-28,67.609383,69.140617,67.609383,69.140617,6300,52.542154
2000-09-29,68.875,68.875,68.75,68.75,1600,52.245311
2000-10-02,67.859383,68.390617,67.859383,67.9375,7300,51.627867
2000-10-03,67.125,67.125,67,67,1400,50.915431
2000-10-04,67.046883,67.1875,67.046883,67.1875,300,51.057918
2000-10-05,67.375,67.9375,67.375,67.484383,3000,51.283529
2000-10-06,66.3125,66.515617,65.40625,66.03125,9800,50.179247
2000-10-09,66,66.140617,65.171883,65.8125,6600,50.013012
2000-10-10,65.78125,66.09375,65.015617,65.015617,5100,49.407435
2000-10-11,64.296883,64.640617,63.546879,64.171883,10400,48.766254
2000-10-12,64.078117,64.078117,62,62.0625,14300,47.163268
2000-10-13,62.15625,64.40625,62.15625,64.40625,5400,48.944358
2000-10-16,64.375,64.875,64.3125,64.75,12700,49.205584
2000-10-17,64.9375,64.9375,63.375,63.375,5500,48.160678
2000-10-18,61.5,63.5,61.25,62.9375,15600,47.887146
2000-10-19,64,65.046883,63.875,65.046883,8900,49.492108
2000-10-20,65.125,66.171883,65.125,65.8125,15900,50.074642
2000-10-23,65.6875,66.171883,65.5,65.75,4500,50.027088
2000-10-24,66.375,66.578117,65.40625,65.40625,4300,49.765539
2000-10-25,64.375,65.4375,63.875,64.0625,19300,48.743122
2000-10-26,63.328121,64.265617,62.875,64.265617,59200,48.897668
2000-10-27,64.25,64.6875,64.25,64.625,4900,49.171111
2000-10-30,65.046883,65.75,64.8125,65.484383,9700,49.824988
2000-10-31,65.71875,67.15625,65.5,67.15625,15400,51.097059
2000-11-01,66.75,66.875,66.53125,66.53125,3100,50.621516
2000-11-02,67.1875,67.46875,66.96875,67.09375,12300,51.049504
2000-11-03,67.3125,67.46875,67.15625,67.21875,4600,51.144613
2000-11-06,67.25,67.78125,67.25,67.625,16500,51.453715
2000-11-07,67.5,67.640617,67,67.59375,4600,51.429938
2000-11-08,66.96875,66.96875,66.3125,66.3125,10500,50.455076
2000-11-09,65.25,65.84375,65.09375,65.5,2900,49.83687
2000-11-10,64.84375,65.0625,64,64,10000,48.695568
2000-11-13,63,63.75,61.84375,63.59375,20900,48.386465
2000-11-14,64.0625,65.09375,64.0625,64.8125,4100,49.313774
2000-11-15,64.6875,65.46875,64.6875,65.03125,5500,49.480213
