"Index","open","high","low","close","volume","adjusted"
2015-09-30,24.84,24.84,24.780001,24.83,40000,24.587935
2015-10-01,24.84,24.84,24.84,24.84,40000,24.597838
2015-10-02,25.139999,25.139999,25.139999,25.139999,40000,24.894913
2015-10-05,25.68,25.68,25.68,25.68,20600,25.429649
2015-10-06,25.607,25.646999,25.528,25.58,24600,25.330624
2015-10-07,25.778999,25.799999,25.709999,25.799999,32100,25.548478
2015-10-08,25.75,26.07,25.75,26.040001,23300,25.78614
2015-10-09,26.011999,26.049999,26.011999,26.049999,40500,25.796041
2015-10-12,26.09,26.09,26.09,26.09,20000,25.835652
2015-10-13,26.046,26.129999,25.950001,26.08,24000,25.825749
2015-10-14,25.820999,25.84,25.780001,25.780001,21200,25.528675
2015-10-15,25.896,26.110001,25.870001,26.099001,23100,25.844565
2015-10-16,26.166,26.17,26.106001,26.17,21200,25.914872
2015-10-19,26.450001,26.450001,25.9,26.18,24800,25.924775
2015-10-20,26.24,26.24,26.24,26.24,20000,25.984189
2015-10-21,26.57,26.57,26.09,26.108999,38700,25.854466
2015-10-22,26.327,26.41,26.299,26.41,22200,26.152532
2015-10-23,26.82,26.82,26.59,26.68,28700,26.4199
2015-10-26,26.77,26.77,26.566999,26.620001,36800,26.360486
2015-10-27,26.450001,26.52,26.42,26.52,25000,26.26146
2015-10-28,26.65,26.799999,26.558001,26.798,28500,26.53675
2015-10-29,26.790001,26.826,26.76,26.816,21300,26.554574
2015-10-30,27.07,27.07,26.77,26.77,24900,26.509023
2015-11-02,26.91,27.030001,26.799999,27.030001,23200,26.766489
2015-11-03,27.01,27.129999,26.986,27.1,25500,26.835806
2015-11-04,27.056999,27.056999,26.940001,26.969999,32700,26.707072
2015-11-05,27.129999,27.129999,26.83,26.98,27500,26.716975
2015-11-06,26.858999,26.92,26.855,26.92,23200,26.65756
2015-11-09,26.73,26.73,26.73,26.73,16200,26.469412
2015-11-10,26.659,26.77,26.620001,26.767,4600,26.506052
2015-11-11,26.67,26.718,26.65,26.65,4600,26.390192
2015-11-12,26.530001,26.530001,26.379999,26.407,2800,26.149561
2015-11-13,26.190001,26.200001,26,26.01,20500,25.756432
2015-11-16,26.059999,26.33,26.059999,26.33,11300,26.073312
2015-11-17,26.461,26.5,26.370001,26.370001,4800,26.112923
2015-11-18,26.65,26.65,26.413,26.530001,4700,26.271363
2015-11-19,26.74,26.74,26.719999,26.719999,200,26.459509
