"Index","open","high","low","close","volume","adjusted"
2015-09-29,24.27,24.27,24.219999,24.219999,200,24.007915
2015-09-30,24.6,25.74,24.6,24.65,20200,24.43415
2015-10-01,24.700001,24.700001,24.700001,24.700001,20000,24.483713
2015-10-02,24.85,24.85,24.85,24.85,20000,24.632399
2015-10-05,25.52,25.52,25.52,25.52,20000,25.296533
2015-10-06,25.440001,25.440001,25.360001,25.360001,20100,25.137934
2015-10-07,25.59,25.59,25.59,25.59,20100,25.365919
2015-10-08,25.690001,25.92,25.639999,25.92,21300,25.69303
2015-10-09,25.9,25.9,25.9,25.9,20000,25.673204
2015-10-12,25.940001,25.940001,25.940001,25.940001,20000,25.712855
2015-10-13,25.950001,25.950001,25.75,25.75,20300,25.524518
2015-10-14,25.58,25.58,25.58,25.58,20000,25.356007
2015-10-15,25.799999,25.799999,25.799999,25.799999,20000,25.57408
2015-10-16,25.85,25.860001,25.85,25.860001,20700,25.633555
2015-10-19,26.139999,26.139999,25.84,25.85,20500,25.623643
2015-10-20,25.690001,25.969999,25.690001,25.969999,20200,25.742591
2015-10-21,25.690001,25.809999,25.690001,25.809999,20200,25.583992
2015-10-22,25.92,26.044001,25.889999,26.044001,20300,25.815944
2015-10-23,26.07,26.07,26.049999,26.07,20200,25.841716
2015-10-26,25.974001,26.030001,25.974001,26.030001,20700,25.802067
2015-10-27,26.25,26.25,25.780001,25.85,21000,25.623643
2015-10-28,26.129999,26.24,26.129999,26.24,20400,26.010227
2015-10-29,26.33,27.1,26.1,26.129999,24000,25.90119
2015-10-30,26.209999,26.219999,26.209999,26.219999,20800,25.990402
2015-11-02,27.540001,27.540001,26.309999,26.540001,28300,26.307601
2015-11-03,26.530001,26.530001,26.493999,26.493999,21100,26.262003
2015-11-04,26.52,26.52,26.440001,26.440001,28900,26.208477
2015-11-05,26.493,26.493,26.290001,26.440001,22800,26.208477
2015-11-06,26.35,26.4,26.33,26.4,25900,26.168826
2015-11-09,26.059999,26.34,26.059999,26.219999,17900,25.990402
2015-11-10,26.02,26.24,26.02,26.24,1000,26.010227
2015-11-11,26.200001,26.200001,26.139999,26.139999,800,25.911102
2015-11-12,26.049999,26.049999,25.864,25.864,2500,25.63752
2015-11-13,25.506001,25.59,25.506001,25.59,2800,25.365919
2015-11-16,25.450001,25.709999,25.450001,25.68,14500,25.455131
2015-11-17,25.9,25.9,25.690001,25.716,5600,25.490815
2015-11-18,25.809999,25.870001,25.809999,25.870001,1400,25.643468
2015-11-19,26.093,26.093,26.068001,26.068001,4200,25.839734
2015-11-20,26.223,26.223,26.166,26.183001,6400,25.953727
2015-11-23,26.27,26.32,26.219999,26.24,700,26.010227
2015-11-24,26.142,26.23,26.142,26.23,500,26.000315
2015-11-25,26.339001,26.389999,26.339001,26.365999,1800,26.135123
2015-11-27,26.43,26.43,26.43,26.43,700,26.198564
2015-11-30,26.459999,26.459999,26.363001,26.370001,2700,26.13909
2015-12-01,26.5,26.559999,26.42,26.559999,7400,26.327425
2015-12-02,26.370001,26.370001,26.364,26.364,1100,26.133142
2015-12-03,26.25,26.25,25.813,25.813,8300,25.586966
2015-12-04,26.059999,26.27,26.056,26.27,1700,26.039965
