"Index","open","high","low","close","volume","adjusted"
2004-07-13,59.34,59.34,59.25,59.330002,9300,46.731162
2004-07-14,59.509998,59.509998,59.259998,59.259998,24200,46.676024
2004-07-15,59.099998,59.220001,59.060001,59.060001,17700,46.518497
2004-07-16,59.34,59.34,58.84,58.889999,11700,46.384595
2004-07-19,58.970001,58.970001,58.639999,58.860001,3000,46.360967
2004-07-20,58.73,59.049999,58.73,59,1300,46.471237
2004-07-21,59.34,59.34,58.82,58.82,4300,46.32946
2004-07-22,58.060001,58.25,58.060001,58.25,2200,45.880501
2004-07-23,58.25,58.25,57.75,57.91,10100,45.6127
2004-07-26,57.630001,57.639999,57.439999,57.639999,12600,45.400035
2004-07-27,57.830002,58.299999,57.830002,58.299999,3700,45.919883
2004-07-28,58.099998,58.360001,57.779999,58.360001,900,45.967143
2004-07-29,58.349998,58.419998,58.279999,58.360001,22200,45.967143
2004-07-30,58.32,58.32,58.130001,58.25,1600,45.880501
2004-08-02,58.43,58.639999,58.43,58.639999,2100,46.187683
2004-08-03,58.630001,58.630001,58.630001,58.630001,9400,46.179808
2004-08-04,58.119999,58.119999,58.080002,58.080002,900,45.746602
2004-08-05,57.790001,57.84,57.790001,57.84,6100,45.557565
2004-08-06,56.950001,57,56.669998,56.669998,1600,44.636015
2004-08-09,56.59,56.82,56.540001,56.779999,2100,44.722657
2004-08-10,56.849998,57.049999,56.849998,57.049999,5600,44.935322
2004-08-11,57.049999,57.23,57.049999,57.23,16500,45.077099
2004-08-12,57.099998,57.099998,56.700001,56.709999,1300,44.667522
2004-08-13,56.66,56.66,56.66,56.66,1300,44.62814
2004-08-16,57.419998,57.5,57.419998,57.5,2500,45.289765
2004-08-17,57.900002,57.950001,57.68,57.68,2100,45.431542
2004-08-18,57.599998,58.349998,57.599998,58.349998,700,45.959264
2004-08-19,58.150002,58.299999,58.049999,58.049999,3400,45.722971
2004-08-20,58.34,58.439999,58.23,58.439999,2200,46.030153
2004-08-23,58.700001,58.700001,58.549999,58.549999,3200,46.116795
2004-08-24,58.689999,58.700001,58.549999,58.57,3700,46.132548
2004-08-25,58.549999,58.900002,58.549999,58.900002,4100,46.392473
2004-08-26,59.040001,59.049999,59,59.049999,3800,46.510619
2004-08-27,59,59.150002,59,59.150002,500,46.589385
2004-08-30,58.990002,58.990002,58.75,58.75,2100,46.274325
2004-08-31,58.77,58.77,58.580002,58.650002,3400,46.195561
2004-09-01,59.150002,59.150002,58.950001,59.099998,19200,46.55
2004-09-02,59.169998,59.189999,59.169998,59.189999,1100,46.620889
2004-09-03,59.700001,59.75,59.59,59.619999,19300,46.959578
2004-09-07,59.849998,60.07,59.849998,59.91,17900,47.187996
2004-09-08,59.939999,59.939999,59.779999,59.810001,7200,47.109233
2004-09-09,59.75,59.860001,59.650002,59.709999,3800,47.030466
2004-09-10,59.700001,59.959999,59.700001,59.950001,44100,47.219503
2004-09-13,60.209999,60.299999,60.029999,60.040001,2600,47.290392
2004-09-14,60.029999,60.279999,60.029999,60.189999,3600,47.408537
2004-09-15,59.990002,60.09,59.869999,59.98,2900,47.243132
2004-09-16,60.200001,60.220001,60.200001,60.220001,400,47.432168
2004-09-17,60.630001,60.630001,60.419998,60.419998,1400,47.589696
2004-09-20,60.09,60.09,60.02,60.09,1200,47.329773
2004-09-21,60.060001,60.360001,60.060001,60.360001,1000,47.542439
2004-09-22,59.75,59.75,59.490002,59.549999,1000,46.904443
2004-09-23,59.549999,59.549999,59.240002,59.299999,3200,46.707531
2004-09-24,59.490002,59.490002,59.48,59.48,1300,46.849308
2004-09-27,58.900002,59.07,58.900002,58.900002,2500,46.534081
2004-09-28,58.950001,59.349998,58.950001,59.349998,1800,46.889602
2004-09-29,59.150002,59.400002,59.150002,59.400002,2700,46.929108
2004-09-30,59.5,59.639999,59.5,59.580002,1000,47.071317
2004-10-01,60.200001,60.369999,60.200001,60.32,3900,47.655954
2004-10-04,60.77,60.77,60.57,60.57,24900,47.853467
2004-10-05,60.580002,60.599998,60.400002,60.400002,3800,47.71916
2004-10-06,60.380001,60.580002,60.380001,60.549999,700,47.837666
2004-10-07,60.599998,60.599998,60.310001,60.32,6700,47.655954
2004-10-08,60.299999,60.389999,59.669998,59.669998,7100,47.142419
2004-10-11,59.990002,59.990002,59.98,59.98,2000,47.387336
2004-10-12,59.75,60.080002,59.599998,59.98,1900,47.387336
2004-10-13,59.860001,59.860001,59.34,59.450001,2800,46.96861
2004-10-14,59.299999,59.299999,58.779999,58.779999,3000,46.439273
2004-10-15,58.849998,59.240002,58.77,58.950001,4400,46.573583
2004-10-18,58.93,59.27,58.779999,59.27,1800,46.8264
2004-10-19,59.439999,59.439999,58.860001,58.860001,3400,46.502479
2004-10-20,58.759998,58.759998,58.490002,58.540001,4100,46.249662
2004-10-21,58.59,58.790001,58.400002,58.790001,3400,46.447175
2004-10-22,58.860001,58.860001,58.32,58.400002,2600,46.139055
2004-10-25,58.25,58.389999,58.110001,58.290001,2900,46.052149
2004-10-26,58.599998,59.25,58.599998,59.25,2700,46.810598
2004-10-27,59.32,60.099998,59.279999,60.07,5700,47.458441
2004-10-28,59.869999,60.139999,59.869999,60.130001,1800,47.505845
2004-10-29,60.080002,60.099998,59.990002,60.029999,2500,47.426838
2004-11-01,60.27,60.419998,60.27,60.380001,1800,47.703358
2004-11-02,60.450001,60.900002,60.310001,60.43,14300,47.74286
2004-11-03,61.240002,61.240002,60.740002,60.889999,7500,48.106284
2004-11-04,60.93,61.959999,60.93,61.959999,4300,48.951639
2004-11-05,62.200001,62.509998,61.93,62.279999,24300,49.204456
2004-11-08,62.200001,62.279999,62.099998,62.220001,3600,49.157055
2004-11-09,62.439999,62.439999,62.139999,62.360001,2900,49.267662
2004-11-10,62.5,62.669998,62.48,62.48,800,49.362467
2004-11-11,62.669998,63.049999,62.630001,63.049999,2400,49.812797
2004-11-12,62.990002,63.209999,62.990002,63.189999,4000,49.923403
2004-11-15,63.450001,63.529999,63.290001,63.459999,6100,50.136718
2004-11-16,63.25,63.27,63.110001,63.16,4200,49.899703
