"Index","open","high","low","close","volume","adjusted"
2004-07-13,58.66,58.66,58.5,58.52,1600,52.417535
2004-07-14,58.560001,58.599998,58.110001,58.110001,2500,52.05029
2004-07-15,58.049999,58.200001,57.84,57.84,1100,51.808445
2004-07-16,57.869999,57.869999,57.040001,57.040001,1700,51.09187
2004-07-19,57.16,57.16,57.139999,57.139999,1100,51.181441
2004-07-20,57.080002,57.490002,57.029999,57.490002,2500,51.494945
2004-07-21,58.040001,58.040001,57.130001,57.130001,5100,51.172485
2004-07-22,56.82,57.27,56.77,57.27,4700,51.297885
2004-07-23,56.700001,56.700001,56.060001,56.060001,1900,50.214065
2004-07-26,56.25,56.25,55.619999,55.84,2600,50.017005
2004-07-27,55.880001,56.509998,55.880001,56.509998,1000,50.617136
2004-07-28,56.25,56.25,55.990002,55.990002,700,50.151365
2004-07-29,56.529999,56.59,56.439999,56.439999,600,50.554436
2004-07-30,56.630001,56.900002,56.57,56.57,7400,50.67088
2004-08-02,56.880001,57.060001,56.880001,57.060001,400,51.109785
2004-08-03,56.919998,56.919998,56.450001,56.450001,1000,50.563395
2004-08-04,56.240002,56.509998,56.240002,56.43,1000,50.54548
2004-08-05,56.299999,56.310001,55.580002,55.580002,3500,49.78412
2004-08-06,54.939999,54.939999,54.310001,54.310001,2100,48.646555
2004-08-09,54.57,54.57,54.41,54.41,1600,48.736125
2004-08-10,54.73,54.950001,54.73,54.950001,2700,49.219815
2004-08-11,54.380001,54.75,54.380001,54.639999,11400,48.942141
2004-08-12,54.549999,54.549999,54.150002,54.150002,800,48.50324
2004-08-13,54.25,54.25,54.049999,54.049999,400,48.413666
2004-08-16,54.150002,54.84,54.150002,54.790001,600,49.0765
2004-08-17,55.099998,55.099998,54.939999,54.939999,600,49.210856
2004-08-18,54.849998,55.779999,54.849998,55.779999,5500,49.963261
2004-08-19,55.68,55.68,55.59,55.59,400,49.793075
2004-08-20,55.59,55.790001,55.59,55.779999,4900,49.963261
2004-08-23,55.900002,56.09,55.900002,55.950001,4200,50.115535
2004-08-24,56.189999,56.189999,55.68,55.759998,4000,49.945346
2004-08-25,55.700001,56.369999,55.700001,56.369999,6500,50.491736
2004-08-26,56.27,56.400002,56.27,56.400002,6300,50.51861
2004-08-27,56.549999,56.68,56.5,56.639999,3100,50.733581
2004-08-30,56.299999,56.299999,55.84,55.84,2700,50.017005
2004-08-31,55.700001,55.720001,55.43,55.720001,4400,49.90952
2004-09-01,56.060001,56.060001,56.029999,56.029999,1700,50.187191
2004-09-02,56.099998,56.68,56.099998,56.68,2000,50.76941
2004-09-03,56.529999,56.529999,56.07,56.099998,5800,50.249891
2004-09-07,56.349998,56.470001,56.200001,56.349998,5100,50.473821
2004-09-08,56.48,56.48,56.23,56.23,10100,50.366335
2004-09-09,56.349998,56.540001,56.09,56.5,5600,50.60818
2004-09-10,56.23,56.860001,56.23,56.860001,1700,50.93064
2004-09-13,56.939999,57.139999,56.889999,56.889999,2600,50.957511
2004-09-14,57,57.240002,57,57.220001,5800,51.2531
2004-09-15,56.650002,56.700001,56.549999,56.59,2700,50.688795
2004-09-16,56.740002,56.740002,56.43,56.43,2700,50.54548
2004-09-17,56.349998,56.700001,56.330002,56.610001,2700,50.70671
2004-09-20,56.599998,56.75,56.48,56.610001,10600,50.70671
2004-09-21,56.700001,56.959999,56.669998,56.900002,2400,50.96647
2004-09-22,56.599998,56.599998,55.830002,55.830002,1900,50.00805
2004-09-23,56,56.139999,56,56.139999,400,50.285721
2004-09-24,55.860001,55.950001,55.860001,55.900002,900,50.07075
2004-09-27,55.599998,55.599998,55.34,55.34,3500,49.630405
2004-09-28,55.5,55.619999,55.290001,55.580002,3400,49.845645
2004-09-29,55.900002,55.970001,55.900002,55.970001,1600,50.195407
2004-09-30,56.150002,56.220001,55.98,56.029999,5300,50.249215
2004-10-01,56.919998,57.099998,56.91,57.02,4400,51.137075
2004-10-04,57.599998,57.650002,57.470001,57.5,5500,51.567551
2004-10-05,57.450001,57.59,57.27,57.43,5300,51.504774
2004-10-06,57.23,57.57,57.23,57.57,6000,51.630329
2004-10-07,57.5,57.5,56.959999,57.009998,3700,51.128105
2004-10-08,56.650002,56.650002,56.07,56.07,5600,50.285089
2004-10-11,56.23,56.290001,56.23,56.290001,500,50.482392
2004-10-12,55.900002,56.209999,55.900002,56.169998,20000,50.37477
2004-10-13,56.700001,56.700001,55.84,56.029999,23500,50.249215
2004-10-14,56.099998,56.099998,55.5,55.599998,5600,49.863579
2004-10-15,55.43,55.77,55.41,55.580002,8800,49.845645
2004-10-18,55.549999,56.200001,55.549999,56.200001,4000,50.401677
2004-10-19,56.5,56.549999,55.959999,55.959999,11900,50.186437
2004-10-20,55.799999,56.080002,55.450001,55.970001,5600,50.195407
2004-10-21,56,56.209999,55.759998,56.139999,3200,50.347866
2004-10-22,56.009998,56.009998,55.18,55.25,5400,49.549691
2004-10-25,55.099998,55.099998,54.73,54.970001,5100,49.29858
2004-10-26,55,55.330002,54.950001,55.299999,3100,49.594531
2004-10-27,55.599998,56.799999,55.529999,56.669998,6800,50.823183
2004-10-28,56.669998,56.950001,56.529999,56.720001,23000,50.868028
2004-10-29,56.900002,56.900002,56.669998,56.740002,5900,50.885964
2004-11-01,56.799999,56.830002,56.57,56.799999,2900,50.939772
2004-11-02,57,57.490002,56.75,56.91,17600,51.038423
2004-11-03,58.200001,58.200001,57.439999,57.470001,21300,51.540648
2004-11-04,57.650002,58.27,57.360001,58.27,10700,52.258109
2004-11-05,58.599998,58.900002,58.380001,58.650002,34800,52.598904
2004-11-08,58.599998,58.619999,58.279999,58.450001,14900,52.419538
2004-11-09,58.650002,58.82,58.43,58.580002,7300,52.536126
2004-11-10,58.450001,58.450001,58.110001,58.110001,5900,52.114617
2004-11-11,58.400002,58.740002,58.25,58.689999,17700,52.634774
2004-11-12,58.669998,59.150002,58.580002,59.150002,7500,53.047317
2004-11-15,59.150002,59.450001,59.150002,59.389999,4900,53.262554
2004-11-16,59.25,59.25,58.869999,58.990002,2900,52.903825
2004-11-17,59.299999,59.639999,59.169998,59.290001,9900,53.172873
2004-11-18,59.25,59.459999,59.200001,59.459999,13700,53.325332
2004-11-19,59.5,59.5,58.529999,58.529999,5400,52.491282
2004-11-22,58.549999,58.689999,57.98,58.639999,4800,52.589934
2004-11-23,58.450001,58.650002,58.310001,58.490002,4900,52.455412
2004-11-24,58.849998,58.91,58.66,58.91,4800,52.832077
2004-11-26,59.110001,59.110001,59.110001,59.110001,100,53.011443
2004-11-29,58.900002,58.939999,58.490002,58.650002,8600,52.598904
2004-11-30,58.52,58.59,58.369999,58.369999,3600,52.34779
2004-12-01,58.400002,59.34,58.400002,59.34,5200,53.217713
2004-12-02,59.400002,59.740002,59.400002,59.599998,9500,53.450887
2004-12-03,60,60.060001,59.709999,59.790001,9200,53.621286
2004-12-06,59.540001,59.84,59.43,59.759998,8000,53.594379
2004-12-07,59.849998,59.98,59.07,59.07,10300,52.97557
2004-12-08,59.25,59.389999,59.080002,59.290001,2800,53.172873
2004-12-09,59.099998,59.689999,58.849998,59.599998,4700,53.450887
2004-12-10,59.400002,59.619999,59.330002,59.43,25500,53.298428
2004-12-13,59.700001,59.73,59.439999,59.73,4500,53.567475
2004-12-14,59.900002,60.290001,59.900002,60.169998,14800,53.962078
2004-12-15,60.450001,60.450001,60.080002,60.349998,4700,54.123507
2004-12-16,60.25,60.52,59.939999,60.080002,8300,53.881367
2004-12-17,59.599998,59.599998,59.060001,59.330002,5500,53.208747
2004-12-20,59.349998,59.650002,58.959999,59.060001,14600,52.966603
2004-12-21,59.200001,59.689999,59.18,59.650002,5400,53.495731
2004-12-22,59.57,59.869999,59.57,59.869999,18600,53.69303
2004-12-23,59.869999,60.060001,59.84,59.889999,6200,53.710967
2004-12-27,59.400002,59.400002,58.98,59.169998,2400,53.683747
2004-12-28,59.290001,59.48,59.290001,59.369999,3000,53.865204
2004-12-29,59.470001,59.689999,59.470001,59.599998,14200,54.073878
2004-12-30,59.650002,59.73,59.540001,59.689999,2200,54.155533
2004-12-31,59.720001,59.720001,59.509998,59.509998,5000,53.992222
2005-01-03,59.75,59.939999,59.009998,59.009998,17100,53.538582
2005-01-04,59.240002,59.32,58.189999,58.240002,10100,52.83998
2005-01-05,58.32,58.52,58.07,58.07,11200,52.685741
2005-01-06,58.150002,58.369999,57.970001,58.110001,17300,52.722033
2005-01-07,58.369999,58.48,58.009998,58.220001,5200,52.821834
2005-01-10,58.25,58.82,58.25,58.52,20200,53.094017
2005-01-11,58.25,58.299999,58.02,58.189999,5100,52.794613
2005-01-12,58.220001,58.689999,58.02,58.689999,46800,53.248253
2005-01-13,58.650002,58.650002,57.98,57.98,7100,52.604085
2005-01-14,58.259998,58.369999,58.209999,58.360001,4000,52.948853
2005-01-18,58.119999,58.709999,58.110001,58.68,6500,53.239182
2005-01-19,58.68,58.68,58.009998,58.009998,5900,52.631303
2005-01-20,57.700001,57.700001,57.34,57.34,11900,52.023427
2005-01-21,57.34,57.52,56.98,57.07,4800,51.778461
2005-01-24,57.009998,57.009998,56.419998,56.439999,24400,51.206873
2005-01-25,56.849998,57.029999,56.639999,56.639999,7800,51.38833
2005-01-26,57.07,57.18,56.93,57.18,5100,51.878262
2005-01-27,56.889999,56.889999,56.849998,56.869999,800,51.597004
2005-01-28,57.349998,57.349998,56.75,56.849998,19000,51.578858
2005-01-31,57.599998,57.599998,57.34,57.459999,12700,52.132299
2005-02-01,57.529999,57.830002,57.529999,57.75,10600,52.395411
2005-02-02,57.900002,57.950001,57.700001,57.84,6900,52.477067
2005-02-03,57.740002,57.740002,57.290001,57.34,5700,52.023427
2005-02-04,57.549999,58.130001,57.549999,58.130001,8200,52.740179
2005-02-07,58.200001,58.209999,57.889999,57.990002,7300,52.61316
2005-02-08,57.950001,58.200001,57.939999,58.02,33200,52.640377
2005-02-09,58.049999,58.049999,57.25,57.330002,15400,52.014355
2005-02-10,57.27,57.48,57.049999,57.43,5900,52.105082
2005-02-11,57.330002,58,57.330002,57.900002,6500,52.531505
2005-02-14,57.950001,57.970001,57.84,57.959999,8100,52.585939
2005-02-15,58.150002,58.57,58.080002,58.349998,19000,52.939778
2005-02-16,58.110001,58.439999,58.080002,58.299999,7800,52.894415
2005-02-17,58.380001,58.380001,57.830002,57.849998,10500,52.486138
2005-02-18,57.849998,57.849998,57.5,57.650002,5400,52.304685
2005-02-22,57.419998,57.419998,56.860001,56.860001,3900,51.587933
2005-02-23,57.049999,57.150002,56.799999,57.150002,4000,51.851045
2005-02-24,57,57.360001,56.790001,57.279999,44100,51.968989
2005-02-25,57.259998,57.75,57.259998,57.75,6700,52.395411
2005-02-28,57.52,57.52,56.91,57.349998,14300,52.032498
2005-03-01,57.400002,57.779999,57.400002,57.73,9800,52.377265
2005-03-02,58.16,58.16,57.73,57.880001,10600,52.513359
2005-03-03,57.84,57.869999,57.459999,57.779999,5200,52.422629
2005-03-04,58.049999,58.09,57.880001,58.040001,3600,52.658523
2005-03-07,58.150002,58.720001,58.150002,58.5,13700,53.075871
2005-03-08,58.299999,58.43,57.970001,57.970001,17300,52.595014
2005-03-09,58,58.02,57.82,57.84,9400,52.477067
2005-03-10,57.900002,57.900002,57.389999,57.66,3900,52.313756
2005-03-11,57.75,57.75,57.040001,57.139999,8100,51.84197
2005-03-14,57.18,57.299999,56.93,57.259998,6700,51.950843
2005-03-15,57.349998,57.459999,57.07,57.07,8900,51.778461
2005-03-16,56.849998,56.990002,56.5,56.580002,7400,51.333896
2005-03-17,56.599998,56.82,56.580002,56.82,3700,51.551641
2005-03-18,56.75,56.75,56.400002,56.41,5600,51.179656
2005-03-21,56.57,56.610001,56.110001,56.43,7100,51.197802
2005-03-22,56.540001,56.630001,56,56,13200,50.807672
2005-03-23,55.900002,56.290001,55.900002,56.209999,6100,50.998199
2005-03-24,56.169998,56.400002,56.139999,56.139999,8900,50.93469
2005-03-28,56.299999,56.41,56.23,56.279999,10500,51.102671
2005-03-29,55.900002,56.279999,55.639999,55.639999,6900,50.521547
2005-03-30,56.009998,56.509998,55.959999,56.509998,3000,51.311513
2005-03-31,56.549999,56.549999,56.110001,56.189999,14400,51.02095
2005-04-01,56.599998,56.599998,55.560001,55.700001,7100,50.576029
2005-04-04,55.75,55.950001,55.48,55.939999,9500,50.793948
2005-04-05,56.02,56.360001,56.02,56.360001,3100,51.175313
2005-04-06,56.349998,56.619999,56.209999,56.240002,10900,51.066354
2005-04-07,56.400002,56.790001,56.400002,56.790001,5500,51.565757
2005-04-08,56.950001,56.950001,56.389999,56.389999,8100,51.202553
2005-04-11,56.549999,56.549999,56.110001,56.169998,3500,51.00279
2005-04-12,56,56.48,55.68,56.459999,9100,51.266113
2005-04-13,56.25,56.25,55.59,55.779999,6500,50.648667
2005-04-14,55.529999,55.529999,55.16,55.16,3800,50.085704
2005-04-15,54.950001,54.959999,54.400002,54.450001,10100,49.441019
2005-04-18,54.450001,54.57,54.220001,54.400002,6800,49.395619
2005-04-19,54.700001,54.73,54.349998,54.650002,9300,49.622621
2005-04-20,54.900002,54.900002,54.200001,54.200001,5400,49.214017
2005-04-21,54.830002,55.450001,54.77,55.43,4000,50.330866
2005-04-22,55.549999,55.549999,54.790001,54.790001,3100,49.749742
2005-04-25,55,55.34,55,55.220001,3800,50.140185
2005-04-26,55.220001,55.540001,54.869999,54.869999,15000,49.822381
2005-04-27,54.66,55.09,54.66,54.98,2600,49.922262
2005-04-28,54.759998,54.889999,54.529999,54.599998,1900,49.577218
2005-04-29,54.799999,55.18,54.189999,55.009998,7900,49.949501
2005-05-02,55.259998,55.259998,54.970001,55.16,5400,50.085704
2005-05-03,55.23,55.540001,55.16,55.16,7900,50.085704
