"Index","open","high","low","close","volume","adjusted"
2004-07-13,59.5,59.700001,59.5,59.700001,4700,41.921063
2004-07-14,59.720001,59.900002,59.529999,59.529999,900,41.801688
2004-07-15,59.5,59.560001,59.240002,59.240002,4100,41.598053
2004-07-16,59.459999,59.52,59.27,59.279999,3700,41.626139
2004-07-19,59.360001,59.540001,59.32,59.32,1600,41.654228
2004-07-20,59.209999,59.68,59.209999,59.619999,6300,41.864886
2004-07-21,59.860001,60.029999,59.110001,59.110001,8400,41.506767
2004-07-22,58.950001,59.25,58.650002,59.119999,25300,41.513788
2004-07-23,59.200001,59.200001,58.900002,59,2900,41.429525
2004-07-26,59.18,59.18,58.84,59.099998,5300,41.499744
2004-07-27,59.330002,59.57,59.27,59.560001,6500,41.822756
2004-07-28,59.580002,59.82,59.189999,59.82,8800,42.005325
2004-07-29,60.060001,60.259998,59.990002,60.130001,12500,42.223007
2004-07-30,60.099998,60.099998,59.880001,59.880001,2100,42.047458
2004-08-02,59.900002,60.459999,59.889999,60.459999,1200,42.45473
2004-08-03,60.470001,60.48,60.32,60.32,1800,42.356423
2004-08-04,60.060001,60.389999,60,60.209999,3000,42.279181
2004-08-05,60.080002,60.099998,59.459999,59.48,4700,41.766579
2004-08-06,59.200001,59.32,58.959999,58.959999,3000,41.401437
2004-08-09,58.919998,59.169998,58.880001,59.09,3400,41.492723
2004-08-10,59.099998,59.43,59.029999,59.400002,4800,41.710405
2004-08-11,59.419998,59.599998,59.360001,59.599998,6700,41.850842
2004-08-12,59.200001,59.200001,59.099998,59.099998,600,41.499744
2004-08-13,59,59.150002,58.93,58.970001,1200,41.40846
2004-08-16,59.099998,59.84,59.099998,59.84,4300,42.01937
2004-08-17,59.950001,59.950001,59.759998,59.830002,8700,42.012349
2004-08-18,59.900002,60.400002,59.900002,60.400002,1700,42.4126
2004-08-19,60.34,60.34,60.110001,60.110001,1700,42.208963
2004-08-20,60.32,60.779999,60.32,60.75,8900,42.658367
2004-08-23,60.75,60.75,60.48,60.549999,4400,42.517928
2004-08-24,60.549999,60.580002,60.5,60.580002,8000,42.538995
2004-08-25,60.650002,60.970001,60.57,60.970001,5500,42.812851
2004-08-26,60.959999,61.040001,60.959999,61.040001,1700,42.862005
2004-08-27,61.040001,61.25,61.040001,61.209999,15300,42.981377
2004-08-30,61.200001,61.200001,60.959999,60.959999,800,42.805828
2004-08-31,61.119999,61.23,60.91,61.23,4200,42.995421
2004-09-01,61.59,61.59,61.200001,61.330002,4300,43.065642
2004-09-02,61.540001,62.080002,61.450001,62.080002,1600,43.592288
2004-09-03,62.060001,62.209999,61.900002,62.130001,23000,43.627398
2004-09-07,62.299999,62.630001,62.299999,62.52,10500,43.901253
2004-09-08,62.509998,62.509998,62.25,62.310001,31100,43.753793
2004-09-09,62.349998,62.439999,62.130001,62.389999,10100,43.809967
2004-09-10,62.27,62.580002,62.200001,62.529999,18000,43.908274
2004-09-13,62.549999,62.57,62.41,62.48,9200,43.873165
2004-09-14,62.549999,62.639999,62.5,62.630001,6300,43.978495
2004-09-15,62.299999,62.419998,62.25,62.25,4900,43.71166
2004-09-16,62.48,62.599998,62.48,62.52,2300,43.901253
