"Index","open","high","low","close","volume","adjusted"
2004-07-13,58.490002,58.59,58.490002,58.59,1200,49.66609
2004-07-14,58.599998,58.77,58.369999,58.400002,900,49.50503
2004-07-15,58.48,58.5,58.369999,58.400002,1100,49.50503
2004-07-16,58.5,58.5,58.18,58.18,800,49.318538
2004-07-19,58.189999,58.189999,57.91,58.150002,1500,49.293108
2004-07-20,58.139999,58.540001,58.130001,58.540001,800,49.623706
2004-07-21,58.810001,58.810001,58.049999,58.049999,2700,49.208337
2004-07-22,57.400002,57.400002,57.400002,57.400002,600,48.657341
2004-07-23,57.02,57.02,56.860001,56.950001,400,48.275881
2004-07-26,56.349998,56.380001,56.23,56.380001,1400,47.792698
2004-07-27,56.560001,56.970001,56.509998,56.959999,4500,48.284356
2004-07-28,56.630001,57.07,56.630001,57.07,500,48.377603
2004-07-29,57.259998,57.32,57.259998,57.32,3400,48.589525
2004-07-30,57.43,57.540001,57.43,57.450001,1500,48.699725
2004-08-02,57.299999,57.549999,57.200001,57.549999,500,48.784493
2004-08-03,57.459999,57.470001,57.290001,57.290001,1000,48.564095
2004-08-04,56.759998,57.240002,56.759998,57.150002,27600,48.445419
2004-08-05,56.580002,56.580002,56.439999,56.439999,700,47.843558
2004-08-06,55.650002,55.650002,55.41,55.41,700,46.970439
2004-08-09,55.470001,55.470001,55.389999,55.439999,1000,46.995869
2004-08-10,55.610001,56.040001,55.610001,56.040001,7400,47.504484
2004-08-11,55.59,55.619999,55.59,55.619999,6800,47.148453
2004-08-12,55.619999,55.619999,55.619999,55.619999,0,47.148453
2004-08-13,55.139999,55.139999,55,55,400,46.622887
2004-08-16,55.84,56.02,55.84,56.02,3300,47.48753
2004-08-17,56.630001,56.630001,56.330002,56.349998,5900,47.767266
2004-08-18,56.73,57.099998,56.68,57.099998,21200,48.403032
2004-08-19,56.880001,56.880001,56.700001,56.790001,3700,48.140251
2004-08-20,57.060001,57.279999,57.060001,57.279999,4000,48.555617
2004-08-23,57.400002,57.400002,57.299999,57.299999,7100,48.572571
2004-08-24,57.490002,57.490002,57.07,57.27,37600,48.547141
2004-08-25,57.240002,57.540001,57.240002,57.540001,5600,48.776017
2004-08-26,57.619999,57.66,57.529999,57.66,5300,48.877739
2004-08-27,57.669998,57.68,57.630001,57.68,1100,48.894693
2004-08-30,57.68,57.68,57.32,57.32,1300,48.589525
2004-08-31,57.25,57.349998,57.18,57.349998,25900,48.614954
2004-09-01,57.830002,57.830002,57.77,57.77,1200,48.970985
2004-09-02,57.990002,58.450001,57.98,58.450001,1000,49.547414
2004-09-03,58.400002,58.400002,58.27,58.299999,2100,49.42026
2004-09-07,58.740002,58.98,58.740002,58.880001,3000,49.911921
2004-09-08,58.779999,58.779999,58.41,58.41,3400,49.513506
2004-09-09,58.57,58.619999,58.259998,58.57,7500,49.649136
2004-09-10,58.5,58.830002,58.400002,58.830002,42700,49.869537
2004-09-13,58.889999,59.220001,58.889999,59.080002,2800,50.081459
2004-09-14,59.060001,59.07,58.91,59.07,5100,50.07298
2004-09-15,58.650002,58.84,58.650002,58.68,1400,49.742382
2004-09-16,59.200001,59.200001,59.060001,59.060001,1200,50.064505
2004-09-17,59.240002,59.290001,59.099998,59.099998,6700,50.09841
2004-09-20,58.93,58.98,58.84,58.860001,1800,49.894966
2004-09-21,58.990002,59.349998,58.919998,59.349998,1200,50.310332
2004-09-22,59,59,58.75,58.790001,3700,49.835628
2004-09-23,58.529999,58.639999,58.529999,58.529999,3000,49.615228
2004-09-24,58.689999,58.759998,58.610001,58.610001,400,49.683044
2004-09-27,58.189999,58.25,58.150002,58.150002,1500,49.392551
2004-09-28,58,58.360001,58,58.360001,1500,49.570924
2004-09-29,58.380001,58.540001,58.310001,58.529999,2500,49.715321
2004-09-30,58.799999,59.040001,58.669998,59.029999,5300,50.14002
2004-10-01,59.470001,59.68,59.470001,59.68,1700,50.692131
