"Index","open","high","low","close","volume","adjusted"
2004-07-13,57.02,57.02,56.849998,56.849998,400,54.318439
2004-07-14,57.009998,57.009998,56.75,56.75,1700,54.222894
2004-07-15,56.830002,57.060001,56.830002,57.009998,300,54.471314
2004-07-16,57.009998,57.009998,56.400002,56.400002,800,53.888481
2004-07-19,56.07,56.07,56.07,56.07,200,53.573174
2004-07-20,56.27,56.450001,56.27,56.450001,400,53.936253
2004-07-21,57.09,57.16,56.040001,56.040001,900,53.544511
2004-07-22,55.400002,55.549999,54.970001,54.970001,1600,52.522159
2004-07-23,54.970001,54.970001,54.970001,54.970001,0,52.522159
2004-07-26,55.130001,55.130001,54,54.150002,5500,51.738674
2004-07-27,54.5,54.549999,54.5,54.549999,400,52.12086
2004-07-28,54.639999,54.91,54.630001,54.700001,41700,52.264182
2004-07-29,54.919998,55.490002,54.860001,55.490002,4000,53.019004
2004-07-30,55.5,55.810001,55.5,55.810001,200,53.324753
2004-08-02,55.380001,55.450001,55.380001,55.450001,300,52.980784
2004-08-03,55.529999,55.529999,55.009998,55.009998,900,52.560375
2004-08-04,54.599998,54.599998,54.599998,54.599998,500,52.168633
2004-08-05,53.919998,53.919998,53.439999,53.439999,300,51.060288
2004-08-06,52.549999,52.549999,52.25,52.25,500,49.923281
2004-08-09,52.400002,52.43,52.369999,52.369999,2000,50.037936
2004-08-10,52.82,52.860001,52.82,52.860001,600,50.506118
2004-08-11,52.279999,52.689999,52.279999,52.59,16300,50.248141
2004-08-12,52.59,52.59,52.59,52.59,0,50.248141
2004-08-13,51.82,51.82,51.580002,51.639999,1000,49.340444
2004-08-16,52.59,52.59,52.59,52.59,300,50.248141
2004-08-17,52.950001,53.139999,52.93,52.970001,4200,50.61122
2004-08-18,52.650002,53.389999,52.650002,53.389999,900,51.012515
2004-08-19,53.650002,53.900002,53.59,53.68,3500,51.289602
2004-08-20,54.02,54.43,54.02,54.369999,6400,51.948875
2004-08-23,54.400002,54.400002,54.16,54.16,2500,51.748227
2004-08-24,54.439999,54.439999,53.810001,53.959999,4700,51.557133
2004-08-25,54.549999,54.77,54.549999,54.77,2400,52.331064
2004-08-26,54.700001,54.799999,54.700001,54.799999,1100,52.359727
2004-08-27,55.139999,55.139999,55.139999,55.139999,400,52.684587
2004-08-30,54.959999,54.959999,54.549999,54.549999,1600,52.12086
