"Index","open","high","low","close","volume","adjusted"
2004-07-13,59.41,59.509998,59.41,59.48,3800,44.475548
2004-07-14,59.279999,59.549999,59.279999,59.450001,2800,44.453117
2004-07-15,59.509998,59.650002,59.509998,59.650002,200,44.602666
2004-07-16,59.799999,59.799999,59.669998,59.77,1700,44.692393
2004-07-19,59.630001,59.630001,59.549999,59.549999,1100,44.52789
2004-07-20,59.68,59.959999,59.669998,59.959999,1800,44.834463
2004-07-21,60.150002,60.240002,59.650002,59.650002,3400,44.602666
2004-07-22,59.029999,59.029999,58.48,58.77,1700,43.944654
2004-07-23,58.34,58.450001,58.32,58.32,800,43.608171
2004-07-26,58.150002,58.150002,58.150002,58.150002,200,43.481056
2004-07-27,58.32,58.439999,58.240002,58.439999,1100,43.697898
2004-07-28,58.459999,58.779999,58.099998,58.669998,40700,43.869878
2004-07-29,58.93,59.110001,58.93,59.110001,200,44.198885
2004-07-30,59.049999,59.110001,59.049999,59.110001,1700,44.198885
2004-08-02,59.099998,59.279999,58.970001,59.279999,1000,44.326
2004-08-03,59.34,59.34,59.279999,59.279999,500,44.326
2004-08-04,59.200001,59.200001,59.18,59.18,400,44.251227
2004-08-05,58.689999,58.689999,58.169998,58.18,900,43.503487
2004-08-06,57.889999,57.889999,57.580002,57.580002,1500,43.054845
2004-08-09,57.650002,57.709999,57.650002,57.650002,900,43.107186
2004-08-10,57.950001,58.25,57.950001,58.25,1800,43.555829
2004-08-11,58.049999,58.049999,57.810001,57.919998,7000,43.309074
2004-08-12,57.889999,57.889999,57.810001,57.810001,700,43.226825
2004-08-13,57.619999,57.619999,57.619999,57.619999,1700,43.084752
2004-08-16,58.5,58.52,58.459999,58.470001,1500,43.720333
2004-08-17,58.919998,58.919998,58.709999,58.720001,6200,43.907267
2004-08-18,58.990002,59.360001,58.990002,59.360001,4500,44.38582
2004-08-19,59.220001,59.259998,59.220001,59.259998,3400,44.311045
2004-08-20,59.360001,59.529999,59.34,59.490002,3900,44.483027
2004-08-23,59.639999,59.639999,59.32,59.32,7300,44.35591
2004-08-24,59.299999,59.41,59.299999,59.41,1400,44.423207
2004-08-25,59.439999,59.700001,59.439999,59.700001,2000,44.640052
2004-08-26,59.82,59.869999,59.799999,59.869999,2300,44.767166
2004-08-27,59.919998,60.009998,59.869999,59.970001,8400,44.841942
2004-08-30,59.970001,59.970001,59.860001,59.869999,1600,44.767166
2004-08-31,59.77,59.990002,59.77,59.990002,4200,44.856897
2004-09-01,60.279999,60.279999,60.150002,60.189999,5100,45.006443
2004-09-02,60.299999,60.779999,60.299999,60.77,22600,45.440133
2004-09-03,60.889999,60.889999,60.73,60.799999,4900,45.462564
2004-09-07,61.150002,61.310001,61.150002,61.23,1500,45.784093
2004-09-08,61.139999,61.139999,60.93,60.93,54200,45.559771
2004-09-09,61,61,60.66,60.790001,10500,45.455088
2004-09-10,60.799999,60.889999,60.689999,60.889999,42500,45.529861
2004-09-13,60.970001,60.990002,60.91,60.950001,2500,45.574726
2004-09-14,60.810001,60.880001,60.779999,60.869999,3700,45.514906
2004-09-15,60.619999,60.82,60.619999,60.689999,3300,45.380312
2004-09-16,61.040001,61.23,61.040001,61.200001,2000,45.761661
2004-09-17,61.279999,61.439999,61.279999,61.310001,1500,45.843913
2004-09-20,61.25,61.25,61,61.009998,4600,45.619589
2004-09-21,61.110001,61.450001,61.110001,61.439999,1600,45.941117
2004-09-22,61,61.009998,60.889999,60.959999,4000,45.582202
2004-09-23,60.82,60.82,60.68,60.68,3100,45.372836
2004-09-24,60.619999,60.880001,60.619999,60.880001,1100,45.522385
2004-09-27,60.459999,60.459999,60.16,60.389999,2200,45.324992
2004-09-28,60.389999,60.549999,60.389999,60.5,2100,45.407552
2004-09-29,60.619999,60.779999,60.619999,60.779999,2800,45.617702
2004-09-30,60.880001,61.32,60.880001,61.299999,2000,46.007982
2004-10-01,61.540001,61.98,61.540001,61.959999,2300,46.503337
2004-10-04,62.32,62.389999,62.290001,62.290001,1000,46.751016
2004-10-05,62.209999,62.290001,62.150002,62.150002,3100,46.645941
2004-10-06,62.279999,62.48,62.279999,62.48,300,46.893617
2004-10-07,62.619999,62.619999,62.099998,62.099998,4500,46.608412
2004-10-08,62.23,62.240002,61.869999,61.970001,4300,46.510844
2004-10-11,62.060001,62.110001,61.880001,61.880001,900,46.443295
2004-10-12,61.560001,61.91,61.560001,61.91,2300,46.465811
2004-10-13,61.5,61.5,60.950001,61.16,3200,45.902907
2004-10-14,61.169998,61.169998,60.790001,60.790001,800,45.625209
2004-10-15,60.880001,61.27,60.880001,61.130001,1400,45.880392
2004-10-18,60.950001,61.110001,60.950001,61.009998,4500,45.790325
2004-10-19,61.040001,61.139999,60.209999,60.209999,3900,45.189895
2004-10-20,60.279999,60.310001,60.080002,60.310001,1400,45.264951
2004-10-21,60.32,60.779999,60.32,60.779999,1900,45.617702
2004-10-22,60.849998,60.970001,60.549999,60.549999,3500,45.445078
2004-10-25,60.439999,60.669998,60.439999,60.669998,2200,45.535142
2004-10-26,61,61.630001,61,61.630001,5100,46.255661
2004-10-27,61.560001,62.07,61.560001,62.029999,2900,46.555874
2004-10-28,61.98,62.18,61.779999,62.169998,1400,46.660949
2004-10-29,62.200001,62.200001,62.09,62.150002,2000,46.645941
2004-11-01,62.400002,62.490002,62.389999,62.450001,900,46.871102
2004-11-02,62.59,62.880001,62.41,62.43,6200,46.856091
2004-11-03,63.32,63.68,63.009998,63.049999,22500,47.321424
2004-11-04,63.400002,64.260002,63.400002,64.260002,3900,48.229577
2004-11-05,64.480003,64.519997,64.199997,64.279999,10100,48.244585
2004-11-08,64.25,64.419998,64.25,64.309998,1200,48.2671
2004-11-09,64.339996,64.440002,64.339996,64.419998,600,48.34966
2004-11-10,64.5,64.650002,64.5,64.650002,1800,48.522286
2004-11-11,64.82,65.169998,64.82,65.169998,4500,48.912563
2004-11-12,65.190002,65.800003,65.190002,65.800003,2200,49.385406
2004-11-15,65.800003,65.800003,65.720001,65.769997,6600,49.362885
2004-11-16,65.870003,65.870003,65.489998,65.489998,3100,49.152735
2004-11-17,65.849998,66.050003,65.849998,66.050003,500,49.573041
2004-11-18,65.730003,65.730003,65.449997,65.580002,2200,49.220287
2004-11-19,65.300003,65.300003,65.089996,65.089996,3200,48.852519
2004-11-22,65,65.599998,65,65.599998,2400,49.235295
2004-11-23,65.739998,65.900002,65.57,65.790001,3500,49.377899
2004-11-24,66.169998,66.400002,66.169998,66.400002,1000,49.835728
2004-11-26,66.400002,66.400002,66.400002,66.400002,0,49.835728
2004-11-29,66.410004,66.410004,65.889999,66.330002,2800,49.78319
2004-11-30,65.93,66.18,65.93,66.169998,2900,49.663101
2004-12-01,66.559998,66.860001,66.559998,66.860001,1500,50.180975
2004-12-02,66.660004,66.660004,66.339996,66.440002,2700,49.86575
2004-12-03,66.480003,66.669998,66.480003,66.580002,1700,49.970825
2004-12-06,66.449997,66.599998,66.419998,66.599998,2100,49.985833
2004-12-07,66.379997,66.379997,65.769997,65.769997,6300,49.362885
2004-12-08,65.699997,65.889999,65.669998,65.800003,4300,49.385406
2004-12-09,65.650002,66.139999,65.620003,66.139999,18100,49.640586
2004-12-10,66.029999,66.330002,66.029999,66.330002,2500,49.78319
2004-12-13,66.519997,66.730003,66.459999,66.730003,2300,50.083407
2004-12-14,66.760002,67.029999,66.75,67.029999,19100,50.308565
2004-12-15,67.279999,67.489998,67.169998,67.489998,1200,50.653811
2004-12-16,67.32,67.389999,67.089996,67.290001,1500,50.503706
2004-12-17,67.160004,67.209999,66.839996,67.209999,2600,50.443662
2004-12-20,67.43,67.440002,67.099998,67.18,2300,50.421147
2004-12-21,67.400002,67.919998,67.400002,67.800003,91400,50.886482
2004-12-22,68.129997,68.199997,68,68.099998,4800,51.11164
2004-12-23,68.040001,68.110001,67.940002,67.980003,2700,51.021579
2004-12-27,67.620003,67.620003,67.239998,67.239998,1400,50.797956
2004-12-28,67.43,67.809998,67.43,67.809998,4000,51.228575
2004-12-29,67.870003,67.910004,67.75,67.900002,2100,51.29657
2004-12-30,68,68.099998,67.900002,68.07,2100,51.424999
2004-12-31,68.050003,68.239998,68.040001,68.169998,1600,51.500545
2005-01-03,68,68,67.169998,67.169998,19500,50.745073
2005-01-04,67.279999,67.279999,66.440002,66.440002,3900,50.193582
2005-01-05,66.339996,66.339996,65.599998,65.610001,2400,49.566538
2005-01-06,65.68,65.910004,65.389999,65.82,2800,49.725187
2005-01-07,65.900002,65.900002,65.5,65.68,30400,49.619421
2005-01-10,65.75,66.110001,65.75,65.839996,5600,49.740294
2005-01-11,65.370003,65.660004,65.370003,65.599998,4100,49.558982
2005-01-12,65.18,65.580002,65.160004,65.57,23500,49.536319
2005-01-13,65.739998,65.849998,65.550003,65.589996,5000,49.551426
2005-01-14,65.699997,66.029999,65.660004,66.029999,4600,49.883835
2005-01-18,65.93,66.68,65.919998,66.68,2600,50.374893
2005-01-19,66.690002,66.720001,66.349998,66.349998,5200,50.125586
2005-01-20,66.18,66.209999,65.949997,66.050003,3500,49.898948
2005-01-21,66.150002,66.199997,65.739998,65.739998,3000,49.664748
2005-01-24,65.790001,65.879997,65.470001,65.470001,12200,49.460773
2005-01-25,65.720001,65.720001,65.190002,65.190002,15300,49.249241
2005-01-26,65.309998,65.510002,65.199997,65.489998,25400,49.475879
2005-01-27,65.550003,65.809998,65.540001,65.540001,2400,49.513655
2005-01-28,65.580002,65.580002,65.330002,65.400002,4300,49.40789
2005-01-31,65.910004,66.269997,65.839996,66.269997,7800,50.065147
2005-02-01,66.410004,66.870003,66.410004,66.779999,2300,50.450439
2005-02-02,67.029999,67.309998,66.970001,67.309998,3800,50.850839
2005-02-03,67.110001,67.370003,67.110001,67.370003,1300,50.896171
2005-02-04,67.769997,67.949997,67.690002,67.910004,2800,51.304127
2005-02-07,68.050003,68.190002,67.940002,67.949997,1900,51.334341
2005-02-08,68.010002,68.010002,67.879997,68.010002,2700,51.379673
2005-02-09,68.07,68.07,67.669998,67.669998,2900,51.122809
2005-02-10,67.68,67.879997,67.620003,67.879997,4400,51.281458
