"Index","open","high","low","close","volume","adjusted"
2004-07-13,58.400002,58.5,58.400002,58.439999,2200,51.011624
2004-07-14,58.470001,58.470001,58.419998,58.419998,200,50.994166
2004-07-15,58.349998,58.59,58.349998,58.349998,900,50.933064
2004-07-16,58.299999,58.369999,58.139999,58.139999,600,50.749758
2004-07-19,58,58.25,57.82,58.25,1500,50.845776
2004-07-20,58.09,58.98,58.09,58.98,1600,51.482985
2004-07-21,58.630001,58.630001,57.830002,57.830002,2600,50.479165
2004-07-22,57.09,57.200001,56.740002,57.200001,1200,49.929244
2004-07-23,56.98,56.98,56.98,56.98,600,49.737207
2004-07-26,56.84,56.84,55.860001,55.990002,1000,48.873049
2004-07-27,56.509998,57.049999,56.459999,57.049999,800,49.798309
2004-07-28,56.18,56.860001,56.18,56.860001,1100,49.632461
2004-07-29,57.279999,57.279999,57.139999,57.139999,1700,49.876869
2004-07-30,57.529999,57.880001,57.52,57.779999,23200,50.435517
2004-08-02,57.619999,58.07,57.330002,58.07,1000,50.688656
2004-08-03,57.720001,57.720001,57.459999,57.459999,1400,50.156193
2004-08-04,56.59,57.360001,56.59,57.360001,700,50.068906
2004-08-05,57.049999,57.049999,56.52,56.630001,1300,49.431697
2004-08-06,55.099998,55.150002,54.73,54.73,1500,47.773207
2004-08-09,54.73,54.73,54.73,54.73,0,47.773207
2004-08-10,55.669998,55.799999,55.599998,55.799999,900,48.707198
2004-08-11,54.919998,55.139999,54.919998,55.139999,6300,48.131091
2004-08-12,54.900002,54.900002,54.900002,54.900002,200,47.9216
2004-08-13,54.84,54.84,54.52,54.52,700,47.589901
2004-08-16,55.5,55.709999,55.5,55.549999,2600,48.488976
2004-08-17,56.189999,56.189999,55.77,55.77,2100,48.681012
2004-08-18,55.73,56.509998,55.73,56.509998,200,49.326948
2004-08-19,56.990002,57,56.790001,56.790001,600,49.571359
2004-08-20,56.91,57.459999,56.91,57.459999,2700,50.156193
2004-08-23,57.380001,57.580002,57.23,57.23,2000,49.955429
2004-08-24,57.630001,57.630001,57.150002,57.150002,1600,49.8856
2004-08-25,57.150002,57.759998,57.150002,57.709999,4600,50.374415
2004-08-26,57.669998,57.77,57.43,57.560001,10900,50.243484
2004-08-27,57.57,57.84,57.560001,57.84,1000,50.487892
2004-08-30,57.779999,57.779999,57.25,57.419998,2700,50.121277
2004-08-31,57.09,57.459999,57.080002,57.459999,2700,50.156193
2004-09-01,57.919998,58.07,57.919998,58.049999,4700,50.671198
2004-09-02,58.02,58.27,58.02,58.27,2100,50.863234
2004-09-03,58.84,58.84,58.400002,58.400002,1300,50.976711
2004-09-07,58.900002,59.34,58.900002,59.130001,8200,51.613919
2004-09-08,59.279999,59.279999,58.810001,58.82,5100,51.343323
2004-09-09,58.950001,59.57,58.950001,59.41,2000,51.858327
2004-09-10,58.970001,59.759998,58.970001,59.66,16800,52.076549
2004-09-13,59.880001,60.259998,59.880001,60.200001,9700,52.54791
2004-09-14,60,60,59.630001,59.860001,5200,52.251128
2004-09-15,59.59,59.77,59.59,59.630001,2100,52.050364
2004-09-16,60.279999,60.32,60.07,60.18,5600,52.530452
2004-09-17,60.130001,60.279999,60.07,60.169998,11500,52.521721
2004-09-20,60.060001,60.099998,59.91,60.009998,6300,52.382059
2004-09-21,60.18,60.599998,60.18,60.529999,4700,52.835962
2004-09-22,59.970001,59.970001,59.52,59.630001,8900,52.050364
2004-09-23,59.639999,59.720001,59.580002,59.580002,5700,52.00672
2004-09-24,59.830002,59.950001,59.73,59.73,8600,52.137651
2004-09-27,59,59,58.869999,58.93,2300,51.505738
2004-09-28,59.049999,59.689999,59.049999,59.689999,1200,52.169988
2004-09-29,59.869999,60.09,59.790001,60.02,1600,52.458415
2004-09-30,60.380001,60.610001,60.209999,60.34,2000,52.7381
2004-10-01,60.919998,61.470001,60.919998,61.459999,3400,53.716996
2004-10-04,62.099998,62.200001,61.900002,61.93,13300,54.127784
2004-10-05,61.849998,62.049999,61.779999,61.779999,2300,53.996681
2004-10-06,62.150002,62.349998,61.98,62.349998,2000,54.494869
2004-10-07,62.139999,62.139999,61.459999,61.459999,2000,53.716996
2004-10-08,61.169998,61.369999,60.66,60.66,2900,53.017784
2004-10-11,60.560001,60.720001,60.560001,60.689999,3000,53.044004
2004-10-12,60,60.849998,60,60.720001,1500,53.070226
2004-10-13,60.610001,60.610001,60,60,1100,52.440934
2004-10-14,59.77,59.950001,59.610001,59.650002,2200,52.13503
2004-10-15,59.700001,60.389999,59.650002,60.16,20400,52.580777
2004-10-18,59.810001,60.349998,59.580002,60.27,3200,52.676919
2004-10-19,60.650002,60.650002,60.009998,60.009998,1900,52.449673
2004-10-20,59.599998,60.130001,59.310001,60.130001,1600,52.554557
2004-10-21,59.970001,60.73,59.970001,60.669998,1600,53.026523
2004-10-22,60.759998,60.77,60,60,4700,52.440934
2004-10-25,59.75,60.529999,59.75,60.380001,4600,52.773061
2004-10-26,60.48,61.150002,60.360001,61.150002,7200,53.446053
2004-10-27,61.23,61.939999,61.23,61.900002,17200,54.101565
2004-10-28,61.720001,62.029999,61.580002,61.779999,7900,53.996681
2004-10-29,61.740002,61.740002,61.599998,61.709999,4500,53.9355
2004-11-01,61.57,62.099998,61.529999,62.060001,13200,54.241407
2004-11-02,62.240002,62.529999,62,62,14100,54.188965
2004-11-03,62.93,63.209999,62.810001,62.810001,6900,54.896919
2004-11-04,62.970001,63.84,62.77,63.810001,4100,55.770935
2004-11-05,64.169998,64.43,63.919998,64.080002,18900,56.006919
2004-11-08,64.139999,64.139999,63.700001,63.779999,3900,55.744712
2004-11-09,63.799999,64.25,63.799999,64.18,4700,56.09432
2004-11-10,64.139999,64.769997,64.139999,64.529999,5600,56.400224
2004-11-11,64.650002,65.150002,64.580002,65.150002,6000,56.942116
2004-11-12,65.099998,65.620003,65.099998,65.620003,2300,57.352904
2004-11-15,65.480003,65.760002,65.379997,65.75,12600,57.466524
2004-11-16,65.800003,65.830002,65.269997,65.269997,157000,57.046993
2004-11-17,66.050003,66.370003,65.660004,65.919998,27600,57.615105
2004-11-18,65.800003,65.839996,65.510002,65.769997,4500,57.484001
2004-11-19,65.529999,65.529999,64.989998,65.050003,13500,56.854715
2004-11-22,65.089996,66.019997,65.089996,66.019997,4600,57.702505
2004-11-23,65.900002,66.269997,65.419998,66.18,9000,57.842351
2004-11-24,66.599998,66.860001,66.519997,66.860001,6500,58.436682
2004-11-26,67.169998,67.169998,66.980003,66.980003,2600,58.541566
2004-11-29,67.449997,67.449997,66.419998,67.099998,10300,58.646443
2004-11-30,67.089996,67.410004,67.089996,67.160004,12100,58.698889
2004-12-01,67.559998,68.089996,67.559998,68.089996,3700,59.511717
2004-12-02,67.849998,67.970001,67.540001,67.709999,12000,59.179593
2004-12-03,67.779999,67.93,67.699997,67.870003,5500,59.319439
2004-12-06,67.650002,67.660004,67.190002,67.449997,12800,58.952348
2004-12-07,67.32,67.480003,66.059998,66.120003,8300,57.789912
2004-12-08,66.099998,66.639999,66.099998,66.57,7100,58.183216
2004-12-09,65.82,66.410004,65.589996,66.349998,5900,57.990932
2004-12-10,66.169998,66.610001,66.160004,66.540001,6200,58.156997
2004-12-13,66.669998,67.309998,66.610001,67.309998,6000,58.829986
2004-12-14,67.440002,67.82,67.410004,67.699997,14100,59.170851
2004-12-15,67.870003,68.18,67.849998,68.050003,6300,59.476762
2004-12-16,68.32,68.32,67.5,67.790001,3300,59.249516
2004-12-17,67.669998,67.699997,67.260002,67.57,7100,59.057232
2004-12-20,67.860001,67.900002,67.029999,67.169998,7100,58.707624
2004-12-21,67.620003,67.989998,67.330002,67.989998,52800,59.424317
2004-12-22,68.18,68.349998,68.18,68.309998,4500,59.704001
2004-12-23,68.349998,68.559998,68.309998,68.43,5300,59.808886
