"Index","open","high","low","close","volume","adjusted"
2004-07-13,55.880001,55.880001,55.880001,55.880001,500,53.059205
2004-07-14,56.099998,56.099998,56,56,500,53.173146
2004-07-15,55.720001,55.82,55.599998,55.75,500,52.935766
2004-07-16,55.240002,55.240002,55.240002,55.240002,500,52.451512
2004-07-19,54.610001,54.610001,54.610001,54.610001,400,51.853313
2004-07-20,54.98,55.48,54.98,55.48,1800,52.679395
2004-07-21,55.549999,55.68,53.93,53.93,1400,51.207639
2004-07-22,53.450001,53.450001,53,53.029999,1200,50.353069
2004-07-23,53.029999,53.029999,53.029999,53.029999,0,50.353069
2004-07-26,52.700001,52.700001,51.669998,51.799999,700,49.18516
2004-07-27,52.360001,53.07,52.360001,53.07,1300,50.391051
2004-07-28,52.080002,52.75,51.84,52.48,53700,49.830834
2004-07-29,52.970001,52.970001,52.970001,52.970001,1000,50.2961
2004-07-30,53.389999,53.5,53.389999,53.5,300,50.799345
2004-08-02,53.610001,53.610001,53.529999,53.529999,400,50.82783
2004-08-03,53.529999,53.529999,53.529999,53.529999,0,50.82783
2004-08-04,51.68,52.27,51.68,52.27,800,49.631435
2004-08-05,51.889999,51.889999,50.880001,50.880001,400,48.311602
2004-08-06,50,50,49.599998,49.599998,4400,47.096214
2004-08-09,49.360001,49.400002,49.259998,49.259998,600,46.773377
2004-08-10,49.549999,50.299999,49.490002,50.299999,700,47.760879
2004-08-11,48.98,49.950001,48.98,49.950001,10600,47.428548
2004-08-12,48.98,49,48.98,49,900,46.526503
2004-08-13,49.09,49.09,48.779999,48.779999,1500,46.317607
2004-08-16,49.610001,49.900002,49.610001,49.740002,10600,47.22915
2004-08-17,50.57,50.57,50.290001,50.400002,2900,47.855833
2004-08-18,50.009998,50.93,50.009998,50.93,400,48.359078
2004-08-19,51.439999,51.740002,51.439999,51.459999,1300,48.862322
2004-08-20,52,52.259998,52,52.259998,800,49.621938
2004-08-23,52.68,52.73,52.389999,52.400002,6900,49.754874
2004-08-24,52.32,52.32,52.049999,52.209999,2700,49.574463
2004-08-25,52.139999,52.75,52.07,52.75,1200,50.087205
2004-08-26,52.700001,52.700001,52.439999,52.549999,1700,49.8973
2004-08-27,52.599998,52.900002,52.549999,52.849998,1000,50.182155
2004-08-30,52.459999,52.459999,52.110001,52.110001,2200,49.479512
2004-08-31,51.57,52.02,51.57,52.02,3200,49.394055
2004-09-01,52.860001,52.919998,52.790001,52.860001,1900,50.191653
2004-09-02,52.939999,53.080002,52.900002,53.080002,1300,50.400548
