"Index","open","high","low","close","volume","adjusted"
2016-04-04,24.989,25.02,24.969999,24.989,200300,24.989
2016-04-05,24.73,24.73,24.73,24.73,200,24.73
2016-04-06,24.73,24.73,24.73,24.73,0,24.73
2016-04-07,24.73,24.73,24.73,24.73,0,24.73
2016-04-08,25.290001,25.290001,24.5,24.5,200,24.5
2016-04-11,24.48,24.48,24.48,24.48,1300,24.48
2016-04-12,24.440001,24.440001,24.34,24.34,300,24.34
2016-04-13,24.690001,24.75,24.690001,24.75,300,24.75
2016-04-14,24.77,24.77,24.77,24.77,1300,24.77
2016-04-15,24.77,24.77,24.77,24.77,0,24.77
2016-04-18,25,25,24.690001,24.780001,6600,24.780001
2016-04-19,25.24,25.24,24.924999,24.926001,500,24.926001
2016-04-20,24.92,24.92,24.9,24.9,1300,24.9
2016-04-21,24.969999,24.969999,24.759001,24.76,7800,24.76
2016-04-22,24.82,24.870001,24.82,24.870001,5500,24.870001
2016-04-25,25.040001,25.040001,24.77,24.77,3300,24.77
2016-04-26,24.799999,24.870001,24.75,24.870001,2900,24.870001
2016-04-27,24.889999,24.889999,24.889999,24.889999,1000,24.889999
2016-04-28,25.1,25.1,24.860001,24.860001,4200,24.860001
2016-04-29,24.49,24.49,24.275,24.41,3200,24.41
2016-05-02,25.35,25.35,24.5,24.59,2800,24.59
2016-05-03,24.379,24.379,24.379,24.379,300,24.379
2016-05-04,24.264,24.264,24.219999,24.233999,2100,24.233999
2016-05-05,24.27,24.27,24.120001,24.120001,600,24.120001
2016-05-06,24.07,24.15,23.950001,24.15,4400,24.15
2016-05-09,24.26,24.299999,24.219999,24.299999,1000,24.299999
2016-05-10,24.299999,24.379999,24.299999,24.379999,900,24.379999
2016-05-11,24.209999,24.209999,24.09,24.09,1500,24.09
2016-05-12,24.09,24.09,23.9,23.924999,1400,23.924999
2016-05-13,23.950001,23.950001,23.846001,23.85,8100,23.85
2016-05-16,23.9,24.01,23.870001,24.01,1300,24.01
2016-05-17,23.93,23.93,23.66,23.67,2500,23.67
2016-05-18,23.67,23.67,23.67,23.67,0,23.67
2016-05-19,23.719999,23.719999,23.41,23.6,4900,23.6
2016-05-20,23.74,23.9,23.74,23.84,2100,23.84
2016-05-23,23.75,23.75,23.700001,23.700001,1200,23.700001
2016-05-24,23.84,23.860001,23.799999,23.799999,213300,23.799999
2016-05-25,24,24,24,24,900,24
2016-05-26,23.99,24,23.955,23.993999,26600,23.993999
2016-05-27,24.030001,24.059999,24.01,24.059999,11200,24.059999
2016-05-31,24.120001,24.120001,23.959999,24.07,18300,24.07
2016-06-01,24.07,24.07,24.07,24.07,0,24.07
2016-06-02,24.190001,24.190001,24.16,24.162001,6500,24.162001
2016-06-03,24.1,24.209999,24.040001,24.200001,2900,24.200001
2016-06-06,24.17,24.280001,24.16,24.24,1500,24.24
2016-06-07,24.24,24.370001,24.24,24.360001,6000,24.360001
2016-06-08,24.299999,24.360001,24.299999,24.360001,3100,24.360001
2016-06-09,24.25,24.309999,24.25,24.309999,2600,24.309999
2016-06-10,24.049999,24.049999,24.049999,24.049999,1100,24.049999
2016-06-13,24.016001,24.016001,23.85,23.85,4400,23.85
2016-06-14,23.75,23.75,23.6,23.601,12900,23.601
2016-06-15,23.601,23.601,23.601,23.601,0,23.601
2016-06-16,23.66,23.68,23.610001,23.610001,2900,23.610001
2016-06-17,23.610001,23.610001,23.610001,23.610001,0,23.610001
2016-06-20,24.075001,24.075001,24.075001,24.075001,500,24.075001
2016-06-21,23.950001,23.959999,23.870001,23.870001,1600,23.870001
2016-06-22,23.870001,23.870001,23.870001,23.870001,0,23.870001
2016-06-23,23.870001,23.870001,23.870001,23.870001,0,23.870001
2016-06-24,23.440001,23.440001,23.440001,23.440001,200,23.440001
2016-06-27,22.959999,22.959999,22.775999,22.83,1200,22.83
2016-06-28,23.35,23.35,23.35,23.35,200,23.35
2016-06-29,23.709999,23.799999,23.709999,23.799999,1400,23.799999
2016-06-30,24.08,24.08,23.84,24.030001,900,24.030001
2016-07-01,24.35,24.35,24.209999,24.209999,700,24.209999
2016-07-05,23.98,23.98,23.870001,23.870001,500,23.870001
2016-07-06,23.879999,23.879999,23.879999,23.879999,100,23.879999
2016-07-07,24,24,24,24,100,24
2016-07-08,24,24.49,23.98,24.48,3100,24.48
2016-07-11,24.67,24.719999,24.6,24.65,2300,24.65
