"Index","open","high","low","close","volume","adjusted"
2011-12-08,38.720001,38.720001,38.720001,38.720001,100,35.386512
2011-12-09,39.240002,39.740002,39.150002,39.599998,82300,36.190749
2011-12-12,39.599998,39.599998,39.599998,39.599998,0,36.190749
2011-12-13,39.150002,39.150002,37.650002,37.82,51400,34.563994
2011-12-14,37.259998,37.5,37.080002,37.189999,20500,33.988231
2011-12-15,37.189999,37.189999,37.189999,37.189999,0,33.988231
2011-12-16,37.57,37.59,37.57,37.59,400,34.353795
2011-12-19,37.73,37.73,37.73,37.73,100,34.481742
2011-12-20,37.619999,37.619999,37.619999,37.619999,200,34.381211
2011-12-21,37.619999,37.619999,37.619999,37.619999,0,34.381211
2011-12-22,37.619999,37.619999,37.619999,37.619999,0,34.381211
2011-12-23,37.619999,37.619999,37.619999,37.619999,0,34.381211
2011-12-27,39.939999,39.939999,39.939999,39.939999,300,36.501477
2011-12-28,39.279999,39.279999,39.279999,39.279999,100,35.898298
2011-12-29,39.279999,39.279999,39.279999,39.279999,0,35.898298
2011-12-30,40.279999,40.279999,39.77,39.77,900,36.346115
2012-01-03,40.869999,40.869999,40.279999,40.700001,500,37.196049
2012-01-04,40.400002,40.68,40.400002,40.68,400,37.177771
2012-01-05,40.68,40.68,40.259998,40.259998,1900,36.793928
2012-01-06,40.259998,40.259998,40.259998,40.259998,0,36.793928
2012-01-09,41.060001,41.060001,41.060001,41.060001,200,37.525057
2012-01-10,41.580002,41.700001,41.580002,41.66,1800,38.0734
2012-01-11,41.959999,41.959999,41.48,41.689999,2500,38.100816
2012-01-12,41.5,41.790001,41.5,41.790001,300,38.192209
2012-01-13,41.279999,41.279999,41.279999,41.279999,200,37.726114
2012-01-17,41.84,41.84,41.700001,41.700001,700,38.109957
2012-01-18,41.700001,41.700001,41.700001,41.700001,0,38.109957
2012-01-19,42.869999,42.889999,42.75,42.75,47600,39.06956
2012-01-20,42.75,42.75,42.75,42.75,0,39.06956
2012-01-23,42.77,43.119999,42.77,43.119999,200,39.407704
2012-01-24,42.740002,43.25,42.740002,43.25,1100,39.526513
