"Index","open","high","low","close","volume","adjusted"
2016-01-06,23.879999,23.879999,23.700001,23.75,53100,23.598152
2016-01-07,23.690001,23.690001,23.290001,23.290001,1400,23.141094
2016-01-08,23.32,23.32,23.200001,23.200001,800,23.051669
2016-01-11,23.200001,23.200001,23.200001,23.200001,0,23.051669
2016-01-12,23.25,23.25,23.25,23.25,100,23.101349
2016-01-13,23.200001,23.200001,22.77,22.77,3700,22.624418
2016-01-14,22.799999,23.09,22.73,23.09,47500,22.942372
2016-01-15,22.6,22.646,22.497999,22.646,700,22.50121
2016-01-19,22.700001,22.700001,22.65,22.65,200,22.505184
2016-01-20,22.711,22.711,22.601,22.601,400,22.456498
2016-01-21,22.799999,22.799999,22.799999,22.799999,200,22.654225
2016-01-22,23.08,23.129999,22.91,22.91,1800,22.763522
2016-01-25,22.91,22.91,22.91,22.91,0,22.763522
2016-01-26,22.85,22.99,22.85,22.99,400,22.843011
2016-01-27,22.948999,22.948999,22.948999,22.948999,300,22.802272
2016-01-28,22.948999,22.948999,22.948999,22.948999,0,22.802272
2016-01-29,23.333,23.333,23.333,23.333,500,23.183818
2016-02-01,23.5,23.5,23.5,23.5,400,23.34975
2016-02-02,23.5,23.5,23.5,23.5,0,23.34975
2016-02-03,22.73,22.77,22.73,22.77,300,22.624418
2016-02-04,22.950001,22.950001,22.549999,22.549999,3000,22.405823
2016-02-05,23.030001,23.030001,22.709999,22.709999,600,22.5648
2016-02-08,22.709999,22.709999,22.709999,22.709999,0,22.5648
2016-02-09,22.709999,22.709999,22.709999,22.709999,0,22.5648
2016-02-10,22.77,22.77,22.77,22.77,200,22.624418
2016-02-11,22.77,22.77,22.77,22.77,0,22.624418
2016-02-12,22.57,22.57,22.57,22.57,200,22.425696
2016-02-16,22.969999,22.969999,22.969999,22.969999,100,22.823138
2016-02-17,22.969999,22.969999,22.969999,22.969999,200,22.823138
2016-02-18,23.389999,23.389999,23.360001,23.360001,200,23.210646
2016-02-19,23.360001,23.360001,23.360001,23.360001,0,23.210646
2016-02-22,23.76,23.76,23.73,23.73,200,23.578279
2016-02-23,23.620001,23.620001,23.620001,23.620001,100,23.468984
2016-02-24,23.620001,23.620001,23.620001,23.620001,0,23.468984
2016-02-25,23.77,23.77,23.77,23.77,200,23.618024
2016-02-26,23.77,23.77,23.77,23.77,0,23.618024
2016-02-29,24.07,24.07,24.07,24.07,200,23.916105
2016-03-01,23.93,24.27,23.93,24.27,200,24.114828
2016-03-02,24.27,24.27,24.27,24.27,0,24.114828
2016-03-03,24.200001,24.200001,24.129999,24.129999,43300,23.975721
2016-03-04,24.129999,24.129999,24.129999,24.129999,0,23.975721
2016-03-07,24.129999,24.129999,24.129999,24.129999,0,23.975721
2016-03-08,24.43,24.43,24.43,24.43,200,24.273804
2016-03-09,24.5,24.5,24.5,24.5,200,24.343357
2016-03-10,24.52,24.52,24.309999,24.309999,4200,24.154571
2016-03-11,24.309999,24.309999,24.309999,24.309999,0,24.154571
2016-03-14,24.875999,24.875999,24.875999,24.875999,200,24.716952
2016-03-15,24.719999,24.719999,24.719999,24.719999,200,24.561949
2016-03-16,24.940001,24.940001,24.940001,24.940001,3900,24.780544
2016-03-17,24.91,24.91,24.91,24.91,200,24.750735
2016-03-18,25.18,25.18,25.18,25.18,200,25.019009
2016-03-21,25.23,25.23,25.18,25.18,500,25.019009
2016-03-22,25.129999,25.219999,25.129999,25.18,800,25.019009
2016-03-23,25.450001,25.450001,25.1,25.1,2700,24.939521
2016-03-24,24.92,24.93,24.809999,24.93,2500,24.770608
2016-03-28,25.27,25.27,24.937,25.09,1200,24.929584
2016-03-29,25.09,25.290001,24.952,25.290001,2800,25.128306
2016-03-30,25.34,25.370001,25.309999,25.370001,2500,25.207795
2016-03-31,25.309999,25.450001,25.24,25.26,3400,25.098498
2016-04-01,25.07,25.18,25.07,25.158001,2600,24.99715
2016-04-04,25.290001,25.389999,25.165001,25.165001,700,25.004106
2016-04-05,25.139999,25.139999,25.09,25.09,1300,24.929584
2016-04-06,24.950001,24.965,24.950001,24.965,1800,24.805384
2016-04-07,25.110001,25.110001,25.110001,25.110001,300,24.949457
2016-04-08,25.030001,25.09,25,25,5400,24.84016
2016-04-11,25,25,25,25,100,24.84016
2016-04-12,24.898001,24.98,24.898001,24.98,600,24.820287
2016-04-13,25.223,25.223,25.223,25.223,1000,25.061734
2016-04-14,25.223,25.223,25.223,25.223,0,25.061734
2016-04-15,25.275,25.312,25.275,25.312,400,25.150165
2016-04-18,25.312,25.312,25.312,25.312,0,25.150165
2016-04-19,25.530001,25.530001,25.459999,25.459999,300,25.297218
2016-04-20,25.540001,25.540001,25.5,25.5,300,25.336963
2016-04-21,25.5,25.5,25.5,25.5,0,25.336963
2016-04-22,25.52,25.52,25.35,25.35,500,25.187922
2016-04-25,25.27,25.27,25.209999,25.209999,1000,25.048816
2016-04-26,25.49,25.49,25.42,25.48,2100,25.31709
2016-04-27,25.530001,25.530001,25.530001,25.530001,300,25.366772
2016-04-28,25.450001,25.450001,25.290001,25.290001,2600,25.128306
2016-04-29,25,25,25,25,200,24.84016
2016-05-02,25.16,25.35,25.16,25.35,900,25.187922
2016-05-03,25.110001,25.110001,25.01,25.110001,800,24.949457
2016-05-04,25.110001,25.110001,25.110001,25.110001,0,24.949457
2016-05-05,25,25,24.950001,24.950001,500,24.79048
2016-05-06,24.43,24.780001,24.43,24.780001,400,24.621567
2016-05-09,24.780001,24.780001,24.780001,24.780001,100,24.621567
2016-05-10,25.24,25.24,25.209999,25.209999,400,25.048816
2016-05-11,25.059999,25.059999,25.059999,25.059999,1000,24.899776
2016-05-12,25.370001,25.370001,24.82,24.84,1400,24.681183
2016-05-13,24.9,24.9,24.780001,24.780001,300,24.621567
2016-05-16,24.969999,24.969999,24.92,24.93,16600,24.770608
2016-05-17,24.799999,24.799999,24.799999,24.799999,100,24.641438
2016-05-18,24.799999,24.799999,24.799999,24.799999,0,24.641438
2016-05-19,24.799999,24.799999,24.799999,24.799999,0,24.641438
2016-05-20,24.823999,24.823999,24.823999,24.823999,1000,24.665284
2016-05-23,24.823999,24.823999,24.823999,24.823999,0,24.665284
2016-05-24,25.031,25.139999,25.031,25.124001,1400,24.963367
2016-05-25,25.1,25.1,25.1,25.1,100,24.939521
2016-05-26,25.09,25.118999,25.09,25.118999,600,24.958398
2016-05-27,25.118999,25.118999,25.118999,25.118999,0,24.958398
2016-05-31,25.118999,25.118999,25.118999,25.118999,0,24.958398
2016-06-01,25.18,25.18,25.110001,25.115,900,24.954424
2016-06-02,25.184,25.24,25.173,25.173,800,25.012054
2016-06-03,25.16,25.17,25.16,25.17,200,25.009073
2016-06-06,25.280001,25.280001,25.245001,25.245001,3000,25.083594
2016-06-07,25.245001,25.245001,25.245001,25.245001,0,25.083594
2016-06-08,25.325001,25.325001,25.325001,25.325001,200,25.163083
2016-06-09,25.450001,25.450001,25.450001,25.450001,1000,25.287283
2016-06-10,25.17,25.17,25.17,25.17,100,25.009073
2016-06-13,24.995001,25.004999,24.988001,24.988001,1700,24.828237
2016-06-14,24.85,24.85,24.75,24.75,1300,24.591758
2016-06-15,24.75,24.75,24.75,24.75,0,24.591758
2016-06-16,24.75,24.75,24.75,24.75,0,24.591758
2016-06-17,24.75,24.75,24.75,24.75,0,24.591758
2016-06-20,24.75,24.75,24.75,24.75,0,24.591758
2016-06-21,25.02,25.02,24.92,24.92,600,24.760671
2016-06-22,24.92,24.92,24.92,24.92,100,24.760671
2016-06-23,25.264,25.264,25.245001,25.252001,2600,25.090549
2016-06-24,24.65,24.65,24.639,24.639,300,24.561226
2016-06-27,23.841999,23.85,23.841999,23.85,900,23.774717
2016-06-28,24.15,24.15,24.07,24.07,1100,23.994022
2016-06-29,24.4,24.591,24.4,24.591,600,24.513377
2016-06-30,24.74,24.84,24.74,24.84,400,24.761592
2016-07-01,25,25.040001,25,25.01,900,24.931055
2016-07-05,25.01,25.01,25.01,25.01,100,24.931055
2016-07-06,25.01,25.01,25.01,25.01,0,24.931055
2016-07-07,24.93,24.93,24.93,24.93,1100,24.851308
2016-07-08,25.24,25.379999,25.24,25.379999,700,25.299886
2016-07-11,25.450001,25.5,25.43,25.5,400,25.419508
2016-07-12,25.57,25.57,25.57,25.57,100,25.489287
2016-07-13,25.57,25.57,25.57,25.57,0,25.489287
2016-07-14,25.389999,25.389999,25.389999,25.389999,100,25.309855
2016-07-15,25.591999,25.591999,25.591999,25.591999,400,25.511217
2016-07-18,25.690001,25.690001,25.690001,25.690001,100,25.608909
2016-07-19,25.690001,25.690001,25.690001,25.690001,0,25.608909
2016-07-20,25.719999,25.719999,25.709999,25.709999,800,25.628844
2016-07-21,25.549999,25.559999,25.370001,25.42,2600,25.339761
2016-07-22,25.396999,25.440001,25.396999,25.396999,600,25.316833
2016-07-25,25.5,25.5,25.455,25.49,700,25.409539
2016-07-26,25.49,25.49,25.49,25.49,100,25.409539
2016-07-27,25.49,25.49,25.49,25.49,0,25.409539
2016-07-28,25.719999,25.719999,25.719999,25.719999,900,25.638813
2016-07-29,25.690001,25.75,25.690001,25.73,500,25.648782
2016-08-01,25.73,25.73,25.73,25.73,0,25.648782
2016-08-02,25.73,25.73,25.73,25.73,100,25.648782
2016-08-03,25.5,25.5,25.5,25.5,100,25.419508
2016-08-04,25.540001,25.540001,25.540001,25.540001,300,25.459383
2016-08-05,25.76,25.76,25.75,25.75,400,25.668719
2016-08-08,25.51,25.51,25.51,25.51,100,25.429477
2016-08-09,25.51,25.51,25.51,25.51,100,25.429477
2016-08-10,25.65,25.73,25.65,25.719999,600,25.638813
2016-08-11,25.719999,25.719999,25.719999,25.719999,0,25.638813
2016-08-12,25.927999,25.927999,25.860001,25.860001,1400,25.778372
2016-08-15,26.030001,26.030001,26.025999,26.025999,1900,25.943847
2016-08-16,25.870001,25.889999,25.83,25.83,700,25.748466
2016-08-17,25.719999,25.719999,25.672001,25.672001,1100,25.590966
2016-08-18,25.672001,25.672001,25.672001,25.672001,0,25.590966
2016-08-19,25.672001,25.672001,25.672001,25.672001,0,25.590966
2016-08-22,25.799999,25.9,25.799999,25.879999,1700,25.798308
