"Index","open","high","low","close","volume","adjusted"
2013-02-21,59.57,59.57,59.560001,59.560001,1000,51.570278
2013-02-22,59.810001,60.07,59.810001,60.07,7300,52.011862
2013-02-25,60.080002,60.099998,59.790001,59.790001,1300,51.769424
2013-02-26,59.41,59.529999,59.369999,59.529999,2200,51.5443
2013-02-27,59.700001,60.32,59.700001,60.32,400,52.228325
2013-02-28,60.43,60.490002,60.43,60.490002,600,52.375522
2013-03-01,60.490002,60.490002,60.490002,60.490002,0,52.375522
2013-03-04,60.279999,60.279999,60.279999,60.279999,300,52.19369
2013-03-05,61.110001,61.189999,61.110001,61.189999,600,52.981618
2013-03-06,61.5,61.5,61.139999,61.139999,3500,52.938325
2013-03-07,61.259998,61.259998,61.23,61.23,2500,53.016252
2013-03-08,61.389999,61.509998,61.389999,61.509998,800,53.258691
2013-03-11,61.66,62.73,61.66,62.73,400,54.315034
2013-03-12,61.619999,61.619999,61.549999,61.549999,800,53.293326
2013-03-13,61.549999,61.549999,61.549999,61.549999,0,53.293326
2013-03-14,62.099998,62.099998,61.91,61.91,400,53.605034
2013-03-15,62.189999,62.189999,61.880001,61.880001,300,53.675295
2013-03-18,62.759998,62.759998,61.41,61.73,2800,53.545182
2013-03-19,61.349998,62.310001,61.259998,61.259998,900,53.137499
2013-03-20,61.950001,61.950001,61.810001,61.900002,1800,53.692644
2013-03-21,61.889999,62.540001,61.5,61.59,30100,53.423746
2013-03-22,61.700001,61.939999,61.700001,61.810001,1600,53.614577
2013-03-25,62.490002,62.490002,61.5,61.720001,2000,53.53651
2013-03-26,62.119999,62.220001,61.959999,62.200001,5000,53.952866
2013-03-27,61.98,62.299999,61.98,62.299999,600,54.039605
2013-03-28,62.66,62.689999,62.580002,62.580002,19800,54.282482
2013-04-01,62.689999,62.709999,62.439999,62.439999,500,54.161042
2013-04-02,62.91,62.91,62.799999,62.799999,1500,54.47331
2013-04-03,62.509998,62.509998,62.240002,62.299999,1800,54.039605
2013-04-04,62.599998,62.599998,62.439999,62.580002,3400,54.282482
2013-04-05,62,62.25,62,62.25,1600,53.996236
2013-04-08,62.41,62.59,62.41,62.59,500,54.291155
2013-04-09,62.75,62.990002,62.75,62.990002,1100,54.63812
2013-04-10,63.349998,63.560001,63.349998,63.459999,1700,55.0458
2013-04-11,63.849998,63.869999,63.740002,63.77,7500,55.314698
2013-04-12,63.709999,63.709999,63.540001,63.650002,500,55.21061
2013-04-15,63.360001,63.360001,62.549999,62.549999,1300,54.256458
2013-04-16,63,63.290001,62.759998,63.119999,2500,54.750881
2013-04-17,63.880001,63.880001,62.34,62.669998,4200,54.360546
2013-04-18,62.459999,62.48,62.259998,62.439999,2000,54.161042
2013-04-19,62.759998,62.990002,62.759998,62.970001,1300,54.620771
2013-04-22,62.91,63.290001,62.889999,63.290001,9100,54.898342
2013-04-23,63.650002,63.790001,63.650002,63.75,1600,55.29735
2013-04-24,63.610001,63.66,63.549999,63.549999,500,55.123867
