"Index","open","high","low","close","volume","adjusted"
2015-04-30,24.75,24.75,24.67,24.67,1000,24.245945
2015-05-01,24.85,24.91,24.85,24.91,3200,24.48182
2015-05-04,25.040001,25.09,25.040001,25.09,600,24.658726
2015-05-05,24.75,24.75,24.75,24.75,100,24.32457
2015-05-06,24.52,24.52,24.52,24.52,3100,24.098524
2015-05-07,24.799999,24.799999,24.799999,24.799999,100,24.37371
2015-05-08,24.969999,24.969999,24.969999,24.969999,1000,24.540788
2015-05-11,25.035,25.035,25.035,25.035,600,24.604671
2015-05-12,24.797001,24.797001,24.797001,24.797001,300,24.370763
2015-05-13,24.940001,24.940001,24.940001,24.940001,1000,24.511305
2015-05-14,25.01,25.045,25,25.045,1600,24.614499
2015-05-15,25.045,25.045,25.045,25.045,0,24.614499
2015-05-18,25.045,25.045,25.045,25.045,0,24.614499
2015-05-19,25.25,25.25,25.25,25.25,1000,24.815976
2015-05-20,25.34,25.34,25.34,25.34,400,24.904429
2015-05-21,25.32,25.32,25.299999,25.299999,3000,24.865115
2015-05-22,25.299999,25.299999,25.299999,25.299999,200,24.865115
2015-05-26,25.190001,25.190001,25.07,25.07,900,24.639069
2015-05-27,25.059999,25.187,25.059999,25.187,800,24.754059
2015-05-28,25.209999,25.209999,25.209999,25.209999,2600,24.776662
2015-05-29,25.209999,25.209999,25.209999,25.209999,0,24.776662
2015-06-01,25.209999,25.209999,25.209999,25.209999,0,24.776662
2015-06-02,25.35,25.35,25.254999,25.254999,600,24.820889
2015-06-03,25.254999,25.254999,25.254999,25.254999,0,24.820889
2015-06-04,25.254999,25.254999,25.254999,25.254999,0,24.820889
2015-06-05,25.254999,25.254999,25.254999,25.254999,0,24.820889
2015-06-08,25.049999,25.049999,24.99,24.99,1700,24.560445
2015-06-09,24.92,24.92,24.879999,24.92,700,24.491648
2015-06-10,25.200001,25.200001,25.190001,25.190001,600,24.757007
2015-06-11,25.32,25.35,25.32,25.35,2300,24.914257
2015-06-12,25.205,25.205,25.186001,25.186001,1000,24.753077
2015-06-15,25.1,25.139999,25.1,25.120001,1100,24.688211
2015-06-16,25.209999,25.209999,25.209999,25.209999,100,24.776662
2015-06-17,25.25,25.25,25.219999,25.219999,400,24.786491
2015-06-18,25.469999,25.59,25.469999,25.57,1700,25.130475
2015-06-19,25.559999,25.559999,25.5,25.52,117500,25.081335
2015-06-22,25.690001,25.690001,25.620001,25.66,1700,25.218928
2015-06-23,25.629999,25.639999,25.629999,25.639999,14700,25.199271
