"Index","open","high","low","close","volume","adjusted"
2000-01-03,82.25,82.25,78.8125,80.09375,696800,66.413258
2000-01-04,79.4375,79.546883,76.9375,77.375,1959700,64.158886
2000-01-05,77.40625,78.625,76,78.125,1249700,64.780782
2000-01-06,77.375,78.75,77.375,77.4375,404900,64.210711
2000-01-07,78,81,77.875,81,416700,67.164715
2000-01-10,81.3125,82.875,81.0625,82.625,520200,68.512155
2000-01-11,82.125,82.125,79.875,80.15625,700300,66.465082
2000-01-12,80.4375,80.5625,79.0625,79.375,627300,65.817274
2000-01-13,79.90625,81.8125,79.90625,81.3125,701800,67.423838
2000-01-14,82.5625,83.1875,82.0625,82.5625,628000,68.46033
2000-01-18,81.875,82.75,81.625,82.59375,857100,68.486243
2000-01-19,82.53125,83.40625,82.0625,83,449200,68.823103
2000-01-20,83.5625,83.6875,82.1875,83,853200,68.823103
2000-01-21,83.5,83.546883,82.53125,83,302000,68.823103
2000-01-24,84.4375,84.4375,80.875,81,1189600,67.164715
2000-01-25,81.6875,81.6875,79.75,81.0625,1236800,67.216539
2000-01-26,81.5625,82.375,80.875,80.875,1013400,67.061066
2000-01-27,81.65625,82.40625,79.875,81.296883,901400,67.410888
2000-01-28,80.625,81.25,78.4375,78.6875,1011400,65.247204
2000-01-31,79.1875,79.53125,77.40625,79.3125,706800,65.76545
2000-02-01,79.5625,80.375,78.765617,80.125,929300,66.43917
2000-02-02,80.46875,81.65625,80.4375,81,683700,67.164715
2000-02-03,81.78125,82.3125,80.625,82.1875,634000,68.149383
2000-02-04,82.3125,82.75,81.3125,81.46875,659300,67.553399
2000-02-07,81.6875,82.1875,81.4375,82.1875,423900,68.149383
2000-02-08,83,83.3125,82.3125,83,1022300,68.823103
2000-02-09,83.375,83.375,81.0625,81.5,1005600,67.579312
2000-02-10,82.03125,82.90625,81.75,82.625,1147200,68.512155
2000-02-11,82.90625,83.0625,80.9375,81.5625,1719100,67.631136
2000-02-14,81.9375,82.125,80.8125,81.75,705900,67.78661
2000-02-15,81.375,82.1875,80.171883,81.875,476400,67.89026
2000-02-16,81.75,82.625,81.625,81.78125,481400,67.812523
2000-02-17,82.5625,83.4375,81.9375,83,348300,68.823103
2000-02-18,83.171883,83.171883,80.1875,80.4375,562500,66.698293
2000-02-22,80.625,81.0625,79.0625,80.375,809500,66.646468
2000-02-23,80.90625,82.53125,80.4375,82.0625,1373600,68.045733
2000-02-24,82.5,83.0625,81.25,83,638500,68.823103
2000-02-25,82.6875,83.5625,81.875,82,564100,67.993909
2000-02-28,82.03125,82.875,80.5,82.5625,566600,68.46033
2000-02-29,83.5,85.5,83.5,85.5,756200,70.896088
2000-03-01,85.875,86.5625,85.375,86.3125,547400,71.569808
2000-03-02,86.375,86.796883,85.3125,85.6875,399600,71.051562
2000-03-03,86.6875,88.25,86.4375,88.09375,658700,73.04681
2000-03-06,88.15625,89.125,87.5,88.46875,546600,73.357758
2000-03-07,89.1875,89.21875,86.875,87.375,629800,72.450827
2000-03-08,88,88.4375,85.4375,87.25,888600,72.347177
2000-03-09,87.4375,89.0625,86.875,89,245600,73.798267
2000-03-10,89,90.4375,88.875,89.375,1713000,74.109215
2000-03-13,86.25,88.4375,85.75,86.25,252700,71.517983
2000-03-14,87.3125,88.125,83.875,84.1875,685500,69.807771
2000-03-15,84.0625,84.96875,83,84.125,853900,69.755946
2000-03-16,85.21875,89.625,84.375,89.15625,1220900,73.927828
2000-03-17,88.875,90,88.5625,90,1274300,74.777595
2000-03-20,89.4375,90.25,87,87.125,532100,72.388866
2000-03-21,86.84375,88.75,85.1875,88.5,732900,73.531302
2000-03-22,89.1875,91.125,89,90.6875,602400,75.348813
2000-03-23,90.6875,91.84375,90.25,91.25,572800,75.816173
2000-03-24,91.625,93.03125,90.6875,91.8125,437600,76.283532
2000-03-27,92,92.5,90.9375,91.46875,317800,75.997924
2000-03-28,91.3125,91.75,89.5,89.5,275100,74.362164
2000-03-29,90.25,90.25,87.59375,88.25,805500,73.323586
2000-03-30,89.25,90.4375,87.125,88.125,1116000,73.219728
2000-03-31,90.25,91.8125,88.1875,91.25,2444300,75.816173
2000-04-03,91.125,91.3125,87.78125,87.875,830500,73.012013
2000-04-04,88.75,88.84375,81,87.4375,1451100,72.648511
2000-04-05,86.3125,89,85.125,87.34375,522000,72.570617
2000-04-06,88.5,89.75,87.5,89.21875,843200,74.128484
2000-04-07,90.0625,90.3125,89.4375,90,453100,74.777595
2000-04-10,90.25,90.25,86.875,86.875,418200,72.181151
2000-04-11,85.875,88.375,85.0625,87.09375,683700,72.362902
2000-04-12,87.5,88,85.4375,85.5,525200,71.038715
2000-04-13,86.25,87.125,84.625,84.75,457400,70.415568
2000-04-14,83.5625,83.875,78,79,1557300,65.638111
2000-04-17,77.6875,82.75,77.6875,82,1659500,68.130697
2000-04-18,82.25,85.125,81.5625,85.125,2134800,70.727142
2000-04-19,85.25,85.5,84,84.625,613100,70.311711
2000-04-20,84.875,85.5,83.625,84.8125,337500,70.467497
2000-04-24,82.9375,84.0625,82.34375,83.3125,438000,69.221204
2000-04-25,84.8125,87.15625,84.75,87.15625,642900,72.414831
2000-04-26,87.25,87.75,85.875,86.125,1107100,71.558004
2000-04-27,84.875,87.25,84.4375,87.25,896800,72.492724
2000-04-28,88.125,89.125,87.25,88.375,650800,73.427444
2000-05-01,88.9375,90.25,88.578117,89.625,687700,74.466021
2000-05-02,89.125,89.6875,86.90625,86.90625,682900,72.207115
2000-05-03,86.84375,87.0625,84.25,85.65625,384000,71.168537
2000-05-04,86.25,88.21875,85.9375,88.0625,2003000,73.167799
2000-05-05,87.8125,89.5,87.5625,89.4375,361300,74.310235
2000-05-08,88.5625,89.5,88.25,88.3125,643900,73.375515
2000-05-09,89.0625,89.125,87,87.625,1032500,72.804297
2000-05-10,87.375,87.375,85,85.375,586400,70.934857
2000-05-11,86.25,87.5,85.625,87.5,387100,72.700439
2000-05-12,88.0625,89,87.5625,87.5625,508900,72.752368
2000-05-15,88.0625,88.875,86.75,88.625,373000,73.635159
2000-05-16,89.75,90.40625,89,89.90625,696200,74.699701
2000-05-17,88.5,89.6875,88.25,89.28125,289200,74.180413
2000-05-18,89.1875,89.5625,87.9375,88.9375,332400,73.894804
2000-05-19,87.0625,87.5625,85.875,86,184200,71.454146
2000-05-22,86.4375,86.4375,83.5,84.9375,430200,70.571355
2000-05-23,84.9375,85.875,83.625,83.625,270400,69.480849
2000-05-24,83.875,85.1875,82.21875,85,1887000,70.623284
2000-05-25,85.375,86.1875,84.09375,84.25,929000,70.000137
2000-05-26,84.5625,84.96875,83.8125,84.375,310400,70.103995
2000-05-30,85.625,87.09375,85.375,87.0625,597600,72.336937
2000-05-31,87.25,88.375,87,87.6875,490500,72.856226
2000-06-01,88.5625,90.3125,88.3125,90.25,240900,74.98531
2000-06-02,92.4375,93,91.9375,92.5,1722600,76.85475
2000-06-05,92.0625,93.125,90.75,91.25,966700,75.816173
2000-06-06,91.4375,92.484383,90.375,90.5625,382400,75.244955
2000-06-07,91,91.34375,89.875,91.34375,729600,75.894066
2000-06-08,91.75,91.75,90,90.375,721500,75.089168
2000-06-09,91,91.8125,90.78125,91.25,350800,75.816173
2000-06-12,92,92,89.5625,89.75,1287800,74.569879
2000-06-13,89.8125,90.90625,89.03125,90.015617,644400,74.790571
2000-06-14,91.5,91.53125,89.75,89.75,1103300,74.569879
2000-06-15,90.15625,91.4375,89.53125,91.21875,1283400,75.790208
2000-06-16,91.0625,91.6875,90.5,91,631900,75.78042
2000-06-19,90.78125,92.46875,90.34375,92.25,672300,76.82136
2000-06-20,92.5,93.1875,91.875,92.8125,848100,77.289783
2000-06-21,92.6875,93,92.1875,92.34375,890000,76.899431
2000-06-22,92.75,92.75,90,90,1099400,74.947668
2000-06-23,90.8125,91,89.1875,89.4375,914200,74.479245
2000-06-26,90.25,90.25,89.125,90.1875,535400,75.103809
2000-06-27,90.25,90.5,88.8125,88.8125,364900,73.958775
2000-06-28,89.0625,90.8125,89,90.125,526100,75.051762
2000-06-29,89.625,90.9375,89.5625,90.0625,259200,74.999715
2000-06-30,90,90.796883,88.375,88.75,1100900,73.906728
2000-07-03,88.875,90.4375,88.75,90.15625,294100,75.077786
2000-07-05,89.5625,89.875,88.6875,89,893900,74.114916
2000-07-06,89.125,90.125,88.625,89.875,2000800,74.843574
2000-07-07,90.5,91.75,90.375,91.28125,639800,76.014632
2000-07-10,91.1875,92.8125,91.1875,92.34375,720600,76.899431
