"Index","open","high","low","close","volume","adjusted"
2007-12-27,50.849998,50.849998,50.5,50.5,3300,42.323178
2007-12-28,50.700001,50.700001,50.220001,50.34,21200,42.189085
2007-12-31,50.169998,50.200001,49.950001,50.130001,10300,42.013088
2008-01-02,50,50,49.240002,49.34,17700,41.351002
2008-01-03,49.48,49.610001,49.34,49.349998,18800,41.359381
2008-01-04,48.970001,48.970001,48.25,48.25,17300,40.437492
2008-01-07,48.48,48.57,48.169998,48.169998,14100,40.370444
2008-01-08,48.619999,48.759998,47.900002,47.919998,9000,40.160923
2008-01-09,47.549999,48.07,47.299999,48.07,30600,40.286637
2008-01-10,47.849998,48.84,47.849998,48.799999,42300,40.898437
2008-01-11,48.150002,48.400002,47.919998,47.98,12000,40.211209
2008-01-14,48.290001,48.450001,48.139999,48.369999,47000,40.538061
2008-01-15,47.57,47.580002,47.34,47.34,11900,39.674837
2008-01-16,47.029999,47.259998,46.880001,47.189999,13600,39.549123
2008-01-17,47.099998,47.099998,45.57,45.630001,15600,38.241716
2008-01-18,45.919998,45.919998,44.990002,45.34,24400,37.998671
2008-01-22,44.990002,45.110001,43.27,44.860001,29500,37.596392
2008-01-23,43.73,45.599998,43.5,45.57,24100,38.19143
2008-01-24,45.939999,46.18,45.599998,46.169998,35100,38.694278
2008-01-25,46.689999,46.740002,45.5,45.669998,12000,38.275237
2008-01-28,45.509998,46.110001,45.509998,46.110001,5300,38.643995
2008-01-29,46.57,46.57,46.209999,46.470001,26400,38.945706
2008-01-30,46.380001,47.299999,46.27,46.27,22000,38.778088
2008-01-31,45.610001,47.18,45.459999,47.18,16300,39.540743
2008-02-01,47.09,47.529999,47.040001,47.529999,15200,39.834071
2008-02-04,47.529999,47.529999,47.09,47.16,16300,39.523981
2008-02-05,46.200001,46.279999,45.630001,45.630001,13900,38.241716
2008-02-06,45.830002,46.060001,45.330002,45.330002,10600,37.990292
2008-02-07,45.119999,45.529999,45,45.529999,2200,38.157906
2008-02-08,45.380001,45.73,45.209999,45.360001,99400,38.015433
2008-02-11,45.419998,45.709999,45.119999,45.560001,88500,38.18305
2008-02-12,45.970001,46.439999,45.939999,46.130001,69300,38.660757
2008-02-13,46.349998,46.75,46.220001,46.740002,35200,39.171988
2008-02-14,46.720001,46.720001,46.049999,46.049999,46600,38.593709
2008-02-15,45.93,46,45.75,45.98,31600,38.535044
2008-02-19,46.810001,46.810001,45.959999,46.060001,20900,38.602092
2008-02-20,45.700001,46.470001,45.68,46.279999,52800,38.786468
2008-02-21,46.580002,46.650002,45.84,45.939999,39600,38.50152
2008-02-22,46.060001,46.220001,45.490002,46.220001,40100,38.736185
2008-02-25,46.220001,46.939999,46.099998,46.939999,45600,39.339602
2008-02-26,46.779999,47.259998,46.669998,47,26000,39.389888
2008-02-27,46.869999,47.369999,46.869999,47.110001,24200,39.482078
2008-02-28,46.82,47,46.639999,46.790001,55500,39.213892
2008-02-29,46.259998,46.32,45.470001,45.470001,117700,38.107623
2008-03-03,45.560001,45.619999,45.200001,45.439999,17700,38.082478
2008-03-04,45.23,45.509998,44.77,45.419998,36300,38.065716
2008-03-05,45.59,45.860001,45.189999,45.540001,61300,38.166288
2008-03-06,45.189999,45.240002,44.75,44.75,21500,37.504202
2008-03-07,44.470001,46.529999,43.98,44.419998,80200,37.227633
2008-03-10,44.279999,44.279999,43.619999,43.669998,75200,36.599071
2008-03-11,44.5,44.98,44.16,44.93,43600,37.655057
2008-03-12,45.400002,45.41,44.880001,44.880001,15600,37.613154
2008-03-13,44.130001,45.189999,44.130001,45.09,46800,37.78915
2008-03-14,45.080002,45.209999,43.689999,44.139999,79000,36.992971
2008-03-17,43.029999,44.110001,43.029999,44.049999,143100,36.917544
2008-03-18,44.529999,45.439999,44.48,45.439999,66300,38.082478
2008-03-19,45.990002,45.990002,44.639999,44.639999,92000,37.412013
2008-03-20,46.52,46.52,44.48,45.459999,43800,38.09924
2008-03-24,45.810001,46.470001,45.810001,46.209999,98100,38.727802
2008-03-25,46.240002,46.34,45.869999,46.189999,75100,38.812672
2008-03-26,46.029999,46.029999,45.73,45.860001,66800,38.535381
2008-03-27,45.98,45.98,45.369999,45.369999,30000,38.12364
2008-03-28,45.599998,45.689999,44.959999,44.959999,18100,37.779125
2008-03-31,44.950001,45.380001,44.950001,45.220001,8800,37.9976
2008-04-01,45.849998,46.59,45.830002,46.59,29400,39.148787
2008-04-02,46.919998,47.040001,46.5,46.73,49100,39.266426
2008-04-03,46.490002,46.919998,46.470001,46.75,81000,39.283232
2008-04-04,46.799999,47.09,46.619999,46.75,26800,39.283232
2008-04-07,47.150002,47.32,46.779999,46.849998,22500,39.367259
2008-04-08,46.720001,46.75,46.549999,46.66,132600,39.207606
2008-04-09,46.5,46.599998,46.209999,46.299999,11900,38.905104
2008-04-10,46.369999,46.740002,46.369999,46.610001,2600,39.165593
2008-04-11,46,46.060001,45.560001,45.619999,23100,38.333711
2008-04-14,45.59,45.59,45.360001,45.450001,32500,38.190865
2008-04-15,45.720001,45.740002,45.389999,45.57,7900,38.291698
2008-04-16,46.09,46.619999,46.09,46.580002,14200,39.140385
2008-04-17,46.529999,46.700001,46.41,46.669998,23800,39.216008
2008-04-18,47.509998,47.66,47.290001,47.5,52300,39.913444
2008-04-21,47.299999,47.490002,47.220001,47.490002,16800,39.905043
2008-04-22,47.25,47.25,46.830002,47.060001,27400,39.543721
2008-04-23,47.290001,47.43,47.049999,47.150002,7300,39.619346
2008-04-24,47.139999,47.740002,46.98,47.52,31500,39.93025
2008-04-25,47.700001,47.720001,47.299999,47.720001,19000,40.098308
2008-04-28,47.849998,47.880001,47.700001,47.709999,18200,40.089903
2008-04-29,47.59,47.68,47.41,47.529999,28700,39.938652
2008-04-30,47.619999,48.049999,47.32,47.400002,196400,39.829417
2008-05-01,47.389999,48.189999,47.389999,48.18,102600,40.484837
2008-05-02,48.490002,48.560001,48.080002,48.240002,40600,40.535255
2008-05-05,48.27,48.380001,48.040001,48.130001,52500,40.442823
2008-05-06,47.790001,48.5,47.790001,48.5,5800,40.753727
2008-05-07,48.389999,48.470001,47.57,47.57,50900,39.972264
2008-05-08,47.790001,47.84,47.52,47.779999,20200,40.148722
2008-05-09,47.419998,47.59,47.349998,47.490002,29400,39.905043
2008-05-12,47.630001,47.93,47.459999,47.93,8700,40.274766
2008-05-13,48.150002,48.150002,47.740002,47.889999,56500,40.241154
2008-05-14,48.279999,48.5,48.119999,48.150002,74000,40.459629
2008-05-15,48.189999,48.619999,48.130001,48.619999,45800,40.85456
2008-05-16,48.790001,48.790001,48.369999,48.650002,33700,40.879771
2008-05-19,48.759998,49.16,48.720001,48.720001,62200,40.938591
2008-05-20,48.5,48.5,48.150002,48.299999,25600,40.58567
2008-05-21,48.400002,48.400002,47.490002,47.540001,55400,39.947056
2008-05-22,47.57,47.790001,47.57,47.66,33200,40.047889
2008-05-23,47.400002,47.400002,47,47.049999,31700,39.535316
2008-05-27,47.049999,47.41,47.029999,47.369999,17700,39.804207
2008-05-28,47.540001,47.540001,47.200001,47.48,54900,39.896638
2008-05-29,47.650002,48.049999,47.529999,47.860001,27700,40.215947
2008-05-30,48.07,48.07,47.889999,47.889999,27700,40.241154
2008-06-02,47.709999,47.709999,47.200001,47.450001,65000,39.871431
2008-06-03,47.610001,47.689999,46.959999,47.189999,51300,39.652955
2008-06-04,47.200001,47.470001,47,47.200001,63100,39.66136
2008-06-05,47.380001,48.040001,47.380001,48.040001,26500,40.367198
2008-06-06,47.689999,47.689999,46.639999,46.639999,47100,39.1908
2008-06-09,46.849998,46.919998,46.310001,46.669998,40800,39.216008
