"Index","open","high","low","close","volume","adjusted"
2007-12-27,50.990002,50.990002,50.540001,50.540001,73900,44.853124
2007-12-28,50.68,50.68,50.290001,50.419998,5000,44.746624
2007-12-31,50.25,51.060001,49.970001,49.970001,9200,44.347262
2008-01-02,50.029999,50.029999,49.27,49.360001,6800,43.8059
2008-01-03,49.439999,49.639999,49.41,49.41,13700,43.850273
2008-01-04,48.889999,48.889999,48,48.049999,23500,42.643303
2008-01-07,48.18,48.240002,47.720001,47.720001,2800,42.350437
2008-01-08,48.220001,48.299999,47.23,47.23,8000,41.915571
2008-01-09,47.220001,47.849998,46.900002,47.849998,2200,42.465806
2008-01-10,47.650002,48.43,47.650002,48.169998,12900,42.749799
2008-01-11,47.599998,47.77,47.380001,47.5,4200,42.155191
2008-01-14,47.889999,48,47.720001,47.990002,33700,42.590056
2008-01-15,47.470001,47.470001,46.82,46.880001,36600,41.604955
2008-01-16,46.459999,46.919998,46,46.380001,21800,41.161216
2008-01-17,46.650002,46.650002,45.189999,45.189999,6600,40.105116
2008-01-18,45.52,45.830002,44.919998,45.209999,16600,40.122866
2008-01-22,44.5,44.860001,43.349998,44.689999,43400,39.661377
2008-01-23,43.349998,45,42.919998,45,24400,39.936496
2008-01-24,45.27,45.720001,45.25,45.619999,19000,40.486732
2008-01-25,46.330002,46.330002,45.080002,45.09,27600,40.016369
2008-01-28,45.16,45.490002,45.080002,45.470001,11200,40.353612
2008-01-29,45.700001,45.779999,44.049999,45.66,15700,40.522231
2008-01-30,45.630001,46.400002,45.509998,45.52,106300,40.397985
2008-01-31,44.84,46.310001,44.84,46.169998,11300,40.974844
2008-02-01,46.290001,46.720001,46.200001,46.720001,46400,41.462959
2008-02-04,46.779999,46.779999,46.299999,46.299999,31500,41.090217
2008-02-05,45.59,45.650002,45.07,45.07,13300,39.998619
2008-02-06,45.369999,45.450001,44.790001,44.790001,26100,39.750127
2008-02-07,44.400002,45.259998,44.400002,44.810001,4400,39.767877
2008-02-08,45.029999,45.16,44.779999,44.889999,61800,39.838873
2008-02-11,45.049999,45.540001,44.889999,45.43,93500,40.318112
2008-02-12,45.830002,48.049999,45.5,45.619999,148300,40.486732
2008-02-13,46.16,46.52,45.93,46.43,25000,41.20559
2008-02-14,46.48,46.48,45.779999,45.84,85000,40.681978
2008-02-15,45.66,45.689999,45.419998,45.57,52400,40.442358
2008-02-19,46.310001,46.32,45.650002,45.650002,19700,40.513358
2008-02-20,45.509998,46.259998,45.5,46.189999,19200,40.992594
2008-02-21,46.310001,46.310001,45.610001,45.610001,154600,40.477858
2008-02-22,45.43,45.93,45.169998,45.93,3300,40.761851
2008-02-25,45.98,46.490002,45.82,46.439999,34000,41.214463
2008-02-26,46.450001,47.110001,46.25,46.830002,4400,41.560582
2008-02-27,47.060001,47.060001,46.779999,46.98,3000,41.693702
2008-02-28,46.650002,46.869999,46.52,46.650002,18600,41.400836
2008-02-29,46.200001,46.259998,45.380001,45.529999,24600,40.406858
2008-03-03,45.5,45.68,45.200001,45.540001,57600,40.415735
2008-03-04,45.25,45.580002,44.799999,45.459999,44800,40.344735
2008-03-05,45.669998,46.009998,45.43,45.709999,30500,40.566605
2008-03-06,45.73,45.77,45.060001,45.060001,29500,39.989746
2008-03-07,44.709999,45.18,44.25,44.630001,51600,39.608131
2008-03-10,44.630001,44.630001,43.900002,43.900002,45500,38.960272
2008-03-11,44.450001,45.16,44.240002,45.119999,25200,40.042993
2008-03-12,45.349998,45.560001,44.939999,44.939999,29400,39.883246
2008-03-13,44.439999,45.400002,44.299999,45.189999,24300,40.105116
2008-03-14,45.529999,45.529999,43.93,44.389999,47400,39.395134
2008-03-17,44.57,44.57,43.389999,43.889999,23700,38.951396
2008-03-18,45.310001,45.419998,44.529999,45.360001,90100,40.255989
2008-03-19,45.599998,45.689999,44.349998,44.349998,37700,39.359634
2008-03-20,44.279999,45.099998,44.279999,45.099998,40500,40.025243
2008-03-24,45.389999,46.200001,45.389999,45.91,51400,40.744101
2008-03-25,46.09,46.240002,45.790001,46.169998,118100,41.028465
2008-03-26,46.049999,46.049999,45.75,45.860001,23400,40.752989
2008-03-27,45.779999,45.919998,45.459999,45.599998,108200,40.521941
2008-03-28,45.560001,45.580002,44.98,44.98,15400,39.970986
