"Index","open","high","low","close","volume","adjusted"
2012-10-25,60.509998,60.509998,59.880001,59.880001,2000,55.990121
2012-10-26,59.880001,59.880001,59.880001,59.880001,0,55.990121
2012-10-31,60.349998,60.360001,60.32,60.360001,5200,56.438939
2012-11-01,60.349998,60.73,60.349998,60.73,400,56.784903
2012-11-02,60.73,60.73,60.73,60.73,0,56.784903
2012-11-05,60.060001,60.060001,60.060001,60.060001,200,56.158428
2012-11-06,60.060001,60.060001,60.060001,60.060001,0,56.158428
2012-11-07,59.98,59.98,59.360001,59.360001,500,55.5039
2012-11-08,59.360001,59.360001,59.360001,59.360001,0,55.5039
2012-11-09,60,60,58.75,58.75,400,54.933526
2012-11-12,58.799999,58.799999,58.799999,58.799999,400,54.980278
2012-11-13,58.799999,58.799999,58.799999,58.799999,0,54.980278
2012-11-14,58.799999,58.799999,58.799999,58.799999,0,54.980278
2012-11-15,58.799999,58.799999,58.799999,58.799999,0,54.980278
2012-11-16,58.799999,58.799999,58.799999,58.799999,0,54.980278
2012-11-19,58.799999,58.799999,58.799999,58.799999,0,54.980278
2012-11-20,58.799999,58.799999,58.799999,58.799999,0,54.980278
2012-11-21,59.299999,59.299999,59.299999,59.299999,200,55.447797
2012-11-23,59.299999,59.299999,59.299999,59.299999,0,55.447797
2012-11-26,59.860001,59.869999,59.860001,59.869999,300,55.980769
2012-11-27,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-11-28,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-11-29,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-11-30,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-03,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-04,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-05,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-06,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-07,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-10,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-11,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-12,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-13,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-14,59.869999,59.869999,59.869999,59.869999,0,55.980769
2012-12-17,60.540001,60.540001,60.540001,60.540001,500,56.607247
2012-12-18,60.540001,60.540001,60.540001,60.540001,0,56.607247
2012-12-19,60.540001,60.540001,60.540001,60.540001,0,56.607247
2012-12-20,60.540001,60.540001,60.540001,60.540001,0,56.607247
2012-12-21,60.540001,60.540001,60.540001,60.540001,0,56.900492
2012-12-24,60.540001,60.540001,60.540001,60.540001,0,56.900492
2012-12-26,60.540001,60.540001,60.540001,60.540001,0,56.900492
2012-12-27,60.540001,60.540001,60.540001,60.540001,0,56.900492
2012-12-28,60.540001,60.540001,60.540001,60.540001,0,56.900492
2012-12-31,60.540001,60.540001,60.540001,60.540001,0,56.900492
2013-01-02,60.540001,60.540001,60.540001,60.540001,0,56.900492
2013-01-03,60.540001,60.540001,60.540001,60.540001,0,56.900492
2013-01-04,61.810001,62.009998,61.810001,62.009998,500,58.282117
2013-01-07,62.009998,62.009998,62.009998,62.009998,0,58.282117
2013-01-08,62.009998,62.009998,62.009998,62.009998,0,58.282117
2013-01-09,62.009998,62.009998,62.009998,62.009998,0,58.282117
2013-01-10,62.009998,62.009998,62.009998,62.009998,0,58.282117
2013-01-11,62.009998,62.009998,62.009998,62.009998,0,58.282117
2013-01-14,62.009998,62.009998,62.009998,62.009998,0,58.282117
2013-01-15,62.009998,62.009998,62.009998,62.009998,0,58.282117
2013-01-16,62.43,62.43,62.43,62.43,100,58.67687
2013-01-17,63,63,63,63,100,59.212602
2013-01-18,63,63,63,63,0,59.212602
2013-01-22,63,63,63,63,0,59.212602
2013-01-23,63,63,63,63,0,59.212602
2013-01-24,63,63,63,63,0,59.212602
2013-01-25,63,63,63,63,0,59.212602
2013-01-28,63,63,63,63,0,59.212602
2013-01-29,63,63,63,63,0,59.212602
2013-01-30,63,63,63,63,0,59.212602
2013-01-31,63,63,63,63,0,59.212602
2013-02-01,63,63,63,63,0,59.212602
2013-02-04,63,63,63,63,0,59.212602
2013-02-05,63,63,63,63,0,59.212602
2013-02-06,63,63,63,63,0,59.212602
2013-02-07,63,63,63,63,0,59.212602
2013-02-08,63,63,63,63,0,59.212602
2013-02-11,63,63,63,63,0,59.212602
2013-02-12,63,63,63,63,0,59.212602
2013-02-13,63,63,63,63,0,59.212602
2013-02-14,63,63,63,63,0,59.212602
2013-02-15,63,63,63,63,0,59.212602
2013-02-19,63,63,63,63,0,59.212602
2013-02-20,63,63,63,63,0,59.212602
2013-02-21,63,63,63,63,0,59.212602
2013-02-22,63.93,63.93,63.93,63.93,1200,60.086693
2013-02-25,63.93,63.93,63.93,63.93,0,60.086693
2013-02-26,63.93,63.93,63.93,63.93,0,60.086693
2013-02-27,63.93,63.93,63.93,63.93,0,60.086693
2013-02-28,63.93,63.93,63.93,63.93,0,60.086693
2013-03-01,63.93,63.93,63.93,63.93,0,60.086693
2013-03-04,63.93,63.93,63.93,63.93,0,60.086693
2013-03-05,63.93,63.93,63.93,63.93,0,60.086693
2013-03-06,63.93,63.93,63.93,63.93,0,60.086693
2013-03-07,63.93,63.93,63.93,63.93,0,60.086693
2013-03-08,63.93,63.93,63.93,63.93,0,60.086693
2013-03-11,63.93,63.93,63.93,63.93,0,60.086693
2013-03-12,63.93,63.93,63.93,63.93,0,60.086693
2013-03-13,65.769997,65.980003,65.769997,65.790001,600,61.834876
2013-03-14,65.790001,65.790001,65.790001,65.790001,0,61.834876
2013-03-15,65.790001,65.790001,65.790001,65.790001,0,62.031937
2013-03-18,65.790001,65.790001,65.790001,65.790001,0,62.031937
2013-03-19,65.790001,65.790001,65.790001,65.790001,0,62.031937
2013-03-20,65.790001,65.790001,65.790001,65.790001,0,62.031937
2013-03-21,65.849998,65.849998,65.849998,65.849998,500,62.088508
2013-03-22,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-03-25,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-03-26,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-03-27,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-03-28,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-01,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-02,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-03,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-04,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-05,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-08,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-09,65.849998,65.849998,65.849998,65.849998,0,62.088508
2013-04-10,66.860001,67.120003,66.860001,67.120003,2700,63.285966
2013-04-11,67.120003,67.120003,67.120003,67.120003,0,63.285966
2013-04-12,68.639999,68.639999,68.639999,68.639999,100,64.719138
2013-04-15,66.980003,66.980003,66.980003,66.980003,1000,63.153964
2013-04-16,66.980003,66.980003,66.980003,66.980003,0,63.153964
2013-04-17,66.980003,66.980003,66.980003,66.980003,0,63.153964
2013-04-18,66.980003,66.980003,66.980003,66.980003,0,63.153964
2013-04-19,66.980003,66.980003,66.980003,66.980003,0,63.153964
2013-04-22,66.980003,66.980003,66.980003,66.980003,0,63.153964
2013-04-23,67.129997,67.129997,67.129997,67.129997,900,63.29539
2013-04-24,67.129997,67.129997,67.129997,67.129997,0,63.29539
2013-04-25,67.129997,67.129997,67.129997,67.129997,0,63.29539
2013-04-26,67.129997,67.129997,67.129997,67.129997,0,63.29539
