"Index","open","high","low","close","volume","adjusted"
2012-04-25,20.35,20.389999,20.32,20.379999,2700,19.403231
2012-04-26,20.549999,20.549999,20.32,20.48,107100,19.498438
2012-04-27,20.809999,20.809999,20.6,20.73,35200,19.736456
2012-04-30,20.83,20.83,20.68,20.75,107000,19.755498
2012-05-01,20.780001,20.98,20.68,20.98,163200,19.974474
2012-05-02,20.799999,20.799999,20.65,20.77,29600,19.77454
2012-05-03,20.790001,20.790001,20.58,20.610001,48000,19.622209
2012-05-04,20.540001,20.540001,20.24,20.26,35200,19.288983
2012-05-07,20.290001,20.290001,20.120001,20.23,25000,19.26042
2012-05-08,20.209999,20.209999,19.870001,20.139999,40800,19.174734
2012-05-09,20.030001,20.030001,19.799999,19.950001,24700,18.993841
2012-05-10,20.24,20.24,19.84,19.93,513500,18.974799
2012-05-11,19.870001,19.99,19.790001,19.860001,21000,18.908155
2012-05-14,19.67,19.790001,19.57,19.68,15400,18.736781
2012-05-15,19.66,19.73,19.5,19.530001,17000,18.593971
2012-05-16,19.66,19.790001,19.440001,19.450001,47200,18.517805
2012-05-17,19.450001,19.450001,19.139999,19.139999,25500,18.222661
2012-05-18,19.209999,19.219999,18.91,18.959999,56200,18.051288
2012-05-21,19.040001,19.27,19,19.27,31200,18.346432
2012-05-22,19.280001,19.299999,19.1,19.1,48200,18.184579
2012-05-23,19.07,19.07,18.84,19.030001,15000,18.117935
2012-05-24,19.209999,19.209999,18.98,19.110001,35100,18.1941
2012-05-25,19.18,19.23,19.040001,19.07,18500,18.156017
2012-05-29,19.25,19.370001,19.16,19.25,21900,18.32739
2012-05-30,19.190001,19.190001,18.879999,18.940001,18800,18.032248
2012-05-31,18.91,18.93,18.690001,18.889999,8100,17.984643
2012-06-01,18.66,18.66,18.450001,18.49,21800,17.603815
2012-06-04,18.49,18.51,18.290001,18.469999,70600,17.584773
2012-06-05,18.469999,18.6,18.469999,18.5,10000,17.613336
2012-06-06,18.719999,18.950001,18.719999,18.91,5400,18.003685
2012-06-07,19.07,19.280001,19.040001,19.059999,66300,18.146496
2012-06-08,18.950001,19.15,18.950001,19.139999,5500,18.222661
2012-06-11,19.32,19.32,18.93,18.93,12100,18.022727
2012-06-12,18.98,19.110001,18.879999,19.110001,6400,18.1941
2012-06-13,19.08,19.139999,18.92,18.92,6000,18.013206
2012-06-14,19.02,19.139999,18.950001,19.139999,10300,18.222661
2012-06-15,19.25,19.33,19.25,19.33,5400,18.403556
2012-06-18,19.33,19.389999,19.200001,19.35,62700,18.422597
2012-06-19,19.51,19.709999,19.51,19.629999,48000,18.689177
2012-06-20,19.709999,19.74,19.450001,19.58,68900,18.641574
2012-06-21,19.700001,19.700001,19.139999,19.139999,31100,18.222661
2012-06-22,19.360001,19.360001,19.129999,19.280001,35600,18.355953
2012-06-25,19.139999,19.17,18.85,18.969999,31500,18.060809
2012-06-26,18.959999,19.1,18.85,19.1,8000,18.184579
2012-06-27,19.17,19.33,19.17,19.32,17100,18.394035
2012-06-28,19.26,19.26,19.09,19.200001,86100,18.279787
2012-06-29,19.66,20.049999,19.65,20.049999,21300,19.089047
2012-07-02,20.17,20.450001,19.75,20,86400,19.041444
2012-07-03,20.110001,20.219999,20,20.17,32300,19.203296
2012-07-05,20.24,20.450001,20.01,20.17,62300,19.203296
2012-07-06,20,20,19.799999,19.879999,41900,18.927195
2012-07-09,19.870001,19.9,19.719999,19.790001,222200,18.84151
2012-07-10,19.99,20.059999,19.530001,19.530001,22000,18.593971
2012-07-11,19.700001,19.74,19.57,19.73,30400,18.784384
2012-07-12,19.690001,19.690001,19.42,19.639999,72800,18.698697
2012-07-13,19.6,20.059999,19.6,20.059999,78300,19.098568
2012-07-16,20.059999,20.110001,19.860001,20.08,46500,19.11761
2012-07-17,20.18,20.18,19.82,20.139999,39500,19.174734
2012-07-18,20.139999,20.34,20.059999,20.309999,24600,19.336586
2012-07-19,20.4,20.440001,20.32,20.389999,15200,19.412752
2012-07-20,20.360001,20.389999,20.139999,20.139999,27300,19.174734
2012-07-23,19.940001,20.07,19.700001,20.059999,23900,19.098568
2012-07-24,20.1,20.1,19.67,19.85,40200,18.898634
2012-07-25,19.93,19.93,19.67,19.67,20400,18.72726
2012-07-26,20.110001,20.110001,19.719999,19.860001,26900,18.908155
2012-07-27,20.02,20.280001,19.940001,20.280001,39800,19.308025
2012-07-30,20.290001,20.32,20.129999,20.139999,28200,19.174734
2012-07-31,20.280001,20.280001,20.030001,20.030001,31000,19.070007
2012-08-01,20.219999,20.219999,19.809999,19.889999,36700,18.936716
2012-08-02,19.940001,19.940001,19.4,19.49,77500,18.555887
2012-08-03,19.99,20.139999,19.42,20.030001,30800,19.070007
2012-08-06,20.18,20.280001,20.030001,20.16,36200,19.193775
2012-08-07,20.290001,20.530001,20.290001,20.450001,90300,19.469877
2012-08-08,20.51,20.58,20.48,20.549999,36000,19.565083
2012-08-09,20.6,20.74,20.559999,20.700001,40700,19.707895
2012-08-10,20.639999,20.75,20.6,20.75,70300,19.755498
2012-08-13,20.790001,20.790001,20.549999,20.68,76800,19.688853
2012-08-14,20.790001,20.790001,20.57,20.6,69000,19.612688
2012-08-15,20.709999,20.709999,20.629999,20.709999,28000,19.717414
2012-08-16,20.77,21.059999,20.77,21.02,59600,20.012558
2012-08-17,21.1,21.1,21.030001,21.1,80800,20.088724
2012-08-20,21.059999,21.059999,20.940001,20.99,40600,19.983995
2012-08-21,20.99,21.15,20.870001,20.9,97000,19.898309
2012-08-22,20.99,20.99,20.790001,20.950001,26500,19.945913
2012-08-23,20.92,20.92,20.77,20.799999,31300,19.803101
2012-08-24,20.83,21.049999,20.809999,21.040001,14800,20.0316
2012-08-27,21.110001,21.110001,20.9,20.9,114800,19.898309
2012-08-28,20.940001,20.969999,20.889999,20.92,29400,19.917351
2012-08-29,21,21,20.799999,20.879999,36300,19.879267
2012-08-30,20.690001,20.780001,20.620001,20.709999,97300,19.717414
2012-08-31,20.879999,20.959999,20.719999,20.940001,18400,19.936392
2012-09-04,20.940001,20.940001,20.65,20.83,87100,19.831664
2012-09-05,20.91,20.91,20.76,20.82,42800,19.822143
2012-09-06,21,21.290001,21,21.280001,40500,20.260097
2012-09-07,21.35,21.57,21.35,21.559999,26400,20.526676
2012-09-10,21.620001,21.66,21.51,21.51,36700,20.479073
2012-09-11,21.58,21.629999,21.540001,21.57,49100,20.536197
