"Index","open","high","low","close","volume","adjusted"
2013-04-18,50.919998,50.919998,50.919998,50.919998,400,48.795602
2013-04-19,50.919998,50.919998,50.919998,50.919998,0,48.795602
2013-04-22,50.919998,50.919998,50.919998,50.919998,0,48.795602
2013-04-23,52.220001,52.220001,52.220001,52.220001,600,50.041369
2013-04-24,51.700001,51.700001,51.560001,51.560001,1100,49.408904
2013-04-25,51.810001,51.810001,51.810001,51.810001,400,49.648474
2013-04-26,51.77,51.77,51.77,51.77,100,49.610142
2013-04-29,51.849998,52.200001,51.849998,52.07,4800,49.897625
2013-04-30,51.619999,51.93,51.619999,51.84,1400,49.677221
2013-05-01,51.799999,51.799999,51.799999,51.799999,100,49.638889
2013-05-02,51.82,52.040001,51.82,52.029999,2500,49.859293
2013-05-03,52.650002,52.73,52.599998,52.619999,1000,50.424678
2013-05-06,53.060001,53.060001,52.5,52.540001,19500,50.348018
2013-05-07,52.59,52.59,52.549999,52.560001,1500,50.367184
2013-05-08,52.740002,52.82,52.740002,52.82,1600,50.616335
2013-05-09,52.860001,52.91,52.77,52.830002,4700,50.62592
2013-05-10,53.490002,53.490002,52.950001,52.950001,700,50.740912
2013-05-13,53.189999,53.200001,53.09,53.09,4200,50.875071
2013-05-14,53.32,53.560001,53.32,53.549999,2200,51.315879
2013-05-15,53.740002,54.029999,53.709999,53.73,3400,51.488369
2013-05-16,53.580002,53.619999,53.5,53.5,5700,51.267965
2013-05-17,53.599998,53.599998,53.369999,53.389999,2800,51.162554
2013-05-20,53.400002,53.400002,53.299999,53.32,4300,51.095475
2013-05-21,53.540001,53.549999,53.540001,53.549999,600,51.315879
2013-05-22,53.880001,53.880001,53.259998,53.259998,1900,51.037977
2013-05-23,52.669998,53.139999,52.669998,53.139999,700,50.922984
2013-05-24,53.18,53.18,53.130001,53.169998,1200,50.951731
2013-05-28,53.810001,53.860001,53.259998,53.41,4000,51.18172
2013-05-29,53,53,52.619999,52.689999,2500,50.491758
2013-05-30,52.889999,52.919998,52.73,52.73,13000,50.53009
2013-05-31,52.529999,52.540001,52,52,2400,49.830546
2013-06-03,51.5,51.709999,51.439999,51.709999,2100,49.552644
2013-06-04,51.639999,51.68,51.279999,51.68,8400,49.523897
2013-06-05,51.259998,51.27,50.810001,50.970001,5400,48.843519
2013-06-06,50.66,51.349998,50.66,51.349998,9900,49.207663
2013-06-07,52.009998,52.209999,51.91,52.209999,1300,50.031784
2013-06-10,53,53,52,52.110001,8500,49.935957
2013-06-11,51.59,52.130001,51.59,51.869999,14500,49.705969
2013-06-12,52.139999,52.139999,51.299999,51.330002,3400,49.1885
2013-06-13,51.02,51.98,51.02,51.98,2100,49.81138
2013-06-14,52.130001,52.130001,52.029999,52.029999,700,49.859293
2013-06-17,52.5,52.5,52.150002,52.150002,600,49.974289
2013-06-18,52.419998,52.419998,52.369999,52.369999,1000,50.185108
2013-06-19,52.5,52.5,51.869999,51.869999,1100,49.705969
2013-06-20,51.099998,51.099998,50.189999,50.189999,2300,48.096058
2013-06-21,50.619999,50.619999,50.049999,50.439999,1600,48.335628
2013-06-24,50.07,50.119999,49.709999,50.119999,600,48.028979
2013-06-25,50.52,50.57,50.509998,50.57,14600,48.460206
2013-06-26,51.490002,51.490002,50.98,51.02,1400,48.891432
2013-06-27,51.450001,51.5,51.369999,51.369999,2500,49.41764
2013-06-28,51.139999,51.470001,51.139999,51.369999,2500,49.41764
2013-07-01,51.52,51.52,51.470001,51.470001,900,49.513841
2013-07-02,51.599998,51.599998,51.369999,51.369999,1300,49.41764
2013-07-03,51.209999,51.43,51.209999,51.43,700,49.475361
2013-07-05,51.830002,51.939999,51.700001,51.939999,2200,49.965976
2013-07-08,52.200001,52.23,52.130001,52.23,700,50.244955
2013-07-09,52.560001,52.669998,52.560001,52.59,1900,50.591274
2013-07-10,52.619999,52.68,52.610001,52.610001,201100,50.610514
2013-07-11,53.290001,53.580002,53.279999,53.580002,27300,51.543649
2013-07-12,53.619999,53.720001,53.540001,53.700001,11000,51.659088
2013-07-15,53.709999,53.91,53.700001,53.82,102400,51.774526
2013-07-16,53.900002,53.93,53.5,53.610001,37100,51.572508
2013-07-17,53.75,53.860001,53.740002,53.860001,33400,51.813007
2013-07-18,53.889999,54.110001,53.889999,54.110001,30400,52.053505
2013-07-19,54.279999,54.389999,54.279999,54.349998,1700,52.284382
2013-07-22,55.049999,55.049999,54.34,54.419998,1700,52.351721
2013-07-23,54.5,54.5,54.27,54.330002,2000,52.265145
