"Index","open","high","low","close","volume","adjusted"
2013-08-01,25.35,25.540001,25.27,25.42,111800,23.348419
2013-08-02,25.18,25.860001,25.18,25.25,17800,23.192273
2013-08-05,25.25,25.360001,25.25,25.34,3800,23.274938
2013-08-06,25.559999,25.559999,25,25.059999,11500,23.017756
2013-08-07,25,25,24.870001,24.91,9000,22.879981
2013-08-08,24.93,25.08,24.889999,25.040001,58900,22.999387
2013-08-09,25.209999,25.209999,24.950001,25,7700,22.962646
2013-08-12,25,25.190001,24.98,25,5000,22.962646
2013-08-13,25.280001,25.280001,24.83,25.01,2100,22.971831
2013-08-14,25.08,25.08,24.93,24.93,6000,22.898351
2013-08-15,24.950001,24.950001,24.5,24.530001,5700,22.530949
2013-08-16,24.370001,24.389999,24.24,24.24,7500,22.264582
2013-08-19,24.200001,24.200001,24.059999,24.059999,1800,22.09925
2013-08-20,24.26,24.42,24.25,24.41,3900,22.420728
2013-08-21,24.25,24.26,24.15,24.25,2500,22.273767
2013-08-22,24.379999,26,24.25,24.360001,1200,22.374803
2013-08-23,24.48,24.48,24.389999,24.41,1000,22.420728
2013-08-26,24.67,24.67,24.559999,24.559999,1000,22.558503
2013-08-27,24.4,24.4,24.219999,24.219999,200,22.246211
2013-08-28,24.219999,24.219999,24.219999,24.219999,0,22.246211
2013-08-29,24.1,24.219999,24.1,24.17,1200,22.200286
2013-08-30,23.75,23.75,23.75,23.75,100,21.814514
2013-09-03,23.889999,23.99,23.889999,23.91,400,21.961475
2013-09-04,23.93,23.93,23.93,23.93,2000,21.979845
2013-09-05,24.030001,24.09,24.030001,24.09,400,22.126806
2013-09-06,24.24,24.24,24.15,24.219999,3600,22.246211
2013-09-09,24.25,24.25,24.200001,24.25,600,22.273767
2013-09-10,24.35,24.370001,24.34,24.370001,3000,22.383988
2013-09-11,24.4,24.4,24.4,24.4,100,22.411542
2013-09-12,24.4,24.4,24.4,24.4,0,22.411542
2013-09-13,24.4,24.4,24.4,24.4,0,22.411542
2013-09-16,24.27,24.549999,24.27,24.48,600,22.485023
2013-09-17,24.5,24.6,24.5,24.6,1600,22.595244
2013-09-18,24.65,24.799999,24.459999,24.799999,5100,22.778944
2013-09-19,24.77,24.77,24.77,24.77,100,22.75139
2013-09-20,24.469999,24.469999,24.459999,24.459999,200,22.466652
2013-09-23,24.41,24.41,24.41,24.41,100,22.420728
2013-09-24,24.299999,24.299999,24.280001,24.280001,700,22.301323
2013-09-25,24.34,24.52,24.34,24.49,3300,22.494208
2013-09-26,24.610001,24.610001,24.610001,24.610001,200,22.604429
2013-09-27,24.610001,24.610001,24.610001,24.610001,0,22.604429
2013-09-30,24.610001,24.610001,24.610001,24.610001,0,22.604429
2013-10-01,24.959999,24.969999,24.959999,24.969999,300,22.93509
2013-10-02,25.1,25.1,25.1,25.1,1300,23.054497
2013-10-03,25.389999,25.389999,24.74,24.74,1400,22.723834
2013-10-04,24.74,24.74,24.74,24.74,0,22.723834
2013-10-07,24.73,24.73,24.700001,24.700001,3000,22.687095
2013-10-08,24.41,24.459999,24.41,24.459999,1000,22.466652
2013-10-09,24.299999,24.299999,24.299999,24.299999,100,22.319691
2013-10-10,24.68,24.85,24.68,24.85,600,22.824871
2013-10-11,24.969999,25.01,24.799999,25.01,2800,22.971831
2013-10-14,25.01,25.01,25.01,25.01,0,22.971831
2013-10-15,24.969999,24.969999,24.959999,24.969999,2000,22.93509
2013-10-16,25.26,25.26,25.26,25.26,200,23.201458
2013-10-17,25.389999,25.5,25.34,25.5,1800,23.421899
2013-10-18,25.5,25.5,25.5,25.5,0,23.421899
2013-10-21,25.780001,25.780001,25.780001,25.780001,600,23.679081
2013-10-22,26.059999,26.059999,25.92,25.92,500,23.807672
2013-10-23,25.9,25.9,25.9,25.9,1000,23.789301
2013-10-24,26,26,26,26,4000,23.881152
2013-10-25,26,26,26,26,0,23.881152
2013-10-28,25.790001,25.790001,25.74,25.77,500,23.669896
2013-10-29,25.77,25.77,25.77,25.77,0,23.669896
2013-10-30,25.77,25.77,25.77,25.77,0,23.669896
2013-10-31,25.77,25.77,25.77,25.77,0,23.669896
2013-11-01,25.77,25.77,25.77,25.77,0,23.669896
2013-11-04,25.77,25.77,25.77,25.77,0,23.669896
2013-11-05,25.5,25.6,25.5,25.549999,2000,23.467824
2013-11-06,25.549999,25.549999,25.549999,25.549999,0,23.467824
2013-11-07,25.549999,25.549999,25.549999,25.549999,0,23.467824
2013-11-08,25.389999,25.389999,25.389999,25.389999,100,23.320863
2013-11-11,25.389999,25.389999,25.389999,25.389999,0,23.320863
2013-11-12,25.59,25.59,25.58,25.58,500,23.49538
2013-11-13,25.889999,25.889999,25.889999,25.889999,100,23.780116
2013-11-14,25.889999,25.889999,25.889999,25.889999,0,23.780116
2013-11-15,25.889999,25.889999,25.889999,25.889999,0,23.780116
2013-11-18,26.360001,26.360001,26.190001,26.190001,500,24.055669
2013-11-19,26.190001,26.190001,26.190001,26.190001,0,24.055669
2013-11-20,25.75,25.75,25.75,25.75,100,23.651526
2013-11-21,25.75,25.75,25.75,25.75,0,23.651526
2013-11-22,26.24,26.24,26.219999,26.219999,400,24.083223
2013-11-25,26.219999,26.219999,26.219999,26.219999,0,24.083223
2013-11-26,26.709999,26.709999,26.709999,26.709999,100,24.53329
2013-11-27,26.709999,26.709999,26.709999,26.709999,0,24.53329
2013-11-29,26.709999,26.709999,26.709999,26.709999,0,24.53329
2013-12-02,26.709999,26.709999,26.709999,26.709999,0,24.53329
2013-12-03,26.33,26.48,26.33,26.43,400,24.27611
2013-12-04,26.290001,26.299999,26.059999,26.059999,1000,23.936262
2013-12-05,26.059999,26.059999,26.059999,26.059999,0,23.936262
2013-12-06,26.059999,26.059999,26.059999,26.059999,0,23.936262
2013-12-09,26.059999,26.059999,26.059999,26.059999,0,23.936262
2013-12-10,26.059999,26.059999,26.059999,26.059999,0,23.936262
2013-12-11,26.059999,26.059999,26.059999,26.059999,0,23.936262
2013-12-12,26.1,26.1,25.799999,25.799999,800,23.69745
2013-12-13,25.799999,25.799999,25.799999,25.799999,0,23.69745
2013-12-16,26.15,26.15,26.15,26.15,2100,24.018928
2013-12-17,26.1,26.1,26.07,26.07,7000,23.945447
2013-12-18,26.290001,26.299999,26.290001,26.299999,300,24.156703
2013-12-19,26.27,26.27,26.27,26.27,400,24.129149
2013-12-20,26.5,26.76,26.5,26.76,900,24.579217
2013-12-23,26.83,27.030001,26.83,27.030001,4200,24.827214
2013-12-24,27.219999,27.219999,27.139999,27.17,2300,24.955804
2013-12-26,27.200001,27.200001,27.200001,27.200001,1000,24.98336
2013-12-27,26.91,26.91,26.85,26.85,300,24.847324
2013-12-30,27,27,26.870001,26.870001,2600,24.865832
2013-12-31,27.24,27.24,27.24,27.24,1000,25.208234
2014-01-02,27.16,27.16,27.02,27.059999,28100,25.041659
2014-01-03,27.389999,27.4,27.17,27.17,43800,25.143455
2014-01-06,27.610001,27.610001,26.98,27.01,120900,24.99539
2014-01-07,27.24,27.370001,27.17,27.17,37400,25.143455
2014-01-08,27.049999,27.16,26.98,27.059999,18500,25.041659
2014-01-09,25.91,27.48,25.9,27.48,56700,25.430333
2014-01-10,27.4,27.4,27.129999,27.32,57000,25.282267
2014-01-13,27.360001,27.360001,26.780001,26.9,41600,24.893594
2014-01-14,27.25,27.27,27.02,27.17,128800,25.143455
2014-01-15,27.27,27.32,27.16,27.280001,109800,25.245251
2014-01-16,27.02,27.23,26.959999,27.219999,154100,25.189725
2014-01-17,27.16,27.32,26.870001,26.870001,102300,24.865832
2014-01-21,27.190001,27.190001,26.98,27.1,127000,25.078677
2014-01-22,27.09,27.129999,26.98,27.08,84400,25.060168
2014-01-23,26.940001,27.01,26.790001,26.799999,42700,24.801052
2014-01-24,26.43,26.43,26.370001,26.370001,3600,24.403126
2014-01-27,26.200001,26.620001,26.110001,26.450001,26000,24.477159
2014-01-28,26.5,26.610001,26.41,26.440001,26800,24.467905
2014-01-29,26.17,26.370001,26.1,26.1,2600,24.153264
2014-01-30,26.23,26.290001,26.139999,26.18,17200,24.227297
2014-01-31,26.040001,26.16,25.91,26.16,14900,24.208789
2014-02-03,26.07,26.07,25.219999,25.280001,16500,23.394427
2014-02-04,25.42,25.450001,25.290001,25.290001,27500,23.403681
2014-02-05,25.15,25.360001,24.65,25.110001,11600,23.237106
2014-02-06,25.49,25.58,25.34,25.58,1400,23.67205
2014-02-07,25.530001,25.629999,25.459999,25.530001,25900,23.62578
2014-02-10,25.790001,25.790001,25.4,25.440001,38700,23.542492
2014-02-11,25.370001,25.809999,25.370001,25.610001,77600,23.699813
2014-02-12,25.92,25.950001,25.67,25.790001,24800,23.866387
2014-02-13,25.91,25.98,25.790001,25.879999,45000,23.949673
2014-02-14,26.120001,26.209999,26.08,26.08,15500,24.134756
2014-02-18,26.08,26.08,26.08,26.08,0,24.134756
2014-02-19,26.389999,26.389999,26.25,26.25,6700,24.292076
2014-02-20,26.190001,26.190001,26.18,26.190001,500,24.236552
2014-02-21,26.48,26.48,26.48,26.48,100,24.50492
2014-02-24,26.73,26.74,26.709999,26.709999,600,24.717765
2014-02-25,26.73,26.73,26.49,26.49,2700,24.514175
2014-02-26,26.9,27.059999,26.9,27.059999,700,25.041659
2014-02-27,27.07,27.07,27.02,27.02,600,25.004644
2014-02-28,27.200001,27.200001,27.200001,27.200001,200,25.171218
2014-03-03,26.99,26.99,26.99,26.99,500,24.976881
2014-03-04,26.99,26.99,26.99,26.99,0,24.976881
2014-03-05,26.99,26.99,26.99,26.99,0,24.976881
2014-03-06,27.4,27.4,27.32,27.360001,900,25.319284
2014-03-07,27.299999,27.299999,27.24,27.26,500,25.226743
2014-03-10,27.1,27.1,27.08,27.08,500,25.060168
2014-03-11,27.09,27.09,26.879999,26.879999,1800,24.875085
2014-03-12,26.879999,26.879999,26.879999,26.879999,0,24.875085
2014-03-13,26.879999,26.879999,26.879999,26.879999,0,24.875085
2014-03-14,26.879999,26.879999,26.879999,26.879999,0,24.875085
2014-03-17,26.879999,26.879999,26.780001,26.799999,19800,24.801052
2014-03-18,27.219999,27.280001,27.15,27.280001,3800,25.245251
2014-03-19,27.219999,27.23,27.219999,27.23,1800,25.19898
2014-03-20,27.059999,27.059999,26.99,27.01,1200,24.99539
2014-03-21,27.01,27.01,27.01,27.01,0,24.99539
2014-03-24,26.969999,26.969999,26.969999,26.969999,500,24.958372
2014-03-25,26.969999,26.969999,26.969999,26.969999,0,24.958372
2014-03-26,26.969999,26.969999,26.969999,26.969999,0,24.958372
2014-03-27,26.969999,26.969999,26.969999,26.969999,0,24.958372
2014-03-28,26.969999,26.969999,26.969999,26.969999,0,24.958372
2014-03-31,26.83,26.950001,26.83,26.83,31900,24.828815
2014-04-01,27.120001,27.15,26.99,27.139999,79700,25.115692
2014-04-02,27.26,27.26,27.190001,27.190001,10500,25.161964
2014-04-03,27.299999,27.299999,27.26,27.290001,700,25.254506
2014-04-04,27.290001,27.290001,27.290001,27.290001,0,25.254506
2014-04-07,27.290001,27.290001,27.290001,27.290001,0,25.254506
2014-04-08,26.379999,26.379999,26.379999,26.379999,100,24.412379
2014-04-09,26.780001,26.780001,26.780001,26.780001,200,24.782545
2014-04-10,26.780001,26.780001,26.780001,26.780001,0,24.782545
2014-04-11,26.780001,26.780001,26.780001,26.780001,0,24.782545
2014-04-14,26.780001,26.780001,26.780001,26.780001,0,24.782545
