"Index","open","high","low","close","volume","adjusted"
2006-09-21,25.25,25.25,24.9,24.9,9400,21.818093
2006-09-22,24.65,24.68,24.58,24.66,10300,21.607798
2006-09-25,24.93,24.940001,24.92,24.92,1000,21.835618
2006-09-26,25.17,25.26,25.120001,25.24,61100,22.11601
2006-09-27,25.379999,25.389999,25.27,25.27,13000,22.142298
2006-09-28,25.299999,25.33,25.219999,25.33,9800,22.194871
2006-09-29,25.35,25.35,25.16,25.16,4400,22.045912
2006-10-02,25.120001,25.16,24.959999,24.969999,34900,21.879428
2006-10-03,24.799999,25.030001,24.73,24.889999,14300,21.80933
2006-10-04,25.059999,25.4,25.059999,25.4,6400,22.256207
2006-10-05,25.5,25.67,25.43,25.67,8300,22.492789
2006-10-06,25.51,25.6,25.42,25.540001,8600,22.37888
2006-10-09,25.549999,25.77,25.49,25.709999,3500,22.527837
2006-10-10,25.780001,25.940001,25.75,25.940001,8200,22.729371
2006-10-11,25.799999,25.9,25.75,25.82,4200,22.624223
2006-10-12,25.940001,26.32,25.940001,26.32,7200,23.062337
2006-10-13,26.290001,26.49,26.290001,26.450001,10100,23.176248
2006-10-16,26.530001,26.709999,26.5,26.68,27800,23.37778
2006-10-17,26.5,26.5,26.209999,26.379999,12300,23.114911
2006-10-18,26.629999,26.629999,26.219999,26.290001,12600,23.036051
2006-10-19,26.200001,26.360001,26.200001,26.360001,8700,23.097387
2006-10-20,26.190001,26.200001,26.1,26.129999,4500,22.895853
2006-10-23,26.120001,26.33,26.120001,26.280001,4800,23.027289
2006-10-24,26.17,26.370001,26.16,26.370001,9600,23.10615
2006-10-25,26.32,26.440001,26.32,26.4,6200,23.132436
2006-10-26,26.389999,26.540001,26.25,26.52,14200,23.237584
2006-10-27,26.48,26.58,26.299999,26.299999,16500,23.044812
2006-10-30,26.200001,26.4,26.16,26.35,11400,23.088625
2006-10-31,26.440001,26.440001,26.17,26.26,14000,23.009764
2006-11-01,26.4,26.41,25.9,25.9,6400,22.694321
2006-11-02,25.75,25.969999,25.73,25.91,4300,22.703084
2006-11-03,26.08,26.08,25.82,25.940001,5900,22.729371
2006-11-06,26.09,26.41,26.09,26.389999,7700,23.123673
2006-11-07,26.450001,26.58,26.440001,26.440001,5300,23.167485
2006-11-08,26.309999,26.6,26.299999,26.52,6700,23.237584
2006-11-09,26.65,26.68,26.379999,26.4,7900,23.132436
2006-11-10,26.469999,26.540001,26.41,26.540001,3600,23.255109
2006-11-13,26.5,26.719999,26.5,26.66,9100,23.360255
2006-11-14,26.709999,26.93,26.610001,26.93,6100,23.596837
2006-11-15,27.01,27.290001,27.01,27.190001,18700,23.824657
2006-11-16,27.27,27.299999,27.139999,27.17,19500,23.807132
2006-11-17,27.049999,27.059999,26.959999,27.059999,6700,23.710746
2006-11-20,27.139999,27.200001,27.08,27.120001,13100,23.763321
2006-11-21,27.18,27.24,27.15,27.24,3000,23.868468
2006-11-22,27.4,27.4,27.24,27.34,15400,23.956091
2006-11-24,27.379999,27.379999,27.309999,27.309999,800,23.929803
2006-11-27,27.190001,27.24,26.799999,26.799999,24000,23.482927
2006-11-28,26.620001,26.790001,26.559999,26.780001,20600,23.465403
2006-11-29,27,27.15,26.98,27.129999,6700,23.772082
2006-11-30,27.139999,27.26,27.01,27.219999,8000,23.850943
2006-12-01,27.24,27.24,26.799999,27.07,4400,23.719509
2006-12-04,27.26,27.51,27.26,27.469999,23100,24.07
2006-12-05,27.6,27.709999,27.559999,27.65,22700,24.227721
2006-12-06,27.610001,27.780001,27.59,27.709999,9800,24.280295
2006-12-07,27.82,27.82,27.57,27.6,17600,24.183911
2006-12-08,27.52,27.700001,27.52,27.620001,11600,24.201436
2006-12-11,27.700001,27.700001,27.58,27.620001,49700,24.201436
2006-12-12,27.620001,27.620001,27.23,27.370001,20000,23.982378
2006-12-13,27.450001,27.450001,27.32,27.35,11400,23.964853
2006-12-14,27.459999,27.68,27.459999,27.549999,17900,24.140098
2006-12-15,27.549999,27.629999,27.48,27.49,10300,24.087525
2006-12-18,27.6,27.6,27.16,27.16,34600,23.798369
