"Index","open","high","low","close","volume","adjusted"
2013-10-10,40.400002,40.919998,40.400002,40.75,18000,38.60735
2013-10-11,41.490002,41.490002,40.700001,41.040001,81900,38.882103
2013-10-14,40.849998,41.209999,40.810001,41.18,83600,39.014741
2013-10-15,41.110001,41.119999,40.830002,40.869999,49500,38.72104
2013-10-16,41.209999,41.32,40.990002,41.279999,57800,39.109482
2013-10-17,41.419998,41.75,41.209999,41.740002,29400,39.545298
2013-10-18,42.110001,42.110001,41.66,41.790001,26900,39.592668
2013-10-21,41.959999,41.959999,41.700001,41.799999,63000,39.60214
2013-10-22,42.139999,42.290001,41.939999,42.200001,61300,39.98111
2013-10-23,42.349998,42.349998,42.080002,42.23,23900,40.009531
2013-10-24,42.549999,42.549999,42.16,42.299999,45500,40.07585
2013-10-25,42.299999,42.52,42.290001,42.52,43200,40.284284
2013-10-28,42.689999,42.720001,42.549999,42.650002,109700,40.407449
2013-10-29,42.869999,42.970001,42.740002,42.970001,53400,40.710623
2013-10-30,43.18,43.279999,42.52,42.66,51600,40.416922
2013-10-31,42.84,42.84,42.52,42.650002,56200,40.407449
2013-11-01,42.860001,42.860001,42.52,42.720001,195100,40.473768
2013-11-04,43.119999,43.119999,42.75,42.939999,95800,40.682198
2013-11-05,43.16,43.16,42.599998,42.740002,242700,40.492717
2013-11-06,42.939999,43.099998,42.869999,43.07,49800,40.805364
2013-11-07,43.369999,43.369999,42.509998,42.540001,37500,40.303232
2013-11-08,42.110001,42.919998,42.110001,42.84,57600,40.587458
2013-11-11,43.09,43.09,42.889999,42.919998,38800,40.663249
2013-11-12,43.150002,43.150002,42.740002,42.860001,46700,40.606406
2013-11-13,42.639999,43.16,42.639999,43.139999,105400,40.871683
2013-11-14,43.299999,43.419998,43.150002,43.419998,52100,41.136959
2013-11-15,43.66,43.66,43.349998,43.529999,46500,41.241176
2013-11-18,43.830002,43.830002,43.349998,43.389999,64200,41.108538
2013-11-19,43.549999,43.549999,43.290001,43.400002,27400,41.118014
2013-11-20,43.57,43.57,43.02,43.09,33900,40.824313
2013-11-21,43.189999,43.439999,43.189999,43.419998,19400,41.136959
2013-11-22,43.630001,43.630001,43.330002,43.59,25700,41.298022
2013-11-25,43.720001,43.720001,43.43,43.439999,90500,41.155908
2013-11-26,43.560001,43.639999,43.470001,43.490002,70700,41.203282
2013-11-27,43.650002,43.650002,43.419998,43.509998,234500,41.222227
2013-11-29,43.400002,43.580002,43.360001,43.360001,14900,41.080116
2013-12-02,43.509998,43.509998,43.09,43.09,42800,40.824313
2013-12-03,43.16,43.169998,42.860001,43.07,56600,40.805364
2013-12-04,43.049999,43.130001,42.650002,42.990002,32400,40.729572
2013-12-05,43.07,43.07,42.709999,42.73,27100,40.483241
2013-12-06,43.189999,43.41,43.139999,43.380001,13100,41.099065
2013-12-09,43.650002,43.68,43.48,43.5,99100,41.212754
2013-12-10,43.779999,43.779999,43.32,43.34,88400,41.061167
2013-12-11,43.52,43.52,42.950001,42.950001,23500,40.691674
2013-12-12,43,43,42.650002,42.700001,46600,40.454819
2013-12-13,43.060001,43.060001,42.639999,42.689999,59500,40.445343
2013-12-16,43.099998,43.099998,42.82,42.91,47700,40.653777
2013-12-17,42.82,42.849998,42.669998,42.77,24500,40.521139
2013-12-18,43.23,43.580002,42.73,43.580002,62900,41.28855
2013-12-19,43.299999,43.509998,43.299999,43.48,93800,41.193806
2013-12-20,43.740002,43.799999,43.560001,43.720001,107400,41.421188
2013-12-23,43.98,43.98,43.73,43.799999,66500,41.49698
2013-12-24,43.950001,43.950001,43.689999,43.810001,80100,41.633829
2013-12-26,44.080002,44.080002,43.900002,44.02,77100,41.833397
2013-12-27,44.279999,44.279999,44.029999,44.080002,72000,41.890418
2013-12-30,44.209999,44.209999,44.07,44.139999,70300,41.947435
2013-12-31,44.529999,44.529999,44.029999,44.119999,81300,41.928428
2014-01-02,44.18,44.18,43.630001,43.740002,58000,41.567306
2014-01-03,43.939999,43.939999,43.77,43.790001,54400,41.614822
2014-01-06,43.939999,43.939999,43.560001,43.639999,76900,41.472271
2014-01-07,43.790001,43.919998,43.759998,43.860001,194800,41.681345
2014-01-08,44.029999,44.029999,43.580002,43.75,108900,41.576808
2014-01-09,43.990002,43.990002,43.59,43.82,42700,41.643331
2014-01-10,44,44.080002,43.799999,44.060001,82500,41.871411
2014-01-13,44.110001,44.110001,43.450001,43.5,88800,41.339226
