"Index","open","high","low","close","volume","adjusted"
2000-10-27,72.625,72.625,72.4375,72.4375,33000,53.322104
2000-10-30,72.484383,73.65625,72.484383,73.65625,700,54.219241
2000-10-31,74.328117,74.375,74.328117,74.375,3200,54.748321
2000-11-01,75,75.328117,74.59375,74.59375,1600,54.909346
2000-11-02,75.390617,75.390617,75.3125,75.3125,3800,55.438426
2000-11-03,75,75.390617,75,75.3125,4000,55.438426
2000-11-06,75.59375,76.046883,75.265617,75.546883,16500,55.610958
2000-11-07,75.171883,76.125,75.171883,76.09375,9200,56.013513
2000-11-08,74.875,74.875,74.5625,74.5625,1100,54.886342
2000-11-09,74.09375,74.09375,73,73.875,3800,54.380265
2000-11-10,73,73,72.390617,72.390617,2000,53.287593
2000-11-13,72.390617,72.390617,72.390617,72.390617,0,53.287593
2000-11-14,72.4375,72.859383,72.4375,72.78125,3500,53.575143
2000-11-15,73.21875,73.8125,73.21875,73.8125,4100,54.334258
2000-11-16,73,73,72.75,72.75,1800,53.552139
2000-11-17,73.03125,73.03125,72.296883,72.296883,6000,53.218594
2000-11-20,72.296883,72.296883,72.296883,72.296883,0,53.218594
2000-11-21,71.59375,71.703117,71.53125,71.53125,1100,52.655003
2000-11-22,70.4375,70.5,70.25,70.25,6600,51.71186
2000-11-24,70.25,70.25,70.25,70.25,0,51.71186
2000-11-27,70.25,70.25,70.25,70.25,0,51.71186
2000-11-28,71.875,71.875,71.75,71.75,3000,52.816027
2000-11-29,71.5,71.5,71.5,71.5,23400,52.631999
2000-11-30,70,70,68.9375,68.9375,1100,50.745713
2000-12-01,70.5,70.5,70.46875,70.46875,600,51.872884
2000-12-04,69.375,70.5625,69.375,70.5625,16500,51.941894
2000-12-05,71.375,72.65625,71.359383,72.65625,3300,53.483129
2000-12-06,72.71875,72.71875,72.71875,72.71875,100,53.529136
2000-12-07,71.1875,71.1875,71.1875,71.1875,1000,52.401964
2000-12-08,72.5,72.953117,72.28125,72.875,2700,53.644153
2000-12-11,73.6875,73.6875,73.625,73.625,2500,54.196237
2000-12-12,73.625,73.625,73.625,73.625,0,54.196237
2000-12-13,73.59375,73.59375,72.625,72.625,2600,53.460125
2000-12-14,71.875,71.875,71.875,71.875,2900,52.908041
2000-12-15,69.5,69.5,68.625,69.0625,6100,50.837727
2000-12-18,70,70,69.0625,69.0625,5500,50.837727
2000-12-19,69.8125,70.90625,68.625,68.625,101000,50.515678
2000-12-20,66.5,67.171883,66.375,66.375,2900,48.859426
2000-12-21,66.515617,67.3125,66.515617,66.984383,2900,49.308
2000-12-22,67.8125,68.484383,67.75,68.375,17000,50.33165
2000-12-26,68.5,68.5,68,68,400,50.055608
2000-12-27,69.34375,69.34375,69.34375,69.34375,400,51.044758
2000-12-28,69.125,69.4375,68.984383,69.4375,3600,51.113769
2000-12-29,69.5,69.5,68.78125,68.8125,4300,50.653699
2001-01-02,68.640617,68.640617,66.5,66.5,5600,48.95144
2001-01-03,67.5,70.53125,66.734383,70.5,5900,51.895887
2001-01-04,70.5,70.5,69.96875,69.96875,1600,51.504828
2001-01-05,69.625,69.625,68.171883,68.171883,15400,50.182133
2001-01-08,68.171883,68.171883,68.171883,68.171883,0,50.182133
2001-01-09,68.171883,68.171883,68.171883,68.171883,0,50.182133
2001-01-10,68.3125,68.375,68.203117,68.375,700,50.33165
2001-01-11,69.53125,69.53125,69.53125,69.53125,100,51.182779
2001-01-12,68.9375,68.9375,68.9375,68.9375,200,50.745713
2001-01-16,68.953117,68.953117,68.875,68.875,36800,50.699706
2001-01-17,70,70,69.4375,69.4375,400,51.113769
2001-01-18,69.859383,69.859383,69.859383,69.859383,4500,51.424321
2001-01-19,70.3125,70.625,70.3125,70.625,4300,51.987901
2001-01-22,70.5625,70.5625,70.5625,70.5625,300,51.941894
2001-01-23,71.03125,71.25,71.03125,71.25,6500,52.447971
2001-01-24,71.625,71.765617,71.1875,71.375,900,52.539985
2001-01-25,71.671883,71.671883,71.28125,71.28125,1200,52.470975
2001-01-26,70.3125,70.90625,70.3125,70.90625,600,52.194933
2001-01-29,71,71.375,71,71.34375,2600,52.516982
2001-01-30,71.4375,72,71.4375,72,800,53.000055
2001-01-31,72.234383,72.390617,71.53125,71.53125,6300,52.655003
2001-02-01,71.328117,72,71.328117,72,1900,53.000055
2001-02-02,71.875,71.875,71.625,71.625,400,52.724013
2001-02-05,71.625,71.625,71.625,71.625,0,52.724013
2001-02-06,71.125,71.296883,71.125,71.296883,300,52.482482
2001-02-07,69.875,69.875,69.875,69.875,2000,51.435818
2001-02-08,70.375,70.515617,69.796883,69.796883,2500,51.378314
2001-02-09,68.84375,68.84375,68.203117,68.203117,2200,50.205125
2001-02-12,68.953117,68.953117,68.828117,68.9375,500,50.745713
2001-02-13,69.40625,69.40625,68.6875,68.6875,500,50.561685
2001-02-14,68.125,68.40625,67.921883,68.40625,2300,50.354653
2001-02-15,68.875,69.1875,68.671883,68.671883,2600,50.550189
2001-02-16,67.65625,67.765617,67.65625,67.765617,3000,49.883076
2001-02-20,67.875,67.875,66.484383,66.484383,16900,48.939944
2001-02-21,66.203117,66.5,65.046883,65.046883,2100,47.881783
2001-02-22,64.4375,64.4375,64.4375,64.4375,100,47.433209
2001-02-23,64.5,64.5,64.375,64.375,500,47.387202
2001-02-26,64.375,65.25,64.375,65.25,1700,48.0313
2001-02-27,66.109383,66.109383,65.90625,65.96875,1600,48.560381
2001-02-28,65.46875,65.46875,63.90625,63.90625,15500,47.04215
2001-03-01,63.5,64,63,64,9500,47.11116
2001-03-02,64,64,64,64,0,47.11116
2001-03-05,64,64,63.8125,63.8125,1000,46.973139
2001-03-06,65,65.125,64.9375,64.96875,3700,47.824269
2001-03-07,65.03125,65.03125,65.03125,65.03125,1600,47.870276
2001-03-08,65.15625,65.453117,65.15625,65.296883,600,48.065811
2001-03-09,64.046883,64.046883,63.5,63.5625,1500,46.789111
2001-03-12,62.078121,62.078121,60.0625,60.0625,2500,44.315208
2001-03-13,60.703121,60.703121,60.34375,60.34375,2500,44.522719
2001-03-14,59.84375,60.75,59.453121,59.453121,12400,43.865597
2001-03-15,60.328121,60.46875,60.03125,60.203121,5000,44.418961
2001-03-16,60,60,58.875,58.875,6900,43.439049
2001-03-19,59.203121,59.875,58.765621,59.875,9000,44.176867
2001-03-20,60.03125,60.34375,58.296879,58.296879,4800,43.012501
2001-03-21,58,58,56.8125,57.125,3300,42.147867
2001-03-22,57.046879,57.125,54.796879,56.875,174600,41.963412
2001-03-23,57.515621,58.15625,57.0625,57.9375,16000,42.747344
2001-03-26,58.9375,59.296879,58.765621,58.78125,2000,43.369878
2001-03-27,59,60.328121,59,60.296879,3000,44.488137
2001-03-28,59.234379,59.234379,58.59375,58.65625,70200,43.277651
2001-03-29,58.421879,58.421879,58.421879,58.421879,200,43.104728
2001-03-30,59.015621,59.015621,58.765621,58.765621,200,43.358347
2001-04-02,59.609379,59.609379,58.234379,58.234379,300,42.966387
2001-04-03,57.125,57.125,56.34375,56.421879,2100,41.629091
2001-04-04,56.40625,56.9375,55.625,55.625,6600,41.04114
2001-04-05,57.40625,58.890621,57.40625,58.84375,3300,43.415992
2001-04-06,57.90625,58,57.5,57.828121,3400,42.666643
2001-04-09,58.150002,58.470001,57.720001,58.049999,27700,42.830348
2001-04-10,58.98,60.080002,58.98,59.959999,7200,44.239581
2001-04-11,60.529999,60.529999,59.66,59.950001,5000,44.232204
2001-04-12,59.880001,60.880001,59.709999,60.880001,3900,44.918375
2001-04-16,60.619999,60.799999,60.549999,60.560001,3100,44.682274
2001-04-17,60.73,61.200001,60.630001,61.200001,2400,45.154477
2001-04-18,62.099998,64.620003,62.099998,63.970001,22100,47.198234
2001-04-19,64.010002,64.980003,63.91,64.980003,13700,47.943432
2001-04-20,64.550003,64.550003,64.040001,64.459999,11600,47.559763
2001-04-23,63.950001,63.950001,63.119999,63.119999,1200,46.571087
2001-04-24,63.91,63.91,62.68,62.68,15200,46.246448
2001-04-25,63,63.810001,62.849998,63.700001,2500,46.999023
2001-04-26,64.470001,64.540001,64.089996,64.290001,6900,47.434335
2001-04-27,64.440002,64.669998,64.440002,64.660004,3200,47.70733
2001-04-30,65.709999,65.75,64.379997,64.379997,333700,47.500736
2001-05-01,64.809998,65.550003,64.809998,65.43,800,48.275448
2001-05-02,65.599998,65.889999,65.360001,65.889999,800,48.614843
2001-05-03,65.07,65.07,64.5,64.93,6100,47.906539
2001-05-04,64.339996,65.900002,64,65.900002,2200,48.622223
2001-05-07,65.730003,65.910004,65.5,65.5,2600,48.327095
2001-05-08,65.82,65.82,65.370003,65.709999,1900,48.482036
2001-05-09,65.330002,65.330002,65,65,1700,47.958186
2001-05-10,65.900002,65.970001,65.32,65.32,6700,48.194287
2001-05-11,64.529999,64.529999,64.519997,64.519997,300,47.60403
2001-05-14,64.5,64.610001,64.5,64.610001,800,47.670437
2001-05-15,64.879997,65.190002,64.660004,64.660004,4400,47.70733
2001-05-16,65.650002,66.410004,65.419998,66.410004,18900,48.998512
2001-05-17,67.040001,67.150002,66.459999,66.730003,6800,49.234614
2001-05-18,66.510002,66.75,66.400002,66.75,12800,49.249368
2001-05-21,67.470001,67.839996,67.470001,67.839996,6200,50.053587
2001-05-22,68.029999,68.029999,67.779999,67.779999,800,50.009319
2001-05-23,67.779999,67.779999,67.779999,67.779999,0,50.009319
2001-05-24,66.690002,66.949997,66.300003,66.949997,2400,49.396929
2001-05-25,66.769997,66.769997,66.010002,66.18,4300,48.828811
2001-05-29,65.980003,65.980003,65.470001,65.540001,4600,48.356608
2001-05-30,64.449997,64.57,64.449997,64.57,10300,47.640924
2001-05-31,64.580002,65.050003,64.580002,64.699997,5500,47.736838
2001-06-01,65.010002,65.339996,64.559998,65.080002,207300,48.017212
2001-06-04,65.43,65.5,65.150002,65.5,204700,48.327095
2001-06-05,65.989998,66.519997,65.900002,66.419998,707300,49.005886
2001-06-06,66.25,66.25,65.650002,65.650002,200800,48.437769
2001-06-07,65.870003,65.980003,65.519997,65.849998,1227500,48.58533
2001-06-08,65.790001,65.790001,64.989998,65.269997,110500,48.157394
2001-06-11,65.220001,65.220001,64.599998,64.790001,3100,47.842828
2001-06-12,64.059998,64.650002,63.73,64.650002,6700,47.739448
2001-06-13,64.860001,65.010002,64.760002,64.769997,600,47.828056
2001-06-14,63.5,63.549999,62.75,62.75,310900,46.336432
2001-06-15,62.5,63.040001,62.150002,62.700001,21400,46.299511
2001-06-18,62.759998,62.950001,62.5,62.5,4900,46.151824
2001-06-19,63.279999,63.400002,62.75,62.830002,9800,46.395507
2001-06-20,63.060001,63.580002,62.93,63.509998,10300,46.897637
2001-06-21,63.450001,64.540001,63.43,64.349998,224300,47.517917
2001-06-22,63.93,64.199997,63.59,63.759998,112500,47.082244
2001-06-25,63.959999,64.010002,63.049999,63.23,59400,46.690877
2001-06-26,62.740002,63.259998,62.66,63.189999,6500,46.661339
2001-06-27,62.869999,63.110001,62.709999,62.860001,2600,46.417659
2001-06-28,62.959999,64.110001,62.959999,63.810001,12100,47.119168
2001-06-29,63.540001,64.199997,63.540001,64.199997,208900,47.407152
2001-07-02,63.880001,64.290001,63.810001,64.290001,12600,47.473613
2001-07-03,63.880001,64,63.880001,63.98,5300,47.244699
2001-07-05,63.790001,63.900002,63.200001,63.240002,4800,46.698263
2001-07-06,62.48,62.48,61.279999,61.450001,426200,45.376474
2001-07-09,61.639999,62.07,61.369999,61.849998,21100,45.671844
2001-07-10,62.18,62.18,61,61.009998,8000,45.051564
2001-07-11,61.060001,61.18,60.220001,60.82,47100,44.911263
2001-07-12,61.610001,62.59,61.610001,62.389999,11400,46.070597
2001-07-13,62.419998,62.880001,62.419998,62.880001,8500,46.432428
2001-07-16,62.380001,62.380001,62.16,62.16,400,45.900758
2001-07-17,62.720001,62.720001,62.720001,62.720001,300,46.31428
2001-07-18,62.400002,62.439999,61.970001,62.43,83900,46.100134
2001-07-19,63.049999,63.139999,62.57,62.57,101800,46.203514
2001-07-20,62.549999,62.759998,62.549999,62.68,5300,46.284742
2001-07-23,62.880001,62.880001,61.509998,61.509998,34100,45.420778
2001-07-24,61.209999,61.209999,60.299999,60.5,7400,44.674966
2001-07-25,60.880001,61.200001,60.650002,61.150002,17200,45.154946
2001-07-26,61.759998,62.099998,61.759998,62.099998,600,45.856451
2001-07-27,61.950001,62.23,61.950001,62.150002,2500,45.893375
2001-07-30,62.200001,62.200001,61.939999,61.970001,194600,45.760458
2001-07-31,62.099998,63.060001,62.099998,63.060001,81500,46.565346
2001-08-01,62.470001,62.790001,62.419998,62.419998,900,46.092749
2001-08-02,62.799999,62.900002,62.630001,62.630001,16100,46.247821
2001-08-03,62.27,62.27,62.27,62.27,100,45.981986
2001-08-06,61.939999,61.939999,61.740002,61.740002,700,45.590619
2001-08-07,61.830002,61.93,61.82,61.93,6800,45.73092
2001-08-08,61.799999,62,61.5,61.5,24000,45.413395
2001-08-09,60.720001,60.810001,60.619999,60.619999,1100,44.763577
2001-08-10,60.48,61.349998,60.48,61.349998,300,45.30263
2001-08-13,61.369999,61.369999,61.299999,61.299999,700,45.265709
2001-08-14,61.400002,61.400002,61.02,61.02,800,45.058949
2001-08-15,60.540001,60.75,60.529999,60.639999,6600,44.778346
2001-08-16,60.119999,60.490002,59.889999,60.34,3600,44.556817
2001-08-17,60.189999,60.189999,59.299999,59.459999,3300,43.906999
2001-08-20,59.580002,60.060001,59.580002,60.049999,6300,44.342672
2001-08-21,60.200001,60.560001,59.080002,59.080002,14000,43.626398
2001-08-22,59.419998,59.799999,59,59.799999,7300,44.158065
2001-08-23,59.610001,59.639999,59.509998,59.639999,1100,44.039916
2001-08-24,59.610001,60.799999,59.610001,60.650002,6600,44.785731
2001-08-27,60.880001,60.98,60.700001,60.880001,4400,44.95557
2001-08-28,60.43,60.630001,59.549999,59.549999,11100,43.973458
2001-08-29,59.939999,59.939999,58.799999,58.799999,83000,43.419636
2001-08-30,57.84,57.98,57.349998,57.98,3500,42.814124
2001-08-31,58.02,58.18,57.759998,57.98,2700,42.814124
2001-09-04,57.849998,59.23,57.849998,57.900002,6800,42.755051
2001-09-05,57.779999,58,57.119999,58,3800,42.828893
2001-09-06,57.5,57.5,56.849998,57.139999,1900,42.193843
2001-09-07,56.240002,56.32,55.549999,55.869999,2700,41.256038
2001-09-10,55.619999,56.029999,55.619999,56.029999,11900,41.374187
2001-09-17,53.48,54.279999,52.860001,53.299999,35000,39.358275
2001-09-18,53.259998,53.59,52.77,52.880001,14600,39.048136
2001-09-19,53.220001,53.220001,50.349998,52.200001,314100,38.546004
2001-09-20,50.759998,51.540001,50.32,50.5,11400,37.290674
2001-09-21,48.009998,50.009998,47.720001,49.5,44700,36.552245
2001-09-24,51.029999,51.880001,50.700001,51.630001,57000,38.1251
2001-09-25,51.599998,52.119999,51.25,52.119999,8900,38.486929
2001-09-26,52.5,52.5,51.599998,51.740002,15600,38.206327
2001-09-27,51.77,52.330002,51.299999,52.240002,4700,38.575542
2001-09-28,52.939999,53.509998,52.689999,53.509998,6900,39.513345
2001-10-01,53.419998,53.75,52.889999,53.75,20900,39.690569
2001-10-02,53.439999,53.990002,53.200001,53.98,44900,40.010026
2001-10-03,53.360001,55.41,53.360001,54.959999,96000,40.736402
2001-10-04,55.529999,55.869999,54.950001,55.200001,59900,40.914292
2001-10-05,55.049999,55.110001,53.93,55.110001,15800,40.847583
2001-10-08,54.459999,54.990002,54.32,54.59,13000,40.462159
2001-10-09,54.549999,54.619999,54.049999,54.299999,68000,40.24721
2001-10-10,53.990002,55.740002,53.990002,55.669998,35600,41.262654
2001-10-11,56.220001,56.610001,56.02,56.549999,15600,41.914912
2001-10-12,56.099998,56.43,55.25,56.130001,26300,41.603609
2001-10-15,55.799999,56.189999,55.450001,56.130001,6200,41.603609
2001-10-16,56.349998,56.75,56.009998,56.5,181700,41.877852
2001-10-17,57.060001,57.16,55.5,55.5,20400,41.136651
2001-10-18,55.310001,55.66,54.939999,55.279999,7300,40.973586
2001-10-19,54.73,55.669998,54.73,55.43,143700,41.084767
2001-10-22,55.389999,56.439999,55.360001,56.43,113600,41.825968
2001-10-23,56.66,56.709999,55.799999,56.27,6100,41.707376
2001-10-24,55.93,56.299999,55.869999,56,7600,41.507252
2001-10-25,55.18,56.759998,55.07,56.619999,8800,41.966796
2001-10-26,56.669998,57.139999,56.34,56.700001,6000,42.026093
2001-10-29,56.599998,56.599998,55.790001,55.790001,109700,41.3516
2001-10-30,54.919998,55.5,54.169998,54.41,14600,40.328742
2001-10-31,54.810001,55.459999,54.75,54.759998,7200,40.588161
2001-11-01,55.169998,56,54.900002,56,4800,41.507252
2001-11-02,55.91,56.290001,55.869999,56.240002,1900,41.685141
2001-11-05,56.759998,57.16,56.5,56.869999,73400,42.152096
2001-11-06,56.869999,57.82,56.400002,57.57,84500,42.670937
2001-11-07,57.57,58.099998,57.349998,57.700001,16100,42.767294
2001-11-08,58.07,58.48,57.57,57.57,6100,42.670937
2001-11-09,57.540001,58.130001,57.540001,57.970001,42000,42.967418
2001-11-12,57.540001,57.900002,56.779999,57.650002,14200,42.730234
2001-11-13,58.57,58.860001,58.290001,58.700001,3900,43.508495
2001-11-14,59.41,59.459999,58.900002,59.09,4900,43.797563
2001-11-15,59.080002,59.380001,58.91,59.209999,4800,43.886506
2001-11-16,59.360001,59.360001,58.540001,58.93,15100,43.678971
2001-11-19,59.310001,59.849998,59.07,59.849998,16300,44.360874
2001-11-20,59.34,59.799999,58.34,59.189999,14600,43.871682
2001-11-21,59.209999,59.209999,58.439999,58.860001,13700,43.627087
2001-11-23,58.93,59.610001,58.73,59.470001,2600,44.07922
2001-11-26,59.66,59.939999,59.299999,59.790001,5800,44.316404
2001-11-27,59.630001,59.880001,59.02,59.759998,4700,44.294166
2001-11-28,58.75,58.950001,58.200001,58.290001,10400,43.204603
2001-11-29,58.349998,58.740002,58.110001,58.669998,29000,43.486257
2001-11-30,58.720001,58.939999,58.490002,58.889999,12100,43.649322
2001-12-03,58.27,58.360001,57.970001,58.099998,6000,43.063773
2001-12-04,58.43,58.720001,58.029999,58.720001,7600,43.523319
2001-12-05,59.25,60.18,59.25,59.869999,24900,44.375699
2001-12-06,59.759998,60.169998,59.700001,60.07,21300,44.523939
2001-12-07,59.700001,59.700001,59.029999,59.130001,18700,43.827211
2001-12-10,58.959999,59.419998,58.490002,58.490002,4300,43.352843
2001-12-11,58.740002,58.880001,58.099998,58.099998,47600,43.063773
2001-12-12,58.400002,58.400002,57.639999,58.360001,93400,43.256486
2001-12-13,57.41,57.98,57.029999,57.029999,40200,42.270688
2001-12-14,57.09,57.709999,57.009998,57.580002,45800,42.678351
2001-12-17,57.310001,58.130001,57.310001,57.900002,10600,43.057613
2001-12-18,58.459999,58.509998,58.080002,58.509998,35600,43.51124
2001-12-19,58.080002,59.110001,57.939999,59.029999,8800,43.897941
2001-12-20,58.98,59.110001,58.419998,58.419998,26200,43.444311
2001-12-21,58.689999,58.93,58.470001,58.93,57800,43.823577
2001-12-24,58.889999,58.889999,58.75,58.75,60800,43.689719
2001-12-26,58.700001,59.369999,58.700001,58.759998,22500,43.697154
2001-12-27,58.98,59.200001,58.889999,59.130001,18300,43.972308
2001-12-28,59.400002,59.549999,59.130001,59.349998,49600,44.135911
2001-12-31,59.220001,59.220001,58.75,58.75,129600,43.689719
2002-01-02,58.240002,58.939999,58.240002,58.939999,23600,43.831012
2002-01-03,58.790001,59.599998,58.790001,59.599998,7900,44.321824
2002-01-04,59.599998,60.169998,59.5,59.900002,112100,44.544923
2002-01-07,60.150002,60.150002,59.360001,59.360001,23400,44.143349
2002-01-08,59.619999,59.66,59.259998,59.32,4400,44.113602
2002-01-09,59.709999,60.07,59.110001,59.110001,5500,43.957435
2002-01-10,58.900002,59.25,58.880001,59.060001,5600,43.920253
2002-01-11,59.25,59.259998,58.599998,58.700001,2100,43.652537
