"Index","open","high","low","close","volume","adjusted"
2003-10-01,71.75,73.290001,71.75,73.150002,1730100,65.446682
2003-10-02,73.190002,73.699997,72.839996,73.5,2448200,65.759823
2003-10-03,74.75,75.75,74.650002,75.190002,1500900,67.271854
2003-10-06,75.199997,75.870003,75.040001,75.779999,904700,67.799718
2003-10-07,75.419998,76.370003,75.150002,76.370003,1065300,68.32759
2003-10-08,76.720001,76.720001,75.550003,75.860001,737000,67.871295
2003-10-09,76.800003,77.580002,75.970001,76.349998,874700,68.309692
2003-10-10,76.599998,76.959999,76.199997,76.730003,223900,68.649679
2003-10-13,76.940002,77.790001,76.940002,77.349998,348300,69.204384
2003-10-14,77.339996,77.790001,77,77.769997,695200,69.580152
2003-10-15,78.599998,78.830002,77.370003,77.559998,616800,69.392268
2003-10-16,77.5,78.190002,77.190002,78.010002,426100,69.794883
2003-10-17,77.900002,78.139999,76.400002,76.5,417700,68.443897
2003-10-20,76.720001,77.029999,76.190002,76.959999,485300,68.855455
2003-10-21,77.160004,77.839996,76.949997,77.599998,298600,69.428056
2003-10-22,76.919998,77.230003,75.830002,75.970001,444700,67.969712
2003-10-23,75.339996,75.800003,74.779999,75.510002,534000,67.558155
2003-10-24,74.550003,74.690002,73.629997,74.629997,322700,66.770822
2003-10-27,75.040001,75.720001,74.93,75.160004,311300,67.245014
2003-10-28,75.5,77.269997,75.5,77.239998,368500,69.105967
2003-10-29,76.959999,77.580002,76.959999,77.5,375400,69.338589
2003-10-30,78.379997,78.43,77.239998,77.370003,501800,69.222281
2003-10-31,77.68,77.75,77.129997,77.339996,525400,69.195435
2003-11-03,77.589996,78.830002,77.589996,78.739998,362100,70.448004
2003-11-04,78.599998,78.900002,78.199997,78.349998,195900,70.099075
2003-11-05,78.300003,78.720001,77.5,78.5,233600,70.23328
2003-11-06,78.690002,79.18,78.129997,79.010002,175200,70.689575
2003-11-07,79.230003,79.68,78.82,78.860001,157200,70.55537
2003-11-10,78.769997,78.900002,77.57,77.620003,115300,69.445954
2003-11-11,77.849998,77.849998,76.900002,77.18,211800,69.052288
2003-11-12,77.400002,78.889999,77.400002,78.870003,182900,70.564318
2003-11-13,78.699997,78.849998,78.279999,78.709999,199000,70.421165
2003-11-14,78.629997,79.099998,77.18,77.209999,216800,69.079127
2003-11-17,77.129997,77.129997,75.580002,76.279999,307600,68.247064
2003-11-18,76.699997,77,75.290001,75.300003,316700,67.37027
2003-11-19,75.279999,76.129997,75.080002,75.970001,162300,67.969712
2003-11-20,76.18,76.660004,75.199997,75.279999,223500,67.352373
2003-11-21,75.550003,75.870003,75.040001,75.720001,111300,67.746039
2003-11-24,76.480003,77.870003,76.480003,77.870003,197600,69.669627
2003-11-25,77.989998,78.339996,77.730003,77.790001,178000,69.59805
2003-11-26,78.400002,78.489998,77.25,78.160004,186700,69.929088
2003-11-28,78.220001,78.550003,78.050003,78.290001,79800,70.045396
2003-12-01,78.699997,79.589996,78.68,79.480003,336100,71.110081
2003-12-02,79.43,79.910004,79.129997,79.150002,280800,70.814831
2003-12-03,79.709999,80.050003,78.510002,78.510002,331100,70.242229
2003-12-04,78.5,78.849998,77.650002,78.760002,609700,70.465902
2003-12-05,78.019997,78.379997,77.379997,77.580002,302400,69.410166
2003-12-08,77.400002,77.919998,77,77.830002,342400,69.633839
2003-12-09,78.230003,78.360001,76.239998,76.239998,439800,68.211276
2003-12-10,76.349998,76.620003,75.459999,76.139999,277000,68.121808
2003-12-11,76.379997,77.849998,76.18,77.620003,424600,69.445954
2003-12-12,78,78,77.25,77.959999,166900,69.750146
2003-12-15,79.5,80,76.75,76.800003,669800,68.712307
2003-12-16,76.699997,77.110001,76,77,247800,68.891243
2003-12-17,76.82,77.059998,76.290001,76.769997,319800,68.685461
2003-12-18,77.059998,78.32,77.019997,78.099998,296500,69.875402
2003-12-19,78.25,78.25,77.550003,77.93,126000,69.785851
2003-12-22,77.68,78.220001,77.550003,78.050003,294400,69.893313
2003-12-23,78.139999,78.839996,78,78.839996,131100,70.600747
2003-12-24,78.75,78.940002,78.410004,78.669998,42600,70.448515
2003-12-26,78.459999,79.25,78.459999,78.809998,54900,70.573883
2003-12-29,79.029999,80.169998,78.949997,80.169998,185500,71.791756
2003-12-30,80.519997,80.519997,79.879997,80.190002,87500,71.80967
2003-12-31,80.5,80.610001,79.75,79.809998,112700,71.469377
2004-01-02,80.599998,80.830002,79.900002,80.059998,72800,71.693251
2004-01-05,80.629997,81.800003,80.629997,81.75,100500,73.206638
2004-01-06,81.919998,82.449997,81.449997,82.269997,75500,73.672292
2004-01-07,82.25,82.949997,81.760002,82.93,111300,74.263321
2004-01-08,83.5,83.839996,83.029999,83.709999,185500,74.961806
2004-01-09,83.379997,84.489998,83.099998,83.400002,152400,74.684205
2004-01-12,83.849998,84.449997,83.339996,84.449997,131700,75.624469
2004-01-13,84.5,84.599998,83.089996,83.650002,184700,74.908078
2004-01-14,84.139999,84.339996,83.68,84.209999,231900,75.409553
2004-01-15,84.279999,84.709999,83,84.239998,262300,75.436416
2004-01-16,84.800003,85.5,84.620003,85.449997,274200,76.519963
2004-01-20,85.849998,85.849998,85.129997,85.849998,329300,76.878162
2004-01-21,86.089996,86.239998,84.709999,85.400002,177500,76.475193
2004-01-22,85.019997,85.989998,84.650002,84.650002,146500,75.803572
2004-01-23,85.099998,85.790001,84.150002,84.660004,219700,75.812529
2004-01-26,84.440002,85.940002,84.379997,85.849998,123000,76.878162
2004-01-27,85.050003,85.949997,84.470001,84.470001,197300,75.642383
2004-01-28,85.279999,86,82.699997,82.959999,257400,74.290185
2004-01-29,82.669998,83.32,81.480003,82.5,312500,73.878259
2004-01-30,82.699997,83.360001,82.150002,82.339996,145400,73.734976
2004-02-02,83.290001,83.290001,81.940002,82.209999,186100,73.618565
2004-02-03,82.480003,82.699997,82.029999,82.379997,205300,73.770797
2004-02-04,81.650002,81.650002,80.330002,80.330002,242800,71.935038
2004-02-05,80.730003,81,80.290001,80.650002,129300,72.221596
2004-02-06,80.68,82.400002,80.68,82.339996,160300,73.734976
2004-02-09,82.559998,82.790001,82.239998,82.269997,65600,73.672292
2004-02-10,82.199997,82.93,82.18,82.650002,183800,74.012584
2004-02-11,82.699997,83.349998,82.370003,83.300003,139500,74.594657
2004-02-12,83.550003,83.580002,82.540001,82.720001,102700,74.075268
2004-02-13,83.629997,83.629997,81.760002,81.980003,175600,73.412605
2004-02-17,82.910004,83.599998,82.220001,82.949997,68600,74.281228
2004-02-18,83.220001,83.309998,82.739998,82.830002,45200,74.173773
2004-02-19,83.32,83.699997,81.68,81.699997,106800,73.161861
2004-02-20,81.089996,81.800003,80.610001,81.43,195300,72.92008
2004-02-23,81.449997,81.550003,79.75,80.050003,135500,71.684301
2004-02-24,79.779999,80.5,79.410004,80.099998,362500,71.729072
2004-02-25,80.050003,80.82,79.599998,80.690002,144100,72.257417
2004-02-26,80.550003,81.300003,80.279999,81.099998,92400,72.624566
2004-02-27,81.449997,81.599998,80.239998,80.849998,126000,72.400692
2004-03-01,81.120003,82.099998,80.900002,82.040001,73400,73.466332
2004-03-02,81.870003,82.389999,81.410004,81.410004,267500,72.902173
2004-03-03,81.260002,81.330002,80.550003,81.230003,98500,72.740984
2004-03-04,81.169998,81.959999,81.029999,81.949997,49600,73.385734
2004-03-05,81.589996,82.529999,81.07,81.730003,108200,73.188731
2004-03-08,82.120003,82.129997,80.150002,80.18,124100,71.800713
2004-03-09,80.300003,80.300003,79.209999,79.629997,218600,71.308188
2004-03-10,79.400002,80.349998,78.25,78.470001,185600,70.269419
2004-03-11,78.089996,79.089996,77.550003,77.599998,209600,69.490336
2004-03-12,77.800003,79.120003,77.650002,79.059998,246800,70.797757
2004-03-15,78.279999,78.809998,77.290001,77.389999,206200,69.302284
2004-03-16,78.290001,78.290001,76.800003,77.580002,225800,69.47243
2004-03-17,78.25,79,78.150002,78.849998,102700,70.609704
2004-03-18,78.040001,78.650002,77.389999,78.330002,144300,70.14405
2004-03-19,78.379997,78.690002,77.440002,77.480003,74700,69.427202
2004-03-22,77.279999,77.370003,75.580002,76.150002,231200,68.235433
