"Index","open","high","low","close","volume","adjusted"
2015-12-03,60.080002,60.080002,59.860001,59.860001,5718300,59.860001
2015-12-04,59.490002,59.490002,59.490002,59.490002,1000,59.490002
2015-12-07,59.490002,59.490002,59.490002,59.490002,0,59.490002
2015-12-08,59.490002,59.490002,59.490002,59.490002,0,59.490002
2015-12-09,59.490002,59.490002,59.490002,59.490002,0,59.490002
2015-12-10,59.490002,59.490002,59.490002,59.490002,0,59.490002
2015-12-11,57.799999,57.799999,57.799999,57.799999,200,57.799999
2015-12-14,57.369999,57.389999,56.990002,56.990002,2300,56.990002
2015-12-15,56.990002,56.990002,56.990002,56.990002,15000,56.990002
2015-12-16,58.349998,58.68,58.189999,58.68,1100,58.68
2015-12-17,58.169998,58.169998,58.169998,58.169998,300,58.169998
2015-12-18,57.43,57.43,57.349998,57.349998,2200,57.349998
2015-12-21,57.349998,57.349998,57.349998,57.349998,0,57.349998
2015-12-22,57.349998,57.349998,57.349998,57.349998,0,57.349998
2015-12-23,58.5,58.709999,58.5,58.709999,300,58.709999
2015-12-24,58.709999,58.709999,58.709999,58.709999,0,58.709999
2015-12-28,58.709999,58.709999,58.709999,58.709999,0,58.709999
2015-12-29,58.709999,58.709999,58.709999,58.709999,0,58.709999
2015-12-30,58.709999,58.709999,58.709999,58.709999,0,58.709999
2015-12-31,58.709999,58.709999,58.709999,58.709999,0,58.709999
2016-01-04,58.709999,58.709999,58.709999,58.709999,0,58.709999
2016-01-05,58.709999,58.709999,58.709999,58.709999,0,58.709999
2016-01-06,58.709999,58.709999,58.709999,58.709999,0,58.709999
2016-01-07,58.709999,58.709999,58.709999,58.709999,0,58.709999
2016-01-08,55.57,55.57,55.110001,55.110001,300,55.110001
2016-01-11,54.68,54.950001,54.68,54.950001,200,54.950001
2016-01-12,54.759998,54.759998,54.759998,54.759998,100,54.759998
2016-01-13,54.759998,54.759998,54.759998,54.759998,0,54.759998
2016-01-14,54.66,54.66,54.66,54.66,100,54.66
2016-01-15,54.66,54.66,54.66,54.66,0,54.66
2016-01-19,54.66,54.66,54.66,54.66,0,54.66
2016-01-20,52.09,52.09,52.09,52.09,100,52.09
2016-01-21,53.459999,53.459999,53.459999,53.459999,200,53.459999
2016-01-22,54.080002,54.080002,54.080002,54.080002,200,54.080002
2016-01-25,53.580002,53.580002,53.580002,53.580002,100,53.580002
2016-01-26,53.84,53.84,53.84,53.84,100,53.84
2016-01-27,54.830002,54.830002,54.830002,54.830002,100,54.830002
2016-01-28,54.830002,54.830002,54.830002,54.830002,0,54.830002
2016-01-29,55.450001,56.23,55.450001,56.23,1900,56.23
2016-02-01,55.959999,56.43,55.919998,56.310001,1600,56.310001
2016-02-02,55.299999,55.459999,55.130001,55.279999,1500,55.279999
2016-02-03,55.279999,55.279999,55.279999,55.279999,0,55.279999
2016-02-04,56.02,56.279999,56.02,56.279999,400,56.279999
2016-02-05,56.040001,56.040001,55.73,55.73,1200,55.73
2016-02-08,54.599998,54.599998,54.599998,54.599998,100,54.599998
2016-02-09,54.5,54.689999,54.279999,54.57,1100,54.57
2016-02-10,54.639999,54.939999,54.349998,54.349998,1000,54.349998
