"Index","open","high","low","close","volume","adjusted"
2016-04-19,25.17,25.17,25.110001,25.110001,2200,25.110001
2016-04-20,25.110001,25.110001,25.110001,25.110001,0,25.110001
2016-04-21,25.110001,25.110001,25.110001,25.110001,0,25.110001
2016-04-22,25.110001,25.110001,25.110001,25.110001,0,25.110001
2016-04-25,25.110001,25.110001,25.110001,25.110001,5000,25.110001
2016-04-26,25.07,25.1,25.058001,25.09,1500,25.09
2016-04-27,25.07,25.07,25.07,25.07,100,25.07
2016-04-28,25.23,25.23,25.23,25.23,100,25.23
2016-04-29,25.23,25.23,25.23,25.23,0,25.23
2016-05-02,25.23,25.23,25.23,25.23,0,25.23
2016-05-03,24.98,24.98,24.82,24.870001,1100,24.870001
2016-05-04,24.870001,24.870001,24.870001,24.870001,0,24.870001
2016-05-05,24.75,24.75,24.75,24.75,200,24.75
2016-05-06,24.75,24.75,24.75,24.75,0,24.75
2016-05-09,24.75,24.75,24.75,24.75,0,24.75
2016-05-10,24.75,24.75,24.75,24.75,0,24.75
2016-05-11,24.966999,24.966999,24.917999,24.917999,2300,24.917999
2016-05-12,24.917999,24.917999,24.917999,24.917999,0,24.917999
2016-05-13,24.917999,24.917999,24.917999,24.917999,0,24.917999
2016-05-16,24.917999,24.917999,24.917999,24.917999,0,24.917999
2016-05-17,24.709999,24.709999,24.709999,24.709999,200,24.709999
2016-05-18,24.709999,24.709999,24.709999,24.709999,100,24.709999
2016-05-19,24.709999,24.709999,24.709999,24.709999,0,24.709999
2016-05-20,24.709999,24.709999,24.709999,24.709999,0,24.709999
2016-05-23,24.709999,24.709999,24.709999,24.709999,0,24.709999
2016-05-24,24.709999,24.709999,24.709999,24.709999,0,24.709999
2016-05-25,24.799999,24.799999,24.799999,24.799999,200,24.799999
2016-05-26,24.799999,24.799999,24.799999,24.799999,0,24.799999
2016-05-27,24.799999,24.799999,24.799999,24.799999,0,24.799999
2016-05-31,24.799999,24.799999,24.799999,24.799999,0,24.799999
2016-06-01,25.040001,25.059999,25.040001,25.059999,5000,25.059999
2016-06-02,25.059999,25.059999,25.059999,25.059999,0,25.059999
2016-06-03,25.32,25.32,25.309999,25.309999,5000,25.309999
2016-06-06,25.33,25.33,25.33,25.33,7500,25.33
2016-06-07,25.33,25.33,25.33,25.33,0,25.33
2016-06-08,25.33,25.33,25.33,25.33,0,25.33
2016-06-09,25.343,25.343,25.343,25.343,200,25.343
2016-06-10,25.343,25.343,25.343,25.343,0,25.343
2016-06-13,25.343,25.343,25.343,25.343,0,25.343
2016-06-14,24.9,24.9,24.809999,24.809999,2500,24.809999
2016-06-15,24.809999,24.809999,24.809999,24.809999,0,24.809999
2016-06-16,24.809999,24.809999,24.809999,24.809999,0,24.809999
2016-06-17,24.809999,24.809999,24.809999,24.809999,0,24.809999
2016-06-20,24.809999,24.809999,24.809999,24.809999,0,24.809999
2016-06-21,25.120001,25.120001,25.120001,25.120001,1600,25.120001
2016-06-22,25.120001,25.120001,25.120001,25.120001,0,25.120001
2016-06-23,25.120001,25.120001,25.120001,25.120001,0,25.120001
2016-06-24,25.120001,25.120001,25.120001,25.120001,0,25.120001
