"Index","open","high","low","close","volume","adjusted"
2015-07-14,25.004,25.1,24.993999,25.07,344100,24.504412
2015-07-15,25.15,25.15,24.99,25.040001,168300,24.47509
2015-07-16,25.139999,25.24,24.969999,25.200001,95400,24.63148
2015-07-17,25.299999,25.299999,25.1,25.16,84000,24.592381
2015-07-20,25.25,25.25,25.120001,25.190001,153500,24.621705
2015-07-21,25.200001,25.200001,25,25.040001,115300,24.47509
2015-07-22,24.950001,24.99,24.865,24.92,68200,24.357796
2015-07-23,24.99,24.99,24.754,24.768,50700,24.209225
2015-07-24,24.92,24.92,24.57,24.59,34500,24.035241
2015-07-27,24.5,24.559999,24.41,24.48,19700,23.927722
2015-07-28,24.700001,24.85,24.568001,24.82,198000,24.260052
2015-07-29,24.959999,25.07,24.846001,25,90300,24.435991
2015-07-30,25,25.01,24.870001,24.99,53200,24.426216
2015-07-31,25.08,25.08,24.9,24.9,32600,24.338247
2015-08-03,25,25,24.75,24.82,41000,24.260052
2015-08-04,24.73,24.9,24.73,24.799999,33500,24.240502
2015-08-05,24.950001,25.02,24.895,24.895,111200,24.33336
2015-08-06,24.98,24.98,24.67,24.77,27200,24.21118
2015-08-07,24.77,24.77,24.6,24.66,28400,24.103661
2015-08-10,24.879999,24.940001,24.780001,24.93,13400,24.367571
2015-08-11,24.84,24.84,24.700001,24.780001,11200,24.220955
2015-08-12,24.700001,24.870001,24.52,24.856001,19300,24.295241
2015-08-13,24.950001,24.950001,24.780001,24.85,11700,24.289375
2015-08-14,24.85,24.906,24.780001,24.906,20800,24.344112
2015-08-17,24.700001,25,24.700001,24.969999,17100,24.429227
2015-08-18,24.969999,25.006001,24.909,24.948,19700,24.407704
2015-08-19,24.73,24.91,24.656,24.830999,36900,24.293238
2015-08-20,24.639999,24.650999,24.440001,24.440001,30800,23.910707
2015-08-21,24.32,24.32,23.799999,23.799999,49500,23.284566
2015-08-24,22.09,23.51,21.68,22.99,111400,22.492108
2015-08-25,23.59,23.59,22.5,22.5,112900,22.01272
2015-08-26,23.110001,23.32,22.688999,23.281,50400,22.776807
2015-08-27,23.709999,23.809999,23.5,23.77,33800,23.255217
2015-08-28,23.84,23.84,23.65,23.74,14200,23.225866
2015-08-31,23.74,23.74,23.49,23.65,50500,23.137815
2015-09-01,23.16,23.24,22.862,23.02,26700,22.521459
2015-09-02,23.219999,23.246,23.073,23.209999,13600,22.707343
2015-09-03,23.58,23.610001,23.33,23.4,17400,22.893229
2015-09-04,23.049999,23.139999,22.9,23.049999,18500,22.550808
2015-09-08,23.4,23.540001,23.35,23.540001,9300,23.030198
2015-09-09,23.77,23.780001,23.16,23.190001,15600,22.687778
2015-09-10,23.24,23.4,23.200001,23.264,11700,22.760174
2015-09-11,23.16,23.35,23.16,23.35,20000,22.844312
2015-09-14,23.48,23.48,23.299999,23.33,3600,22.824745
2015-09-15,23.309999,23.610001,23.309999,23.559999,40100,23.118137
2015-09-16,23.639999,23.764,23.6,23.76,15000,23.314387
2015-09-17,23.84,23.919001,23.719999,23.77,6400,23.324199
2015-09-18,23.530001,23.65,23.43,23.48,20200,23.039637
2015-09-21,23.610001,23.681,23.540001,23.589001,10800,23.146594
2015-09-22,23.379999,23.379999,23.209999,23.32,12400,22.882638
2015-09-23,23.34,23.35,23.200001,23.27,6300,22.833577
2015-09-24,23.17,23.17,23.040001,23.120001,8300,22.68639
2015-09-25,23.4,23.528999,23.299999,23.309999,5800,22.872826
2015-09-28,23.309999,23.309999,22.954,22.954,15700,22.523503
2015-09-29,22.969999,23.110001,22.969999,23.110001,22100,22.676578
2015-09-30,23.440001,23.440001,23.280001,23.34,17200,22.902264
2015-10-01,23.440001,23.49,23.17,23.190001,20800,22.755077
2015-10-02,23.190001,23.628,23.190001,23.628,16800,23.184862
2015-10-05,23.82,24.17,23.82,24.17,9400,23.716697
2015-10-06,24.209999,24.209999,24.1,24.139999,33300,23.687259
2015-10-07,24.257999,24.356001,24.18,24.309999,67900,23.854071
2015-10-08,24.370001,24.587999,24.27,24.57,43900,24.109195
2015-10-09,24.68,24.68,24.530001,24.59,38400,24.12882
2015-10-12,24.620001,24.620001,24.51,24.565001,13200,24.104289
2015-10-13,24.540001,24.559999,24.426001,24.426001,6800,23.967896
2015-10-14,24.59,24.59,24.32,24.41,3900,23.952196
2015-10-15,24.389999,24.610001,24.385,24.6,8000,24.198112
2015-10-16,24.66,24.74,24.639999,24.73,12800,24.325988
2015-10-19,24.780001,24.780001,24.611,24.719999,23600,24.316151
2015-10-20,24.709999,24.77,24.65,24.709999,103500,24.306314
2015-10-21,24.75,24.823999,24.634001,24.657,39600,24.25418
2015-10-22,24.85,25.207001,24.85,25.18,31600,24.768637
2015-10-23,25.51,25.51,25.247999,25.358,39800,24.943728
2015-10-26,25.389999,25.389999,25.27,25.285999,34300,24.872904
2015-10-27,25.26,25.26,25.169001,25.194,23700,24.782408
2015-10-28,25.34,25.41,25.129999,25.4,21800,24.985042
2015-10-29,25.26,25.351,25.26,25.35,6700,24.93586
2015-10-30,25.34,25.42,25.32,25.360001,19100,24.945696
2015-11-02,25.4,25.549999,25.33,25.537001,25100,25.119805
2015-11-03,25.49,25.65,25.48,25.6,52500,25.181775
2015-11-04,25.66,25.66,25.49,25.540001,5400,25.122756
2015-11-05,25.629999,25.629999,25.33,25.43,17800,25.014552
2015-11-06,25.379999,25.379999,25.040001,25.209999,29900,24.798145
2015-11-09,25.15,25.15,24.91,24.983,10000,24.574855
2015-11-10,24.940001,25.059999,24.938,25.040001,4500,24.630924
2015-11-11,25.129999,25.15,25.040001,25.040001,21400,24.630924
2015-11-12,24.9,24.93,24.719999,24.719999,17600,24.316151
2015-11-13,24.77,24.77,24.52,24.549999,9100,24.148928
2015-11-16,24.5,24.870001,24.5,24.82,20900,24.463345
2015-11-17,25,25.000999,24.805,24.85,17900,24.492914
2015-11-18,24.85,25.139999,24.85,25.139999,12400,24.778746
2015-11-19,25.200001,25.209999,25.129999,25.187,3800,24.825071
2015-11-20,25.200001,25.35,25.15,25.15,25700,24.788603
2015-11-23,25.153999,25.239,25.139999,25.177,7700,24.815215
2015-11-24,25.040001,25.285999,25.040001,25.239,3200,24.876324
2015-11-25,25.23,25.280001,25.190001,25.212,5800,24.849712
2015-11-27,25.202999,25.278999,25.190001,25.278999,15500,24.915749
2015-11-30,25.370001,25.370001,25.18,25.18,27200,24.818172
2015-12-01,25.308001,25.389999,25.25,25.375,16800,25.01037
2015-12-02,25.389999,25.426001,25.129999,25.129999,13400,24.768889
2015-12-03,25.1,25.1,24.780001,24.837999,14700,24.481086
2015-12-04,25.040001,25.280001,25.02,25.280001,17100,24.916736
2015-12-07,25.32,25.32,25.108,25.194,4300,24.831971
2015-12-08,25,25.1,24.93,25.040001,9400,24.680184
2015-12-09,25.110001,25.25,24.82,24.91,15200,24.552051
2015-12-10,24.985001,25.059999,24.93,24.98,12100,24.621045
2015-12-11,24.75,24.75,24.561001,24.58,27400,24.226794
