"Index","open","high","low","close","volume","adjusted"
2007-12-27,25.51,25.51,25.35,25.35,300,16.351681
2007-12-28,25.540001,25.549999,25.530001,25.530001,7400,16.467787
2007-12-31,26,26,25.450001,25.450001,13600,16.416184
2008-01-02,25.57,25.57,25.190001,25.299999,2600,16.319428
2008-01-03,25.15,25.200001,25.15,25.200001,600,16.254925
2008-01-04,24.969999,24.969999,24.700001,24.700001,12900,15.932407
2008-01-07,24.690001,24.99,24.610001,24.99,16600,16.119467
2008-01-08,24.99,25.02,24.91,24.91,5700,16.067864
2008-01-09,24.57,24.57,24.370001,24.370001,600,15.719545
2008-01-10,24.860001,24.860001,24.860001,24.860001,1000,16.035613
2008-01-11,25.66,25.66,24.5,24.58,10500,15.855002
2008-01-14,24.74,24.91,24.74,24.84,7800,16.022712
2008-01-15,24.42,24.450001,24.42,24.450001,2500,15.771148
2008-01-16,24.15,24.41,24.15,24.209999,2500,15.616338
2008-01-17,24.030001,24.030001,23.5,23.5,900,15.158362
2008-01-18,23.440001,23.440001,23.040001,23.299999,35000,15.029355
2008-01-22,22.9,23.15,22.9,23.1,10900,14.900348
2008-01-23,22.85,23.5,22.57,23.469999,137400,15.139011
2008-01-24,23.6,23.620001,23.5,23.57,2100,15.203515
2008-01-25,24.059999,24.059999,23.309999,23.33,26800,15.048706
2008-01-28,23.48,23.66,23.32,23.66,19100,15.261568
2008-01-29,23.940001,23.940001,23.66,23.719999,11500,15.30027
2008-01-30,23.66,24.5,23.639999,23.639999,6300,15.248667
2008-01-31,23.5,24.01,23.5,23.98,4200,15.46798
2008-02-01,23.75,24.120001,23.75,24.110001,3200,15.551835
2008-02-04,24,24,23.940001,23.959999,5900,15.455079
2008-02-05,23.620001,23.82,23.6,23.690001,4100,15.28092
2008-02-06,23.969999,23.969999,23.959999,23.959999,1000,15.455079
2008-02-07,23.959999,23.959999,23.959999,23.959999,0,15.455079
2008-02-08,24.790001,24.790001,23.610001,23.700001,1500,15.28737
2008-02-11,24.59,24.59,23.59,23.639999,1800,15.248667
2008-02-12,23.969999,23.969999,23.9,23.969999,1200,15.461529
2008-02-13,24.01,24.129999,24.01,24.129999,1100,15.564735
2008-02-14,24.15,24.15,24.1,24.1,4400,15.545385
2008-02-15,24.01,24.09,23.940001,24.059999,2600,15.519583
2008-02-19,23.860001,23.860001,23.440001,23.440001,5100,15.119661
2008-02-20,24.049999,25.379999,24.049999,25.379999,1700,16.371031
2008-02-21,24.41,24.41,24.139999,24.139999,3100,15.571185
2008-02-22,23.290001,24.26,23.290001,24.26,4200,15.64859
2008-02-25,25.07,25.07,24.299999,24.34,5200,15.700193
2008-02-26,24.540001,24.799999,24.540001,24.799999,8800,15.99691
2008-02-27,24.719999,25.889999,24.5,24.5,6300,15.803399
2008-02-28,24.530001,24.620001,24.42,24.610001,20300,15.874354
2008-02-29,24.27,24.299999,24.18,24.18,7900,15.596988
2008-03-03,24.139999,24.18,24.08,24.09,8800,15.538934
2008-03-04,24.049999,24.059999,23.82,23.93,3100,15.435728
2008-03-05,24.26,24.309999,24.190001,24.190001,4100,15.603438
2008-03-06,23.940001,23.940001,23.889999,23.889999,500,15.409926
2008-03-07,23.889999,23.889999,23.77,23.83,1000,15.371224
2008-03-10,23.73,23.75,23.450001,23.450001,14600,15.126111
2008-03-11,24.16,24.16,23.959999,24.07,3100,15.526033
2008-03-12,24.370001,24.5,24.200001,24.200001,3700,15.609889
2008-03-13,24.1,24.110001,24,24.110001,600,15.551835
2008-03-14,24.15,24.15,22.799999,23.540001,14900,15.184164
2008-03-17,23.549999,23.549999,23.540001,23.540001,2000,15.184164
2008-03-18,24.209999,24.25,24.16,24.25,1200,15.64214
2008-03-19,24.530001,24.66,24.379999,24.379999,10900,15.725994
2008-03-20,24.049999,24.459999,24.049999,24.25,2600,15.64214
2008-03-24,24.709999,24.73,24.43,24.610001,16100,15.874354
2008-03-25,25.040001,25.040001,24.389999,24.57,5500,15.882756
2008-03-26,24.530001,24.530001,24.4,24.49,2600,15.831042
2008-03-27,24.59,24.59,24.17,24.17,1600,15.624185
2008-03-28,24.469999,24.76,24.24,24.76,2400,16.005578
2008-03-31,24.41,24.49,24.41,24.41,3700,15.779327
2008-04-01,25.24,25.24,24.65,24.809999,5700,16.037899
2008-04-02,25.469999,26.940001,24.6,24.6,5400,15.902149
2008-04-03,25,25,24.82,24.82,4200,16.044363
2008-04-04,24.25,26.49,24.25,24.889999,4600,16.089613
2008-04-07,24.799999,24.950001,24.799999,24.950001,700,16.1284
2008-04-08,24.559999,24.969999,24.559999,24.969999,5900,16.141327
2008-04-09,25.01,25.01,24.91,24.91,4100,16.102542
2008-04-10,25.1,25.1,24.959999,24.959999,1200,16.134863
2008-04-11,24.870001,24.879999,24.639999,24.75,4000,15.999113
2008-04-14,25.370001,25.370001,24.799999,24.85,3800,16.063757
2008-04-15,24.76,24.84,24.75,24.84,1700,16.057292
2008-04-16,24.99,25.049999,24.889999,25.02,4000,16.173649
2008-04-17,24.959999,25.030001,24.959999,25.030001,3100,16.180114
2008-04-18,25.389999,25.4,25.34,25.370001,1400,16.3999
2008-04-21,24.52,24.98,24.52,24.889999,2400,16.089613
2008-04-22,24.82,24.82,24.700001,24.74,2700,15.992649
2008-04-23,25.02,25.1,24.92,24.99,600,16.154256
2008-04-24,24.9,25.110001,24.9,25.09,77700,16.218899
2008-04-25,25.200001,25.299999,25.01,25.290001,9100,16.348186
2008-04-28,25.780001,25.780001,25.18,25.18,6200,16.277078
2008-04-29,25.09,25.129999,25.09,25.129999,300,16.244756
2008-04-30,25.25,26.709999,25.09,26.709999,6000,17.266113
2008-05-01,26.6,26.6,25.049999,25.299999,5600,16.354649
2008-05-02,25.360001,25.440001,25.299999,25.33,10000,16.374042
2008-05-05,25.42,25.42,25.34,25.34,3200,16.380506
2008-05-06,25.75,25.75,25.290001,25.4,1500,16.419292
2008-05-07,25.33,25.459999,25.24,25.299999,8300,16.354649
2008-05-08,25.379999,25.379999,25.280001,25.370001,2700,16.3999
2008-05-09,25.18,25.24,25.18,25.219999,3200,16.302934
2008-05-12,25.51,25.51,25.280001,25.4,14800,16.419292
2008-05-13,26.15,26.15,25.389999,25.469999,5400,16.464542
2008-05-14,25.469999,25.889999,25.469999,25.59,5600,16.542114
2008-05-15,25.700001,25.700001,25.52,25.52,2800,16.496864
2008-05-16,25.620001,25.690001,25.469999,25.690001,5300,16.606757
2008-05-19,25.6,25.68,25.52,25.52,3500,16.496864
2008-05-20,25.59,25.59,25.4,25.49,4500,16.477471
2008-05-21,25.459999,25.459999,25.219999,25.370001,2100,16.3999
2008-05-22,25.25,25.34,25.190001,25.190001,6400,16.283542
2008-05-23,25.139999,25.139999,24.940001,24.99,2200,16.154256
2008-05-27,25.040001,25.120001,24.98,25.120001,3400,16.238293
2008-05-28,25.34,25.34,25.07,25.209999,6800,16.29647
2008-05-29,25.33,25.389999,25.299999,25.389999,600,16.412827
2008-05-30,25.43,25.450001,25.42,25.42,1000,16.432221
2008-06-02,25.23,25.26,25.15,25.15,3700,16.257685
2008-06-03,25.26,25.309999,25,25.139999,7400,16.25122
2008-06-04,24.9,25.23,24.9,25.059999,6500,16.199506
2008-06-05,25.26,25.309999,25.219999,25.309999,600,16.361113
2008-06-06,25.32,25.49,24.99,25,8200,16.160721
2008-06-09,25,25.540001,24.77,24.77,5800,16.012042
2008-06-10,24.84,24.870001,24.709999,24.870001,6900,16.076685
2008-06-11,24.549999,24.620001,24.5,24.620001,128100,15.915078
2008-06-12,24.309999,25.059999,24.309999,24.389999,14800,15.766399
2008-06-13,24.629999,24.879999,24.57,24.879999,8900,16.083149
2008-06-16,24.879999,25.030001,24.549999,24.969999,5700,16.141327
2008-06-17,24.9,24.9,24.690001,24.690001,5000,15.960328
2008-06-18,24.5,24.6,24.389999,24.51,6600,15.843971
2008-06-19,24.34,24.370001,24.34,24.370001,800,15.753471
2008-06-20,24.07,24.07,23.799999,23.870001,4500,15.582437
2008-06-23,23.950001,23.98,23.879999,23.91,5800,15.608548
2008-06-24,23.84,24.030001,23.76,23.870001,9300,15.582437
2008-06-25,24.110001,24.219999,23.99,24.09,5300,15.726053
2008-06-26,24.959999,25.5,23.59,23.59,21300,15.399651
2008-06-27,23.700001,23.700001,23.440001,23.59,17800,15.399651
2008-06-30,23.549999,23.76,23.440001,23.610001,14200,15.412707
2008-07-01,23.440001,23.690001,23.26,23.67,18500,15.451875
2008-07-02,25.35,25.35,23.32,23.35,9700,15.242978
2008-07-03,23.27,23.459999,23.27,23.43,31800,15.295203
2008-07-07,23.5,23.5,22.950001,23.290001,3000,15.20381
2008-07-08,23.23,23.6,23.1,23.6,61700,15.406179
2008-07-09,23.99,23.99,23.1,23.190001,13500,15.13853
2008-07-10,23.1,23.32,23.059999,23.299999,6600,15.210337
2008-07-11,23.700001,23.700001,22.790001,22.84,6700,14.910048
2008-07-14,23.02,23.08,22.719999,22.91,9300,14.955744
2008-07-15,22.48,22.780001,22.41,22.780001,2800,14.87088
2008-07-16,22.549999,23.17,22.549999,23.17,117900,15.125473
2008-07-17,23.67,23.67,23.25,23.6,50200,15.406179
2008-07-18,23.6,23.620001,23.370001,23.620001,3000,15.419236
2008-07-21,23.549999,23.57,23.360001,23.4,4700,15.275618
2008-07-22,23.42,23.74,23.4,23.74,27500,15.497571
2008-07-23,23.610001,23.709999,22.110001,23.610001,37500,15.412707
2008-07-24,23.549999,23.559999,23.41,23.43,6300,15.295203
2008-07-25,23.48,23.48,23.440001,23.440001,3000,15.301731
2008-07-28,23.450001,23.469999,23.23,23.23,13600,15.164641
2008-07-29,23.27,23.549999,23.27,23.549999,18900,15.373538
2008-07-30,23.549999,23.74,23.51,23.74,7700,15.497571
2008-07-31,23.709999,23.75,23.68,23.68,6200,15.458404
2008-08-01,23.77,23.77,23.440001,23.620001,13600,15.419236
2008-08-04,23.540001,23.58,23.360001,23.49,5400,15.33437
2008-08-05,23.51,23.969999,23.5,23.780001,49700,15.523684
2008-08-06,24.17,24.17,23.77,24.02,14100,15.680357
