"Index","open","high","low","close","volume","adjusted"
2007-03-01,23.68,24.18,23.59,24,264100,23.177808
2007-03-02,23.9,23.969999,23.52,23.559999,94300,22.752881
2007-03-05,23.299999,23.469999,23.08,23.08,44000,22.289325
2007-03-06,23.5,23.790001,23.42,23.700001,45800,22.888086
2007-03-07,23.690001,23.93,23.65,23.700001,136400,22.888086
2007-03-08,24.049999,24.26,24,24.049999,82600,23.226094
2007-03-09,24.25,24.25,24.049999,24.18,40500,23.351642
2007-03-12,24.17,24.309999,24.02,24.26,66900,23.428901
2007-03-13,24.17,24.25,23.68,23.68,49400,22.868771
2007-03-14,23.82,23.82,23.43,23.799999,38100,22.984659
2007-03-15,23.9,24.01,23.799999,23.969999,21100,23.148835
2007-03-16,24.02,24.030001,23.73,23.83,49500,23.013632
2007-03-19,24.040001,24.17,23.940001,24.17,30200,23.341984
2007-03-20,24.209999,24.389999,24.16,24.370001,51900,23.535133
2007-03-21,24.469999,24.84,24.370001,24.799999,246200,23.950401
2007-03-22,24.950001,26.58,24.709999,24.809999,161200,23.960058
2007-03-23,24.870001,24.969999,24.85,24.91,86700,24.056633
2007-03-26,25,25.01,24.610001,24.870001,97700,24.018004
2007-03-27,24.879999,24.879999,24.74,24.809999,96200,23.960058
2007-03-28,24.65,24.73,24.51,24.549999,48200,23.708965
2007-03-29,24.799999,24.870001,24.450001,24.690001,61800,23.84417
2007-03-30,24.75,24.9,24.6,24.73,42300,23.882799
2007-04-02,24.83,24.950001,24.73,24.92,55300,24.066291
2007-04-03,25.059999,25.219999,25.059999,25.16,211100,24.298068
2007-04-04,25.25,25.27,25.110001,25.26,266000,24.394643
2007-04-05,25.280001,25.33,25.15,25.299999,219700,24.433272
2007-04-09,25.549999,25.549999,25.34,25.42,207100,24.549162
2007-04-10,25.51,25.610001,25.41,25.49,122800,24.616763
2007-04-11,25.540001,25.540001,25.190001,25.26,97900,24.394643
2007-04-12,25.280001,25.389999,25.17,25.379999,64800,24.510531
2007-04-13,25.440001,25.459999,25.280001,25.459999,146800,24.58779
2007-04-16,25.65,25.790001,25.5,25.690001,153400,24.809912
2007-04-17,25.68,26.280001,25.59,25.700001,72300,24.81957
2007-04-18,25.549999,25.700001,25.4,25.620001,136700,24.742311
2007-04-19,25.549999,25.65,25.35,25.559999,43100,24.684365
2007-04-20,25.82,25.93,25.65,25.799999,92600,24.916143
2007-04-23,25.860001,26.01,25.85,25.959999,76500,25.070661
2007-04-24,25.99,25.99,25.75,25.9,81700,25.012717
2007-04-25,25.969999,26.530001,25.85,26.02,55600,25.128607
2007-04-26,26.139999,26.190001,25.99,26.139999,72300,25.244495
2007-04-27,26,26.120001,25.92,26.08,43200,25.186551
2007-04-30,26.01,26.049999,25.629999,25.67,94000,24.790597
2007-05-01,25.559999,25.65,25.33,25.5,48600,24.626421
2007-05-02,25.530001,26.07,25.530001,26.01,62800,25.118949
2007-05-03,26.049999,26.049999,25.83,25.93,73300,25.04169
2007-05-04,26,26.6,25.940001,26.040001,34100,25.147922
2007-05-07,26.17,26.17,25.98,26.059999,65900,25.167236
