"Index","open","high","low","close","volume","adjusted"
2004-12-09,14.77,14.84,14.66,14.79,935000,9.017978
2004-12-10,14.8,14.91,14.74,14.86,573600,9.060659
2004-12-13,14.93,15.11,14.92,15.11,526700,9.213093
2004-12-14,15.13,15.18,15.06,15.18,659300,9.255775
2004-12-15,15.15,15.22,15.12,15.22,483600,9.280164
2004-12-16,15.19,15.22,15.05,15.11,513300,9.213093
2004-12-17,15.08,15.11,15.03,15.09,437600,9.217369
2004-12-20,15.13,15.19,15.07,15.1,462400,9.223478
2004-12-21,15.15,15.25,15.13,15.25,475500,9.315101
2004-12-22,15.25,15.31,15.23,15.28,481900,9.333426
2004-12-23,15.29,15.33,15.27,15.3,362100,9.345643
2004-12-27,15.33,15.34,15.18,15.19,285000,9.278451
2004-12-28,15.23,15.33,15.23,15.33,332400,9.363967
2004-12-29,15.31,15.34,15.27,15.33,280200,9.363967
2004-12-30,15.33,15.36,15.31,15.33,248400,9.363967
2004-12-31,15.29,15.37,15.26,15.27,345500,9.332797
2005-01-03,15.31,15.31,15.08,15.1,399500,9.228896
2005-01-04,15.15,15.16,14.97,14.99,407500,9.161665
2005-01-05,14.93,14.98,14.8,14.8,390500,9.04554
2005-01-06,14.83,14.88,14.74,14.81,372300,9.051652
2005-01-07,14.86,14.87,14.7,14.7,367900,8.984421
2005-01-10,14.72,14.9,14.72,14.8,387700,9.04554
2005-01-11,14.77,14.79,14.67,14.7,382200,8.984421
2005-01-12,14.72,14.72,14.55,14.7,415100,8.984421
2005-01-13,14.7,14.72,14.54,14.59,397100,8.917191
2005-01-14,14.65,14.72,14.61,14.71,260600,8.990533
2005-01-18,14.69,14.89,14.65,14.88,348200,9.094435
2005-01-19,14.88,14.88,14.74,14.75,401100,9.014981
2005-01-20,14.73,14.73,14.62,14.65,325000,8.953862
2005-01-21,14.67,14.72,14.6,14.65,312600,8.953862
2005-01-24,14.7,14.73,14.6,14.62,281900,8.935527
2005-01-25,14.69,14.69,14.54,14.57,326600,8.904967
2005-01-26,14.62,14.74,14.6,14.74,427600,9.008869
2005-01-27,14.71,14.75,14.62,14.66,203100,8.959974
2005-01-28,14.66,14.66,14.5,14.57,379000,8.904967
2005-01-31,14.69,14.8,14.67,14.79,442100,9.039428
2005-02-01,14.74,14.81,14.7,14.78,304400,9.033316
2005-02-02,14.76,14.84,14.73,14.84,267400,9.069987
2005-02-03,14.81,14.81,14.74,14.8,210200,9.04554
2005-02-04,14.81,14.95,14.8,14.95,351600,9.137218
2005-02-07,14.94,14.94,14.85,14.91,275100,9.11277
2005-02-08,14.91,14.93,14.87,14.93,234000,9.124994
2005-02-09,14.94,14.96,14.79,14.79,250700,9.039428
2005-02-10,14.83,14.85,14.78,14.84,234700,9.069987
2005-02-11,14.83,14.95,14.75,14.94,211900,9.131106
2005-02-14,14.94,14.98,14.92,14.98,222800,9.155553
2005-02-15,15,15.06,14.95,15,402300,9.167777
2005-02-16,14.97,15.03,14.91,14.98,279200,9.155553
2005-02-17,14.99,14.99,14.85,14.87,319900,9.088323
2005-02-18,14.9,14.9,14.77,14.84,278600,9.069987
2005-02-22,14.78,14.79,14.56,14.57,547000,8.904967
2005-02-23,14.57,14.68,14.57,14.6,255400,8.923303
2005-02-24,14.65,14.73,14.57,14.69,156500,8.978309
2005-02-25,14.72,14.87,14.66,14.87,178100,9.088323
2005-02-28,14.87,14.9,14.74,14.82,371700,9.057763
2005-03-01,14.85,14.97,14.85,14.94,198000,9.131106
2005-03-02,14.89,14.99,14.84,14.89,214000,9.100547
2005-03-03,14.92,14.96,14.8,14.95,444700,9.137218
2005-03-04,14.99,15.12,14.99,15.1,226000,9.228896
2005-03-07,15.1,15.17,15.08,15.12,189100,9.241119
2005-03-08,15.09,15.1,14.98,15.04,207200,9.192224
2005-03-09,15.01,15.01,14.86,14.88,190300,9.094435
2005-03-10,14.9,14.97,14.84,14.9,182300,9.106658
2005-03-11,14.92,14.96,14.8,14.85,149000,9.076099
2005-03-14,14.9,15.01,14.9,15.01,172700,9.173889
2005-03-15,15.08,15.11,14.92,14.94,151900,9.131106
2005-03-16,14.9,14.92,14.78,14.81,266400,9.051652
2005-03-17,14.82,14.88,14.76,14.86,157700,9.082211
2005-03-18,14.72,14.72,14.59,14.67,205800,9.084689
2005-03-21,14.65,14.66,14.55,14.63,291800,9.059918
2005-03-22,14.64,14.68,14.43,14.46,266500,8.954642
2005-03-23,14.4,14.49,14.37,14.43,220100,8.936064
2005-03-24,14.46,14.53,14.41,14.42,207100,8.929871
2005-03-28,14.45,14.52,14.44,14.47,193100,8.960835
2005-03-29,14.42,14.53,14.33,14.36,200600,8.892715
2005-03-30,14.44,14.57,14.41,14.57,158600,9.022761
2005-03-31,14.56,14.61,14.54,14.56,133400,9.016569
2005-04-01,14.66,14.7,14.43,14.51,140800,9.008498
2005-04-04,14.45,14.52,14.36,14.52,182300,9.014706
2005-04-05,14.56,14.58,14.52,14.56,140500,9.03954
2005-04-06,14.6,14.67,14.56,14.59,134200,9.058165
2005-04-07,14.58,14.67,14.56,14.64,127200,9.089208
2005-04-08,14.67,14.67,14.5,14.5,122500,9.002289
2005-04-11,14.54,14.56,14.48,14.49,95600,8.99608
2005-04-12,14.47,14.7,14.39,14.68,108700,9.114042
2005-04-13,14.64,14.64,14.47,14.5,116800,9.002289
2005-04-14,14.51,14.51,14.36,14.37,110500,8.921579
2005-04-15,14.31,14.43,14.2,14.23,224000,8.83466
2005-04-18,14.24,14.37,14.16,14.32,260300,8.890536
2005-04-19,14.37,14.4,14.3,14.4,285500,8.940204
2005-04-20,14.33,14.37,14.16,14.19,124100,8.809826
2005-04-21,14.29,14.4,14.2,14.35,166900,8.909162
2005-04-22,14.36,14.41,14.22,14.34,173600,8.902954
2005-04-25,14.37,14.48,14.36,14.48,165700,8.989872
2005-04-26,14.43,14.5,14.31,14.31,194000,8.884328
2005-04-27,14.3,14.48,14.2,14.4,149100,8.940204
2005-04-28,14.37,14.37,14.24,14.26,131100,8.853286
2005-04-29,14.31,14.41,14.16,14.41,111000,8.946413
2005-05-02,14.46,14.53,14.39,14.52,154700,9.014706
2005-05-03,14.54,14.63,14.46,14.48,239100,8.989872
2005-05-04,14.57,14.71,14.53,14.7,219300,9.126458
2005-05-05,14.67,14.73,14.55,14.62,244700,9.076791
2005-05-06,14.65,14.66,14.57,14.6,157800,9.064374
2005-05-09,14.6,14.72,14.55,14.72,155700,9.138876
2005-05-10,14.63,14.69,14.56,14.59,187500,9.058165
2005-05-11,14.62,14.67,14.5,14.65,171800,9.095416
2005-05-12,14.68,14.69,14.48,14.5,132500,9.002289
2005-05-13,14.51,14.55,14.32,14.43,156800,8.95883
2005-05-16,14.48,14.68,14.47,14.68,137200,9.114042
2005-05-17,14.64,14.81,14.6,14.78,124900,9.176126
2005-05-18,14.88,14.96,14.84,14.92,219300,9.263045
2005-05-19,14.9,14.96,14.85,14.93,174100,9.269254
2005-05-20,14.89,14.89,14.77,14.88,244500,9.238211
2005-05-23,14.88,14.94,14.83,14.89,163000,9.24442
2005-05-24,14.86,14.9,14.8,14.88,163300,9.238211
2005-05-25,14.83,14.84,14.72,14.8,135000,9.188543
2005-05-26,14.81,14.88,14.8,14.88,161100,9.238211
2005-05-27,14.87,14.91,14.8,14.91,78900,9.256836
2005-05-31,14.92,14.98,14.86,14.9,127600,9.250628
2005-06-01,14.9,15.1,14.89,15.03,190400,9.331338
2005-06-02,15.04,15.08,15,15.07,121400,9.356172
2005-06-03,15.1,15.1,14.94,15.04,156200,9.337547
2005-06-06,14.99,15.02,14.91,14.99,128400,9.306504
2005-06-07,15.02,15.12,14.97,15.01,164900,9.318921
2005-06-08,15.03,15.04,14.91,14.95,142400,9.28167
2005-06-09,14.89,14.98,14.83,14.95,174400,9.28167
2005-06-10,15,15,14.9,14.93,124400,9.269254
2005-06-13,14.92,15.04,14.89,14.99,111900,9.306504
2005-06-14,15.02,15.08,14.98,15.06,110000,9.349964
2005-06-15,15.1,15.1,14.98,15.07,123400,9.356172
2005-06-16,15.08,15.19,15.04,15.18,252100,9.424466
2005-06-17,15.11,15.14,15.04,15.12,157500,9.467042
2005-06-20,15.06,15.12,15.01,15.1,162900,9.45452
2005-06-21,15.11,15.11,15.01,15.07,150000,9.435736
2005-06-22,15.15,15.15,15.05,15.13,145200,9.473303
2005-06-23,15.1,15.11,14.95,14.96,236900,9.366862
2005-06-24,14.95,14.95,14.84,14.88,418600,9.316772
2005-06-27,14.86,14.92,14.83,14.91,212100,9.335555
2005-06-28,14.98,15.1,14.98,15.1,156500,9.45452
2005-06-29,15.11,15.14,15.04,15.11,171100,9.460781
2005-06-30,15.13,15.16,15.01,15.01,146400,9.398168
2005-07-01,15.12,15.17,15.08,15.14,127100,9.479565
2005-07-05,15.13,15.27,15.08,15.27,121700,9.560961
2005-07-06,15.26,15.26,15.1,15.1,131100,9.45452
2005-07-07,15,15.14,14.95,15.14,271200,9.479565
2005-07-08,15.15,15.33,15.11,15.33,157100,9.598529
2005-07-11,15.32,15.44,15.32,15.44,256400,9.667403
2005-07-12,15.46,15.55,15.41,15.46,180700,9.679925
2005-07-13,15.52,15.53,15.46,15.51,169700,9.711232
2005-07-14,15.56,15.6,15.42,15.47,181700,9.686187
2005-07-15,15.47,15.49,15.38,15.48,132200,9.692448
2005-07-18,15.48,15.48,15.36,15.4,135200,9.642357
2005-07-19,15.44,15.48,15.4,15.46,178200,9.679925
2005-07-20,15.46,15.62,15.42,15.61,117300,9.773844
2005-07-21,15.63,15.63,15.4,15.4,165700,9.642357
2005-07-22,15.43,15.55,15.39,15.55,140600,9.736277
2005-07-25,15.57,15.61,15.44,15.5,223100,9.70497
2005-07-26,15.51,15.56,15.45,15.54,183300,9.730015
2005-07-27,15.56,15.56,15.46,15.54,145700,9.730015
2005-07-28,15.58,15.64,15.49,15.64,174400,9.792628
2005-07-29,15.67,15.69,15.52,15.55,161300,9.736277
2005-08-01,15.58,15.58,15.47,15.5,132500,9.70497
2005-08-02,15.51,15.59,15.5,15.55,149700,9.736277
2005-08-03,15.55,15.62,15.52,15.6,124500,9.767583
2005-08-04,15.56,15.56,15.41,15.44,185900,9.667403
2005-08-05,15.4,15.4,15.18,15.22,167200,9.529655
2005-08-08,15.25,15.27,15.08,15.08,202700,9.441997
2005-08-09,15.18,15.19,15.1,15.13,116300,9.473303
2005-08-10,15.28,15.32,15.04,15.14,150200,9.479565
2005-08-11,15.15,15.26,15.11,15.21,116100,9.523394
2005-08-12,15.2,15.21,15.05,15.18,167700,9.50461
2005-08-15,15.16,15.29,15.09,15.28,125100,9.567222
2005-08-16,15.26,15.26,15.1,15.11,252000,9.460781
2005-08-17,15.08,15.16,15.02,15.12,250200,9.467042
2005-08-18,15.05,15.14,15.01,15.12,144400,9.467042
2005-08-19,15.12,15.15,15.09,15.12,144800,9.467042
2005-08-22,15.16,15.2,15.1,15.19,149300,9.510871
2005-08-23,15.18,15.2,15.07,15.15,125800,9.485826
