"Index","open","high","low","close","volume","adjusted"
2005-09-15,14.88,14.88,14.82,14.84,36300,11.691577
2005-09-16,14.94,14.99,14.9,14.99,18300,11.809753
2005-09-19,14.95,14.95,14.87,14.87,10300,11.715212
2005-09-20,14.92,14.95,14.77,14.8,12400,11.660063
2005-09-21,14.75,14.75,14.63,14.63,17600,11.52613
2005-09-22,14.6,14.72,14.6,14.72,168500,11.597036
2005-09-23,14.72,14.75,14.69,14.72,7300,11.597036
2005-09-26,14.82,14.82,14.69,14.69,6900,11.5734
2005-09-27,14.73,14.77,14.67,14.77,8100,11.636428
2005-09-28,14.8,14.8,14.67,14.72,11700,11.597036
2005-09-29,14.64,14.84,14.63,14.84,18700,11.691577
2005-09-30,14.86,14.86,14.79,14.82,10800,11.67582
2005-10-03,14.87,14.87,14.76,14.8,36000,11.660063
2005-10-04,14.83,14.83,14.69,14.69,13500,11.5734
2005-10-05,14.63,14.65,14.56,14.56,13000,11.470981
2005-10-06,14.57,14.59,14.41,14.41,12700,11.352804
2005-10-07,14.57,14.57,14.49,14.51,19000,11.431589
2005-10-10,14.54,14.54,14.46,14.46,20300,11.392197
2005-10-11,14.4,14.5,14.4,14.46,29100,11.392197
2005-10-12,14.4,14.48,14.34,14.41,30800,11.352804
2005-10-13,14.43,14.44,14.34,14.42,25200,11.360683
2005-10-14,14.48,14.51,14.41,14.48,17200,11.407953
2005-10-17,14.55,14.55,14.49,14.49,4300,11.415832
2005-10-18,14.5,14.52,14.43,14.43,13700,11.368562
2005-10-19,14.37,14.61,14.37,14.61,12200,11.510373
2005-10-20,14.6,14.61,14.41,14.43,13400,11.368562
2005-10-21,14.46,14.46,14.38,14.41,2900,11.352804
2005-10-24,14.49,14.56,14.47,14.56,12100,11.470981
2005-10-25,14.57,14.6,14.48,14.51,6600,11.431589
2005-10-26,14.48,14.59,14.48,14.57,8500,11.478859
2005-10-27,14.55,14.55,14.41,14.41,26200,11.352804
2005-10-28,14.49,14.61,14.47,14.61,8900,11.510373
2005-10-31,14.73,14.74,14.69,14.7,13900,11.581279
2005-11-01,14.65,14.66,14.65,14.66,5200,11.549765
2005-11-02,14.66,14.76,14.66,14.76,15600,11.62855
2005-11-03,14.83,14.84,14.74,14.74,16400,11.612792
2005-11-04,14.84,14.84,14.74,14.81,12800,11.667942
2005-11-07,14.88,14.88,14.81,14.85,18200,11.699455
2005-11-08,14.85,14.85,14.77,14.81,19900,11.667942
2005-11-09,14.84,14.91,14.78,14.84,24900,11.691577
2005-11-10,14.87,15.04,14.82,15.04,22600,11.849145
2005-11-11,15.06,15.06,15.01,15.04,13100,11.849145
2005-11-14,15.09,15.09,15,15.01,7200,11.82551
2005-11-15,15.03,15.05,14.94,14.98,12300,11.801874
2005-11-16,15.03,15.03,14.9,14.93,12000,11.762483
