"Index","open","high","low","close","volume","adjusted"
2016-09-21,25.059999,25.15,25.049999,25.15,500,25.15
2016-09-22,25.440001,25.459999,25.41,25.440001,31900,25.440001
2016-09-23,25.4,25.4,25.354,25.354,3400,25.354
2016-09-26,25.200001,25.200001,25.16,25.16,4500,25.16
2016-09-27,25.200001,25.26,25.200001,25.26,1100,25.26
2016-09-28,25.209999,25.33,25.18,25.33,11000,25.33
2016-09-29,25.35,25.389999,25.280001,25.280001,1900,25.280001
2016-09-30,25.360001,25.469999,25.358999,25.4,2600,25.4
2016-09-30,25.360001,25.469999,25.358999,25.4,2600,25.4
2016-10-03,25.66,25.66,25.25,25.268,6700,25.268
2016-10-04,25.870001,25.870001,25.089001,25.089001,5200,25.089001
2016-10-05,25.215,25.215,25.129999,25.183001,600,25.183001
2016-10-06,25.1,25.120001,25.08,25.110001,8000,25.110001
2016-10-06,25.1,25.120001,25.08,25.110001,8000,25.110001
2016-10-06,25.1,25.120001,25.08,25.110001,8000,25.110001
2016-10-06,25.1,25.120001,25.08,25.110001,8000,25.110001
