"Index","open","high","low","close","volume","adjusted"
2006-12-20,25.030001,25.08,24.969999,25.01,92600,22.754092
2006-12-21,25.01,25.030001,24.85,24.889999,39700,22.644915
2006-12-22,24.84,24.84,24.790001,24.809999,18700,22.572131
2006-12-26,24.790001,24.91,24.790001,24.91,46400,22.663112
2006-12-27,25.030001,25.07,25.01,25.07,38700,22.80868
2006-12-28,25.059999,25.1,25,25.030001,35200,22.772288
2006-12-29,24.99,25.049999,24.950001,24.959999,66400,22.708601
2007-01-03,25.02,25.129999,24.84,24.860001,78100,22.617622
2007-01-04,24.860001,25.059999,24.83,25.030001,66700,22.772288
2007-01-05,24.92,24.92,24.799999,24.889999,43400,22.644915
2007-01-08,24.9,25.030001,24.870001,24.99,50200,22.735896
2007-01-09,25.08,25.139999,24.940001,25.139999,29100,22.872365
2007-01-10,25.01,25.200001,24.950001,25.18,41500,22.908758
2007-01-11,25.200001,25.4,25.200001,25.34,45100,23.054326
2007-01-12,25.360001,25.469999,25.32,25.450001,27800,23.154404
2007-01-16,25.48,25.48,25.370001,25.43,66300,23.136208
2007-01-17,25.389999,25.450001,25.35,25.360001,175300,23.072522
2007-01-18,25.4,25.4,25.200001,25.23,39200,22.954247
2007-01-19,25.209999,25.27,25.1,25.27,68100,22.99064
2007-01-22,25.25,25.25,25.049999,25.17,35600,22.89966
2007-01-23,25.219999,25.370001,25.219999,25.280001,30900,22.999738
2007-01-24,25.26,25.49,25.26,25.49,36100,23.190796
2007-01-25,25.530001,25.530001,25.190001,25.23,56500,22.954247
2007-01-26,25.190001,25.219999,25.09,25.190001,35400,22.917856
2007-01-29,25.27,25.309999,25.209999,25.25,32500,22.972444
2007-01-30,25.299999,25.35,25.219999,25.35,33200,23.063424
2007-01-31,25.34,25.74,25.24,25.459999,55400,23.163501
2007-02-01,25.6,25.6,25.43,25.549999,32200,23.245383
2007-02-02,25.65,25.85,25.59,25.65,78300,23.336363
2007-02-05,25.66,25.85,25.5,25.57,127100,23.263579
2007-02-06,25.700001,25.75,25.51,25.59,26400,23.281776
2007-02-07,25.799999,25.799999,25.629999,25.709999,58600,23.390951
2007-02-08,25.75,25.9,25.65,25.77,31200,23.44554
2007-02-09,25.9,25.9,25.450001,25.549999,58000,23.245383
2007-02-12,25.57,25.65,25.379999,25.42,32600,23.12711
2007-02-13,25.65,25.84,25.43,25.6,56500,23.290874
2007-02-14,25.790001,25.82,25.639999,25.799999,33400,23.472833
2007-02-15,25.719999,25.92,25.700001,25.83,47400,23.500128
2007-02-16,25.9,26.07,25.700001,25.77,27100,23.44554
2007-02-20,25.719999,26.049999,25.65,25.860001,87900,23.527422
2007-02-21,25.780001,25.93,25.75,25.9,41900,23.563813
2007-02-22,26.15,26.15,25.82,25.91,61400,23.572912
2007-02-23,25.879999,25.879999,25.75,25.790001,22400,23.463737
2007-02-26,25.85,25.85,25.639999,25.68,45100,23.363658
2007-02-27,25.33,25.4,24.440001,24.75,81100,22.517544
2007-02-28,25,25.08,24.67,24.940001,47300,22.690406
2007-03-01,24.459999,24.879999,24.200001,24.780001,42100,22.544839
2007-03-02,24.799999,24.799999,24.51,24.530001,28300,22.317389
2007-03-05,24.389999,24.52,24.25,24.25,61700,22.062644
2007-03-06,24.549999,24.85,24.379999,24.559999,22500,22.344681
2007-03-07,24.49,24.65,24.440001,24.51,33100,22.299192
2007-03-08,24.74,24.77,24.610001,24.65,46100,22.426564
2007-03-09,24.790001,24.85,24.58,24.66,27400,22.435662
2007-03-12,24.719999,24.77,24.59,24.73,14700,22.499348
2007-03-13,24.6,24.68,24.17,24.26,37300,22.071742
2007-03-14,24.370001,24.389999,23.950001,24.370001,33300,22.171821
2007-03-15,24.49,24.51,24.370001,24.5,16200,22.290094
2007-03-16,24.48,24.73,24.280001,24.34,22500,22.163523
2007-03-19,24.559999,24.629999,24.48,24.610001,29700,22.40938
2007-03-20,24.59,24.75,24.58,24.73,26300,22.518648
2007-03-21,24.76,25.25,24.719999,25.129999,64600,22.88288
2007-03-22,25.299999,25.299999,25.040001,25.1,22500,22.855564
2007-03-23,25.110001,25.15,25.07,25.110001,25100,22.86467
2007-03-26,25.190001,25.530001,24.879999,25.09,24500,22.846458
2007-03-27,24.98,25.190001,24.870001,24.969999,156800,22.737187
2007-03-28,24.809999,24.84,24.700001,24.719999,28800,22.509542
2007-03-29,24.83,24.9,24.629999,24.75,30800,22.53686
2007-03-30,24.799999,24.870001,24.67,24.73,11800,22.518648
2007-04-02,24.9,25,24.780001,24.93,9000,22.700765
2007-04-03,24.99,25.33,24.77,25.15,24400,22.901092
2007-04-04,25.18,25.299999,25.040001,25.290001,33200,23.028575
2007-04-05,25.049999,25.450001,25.049999,25.35,17400,23.083209
2007-04-09,25.41,25.48,25.18,25.450001,42300,23.174267
2007-04-10,25.469999,25.48,25.27,25.450001,19700,23.174267
2007-04-11,25.469999,25.48,25.18,25.309999,24100,23.046785
2007-04-12,25.48,25.530001,25.24,25.530001,21300,23.247114
2007-04-13,25.4,25.799999,25.309999,25.5,23900,23.219796
2007-04-16,25.700001,26.120001,25.610001,25.84,24000,23.529393
2007-04-17,25.82,26.200001,25.73,25.870001,29800,23.556711
2007-04-18,25.799999,25.93,25.74,25.91,21500,23.593133
2007-04-19,25.84,25.940001,25.75,25.780001,25800,23.474759
2007-04-20,26.030001,26.08,25.92,26.08,14100,23.747932
2007-04-23,26.08,26.16,26,26.1,16500,23.766144
2007-04-24,26.17,26.18,25.940001,26.15,20700,23.811672
2007-04-25,26.219999,26.440001,26.139999,26.35,25900,23.993789
2007-04-26,26.35,26.43,26.219999,26.389999,17300,24.030211
2007-04-27,26.34,26.379999,26.26,26.370001,19700,24.012001
2007-04-30,26.299999,26.370001,26.1,26.1,13500,23.766144
2007-05-01,26.1,26.209999,25.83,26.18,48900,23.83899
2007-05-02,26.280001,26.5,26.280001,26.450001,16800,24.084847
2007-05-03,26.34,26.549999,26.34,26.41,25800,24.048423
2007-05-04,26.52,26.65,26.43,26.58,25000,24.203222
2007-05-07,26.690001,26.780001,26.6,26.700001,18200,24.312493
2007-05-08,26.620001,26.67,26.469999,26.59,35800,24.212328
2007-05-09,26.59,26.790001,26.57,26.76,42400,24.367127
2007-05-10,26.6,26.65,26.25,26.42,68700,24.057529
2007-05-11,26.389999,26.459999,26.290001,26.450001,38300,24.084847
2007-05-14,26.59,26.59,26.41,26.440001,48000,24.075741
2007-05-15,26.379999,26.540001,26.309999,26.33,19400,23.975577
2007-05-16,26.440001,26.5,26.32,26.469999,26500,24.103058
2007-05-17,26.469999,26.52,26.4,26.48,15200,24.112164
2007-05-18,26.52,26.620001,26.459999,26.6,19500,24.221434
2007-05-21,26.65,26.77,26.629999,26.66,82600,24.276068
2007-05-22,26.700001,26.780001,26.629999,26.68,17300,24.29428
2007-05-23,26.74,26.82,26.629999,26.66,22200,24.276068
2007-05-24,26.68,26.780001,26.360001,26.360001,14100,24.002895
2007-05-25,26.48,26.58,26.469999,26.530001,8400,24.157694
2007-05-29,26.58,26.65,26.49,26.620001,24600,24.239646
2007-05-30,26.5,26.799999,26.5,26.799999,10300,24.403549
2007-05-31,26.959999,26.959999,26.83,26.879999,26800,24.476395
2007-06-01,27.01,27.07,26.9,26.950001,19300,24.540138
2007-06-04,26.889999,27.01,26.889999,27.01,14000,24.594772
2007-06-05,26.91,26.950001,26.77,26.870001,24300,24.467291
2007-06-06,26.74,26.74,26.549999,26.620001,14300,24.239646
2007-06-07,26.540001,26.540001,26.09,26.110001,49200,23.77525
2007-06-08,26.049999,26.440001,26.01,26.440001,10200,24.075741
2007-06-11,26.41,26.52,26.32,26.440001,10600,24.075741
2007-06-12,26.35,26.43,26.190001,26.190001,9400,23.848096
2007-06-13,26.23,26.48,26.23,26.48,20900,24.112164
2007-06-14,26.549999,26.68,26.549999,26.66,10900,24.276068
2007-06-15,26.860001,26.889999,26.780001,26.809999,13000,24.422732
2007-06-18,26.85,26.85,26.75,26.799999,8900,24.413622
2007-06-19,26.75,26.889999,26.700001,26.889999,5200,24.495609
2007-06-20,26.870001,26.9,26.610001,26.610001,8700,24.240542
2007-06-21,26.299999,26.66,26.299999,26.65,11500,24.276979
