"Index","open","high","low","close","volume","adjusted"
2005-12-20,49.639999,49.77,49.549999,49.599998,17600,40.837488
2005-12-21,49.990002,49.990002,49.669998,49.740002,18000,40.952758
2005-12-22,49.950001,50.02,49.740002,49.98,178200,41.150357
2005-12-23,49.98,49.990002,49.900002,49.990002,15500,41.158592
2005-12-27,50.150002,50.150002,49.57,49.580002,52500,40.821024
2005-12-28,49.669998,49.68,49.560001,49.630001,150400,40.86219
2005-12-29,49.68,49.689999,49.540001,49.540001,72500,40.78809
2005-12-30,49.32,49.400002,49.240002,49.299999,48500,40.590488
2006-01-03,49.299999,50.029999,49.16,50.029999,16900,41.191523
2006-01-04,50.040001,50.259998,50.009998,50.189999,29100,41.323257
2006-01-05,50.25,50.279999,50.130001,50.240002,21300,41.364426
2006-01-06,50.450001,50.709999,50.279999,50.66,19800,41.710226
2006-01-09,50.849998,51.349998,50.779999,50.919998,51700,41.924292
2006-01-10,50.799999,50.919998,50.700001,50.889999,24200,41.899593
2006-01-11,50.950001,51.080002,50.900002,51.07,12300,42.047794
2006-01-12,50.959999,51.02,50.84,50.860001,7800,41.874894
2006-01-13,50.830002,50.869999,50.700001,50.759998,15100,41.792558
2006-01-17,50.549999,50.619999,50.330002,50.540001,47900,41.611427
2006-01-18,50.450001,50.509998,50.150002,50.41,41500,41.504392
2006-01-19,50.599998,50.759998,50.439999,50.639999,38000,41.693759
2006-01-20,50.619999,50.619999,49.799999,49.82,61200,41.018623
2006-01-23,49.98,50.139999,49.91,49.959999,112600,41.13389
2006-01-24,50.099998,50.32,50.049999,50.200001,73000,41.331492
2006-01-25,50.439999,50.439999,50.07,50.200001,73800,41.331492
2006-01-26,50.490002,50.610001,50.34,50.599998,15500,41.660825
2006-01-27,50.669998,51,50.619999,50.950001,145500,41.948994
2006-01-30,51,51.060001,50.900002,50.990002,38100,41.981929
2006-01-31,50.91,51.009998,50.75,50.849998,33800,41.866659
2006-02-01,50.77,50.880001,50.700001,50.880001,23000,41.891361
2006-02-02,50.860001,50.860001,50.369999,50.48,29300,41.562025
2006-02-03,50.25,50.52,50.110001,50.25,37100,41.372658
2006-02-06,50.299999,50.34,50.150002,50.330002,25900,41.438527
2006-02-07,50.279999,50.299999,49.919998,50,28900,41.166824
2006-02-08,50.049999,50.419998,50.02,50.419998,42800,41.512624
2006-02-09,50.419998,50.610001,50.349998,50.349998,18400,41.454991
2006-02-10,50.32,50.439999,49.950001,50.419998,36000,41.512624
2006-02-13,50.400002,50.400002,50.119999,50.189999,25100,41.323257
2006-02-14,50.25,50.810001,50.220001,50.799999,24100,41.825493
2006-02-15,50.799999,51.32,50.75,51.32,43000,42.253628
2006-02-16,51.110001,51.360001,51.02,51.360001,26900,42.286562
2006-02-17,51.400002,51.400002,51.18,51.290001,24400,42.228929
2006-02-21,51.43,51.470001,51.080002,51.169998,47600,42.130126
2006-02-22,51.200001,51.560001,51.200001,51.540001,8800,42.434763
2006-02-23,51.48,51.549999,51.32,51.380001,17500,42.303029
2006-02-24,51.380001,51.389999,51.240002,51.380001,24400,42.303029
2006-02-27,51.450001,51.650002,51.450001,51.549999,58800,42.442995
2006-02-28,51.439999,51.439999,51.009998,51.099998,24400,42.072493
2006-03-01,51.189999,51.450001,51.189999,51.450001,28400,42.360663
2006-03-02,51.25,51.34,51.07,51.330002,22800,42.261863
2006-03-03,51.299999,51.549999,51.110001,51.25,23800,42.195995
2006-03-06,51.279999,51.310001,50.799999,50.98,38100,41.973693
2006-03-07,50.77,50.880001,50.669998,50.84,36900,41.858427
2006-03-08,50.68,50.98,50.599998,50.939999,51600,41.940759
2006-03-09,50.98,51.099998,50.779999,50.779999,12200,41.809026
2006-03-10,50.82,51.200001,50.790001,51.18,32400,42.138361
2006-03-13,51.299999,51.400002,51.18,51.259998,15500,42.204227
2006-03-14,51.259998,51.740002,51.259998,51.709999,19900,42.574729
2006-03-15,51.790001,52.029999,51.669998,51.939999,36200,42.764096
2006-03-16,52.07,52.279999,52.07,52.150002,20500,42.936999
2006-03-17,52.110001,52.139999,51.93,51.990002,9600,42.90564
2006-03-20,52.080002,52.16,51.950001,51.990002,23200,42.90564
