"Index","open","high","low","close","volume","adjusted"
2016-03-22,25.02,25.02,25.02,25.02,202000,24.93608
2016-03-23,25,25,24.988001,24.988001,3200,24.904188
2016-03-24,24.988001,24.988001,24.988001,24.988001,0,24.904188
2016-03-28,24.969999,25.09,24.969999,25.09,3500,25.005845
2016-03-29,25.120001,25.219999,25.120001,25.219999,600,25.135408
2016-03-30,25.35,25.35,25.299999,25.299999,2200,25.21514
2016-03-31,25.33,25.33,25.33,25.33,800,25.24504
2016-04-01,25.360001,25.360001,25.360001,25.360001,400,25.27494
2016-04-04,25.372999,25.372999,25.372999,25.372999,400,25.287895
2016-04-05,25.372999,25.372999,25.372999,25.372999,0,25.287895
2016-04-06,25.372999,25.372999,25.372999,25.372999,0,25.287895
2016-04-07,25.372999,25.372999,25.372999,25.372999,0,25.287895
2016-04-08,25.372999,25.372999,25.372999,25.372999,0,25.287895
2016-04-11,25.33,25.33,25.309999,25.309999,1100,25.225106
2016-04-12,25.355,25.355,25.355,25.355,100,25.269956
2016-04-13,25.514,25.514,25.514,25.514,200,25.428423
2016-04-14,25.514,25.514,25.514,25.514,0,25.428423
2016-04-15,25.57,25.57,25.57,25.57,100,25.484235
2016-04-18,25.639999,25.709999,25.639999,25.700001,600,25.6138
2016-04-19,25.700001,25.700001,25.700001,25.700001,0,25.6138
2016-04-20,25.719999,25.719999,25.709999,25.709999,6600,25.623764
2016-04-21,25.610001,25.610001,25.610001,25.610001,100,25.524101
2016-04-22,25.610001,25.610001,25.610001,25.610001,0,25.524101
2016-04-25,25.610001,25.610001,25.610001,25.610001,0,25.524101
2016-04-26,25.58,25.58,25.58,25.58,100,25.494201
2016-04-27,25.58,25.58,25.58,25.58,0,25.494201
2016-04-28,25.58,25.58,25.58,25.58,0,25.494201
2016-04-29,25.18,25.18,25.18,25.18,1200,25.095543
2016-05-02,25.18,25.18,25.18,25.18,0,25.095543
2016-05-03,25.18,25.18,25.18,25.18,0,25.095543
2016-05-04,25.18,25.18,25.18,25.18,0,25.095543
2016-05-05,25.18,25.18,25.18,25.18,0,25.095543
2016-05-06,25.202,25.202,25.202,25.202,1000,25.117469
2016-05-09,25.202,25.202,25.202,25.202,0,25.117469
2016-05-10,25.202,25.202,25.202,25.202,0,25.117469
2016-05-11,25.615,25.615,25.540001,25.549999,6200,25.464301
2016-05-12,25.549999,25.549999,25.549999,25.549999,0,25.464301
2016-05-13,25.549999,25.549999,25.549999,25.549999,0,25.464301
2016-05-16,25.549999,25.549999,25.549999,25.549999,0,25.464301
2016-05-17,25.549999,25.549999,25.549999,25.549999,0,25.464301
2016-05-18,25.25,25.25,25.209999,25.209999,800,25.125441
2016-05-19,25.17,25.17,25.01,25.01,600,24.926113
2016-05-20,25.01,25.01,25.01,25.01,0,24.926113
