"Index","open","high","low","close","volume","adjusted"
2015-06-12,24.93,24.93,24.83,24.879999,398500,24.816782
2015-06-17,25.01,25.02,24.82,24.950001,151300,24.886606
2015-06-18,25.08,25.254999,25.049999,25.17,338000,25.106046
2015-06-19,25.26,25.26,25.040001,25.040001,201400,24.976377
2015-06-22,25.299999,25.299999,25.17,25.190001,382500,25.125996
2015-06-23,25.299999,28.15,25.17,25.51,1257500,25.445182
2015-06-24,25.25,25.25,25.024,25.025,142800,24.961414
2015-06-25,25.17,25.17,24.940001,24.959999,413400,24.896579
2015-06-26,24.969999,25.01,24.872999,24.950001,261500,24.886606
2015-06-29,24.799999,24.799999,24.42,24.43,527700,24.367926
2015-06-30,24.709999,24.709999,24.43,24.530001,1141700,24.467673
2015-07-01,24.690001,24.709999,24.559999,24.67,520500,24.607316
2015-07-02,24.780001,24.780001,24.584999,24.65,409300,24.587367
2015-07-06,24.530001,24.66,24.459999,24.559999,655500,24.497595
2015-07-07,24.67,24.73,24.290001,24.719999,196800,24.657189
2015-07-08,24.629999,24.629999,24.299999,24.34,392100,24.278155
2015-07-09,24.68,24.68,24.360001,24.4,488200,24.338002
2015-07-10,26.950001,26.950001,24.57,24.66,287100,24.597342
2015-07-13,24.790001,24.950001,24.790001,24.950001,222100,24.886606
2015-07-14,24.959999,25.08,24.940001,25.040001,173700,24.976377
2015-07-15,25.110001,25.110001,24.969999,25.01,233900,24.946453
2015-07-16,25.23,25.23,25.129999,25.219999,145300,25.155918
2015-07-17,25.26,25.27,25.17,25.24,170500,25.175868
2015-07-20,25.34,25.34,25.191,25.26,182100,25.195817
2015-07-21,25.290001,25.290001,25.110001,25.15,172300,25.086096
2015-07-22,25.110001,25.132999,25.040001,25.08,204700,25.016274
2015-07-23,25.16,25.16,24.92,24.950001,96800,24.886606
2015-07-24,24.940001,24.959999,24.676001,24.709999,83300,24.647214
2015-07-27,24.5,24.65,24.5,24.559999,75300,24.497595
2015-07-28,24.681999,24.879999,24.58,24.860001,89100,24.796834
2015-07-29,24.93,25.049999,24.85,25.040001,78300,24.976377
2015-07-30,24.9,25.08,24.9,25.059999,103600,24.996325
2015-07-31,25.42,25.42,24.98,24.98,95200,24.916528
2015-08-03,25.08,25.08,24.809999,24.91,91000,24.846706
2015-08-04,24.93,24.969999,24.860001,24.881001,38700,24.817781
2015-08-05,25.059999,25.129999,24.950001,24.969999,45200,24.906553
2015-08-06,24.92,24.92,24.68,24.797001,80000,24.733995
2015-08-07,24.809999,24.809999,24.591999,24.719999,126100,24.657189
2015-08-10,24.77,25.030001,24.77,25.01,43000,24.946453
2015-08-11,24.91,24.91,24.690001,24.799999,73200,24.736985
2015-08-12,24.690001,24.84,24.437,24.82,98900,24.756935
2015-08-13,24.870001,24.899,24.719999,24.799999,103100,24.736985
2015-08-14,24.83,24.9,24.780001,24.9,56000,24.836732
2015-08-17,25.5,25.5,24.754999,25.040001,88800,24.976377
2015-08-18,25.01,25.02,24.927999,24.959999,106400,24.896579
2015-08-19,24.76,24.93,24.641001,24.82,78100,24.756935
2015-08-20,24.639999,24.639999,24.25,24.27,115200,24.208333
2015-08-21,24.049999,24.07,23.5,23.5,80700,23.440289
2015-08-24,22.860001,23.24,21.049999,22.52,368700,22.46278
2015-08-25,23.4,23.4,22.309999,22.32,118800,22.263287
2015-08-26,22.969999,23.094999,22.4,23.049999,80200,22.991432
2015-08-27,23.42,23.68,23.243999,23.608999,122700,23.549011
2015-08-28,23.719999,23.719999,23.620001,23.65,68300,23.589908
2015-08-31,23.74,23.74,23.610001,23.65,105600,23.589908
2015-09-01,23.65,23.65,23.629999,23.65,43800,23.589908
2015-09-02,23.719999,23.719999,23.625,23.638,56700,23.577939
2015-09-03,23.690001,23.690001,23.610001,23.66,79400,23.599882
2015-09-04,23.65,23.65,23.610001,23.65,54600,23.589908
2015-09-08,23.709999,23.709999,23.638,23.65,70900,23.589908
2015-09-09,23.65,23.65,23.610001,23.65,64300,23.589908
2015-09-10,23.709999,23.709999,23.610001,23.629999,84000,23.569958
2015-09-11,23.643999,23.66,23.6,23.639999,60800,23.579933
2015-09-14,23.690001,23.690001,23.639999,23.639999,42900,23.579933
2015-09-15,23.709999,23.709999,23.620001,23.629999,26700,23.569958
2015-09-16,23.709999,23.709999,23.620001,23.65,61600,23.589908
2015-09-17,23.610001,23.65,23.610001,23.65,139500,23.589908
2015-09-18,23.73,23.73,23.610001,23.648001,91100,23.587914
2015-09-21,23.709999,23.709999,23.610001,23.620001,34200,23.559985
2015-09-22,23.629999,23.639,23.559999,23.610001,201000,23.55001
2015-09-23,23.75,23.75,23.57,23.58,78400,23.520086
2015-09-24,23.68,23.68,23.549999,23.6,166100,23.540035
2015-09-25,23.68,23.68,23.579,23.58,88600,23.520086
2015-09-28,23.59,23.6,23.559999,23.6,53100,23.540035
2015-09-29,23.598,23.6,23.57,23.57,77700,23.510111
2015-09-30,23.67,23.67,23.559999,23.58,84300,23.520086
2015-10-01,23.66,23.68,23.559999,23.59,59000,23.530061
2015-10-02,23.490999,23.6,23.490999,23.58,80100,23.520086
2015-10-05,24.370001,24.370001,23.58,23.6,181400,23.540035
2015-10-06,23.66,23.66,23.559999,23.57,170900,23.510111
2015-10-07,23.6,23.610001,23.552999,23.6,288500,23.540035
2015-10-08,23.65,23.65,23.58,23.6,46700,23.540035
2015-10-09,23.66,23.66,23.58,23.58,112400,23.520086
2015-10-12,23.66,23.66,23.58,23.594999,65700,23.535047
2015-10-13,23.67,23.67,23.58,23.58,87300,23.520086
2015-10-14,23.59,23.6,23.58,23.59,78300,23.530061
2015-10-15,23.67,23.67,23.58,23.6,66800,23.540035
2015-10-16,23.67,23.67,23.559999,23.57,132700,23.510111
2015-10-19,23.67,23.67,23.559999,23.59,37600,23.530061
2015-10-20,23.65,23.65,23.57,23.57,58700,23.510111
2015-10-21,23.610001,23.610001,23.549999,23.58,37400,23.520086
2015-10-22,23.65,23.65,23.566,23.58,94800,23.520086
2015-10-23,23.639999,23.639999,23.57,23.59,77900,23.530061
2015-10-26,23.65,23.65,23.57,23.6,113600,23.540035
2015-10-27,23.65,23.65,23.555,23.59,63500,23.530061
2015-10-28,23.639999,23.639999,23.549999,23.576,98100,23.516096
2015-10-29,23.65,23.65,23.559999,23.577,236900,23.517093
2015-10-30,23.68,23.68,23.5,23.51,104100,23.450264
2015-11-02,23.57,23.780001,23.48,23.76,163900,23.699629
2015-11-03,23.757999,23.889999,23.700001,23.82,225300,23.759476
2015-11-04,23.959999,23.959999,23.639999,23.73,122700,23.669704
2015-11-05,23.809999,23.809999,23.618999,23.73,158200,23.669704
2015-11-06,23.73,23.73,23.549999,23.65,138300,23.589908
2015-11-09,23.66,23.66,23.370001,23.49,64900,23.430314
2015-11-10,23.360001,23.530001,23.360001,23.459999,113500,23.40039
2015-11-11,23.514999,23.57,23.42,23.42,53000,23.360493
2015-11-12,23.219999,23.35,23.09,23.09,42700,23.031331
2015-11-13,22.98,23.066999,22.82,22.84,152200,22.781966
2015-11-16,22.931,23.200001,22.885,23.200001,36200,23.141052
2015-11-17,23.280001,23.34,23.136,23.139999,109200,23.081203
2015-11-18,23.299999,23.559999,23.221001,23.511999,85800,23.452258
2015-11-19,23.57,23.59,23.48,23.530001,141300,23.470214
2015-11-20,23.540001,23.67,23.540001,23.559999,47000,23.500136
2015-11-23,23.559999,23.68,23.5,23.554001,73000,23.494153
2015-11-24,23.48,23.649,23.429001,23.57,142100,23.510111
2015-11-25,23.610001,23.65,23.57,23.620001,56000,23.559985
2015-11-27,23.620001,23.65,23.57,23.639999,15400,23.579933
2015-11-30,23.700001,23.700001,23.530001,23.558001,69500,23.498142
2015-12-01,23.636,23.77,23.6,23.77,66500,23.709604
2015-12-02,23.690001,23.771999,23.48,23.48,108600,23.42034
2015-12-03,23.59,23.59,23.07,23.17,165300,23.111128
2015-12-04,23.15,23.65,23.15,23.59,550500,23.530061
2015-12-07,23.483999,23.5,23.337,23.43,76900,23.370467
2015-12-08,23.34,23.42,23.190001,23.309999,47300,23.250771
2015-12-09,23.256001,23.48,23.01,23.1,36400,23.041306
2015-12-10,23.190001,23.360001,23.15,23.190001,46100,23.131077
2015-12-11,22.799999,22.99,22.700001,22.709999,197400,22.652296
2015-12-14,22.809999,22.82,22.525,22.82,92700,22.762017
2015-12-15,23.08,23.190001,23.02,23.059999,442400,23.001407
2015-12-16,23.15,23.459999,23.120001,23.42,92200,23.360493
2015-12-17,23.459999,23.5,23.07,23.07,118200,23.011381
2015-12-18,23.01,23.01,22.66,22.690001,219000,22.632348
2015-12-21,22.9,22.9,22.673,22.860001,159000,22.801916
2015-12-22,22.879999,23.073,22.809999,23,100900,22.94156
2015-12-23,23.08,23.34,23.08,23.309999,48100,23.250771
2015-12-24,23.209999,23.360001,23.209999,23.309999,40000,23.250771
2015-12-28,23.129999,23.24,23.08,23.219999,1176900,23.161
2015-12-29,22.92,23.469999,22.92,23.42,104100,23.42
2015-12-30,23.384001,23.389,23.24,23.25,208900,23.25
2015-12-31,23.059999,23.25,23.040001,23.059999,126400,23.059999
2016-01-04,22.74,22.74,22.459999,22.700001,98600,22.700001
2016-01-05,22.83,22.83,22.610001,22.76,48500,22.76
2016-01-06,22.51,22.58,22.336,22.469999,39600,22.469999
2016-01-07,22.139999,22.299999,21.93,21.93,32600,21.93
2016-01-08,22.16,22.16,21.65,21.65,264500,21.65
2016-01-11,21.691,21.700001,21.67,21.68,118600,21.68
2016-01-12,21.76,21.76,21.67,21.700001,111600,21.700001
2016-01-13,21.73,21.73,21.67,21.690001,245300,21.690001
2016-01-14,21.67,21.690001,21.591999,21.690001,313000,21.690001
2016-01-15,21.66,21.690001,21.566,21.67,160800,21.67
2016-01-19,21.780001,21.780001,21.66,21.67,359500,21.67
2016-01-20,21.677,21.700001,21.67,21.690001,516500,21.690001
2016-01-21,21.67,21.700001,21.67,21.690001,481400,21.690001
2016-01-22,21.68,21.690001,21.611,21.66,110000,21.66
2016-01-25,21.65,21.690001,21.65,21.690001,265900,21.690001
2016-01-26,21.66,21.690001,21.66,21.690001,124900,21.690001
2016-01-27,21.66,21.691999,21.66,21.690001,109200,21.690001
2016-01-28,21.75,21.75,21.66,21.690001,191400,21.690001
2016-01-29,21.66,21.709999,21.66,21.690001,131600,21.690001
2016-02-01,21.6,21.700001,21.6,21.690001,125000,21.690001
2016-02-02,21.59,21.690001,21.59,21.690001,102100,21.690001
2016-02-03,21.671,21.690001,21.66,21.68,532200,21.68
2016-02-04,21.674999,21.77,21.66,21.690001,150700,21.690001
2016-02-05,21.66,21.690001,21.66,21.690001,98200,21.690001
2016-02-08,21.709999,21.709999,21.52,21.690001,231400,21.690001
2016-02-09,21.74,21.74,21.67,21.687,112600,21.687
2016-02-10,21.700001,21.700001,21.66,21.68,51800,21.68
2016-02-11,21.700001,21.700001,21.66,21.688,191600,21.688
2016-02-12,21.700001,21.700001,21.631001,21.690001,62000,21.690001
2016-02-16,21.780001,21.780001,21.66,21.68,147600,21.68
2016-02-17,21.77,21.77,21.65,21.676001,136300,21.676001
2016-02-18,21.700001,21.76,21.635,21.68,88700,21.68
2016-02-19,21.639999,21.700001,21.639999,21.68,194700,21.68
2016-02-22,21.700001,21.700001,21.66,21.66,88100,21.66
2016-02-23,21.65,21.68,21.65,21.67,164300,21.67
2016-02-24,21.666,21.68,21.66,21.66,80100,21.66
2016-02-25,21.65,21.68,21.65,21.67,41400,21.67
2016-02-26,21.709999,21.709999,21.601999,21.68,81900,21.68
2016-02-29,21.690001,21.768999,21.66,21.67,97300,21.67
2016-03-01,21.639999,21.68,21.629999,21.66,60100,21.66
2016-03-02,21.58,21.68,21.58,21.66,67500,21.66
2016-03-03,21.639999,21.68,21.639999,21.68,66400,21.68
2016-03-04,21.65,21.700001,21.58,21.68,328600,21.68
2016-03-07,21.65,21.68,21.65,21.66,65600,21.66
2016-03-08,21.663,21.68,21.66,21.66,114000,21.66
2016-03-09,21.65,21.709999,21.65,21.68,76200,21.68
2016-03-10,21.66,21.709999,21.66,21.67,166900,21.67
2016-03-11,21.74,21.74,21.66,21.66,166900,21.66
2016-03-14,21.66,21.701,21.66,21.68,164300,21.68
2016-03-15,21.690001,21.76,21.656,21.67,80400,21.67
2016-03-16,21.68,21.76,21.620001,21.67,66600,21.67
2016-03-17,21.68,21.701,21.67,21.676001,163400,21.676001
2016-03-18,21.68,21.719999,21.639999,21.68,342200,21.68
2016-03-21,21.68,21.73,21.6,21.698999,176400,21.698999
2016-03-22,21.59,21.75,21.58,21.65,162700,21.65
2016-03-23,21.58,21.629999,21.52,21.552999,104400,21.552999
2016-03-24,21.5,21.52,21.370001,21.52,136900,21.52
2016-03-28,21.565001,21.59,21.49,21.540001,93900,21.540001
2016-03-29,21.35,21.76,21.35,21.76,83400,21.76
2016-03-30,21.889999,21.92,21.790001,21.819,80300,21.819
2016-03-31,21.719999,21.91,21.719999,21.799999,125000,21.799999
2016-04-01,21.65,21.955,21.65,21.92,323900,21.92
2016-04-04,21.969999,21.969999,21.812,21.860001,62800,21.860001
2016-04-05,21.780001,21.780001,21.6,21.639999,97000,21.639999
2016-04-06,21.73,21.877001,21.629999,21.85,132300,21.85
2016-04-07,21.84,21.84,21.541,21.6,116400,21.6
2016-04-08,21.76,21.809,21.625,21.639999,261700,21.639999
2016-04-11,21.82,21.82,21.629999,21.629999,108600,21.629999
2016-04-12,21.549999,21.860001,21.549999,21.809999,71000,21.809999
2016-04-13,21.969999,22.07,21.931999,22.030001,97100,22.030001
2016-04-14,22.049999,22.1,21.981001,22.059999,88300,22.059999
2016-04-15,21.98,22.07,21.98,22.059999,82200,22.059999
2016-04-18,21.950001,22.190001,21.950001,22.15,90000,22.15
2016-04-19,22.25,22.290001,22.16,22.26,140800,22.26
2016-04-20,22.17,22.370001,22.17,22.280001,164200,22.280001
2016-04-21,22.290001,22.290001,22.110001,22.16,182200,22.16
2016-04-22,22.09,22.17,22.045,22.16,98600,22.16
2016-04-25,22.049999,22.129999,22.01,22.129999,113200,22.129999
2016-04-26,22.16,22.219999,22.09,22.16,120100,22.16
2016-04-27,22.120001,22.226,22.049999,22.209999,325400,22.209999
2016-04-28,22.139999,22.49,21.950001,21.959999,91200,21.959999
2016-04-29,21.879999,21.999001,21.76,21.9,71200,21.9
2016-05-02,22,22.09,21.9,22.059999,69000,22.059999
2016-05-03,21.905001,21.93,21.768999,21.870001,65000,21.870001
2016-05-04,21.83,21.83,21.639999,21.75,165600,21.75
2016-05-05,21.84,21.847,21.690001,21.709999,167800,21.709999
2016-05-06,21.51,21.834,21.51,21.83,82300,21.83
2016-05-09,21.83,21.91,21.790001,21.85,207200,21.85
2016-05-10,21.84,22.129999,21.84,22.129999,62100,22.129999
2016-05-11,22.059999,22.129999,21.924999,21.950001,69400,21.950001
2016-05-12,21.969999,21.99,21.790001,21.93,76500,21.93
2016-05-13,21.945,21.945,21.709999,21.74,65600,21.74
2016-05-16,21.801001,22,21.771,21.92,134700,21.92
2016-05-17,21.9,21.92,21.674,21.74,331600,21.74
2016-05-18,21.73,21.861,21.6,21.73,69100,21.73
2016-05-19,21.719999,21.719999,21.5,21.67,85000,21.67
2016-05-20,21.65,21.870001,21.639999,21.82,68600,21.82
2016-05-23,21.799999,21.84,21.75,21.75,66600,21.75
2016-05-24,21.870001,22.08,21.76,22.07,142200,22.07
2016-05-25,22.059999,22.257999,22.059999,22.190001,107000,22.190001
2016-05-26,22.190001,22.308001,22.16,22.200001,74600,22.200001
2016-05-27,22.26,22.299999,22.212,22.299999,22200,22.299999
2016-05-31,22.299999,22.358,22.18,22.309999,66100,22.309999
2016-06-01,22.17,22.34,22.106001,22.301001,103300,22.301001
2016-06-02,22.33,22.370001,22.181,22.370001,65700,22.370001
2016-06-03,22.280001,22.34,22.177999,22.309999,66800,22.309999
2016-06-06,22.309999,22.459999,22.309999,22.42,60300,22.42
2016-06-07,22.4,22.52,22.4,22.441,169700,22.441
2016-06-08,22.469999,22.549999,22.444,22.517,149700,22.517
2016-06-09,22.49,22.518,22.379999,22.48,65700,22.48
2016-06-10,22.280001,22.35,22.190001,22.25,160700,22.25
2016-06-13,22.110001,22.309,22.08,22.08,68100,22.08
2016-06-14,22.120001,22.120001,21.940001,22.040001,67600,22.040001
2016-06-15,22.049999,22.169001,21.99,22.02,122400,22.02
2016-06-16,21.92,22.110001,21.82,22.084999,54100,22.084999
2016-06-17,22.08,22.120001,21.940001,22.01,112300,22.01
2016-06-20,22.16,22.337999,22.129999,22.15,84300,22.15
2016-06-21,22.205,22.299999,22.16,22.23,68400,22.23
2016-06-22,22.23,22.336,22.15,22.15,70900,22.15
2016-06-23,22.450001,22.459999,22.309999,22.450001,55800,22.450001
2016-06-24,21.51,21.98,21.51,21.67,50400,21.67
2016-06-27,21.57,21.57,21.171,21.26,163200,21.26
2016-06-28,21.549999,21.68,21.450001,21.639999,48400,21.639999
2016-06-29,21.91,22.059999,21.864,22.035999,110100,22.035999
2016-06-30,22.01,22.35,22.01,22.35,100800,22.35
2016-07-01,22.299999,22.445,22.299999,22.41,40300,22.41
2016-07-05,22.219999,22.27,22.139999,22.219999,73700,22.219999
2016-07-06,22.18,22.361,22.117001,22.34,74500,22.34
2016-07-07,22.32,22.48,22.261,22.35,163900,22.35
2016-07-08,22.459999,22.719999,22.431,22.66,49700,22.66
2016-07-11,22.790001,22.84,22.73,22.75,52700,22.75
2016-07-12,22.9,22.969999,22.870001,22.9,50300,22.9
2016-07-13,22.940001,22.969999,22.790001,22.889999,90800,22.889999
2016-07-14,22.98,23.08,22.959999,23.02,26300,23.02
2016-07-15,23.219999,23.219999,22.931,22.99,50300,22.99
2016-07-18,22.969999,23.1,22.959999,23.08,49600,23.08
2016-07-19,23.08,23.08,22.969999,23.02,259800,23.02
2016-07-20,23.120001,23.17,23.051001,23.129999,44600,23.129999
2016-07-21,23.139999,23.17,23,23.02,57700,23.02
2016-07-22,23.075001,23.18,22.99,23.139999,131300,23.139999
2016-07-25,23.139999,23.139999,23.018999,23.07,98000,23.07
2016-07-26,23.01,23.169001,23.002001,23.059999,105400,23.059999
2016-07-27,23.059999,23.159,22.98,23.049999,189900,23.049999
2016-07-28,23.07,23.15,23.007999,23.131001,62100,23.131001
