"Index","open","high","low","close","volume","adjusted"
2015-06-12,24.93,24.940001,24.85,24.9,262700,24.9
2015-06-17,25.059999,25.059999,24.846001,24.959999,53800,24.959999
2015-06-18,25.17,25.231001,25.125999,25.18,157000,25.18
2015-06-19,25.15,25.209999,25.129999,25.15,83000,25.15
2015-06-22,25.24,25.280001,25.200001,25.23,212600,25.23
2015-06-23,25.290001,25.290001,25.200001,25.26,142500,25.26
2015-06-24,25.200001,25.200001,24.940001,24.98,47500,24.98
2015-06-25,25.16,25.16,24.879999,24.93,81700,24.93
2015-06-26,24.93,24.98,24.858999,24.940001,96700,24.940001
2015-06-29,24.799999,24.82,24.389999,24.42,151200,24.42
2015-06-30,24.549999,24.6,24.42,24.481001,146500,24.481001
2015-07-01,24.698999,24.700001,24.51,24.59,244900,24.59
2015-07-02,24.700001,24.709999,24.49,24.58,245400,24.58
2015-07-06,24.440001,24.620001,24.386999,24.48,219300,24.48
2015-07-07,24.58,24.629999,24.190001,24.610001,136000,24.610001
2015-07-08,24.530001,24.530001,24.139999,24.190001,146400,24.190001
2015-07-09,24.58,24.58,24.23,24.27,349500,24.27
2015-07-10,26.84,26.84,24.43,24.52,80400,24.52
2015-07-13,24.690001,24.76,24.658001,24.74,141800,24.74
2015-07-14,24.77,24.889999,24.77,24.870001,83700,24.870001
2015-07-15,24.940001,24.940001,24.67,24.709999,76900,24.709999
2015-07-16,24.940001,24.940001,24.780001,24.84,66800,24.84
2015-07-17,24.76,24.77,24.645,24.700001,62600,24.700001
2015-07-20,24.77,24.77,24.635,24.67,56700,24.67
2015-07-21,24.679001,24.68,24.483,24.51,88300,24.51
2015-07-22,24.48,24.6,24.48,24.559999,91700,24.559999
2015-07-23,24.66,24.66,24.389,24.41,38900,24.41
2015-07-24,24.469999,24.469999,24.125999,24.18,30000,24.18
2015-07-27,24.110001,24.110001,23.927,23.950001,22500,23.950001
2015-07-28,24.049999,24.26,23.93,24.219999,56800,24.219999
2015-07-29,24.360001,24.52,24.35,24.52,29500,24.52
2015-07-30,24.370001,24.57,24.35,24.559999,52600,24.559999
