"Index","open","high","low","close","volume","adjusted"
2015-06-12,24.83,24.870001,24.790001,24.790001,196100,24.760131
2015-06-17,24.92,24.98,24.870001,24.98,15600,24.949901
2015-06-18,25.290001,25.32,25.242001,25.27,14600,25.239552
2015-06-19,25.389999,25.389999,25.18,25.191,5200,25.160647
2015-06-22,25.35,25.41,25.309999,25.33,85700,25.29948
2015-06-23,25.370001,25.379999,25.32,25.379999,21600,25.349419
2015-06-24,25.41,25.43,25.18,25.23,14900,25.1996
2015-06-25,25.280001,25.32,25.190001,25.190001,18500,25.159649
2015-06-26,25.1,25.143,24.93,25.01,19900,24.979865
2015-06-29,24.778,24.860001,24.42,24.42,76000,24.390576
2015-06-30,24.511999,24.639,24.440001,24.52,65000,24.490456
2015-07-01,24.790001,24.799999,24.605,24.709999,123500,24.680226
2015-07-02,24.790001,24.790001,24.655001,24.76,93200,24.730167
2015-07-06,24.68,24.76,24.528999,24.617001,198500,24.587339
2015-07-07,24.73,24.73,24.25,24.690001,98100,24.660251
2015-07-08,24.620001,24.620001,24.27,24.27,89900,24.240757
2015-07-09,24.601999,24.601999,24.290001,24.306,170700,24.276713
2015-07-10,24.68,24.719999,24.528999,24.66,82800,24.630287
2015-07-13,24.9,25.07,24.9,25.059999,72700,25.029804
2015-07-14,25.139999,25.290001,25.139999,25.23,39700,25.1996
2015-07-15,25.34,25.34,25.200001,25.24,46300,25.209588
2015-07-16,25.5,25.6,25.459999,25.6,55300,25.569155
2015-07-17,25.879999,25.969999,25.790001,25.950001,42100,25.918733
2015-07-20,26.049999,26.16,25.975,26.030001,21900,25.998637
2015-07-21,26.059999,26.120001,26,26.059999,30300,26.0286
2015-07-22,25.790001,25.84,25.712999,25.76,40400,25.728962
2015-07-23,25.879999,25.879999,25.610001,25.639999,30300,25.609106
2015-07-24,25.74,25.940001,25.42,25.42,27500,25.389371
2015-07-27,25.299999,25.370001,25.15,25.16,31800,25.129684
2015-07-28,25.200001,25.469999,25.129999,25.413,23800,25.38238
2015-07-29,25.540001,25.559999,25.4,25.559999,20100,25.529202
2015-07-30,25.5,25.66,25.379999,25.639999,27100,25.609106
2015-07-31,25.799999,25.799999,25.559999,25.6,12100,25.569155
2015-08-03,25.58,25.65,25.360001,25.51,14400,25.479263
2015-08-04,25.6,25.6,25.4,25.49,16800,25.459287
2015-08-05,25.709999,25.809999,25.657,25.68,7200,25.649058
2015-08-06,25.68,25.68,25.23,25.27,19800,25.239552
2015-08-07,25.299999,25.299999,25.049999,25.219999,16800,25.189612
2015-08-10,25.410999,25.573999,25.410999,25.51,11500,25.479263
2015-08-11,25.48,25.48,25.079,25.209999,7800,25.179623
