"Index","open","high","low","close","volume","adjusted"
2005-03-03,14.88,14.88,14.82,14.87,1900,13.935283
2005-03-04,14.93,15,14.93,14.98,18800,14.038368
2005-03-07,15.04,15.11,15.04,15.05,21600,14.103969
2005-03-08,15.06,15.06,14.97,14.97,7200,14.028997
2005-03-09,14.97,14.97,14.92,14.95,10600,14.010254
2005-03-10,14.94,14.94,14.83,14.85,7000,13.916541
2005-03-11,14.92,14.94,14.75,14.75,5900,13.822826
2005-03-14,14.8,14.8,14.78,14.78,5100,13.85094
2005-03-15,14.84,14.85,14.8,14.81,4600,13.879055
2005-03-16,14.73,14.75,14.64,14.64,10700,13.719741
2005-03-17,14.65,14.69,14.64,14.69,6500,13.766597
2005-03-18,14.68,14.68,14.59,14.59,1300,13.672884
2005-03-21,14.65,14.65,14.51,14.58,19800,13.663512
2005-03-22,14.62,14.65,14.49,14.49,7400,13.579169
2005-03-23,14.5,14.52,14.48,14.52,8700,13.607284
2005-03-24,14.53,14.58,14.5,14.5,8700,13.588541
2005-03-28,14.54,14.58,14.54,14.58,1900,13.663512
2005-03-29,14.52,14.58,14.41,14.42,20300,13.51357
2005-03-30,14.61,14.64,14.61,14.64,6800,13.719741
2005-03-31,14.6,14.62,14.58,14.59,21400,13.672884
2005-04-01,14.6,14.6,14.41,14.45,6200,13.541684
2005-04-04,14.4,14.49,14.4,14.49,20600,13.579169
2005-04-05,14.5,14.59,14.5,14.58,11800,13.663512
2005-04-06,14.66,14.67,14.57,14.57,15100,13.654141
2005-04-07,14.58,14.68,14.58,14.68,16300,13.757227
2005-04-08,14.72,14.72,14.57,14.57,37400,13.654141
2005-04-11,14.58,14.58,14.53,14.55,3600,13.635398
2005-04-12,14.44,14.68,14.41,14.67,8500,13.747855
2005-04-13,14.55,14.57,14.36,14.36,13700,13.457341
2005-04-14,14.33,14.33,14.19,14.19,10900,13.298027
2005-04-15,14.08,14.12,14.05,14.06,545100,13.1762
2005-04-18,13.84,13.94,13.79,13.87,43500,12.998142
2005-04-19,13.93,13.96,13.86,13.95,11100,13.073113
2005-04-20,13.98,13.98,13.82,13.82,31700,12.951285
2005-04-21,13.97,14.13,13.96,14.13,8900,13.241799
2005-04-22,14.11,14.13,13.89,13.89,9900,13.016886
2005-04-25,14.09,14.13,14.09,14.1,30800,13.213685
2005-04-26,14.11,14.11,14.02,14.04,21600,13.157456
2005-04-27,13.9,14.11,13.9,14.11,29500,13.223056
2005-04-28,14.03,14.05,13.98,13.98,13900,13.101227
2005-04-29,14.03,14.11,13.9,14.1,6900,13.213685
2005-05-02,14.18,14.2,14.09,14.09,14400,13.204313
2005-05-03,14.2,14.2,14.17,14.17,3200,13.279285
2005-05-04,14.33,14.33,14.3,14.3,2700,13.401113
2005-05-05,14.37,14.44,14.34,14.42,7700,13.51357
2005-05-06,14.46,14.46,14.38,14.42,16400,13.51357
2005-05-09,14.42,14.46,14.42,14.46,2600,13.551055
2005-05-10,14.39,14.39,14.31,14.31,6800,13.410485
2005-05-11,14.39,14.44,14.31,14.44,4000,13.532312
2005-05-12,14.44,14.48,14.39,14.39,4500,13.485456
2005-05-13,14.48,14.5,14.39,14.39,5600,13.485456
2005-05-16,14.46,14.58,14.45,14.58,15700,13.663512
2005-05-17,14.54,14.67,14.54,14.67,2100,13.747855
2005-05-18,14.75,14.87,14.74,14.84,31100,13.907169
2005-05-19,14.86,14.94,14.84,14.94,73300,14.000883
2005-05-20,14.91,14.93,14.88,14.93,3300,13.991512
