"Index","open","high","low","close","volume","adjusted"
2003-05-01,107.370003,107.980003,107.25,107.980003,8800,23.490492
2003-05-02,108.5,109.599998,108.5,109.599998,1200,23.842914
2003-05-05,110.300003,110.300003,110.080002,110.080002,800,23.947336
2003-05-06,110.089996,110.800003,110,110.550003,12000,24.049583
2003-05-07,110.300003,110.75,110.199997,110.5,6800,24.038705
2003-05-08,109.699997,109.699997,109.449997,109.639999,3600,23.851616
2003-05-09,110.050003,110.050003,110.050003,110.050003,400,23.94081
2003-05-12,110.480003,111.669998,110.480003,111.669998,800,24.293232
2003-05-13,111.650002,112,111.400002,111.699997,3600,24.299758
2003-05-14,112.25,112.25,111.449997,111.449997,1200,24.245372
2003-05-15,111.790001,111.889999,111.790001,111.82,2000,24.325864
2003-05-16,112.199997,112.330002,111.650002,112.330002,1200,24.436812
2003-05-19,111.5,111.5,111,111,7600,24.147477
2003-05-20,110.32,110.629997,109.989998,110,3200,23.929932
2003-05-21,109.300003,110.5,109.300003,110.5,2400,24.038705
2003-05-22,110.5,111.650002,110.5,111.550003,2800,24.267127
2003-05-23,111.400002,112.25,111.400002,112.25,800,24.419408
2003-05-27,112.349998,113.800003,112.349998,113.800003,2000,24.756603
2003-05-28,114.199997,114.300003,114.029999,114.029999,2000,24.806638
2003-05-29,114.510002,114.550003,114.510002,114.550003,800,24.919762
2003-05-30,115.300003,116.050003,115.300003,116.050003,800,25.246079
2003-06-02,117.099998,117.650002,117,117.25,2000,25.507132
2003-06-03,116.610001,117.150002,116.610001,117.150002,8800,25.485378
2003-06-04,118.099998,118.099998,118.099998,118.099998,400,25.692045
2003-06-05,118.550003,119.150002,118.550003,119.150002,800,25.920468
2003-06-06,120.449997,120.639999,118.849998,118.849998,2000,25.855204
2003-06-09,118.400002,118.400002,117.099998,117.099998,3600,25.4745
2003-06-10,117.459999,117.459999,117.459999,117.459999,400,25.552817
2003-06-11,119,119.5,119,119.5,2400,25.996608
2003-06-12,120.599998,120.599998,120.080002,120.080002,800,26.122785
2003-06-13,119.349998,119.400002,119,119.169998,6000,25.924818
2003-06-16,119.199997,121.279999,119.199997,121.279999,800,26.383838
2003-06-17,121.900002,121.900002,121.389999,121.400002,1200,26.409944
2003-06-18,120.449997,120.449997,120.449997,120.449997,400,26.203275
2003-06-19,120.050003,120.050003,120.050003,120.050003,400,26.116259
2003-06-20,119.699997,119.699997,118.800003,118.800003,1600,25.880545
2003-06-23,118.5,118.5,117.639999,117.639999,3600,25.627839
2003-06-24,117.75,118.139999,117.470001,118.120003,8000,25.732407
2003-06-25,118.5,118.5,118.5,118.5,400,25.81519
2003-06-26,117.370003,118.580002,117.370003,118.580002,5200,25.832618
2003-06-27,119.370003,119.370003,118.160004,118.160004,3200,25.741122
2003-06-30,118.239998,118.239998,118.239998,118.239998,3200,25.758548
2003-07-01,116.599998,118.800003,116.599998,118.800003,9200,25.880545
2003-07-02,119.650002,120.199997,119.550003,120.199997,5600,26.185533
2003-07-03,120.050003,120.489998,120,120.199997,4400,26.185533
2003-07-07,121,121.57,121,121.57,12400,26.483988
2003-07-08,122.519997,122.699997,122.199997,122.699997,3200,26.730158
2003-07-09,122.459999,122.900002,122.25,122.25,16800,26.632126
2003-07-10,121.400002,121.400002,120.220001,120.300003,6800,26.20732
2003-07-11,121.169998,121.75,121.160004,121.68,6000,26.507952
2003-07-14,123.120003,123.120003,121.989998,121.989998,6800,26.575485
2003-07-15,122.400002,122.400002,121.050003,121.400002,5600,26.446954
2003-07-16,121.199997,121.230003,119.919998,120.25,6800,26.196427
2003-07-17,119.349998,119.699997,118.800003,119,18000,25.924114
2003-07-18,119.18,119.690002,119.18,119.690002,4800,26.074431
2003-07-21,29.5,29.5,29.5,29.5,0,25.706265
2003-07-22,29.9,29.9,29.9,29.9,0,26.054824
2003-07-23,29.860001,29.860001,29.860001,29.860001,0,26.019969
2003-07-24,29.65,29.65,29.65,29.65,0,25.836974
2003-07-25,30.030001,30.030001,30.030001,30.030001,0,26.168107
2003-07-28,30.049999,30.049999,30.049999,30.049999,0,26.185533
2003-07-29,30.02,30.02,30.02,30.02,0,26.159393
2003-07-30,29.969999,29.969999,29.969999,29.969999,0,26.115822
2003-07-31,30,30,30,30,0,26.141964
2003-08-01,29.700001,29.700001,29.700001,29.700001,0,25.880545
2003-08-04,29.540001,29.540001,29.540001,29.540001,0,25.741122
2003-08-05,29.030001,29.030001,29.030001,29.030001,0,25.296708
2003-08-06,28.860001,28.860001,28.860001,28.860001,0,25.14857
2003-08-07,29.07,29.07,29.07,29.07,0,25.331563
2003-08-08,29.290001,29.290001,29.290001,29.290001,0,25.523272
2003-08-11,29.450001,29.450001,29.450001,29.450001,0,25.662696
2003-08-12,29.75,29.75,29.75,29.75,0,25.924114
2003-08-13,29.65,29.65,29.65,29.65,0,25.836974
2003-08-14,29.790001,29.790001,29.790001,29.790001,0,25.958971
2003-08-15,29.9,29.9,29.9,29.9,0,26.054824
2003-08-18,30.23,30.23,30.23,30.23,0,26.342386
2003-08-19,30.42,30.42,30.42,30.42,0,26.507952
2003-08-20,30.51,30.51,30.51,30.51,0,26.586378
2003-08-21,30.6,30.6,30.6,30.6,0,26.664804
2003-08-22,30.32,30.32,30.32,30.32,0,26.420812
2003-08-25,30.129999,30.129999,30.129999,30.129999,0,26.255245
2003-08-26,30.16,30.16,30.16,30.16,0,26.281388
2003-08-27,30.33,30.33,30.33,30.33,0,26.429526
2003-08-28,30.629999,30.629999,30.629999,30.629999,0,26.690945
2003-08-29,30.879999,30.879999,30.879999,30.879999,0,26.908794
2003-09-02,31.440001,31.440001,31.440001,31.440001,0,27.396779
2003-09-03,31.450001,31.450001,31.450001,31.450001,0,27.405493
2003-09-04,31.75,31.75,31.75,31.75,0,27.666912
2003-09-05,31.59,31.59,31.59,31.59,0,27.527488
2003-09-08,31.75,31.75,31.75,31.75,0,27.666912
2003-09-09,31.370001,31.370001,31.370001,31.370001,0,27.335781
2003-09-10,30.75,30.75,30.75,30.75,0,26.795513
2003-09-11,30.950001,30.950001,30.950001,30.950001,0,26.969794
2003-09-12,30.91,30.91,30.91,30.91,0,26.934937
2003-09-15,30.83,30.83,30.83,30.83,0,26.865225
2003-09-16,31.24,31.24,31.24,31.24,0,27.222499
2003-09-17,31.1,31.1,31.1,31.1,0,27.100503
2003-09-18,31.4,31.4,31.4,31.4,0,27.361922
2003-09-19,31.5,31.5,31.5,31.5,0,27.48758
2003-09-22,31.209999,31.209999,31.209999,31.209999,0,27.234519
2003-09-23,31.27,31.27,31.27,31.27,0,27.286878
2003-09-24,30.93,30.93,30.93,30.93,0,26.990186
2003-09-25,30.700001,30.700001,30.700001,30.700001,0,26.789484
2003-09-26,30.4,30.4,30.4,30.4,0,26.527696
2003-09-29,30.6,30.6,30.6,30.6,0,26.702221
2003-09-30,30.5,30.5,30.5,30.5,0,26.614959
2003-10-01,30.98,30.98,30.98,30.98,0,27.033817
2003-10-02,31.32,31.32,31.32,31.32,0,27.330508
2003-10-03,31.719999,31.719999,31.719999,31.719999,0,27.679556
2003-10-06,31.780001,31.780001,31.780001,31.780001,0,27.731915
2003-10-07,31.68,31.92,31.6,31.92,6600,27.854081
2003-10-08,31.92,31.950001,31.76,31.76,3900,27.714462
2003-10-09,31.950001,32.23,31.940001,31.940001,4800,27.871534
2003-10-10,32.02,32.029999,31.84,31.84,5000,27.784272
2003-10-13,32.099998,32.400002,32.099998,32.32,6900,28.20313
2003-10-14,32.299999,32.43,32.200001,32.43,6200,28.299119
2003-10-15,32.400002,32.400002,32.130001,32.32,6400,28.20313
2003-10-16,32.139999,32.490002,32.139999,32.32,8400,28.20313
2003-10-17,32.41,32.41,32.200001,32.200001,7700,28.098416
2003-10-20,32.07,32.419998,32.040001,32.419998,6900,28.290391
2003-10-21,32.419998,32.580002,32.400002,32.580002,5400,28.430013
2003-10-22,32.310001,32.310001,32,32.119999,10600,28.028605
2003-10-23,31.66,32.040001,31.66,31.99,4700,27.915165
2003-10-24,31.75,31.82,31.610001,31.75,3400,27.705736
2003-10-27,31.99,32.060001,31.99,32.040001,3600,27.958797
2003-10-28,32.099998,32.150002,31.969999,32.150002,10100,28.054786
2003-10-29,32.34,32.490002,32.34,32.490002,16500,28.351477
2003-10-30,32.650002,32.68,32.299999,32.48,16300,28.342749
2003-10-31,32.599998,32.700001,32.450001,32.639999,20800,28.482368
2003-11-03,32.740002,32.98,32.740002,32.939999,22900,28.744154
2003-11-04,32.900002,33.099998,32.810001,33.040001,17500,28.831418
2003-11-05,33.009998,33.009998,32.709999,32.950001,19700,28.752882
2003-11-06,32.950001,33.189999,32.77,33.189999,28700,28.96231
2003-11-07,33.23,33.240002,33.02,33.150002,17900,28.927407
2003-11-10,33.169998,33.169998,32.799999,32.799999,10200,28.621988
2003-11-11,32.799999,32.810001,32.549999,32.700001,10500,28.534727
2003-11-12,32.799999,33.16,32.799999,33.139999,10200,28.918679
2003-11-13,33.049999,33.240002,32.889999,33.18,18200,28.953585
2003-11-14,33.25,33.34,33,33.099998,12200,28.883773
2003-11-17,32.75,32.75,32.400002,32.75,18200,28.578357
2003-11-18,32.849998,32.900002,32.400002,32.57,19500,28.421285
2003-11-19,32.5,32.779999,32.349998,32.779999,16800,28.604535
2003-11-20,32.599998,32.799999,32.400002,32.490002,59800,28.351477
2003-11-21,32.599998,32.669998,32.400002,32.5,14600,28.360202
2003-11-24,32.799999,33.240002,32.799999,33.240002,18000,29.005943
2003-11-25,33.200001,33.549999,33.200001,33.540001,36600,29.267729
2003-11-26,33.450001,33.619999,33.349998,33.619999,29000,29.337537
2003-11-28,33.619999,33.77,33.619999,33.77,7900,29.468432
2003-12-01,33.849998,34.049999,33.849998,34.049999,21600,29.712765
2003-12-02,34.02,34.150002,33.849998,34.040001,22100,29.70404
2003-12-03,34.099998,34.099998,33.75,33.849998,23700,29.53824
2003-12-04,33.599998,33.759998,33.450001,33.709999,18100,29.416073
2003-12-05,33.599998,33.650002,33.400002,33.48,37900,29.215371
2003-12-08,33.299999,33.48,33.279999,33.279999,12100,29.040846
2003-12-09,33.529999,33.639999,33,33.139999,8800,28.918679
2003-12-10,33,33.02,32.75,32.75,7800,28.578357
2003-12-11,32.849998,33.349998,32.849998,33.349998,13700,29.101929
2003-12-12,33.299999,33.43,33.150002,33.400002,49600,29.145563
2003-12-15,33.650002,33.689999,33.099998,33.150002,22000,28.927407
2003-12-16,33.099998,33.150002,32.849998,32.959999,24700,28.761607
2003-12-17,33.02,33.18,32.93,33.18,6800,28.953585
2003-12-18,33.330002,33.700001,33.299999,33.650002,30600,29.363718
2003-12-19,33.68,33.689999,33.5,33.610001,9000,29.328812
2003-12-22,33.540001,33.779999,33.459999,33.779999,25300,29.477156
2003-12-23,33.75,33.919998,33.669998,33.91,17800,29.590598
2003-12-24,33.849998,33.880001,33.709999,33.869999,24600,29.654511
2003-12-26,33.869999,33.869999,33.709999,33.860001,8200,29.645757
2003-12-29,33.98,34.240002,33.98,34.240002,11100,29.978463
2003-12-30,34.349998,34.349998,34.110001,34.110001,14200,29.864642
2003-12-31,34.200001,34.34,34.099998,34.299999,8500,30.030993
2004-01-02,34.299999,34.450001,34.119999,34.18,17900,29.92593
2004-01-05,34.25,34.450001,34.23,34.419998,27700,30.136057
2004-01-06,34.439999,34.700001,34.439999,34.700001,12700,30.38121
2004-01-07,34.799999,34.889999,34.360001,34.84,12700,30.503785
2004-01-08,34.919998,34.919998,34.580002,34.869999,33500,30.53005
2004-01-09,34.5,34.84,34.5,34.599998,32800,30.293654
2004-01-12,34.599998,34.759998,34.529999,34.75,14800,30.424987
2004-01-13,34.799999,34.830002,34.299999,34.470001,12000,30.179837
2004-01-14,34.759998,34.98,34.650002,34.869999,15400,30.53005
2004-01-15,35.049999,35.18,34.599998,35.080002,16000,30.713916
2004-01-16,35.279999,35.470001,35.200001,35.470001,12300,31.055376
2004-01-20,35.669998,35.720001,35.470001,35.68,32800,31.239238
2004-01-21,35.700001,35.779999,35.5,35.709999,28700,31.265503
2004-01-22,35.799999,35.799999,35.450001,35.5,32400,31.081641
2004-01-23,35.68,35.73,35.25,35.439999,16900,31.029107
2004-01-26,35.470001,35.799999,35.25,35.799999,12100,31.344302
2004-01-27,35.799999,35.950001,35.5,35.689999,17200,31.247992
2004-01-28,35.720001,35.75,34.880001,35.09,21100,30.72267
2004-01-29,35.150002,35.150002,34.48,35,27200,30.643871
2004-01-30,35.049999,35.16,34.959999,34.970001,6700,30.617606
2004-02-02,35.150002,35.380001,34.869999,35.25,10400,30.862756
2004-02-03,35.200001,35.349998,35.139999,35.27,15600,30.880267
2004-02-04,35.18,35.220001,34.720001,34.919998,34300,30.573827
2004-02-05,34.919998,35,34.75,34.919998,26400,30.573827
2004-02-06,35,35.529999,35,35.529999,15100,31.107906
2004-02-09,35.639999,35.720001,35.529999,35.580002,22700,31.151686
2004-02-10,35.529999,35.700001,35.41,35.66,35200,31.221727
2004-02-11,35.68,36.200001,35.630001,36.18,42400,31.677008
2004-02-12,36.18,36.32,36.029999,36.200001,28800,31.694519
2004-02-13,36.279999,36.369999,35.82,36,34200,31.519411
2004-02-17,36.23,36.459999,36.23,36.41,24300,31.878382
2004-02-18,36.450001,36.490002,36.32,36.41,25800,31.878382
2004-02-19,36.549999,36.549999,36,36,14200,31.519411
2004-02-20,36.119999,36.119999,35.84,36.07,9900,31.580698
2004-02-23,36.07,36.07,35.610001,35.610001,45900,31.177951
2004-02-24,35.439999,35.869999,35.400002,35.689999,20900,31.247992
2004-02-25,35.860001,36.150002,35.799999,36.139999,72900,31.641986
2004-02-26,36,36.290001,35.959999,36.290001,31800,31.773318
2004-02-27,36.27,36.5,36.23,36.380001,37100,31.852116
2004-03-01,36.23,36.75,36.23,36.75,14900,32.176065
2004-03-02,36.68,36.779999,36.48,36.549999,17900,32.000956
2004-03-03,36.52,36.700001,36.25,36.689999,16400,32.123531
2004-03-04,36.650002,36.799999,36.549999,36.799999,38400,32.219841
