"Index","open","high","low","close","volume","adjusted"
2005-03-03,15.03,15.04,14.93,15.03,5500,11.740353
2005-03-04,15.16,15.19,15.15,15.16,10500,11.8419
2005-03-07,15.15,15.18,15.15,15.17,9700,11.849712
2005-03-08,15.14,15.14,15.09,15.1,5100,11.795033
2005-03-09,15.08,15.08,14.96,14.96,10900,11.685675
2005-03-10,14.94,14.94,14.85,14.87,4600,11.615373
2005-03-11,14.89,14.89,14.82,14.83,8300,11.584128
2005-03-14,14.83,14.83,14.83,14.83,0,11.584128
2005-03-15,15,15,14.9,14.9,2400,11.638807
2005-03-16,14.78,14.79,14.74,14.74,5300,11.513826
2005-03-17,14.77,14.82,14.75,14.81,10800,11.568506
2005-03-18,14.78,14.78,14.7,14.74,6600,11.523163
2005-03-21,14.77,14.77,14.66,14.74,10300,11.523163
2005-03-22,14.72,14.78,14.55,14.55,10100,11.374629
2005-03-23,14.51,14.56,14.51,14.56,4200,11.382446
2005-03-24,14.57,14.57,14.57,14.57,2300,11.390263
2005-03-28,14.61,14.61,14.57,14.58,4200,11.398081
2005-03-29,14.56,14.63,14.48,14.48,5600,11.319905
2005-03-30,14.56,14.63,14.56,14.63,6100,11.437169
2005-03-31,14.75,14.8,14.75,14.79,24600,11.562251
2005-04-01,14.88,14.91,14.81,14.83,31600,11.593522
2005-04-04,14.72,14.78,14.69,14.78,13500,11.554433
2005-04-05,14.81,14.84,14.81,14.81,17700,11.577887
2005-04-06,14.84,14.92,14.84,14.88,19700,11.63261
2005-04-07,14.88,14.9,14.88,14.9,2600,11.648245
2005-04-08,14.86,14.87,14.78,14.78,19300,11.554433
2005-04-11,14.78,14.78,14.75,14.78,3100,11.554433
2005-04-12,14.69,14.91,14.66,14.88,14300,11.63261
2005-04-13,14.84,14.84,14.7,14.7,2000,11.491893
2005-04-14,14.71,14.71,14.58,14.58,16900,11.398081
2005-04-15,14.5,14.58,14.42,14.43,373600,11.280817
2005-04-18,14.31,14.37,14.26,14.37,24600,11.233911
2005-04-19,14.43,14.44,14.41,14.44,41100,11.288634
2005-04-20,14.34,14.45,14.25,14.25,48000,11.1401
2005-04-21,14.26,14.38,14.21,14.38,17300,11.241729
2005-04-22,14.39,14.44,14.39,14.43,4400,11.280817
2005-04-25,14.49,14.52,14.48,14.52,1400,11.351176
2005-04-26,14.48,14.51,14.4,14.4,3500,11.257364
2005-04-27,14.3,14.5,14.28,14.45,30000,11.296452
2005-04-28,14.36,14.43,14.35,14.36,19100,11.226094
2005-04-29,14.42,14.54,14.34,14.54,4200,11.366811
2005-05-02,14.58,14.6,14.53,14.58,5100,11.398081
2005-05-03,14.6,14.61,14.54,14.58,4000,11.398081
2005-05-04,14.69,14.76,14.69,14.76,2400,11.538799
2005-05-05,14.78,14.78,14.68,14.74,8300,11.523163
2005-05-06,14.76,14.76,14.7,14.71,2200,11.49971
2005-05-09,14.65,14.72,14.65,14.69,5000,11.484075
2005-05-10,14.66,14.66,14.62,14.65,4700,11.452804
2005-05-11,14.59,14.63,14.56,14.63,5000,11.437169
2005-05-12,14.56,14.59,14.46,14.46,2900,11.30427
2005-05-13,14.41,14.46,14.28,14.32,4800,11.194823
2005-05-16,14.38,14.46,14.35,14.45,6700,11.296452
2005-05-17,14.4,14.6,14.37,14.6,24500,11.413717
2005-05-18,14.72,14.75,14.72,14.73,15400,11.515345
2005-05-19,14.71,14.8,14.7,14.79,11000,11.562251
2005-05-20,14.74,14.78,14.74,14.74,1600,11.523163
2005-05-23,14.79,14.87,14.79,14.8,8300,11.570069
2005-05-24,14.8,14.82,14.79,14.82,3200,11.585704
2005-05-25,14.79,14.83,14.78,14.78,3700,11.554433
2005-05-26,14.85,14.89,14.85,14.89,3100,11.640428
2005-05-27,14.9,14.93,14.86,14.93,6000,11.671698
2005-05-31,14.93,14.93,14.93,14.93,0,11.671698
2005-06-01,14.86,15.01,14.84,15.01,7500,11.734239
2005-06-02,14.94,14.98,14.93,14.98,13200,11.710786
2005-06-03,14.84,14.92,14.84,14.92,1000,11.66388
2005-06-06,14.88,14.94,14.87,14.94,3500,11.679515
2005-06-07,15.03,15.03,14.97,14.99,3500,11.718603
2005-06-08,14.97,15.01,14.97,15.01,2000,11.734239
2005-06-09,14.9,15.05,14.9,15.03,19900,11.749874
2005-06-10,15.08,15.08,15.02,15.06,8200,11.773327
2005-06-13,15.12,15.12,15.12,15.12,1700,11.820232
2005-06-14,15.13,15.14,15.11,15.11,4400,11.812415
2005-06-15,15.12,15.22,15.12,15.22,7800,11.898409
2005-06-16,15.23,15.3,15.2,15.28,22800,11.945314
2005-06-17,15.35,15.37,15.31,15.37,41800,12.064626
2005-06-20,15.31,15.38,15.3,15.38,3500,12.072475
2005-06-21,15.37,15.37,15.31,15.31,9400,12.017529
2005-06-22,15.4,15.4,15.33,15.35,5700,12.048927
2005-06-23,15.34,15.37,15.23,15.23,19200,11.954733
2005-06-24,15.23,15.23,15.16,15.16,8700,11.899787
2005-06-27,15.16,15.2,15.16,15.18,3100,11.915486
2005-06-28,15.25,15.28,15.25,15.28,5800,11.993981
2005-06-29,15.27,15.29,15.24,15.24,4100,11.962583
2005-06-30,15.28,15.28,15.13,15.13,9200,11.876239
2005-07-01,15.2,15.23,15.2,15.22,8600,11.946884
2005-07-05,15.27,15.39,15.27,15.38,16900,12.072475
2005-07-06,15.41,15.41,15.26,15.26,9200,11.978282
2005-07-07,15.09,15.3,15.09,15.3,5700,12.00968
2005-07-08,15.33,15.43,15.33,15.38,12000,12.072475
2005-07-11,15.41,15.49,15.41,15.48,5700,12.15097
2005-07-12,15.51,15.6,15.5,15.56,4700,12.213766
2005-07-13,15.58,15.6,15.55,15.56,11200,12.213766
2005-07-14,15.63,15.63,15.51,15.55,6500,12.205916
2005-07-15,15.57,15.57,15.52,15.56,9900,12.213766
2005-07-18,15.5,15.54,15.5,15.52,5700,12.182368
2005-07-19,15.52,15.58,15.52,15.58,11900,12.229465
2005-07-20,15.5,15.64,15.48,15.63,8600,12.268712
2005-07-21,15.58,15.6,15.49,15.51,17500,12.174519
2005-07-22,15.54,15.65,15.54,15.65,17000,12.284411
2005-07-25,15.66,15.72,15.59,15.63,8500,12.268712
2005-07-26,15.63,15.66,15.6,15.64,2900,12.276562
2005-07-27,15.66,15.71,15.62,15.71,7500,12.331508
2005-07-28,15.7,15.78,15.67,15.78,6100,12.386454
2005-07-29,15.78,15.79,15.68,15.68,4500,12.30796
2005-08-01,15.71,15.71,15.65,15.7,4000,12.323658
