"Index","open","high","low","close","volume","adjusted"
2005-03-03,15.07,15.07,14.93,15.04,22500,14.19159
2005-03-04,15.14,15.23,15.14,15.21,29100,14.352
2005-03-07,15.28,15.32,15.27,15.29,13100,14.427487
2005-03-08,15.29,15.29,15.18,15.18,5900,14.323693
2005-03-09,15.11,15.11,15.03,15.03,10400,14.182154
2005-03-10,15.02,15.02,14.87,14.94,4800,14.09723
2005-03-11,15.07,15.07,14.92,14.92,3300,14.078359
2005-03-14,15,15.02,14.97,15.02,1900,14.172718
2005-03-15,15.11,15.11,15,15.01,9300,14.163282
2005-03-16,14.99,14.99,14.84,14.85,18700,14.012308
2005-03-17,14.89,14.92,14.83,14.91,13900,14.068923
2005-03-18,14.85,14.85,14.77,14.77,2600,13.936821
2005-03-21,14.81,14.81,14.7,14.7,1000,13.870769
2005-03-22,14.81,14.86,14.65,14.65,4300,13.823589
2005-03-23,14.62,14.63,14.58,14.59,4900,13.766975
2005-03-24,14.64,14.65,14.63,14.65,3700,13.823589
2005-03-28,14.66,14.67,14.59,14.64,4400,13.814154
2005-03-29,14.58,14.66,14.47,14.47,4800,13.653744
2005-03-30,14.4,14.42,14.38,14.4,10600,13.587692
2005-03-31,14.4,14.4,14.4,14.4,0,13.587692
2005-04-01,14.53,14.53,14.39,14.39,7200,13.578257
2005-04-04,14.37,14.49,14.36,14.49,10500,13.672615
2005-04-05,14.53,14.57,14.53,14.54,31200,13.719795
2005-04-06,14.67,14.67,14.66,14.66,1800,13.833026
2005-04-07,14.62,14.7,14.62,14.68,3600,13.851898
2005-04-08,14.66,14.67,14.57,14.57,24400,13.748102
2005-04-11,14.62,14.62,14.55,14.57,1600,13.748102
2005-04-12,14.45,14.72,14.43,14.71,9500,13.880205
2005-04-13,14.61,14.62,14.46,14.47,2300,13.653744
2005-04-14,14.47,14.47,14.25,14.25,13000,13.446154
2005-04-15,14.11,14.14,13.95,13.95,1900,13.163077
2005-04-18,13.9,13.98,13.9,13.98,2400,13.191384
2005-04-19,14.08,14.13,14.06,14.13,1800,13.332923
2005-04-20,14.03,14.03,13.9,13.9,38400,13.115897
