"Index","open","high","low","close","volume","adjusted"
2005-03-03,15.13,15.16,15.05,15.12,17600,12.451622
2005-03-04,15.26,15.3,15.26,15.3,2900,12.599856
2005-03-07,15.34,15.43,15.34,15.41,8500,12.690443
2005-03-08,15.34,15.35,15.3,15.3,4700,12.599856
2005-03-09,15.3,15.3,15.2,15.26,4900,12.566915
2005-03-10,15.22,15.24,15.1,15.24,3100,12.550445
2005-03-11,15.27,15.28,15.24,15.25,2100,12.55868
2005-03-14,15.31,15.39,15.31,15.39,5400,12.673973
2005-03-15,15.46,15.46,15.34,15.34,10400,12.632797
2005-03-16,15.24,15.24,15.15,15.15,6300,12.476328
2005-03-17,15.16,15.2,15.11,15.17,29800,12.492799
2005-03-18,15.08,15.08,14.98,15,11000,12.369107
2005-03-21,15.03,15.03,14.98,14.99,2200,12.360861
2005-03-22,15.05,15.11,14.85,14.85,5700,12.245416
2005-03-23,14.8,14.83,14.8,14.83,5200,12.228924
2005-03-24,14.8,14.91,14.8,14.84,8400,12.23717
2005-03-28,14.88,14.89,14.82,14.85,4600,12.245416
2005-03-29,14.82,14.88,14.76,14.76,6400,12.171201
2005-03-30,14.76,14.82,14.76,14.81,17500,12.212432
2005-03-31,14.89,15.01,14.89,14.96,10000,12.336123
2005-04-01,15.04,15.11,14.9,14.9,9000,12.286646
2005-04-04,14.91,15,14.88,15,21100,12.369107
2005-04-05,15.07,15.1,15.07,15.08,26200,12.435076
2005-04-06,15.08,15.15,15.08,15.13,13400,12.476306
2005-04-07,15.1,15.13,15.1,15.13,2300,12.476306
2005-04-08,15.13,15.13,15.03,15.03,34100,12.393845
2005-04-11,15.08,15.09,15.05,15.09,6200,12.443322
2005-04-12,15.06,15.25,14.98,15.25,32900,12.575259
2005-04-13,15.12,15.13,14.98,14.98,12100,12.352614
2005-04-14,14.95,14.97,14.73,14.74,13900,12.154709
2005-04-15,14.61,14.64,14.45,14.47,13900,11.932065
2005-04-18,14.42,14.48,14.41,14.47,2600,11.932065
2005-04-19,14.61,14.63,14.58,14.63,23100,12.064002
2005-04-20,14.66,14.66,14.37,14.4,23100,11.874342
2005-04-21,14.53,14.59,14.46,14.59,34000,12.031018
2005-04-22,14.62,14.62,14.46,14.46,15200,11.923819
2005-04-25,14.64,14.66,14.64,14.65,4800,12.080494
2005-04-26,14.57,14.57,14.55,14.55,1600,11.998034
2005-04-27,14.35,14.49,14.34,14.49,10500,11.948557
2005-04-28,14.44,14.44,14.35,14.35,11200,11.833113
2005-04-29,14.33,14.44,14.29,14.44,27500,11.907327
2005-05-02,14.53,14.54,14.51,14.54,3100,11.989788
2005-05-03,14.62,14.63,14.58,14.58,4400,12.022772
2005-05-04,14.78,14.81,14.74,14.8,12800,12.204186
2005-05-05,14.87,14.87,14.77,14.79,2600,12.195939
2005-05-06,14.85,14.87,14.82,14.82,6200,12.220677
2005-05-09,14.86,14.94,14.82,14.94,7600,12.31963
2005-05-10,14.86,14.87,14.8,14.8,2300,12.204186
2005-05-11,14.8,14.87,14.79,14.87,8100,12.261908
2005-05-12,14.82,14.82,14.62,14.62,12800,12.055756
2005-05-13,14.63,14.63,14.49,14.49,7800,11.948557
2005-05-16,14.51,14.65,14.51,14.65,5800,12.080494
2005-05-17,14.64,14.82,14.64,14.82,3900,12.220677
2005-05-18,14.91,15.02,14.91,14.98,5600,12.352614
2005-05-19,14.98,15.01,14.98,15,6000,12.369107
2005-05-20,14.94,15.01,14.94,15,1300,12.369107
2005-05-23,15.07,15.13,15.04,15.13,20300,12.476306
2005-05-24,15.09,15.11,15.05,15.11,9900,12.459814
2005-05-25,14.99,15.06,14.99,15.03,2500,12.393845
2005-05-26,15.1,15.12,15.09,15.1,2100,12.451568
2005-05-27,15.12,15.17,15.12,15.17,2800,12.50929
2005-05-31,15.12,15.16,15.12,15.16,7400,12.501044
2005-06-01,15.26,15.26,15.2,15.2,3000,12.534028
2005-06-02,15.24,15.26,15.24,15.26,2600,12.583505
2005-06-03,15.23,15.23,15.17,15.2,6800,12.534028
2005-06-06,15.16,15.21,15.16,15.21,6000,12.542275
2005-06-07,15.3,15.37,15.28,15.29,7000,12.608243
2005-06-08,15.29,15.29,15.2,15.2,2900,12.534028
2005-06-09,15.16,15.23,15.15,15.21,15500,12.542275
2005-06-10,15.26,15.26,15.23,15.26,3900,12.583505
2005-06-13,15.21,15.34,15.21,15.29,22500,12.608243
2005-06-14,15.35,15.44,15.35,15.4,9200,12.69895
2005-06-15,15.47,15.47,15.37,15.43,7600,12.723688
2005-06-16,15.45,15.51,15.45,15.51,7100,12.789657
2005-06-17,15.51,15.56,15.51,15.56,5200,12.871552
2005-06-20,15.43,15.46,15.43,15.46,3400,12.78883
2005-06-21,15.47,15.51,15.42,15.48,5700,12.805374
2005-06-22,15.55,15.55,15.46,15.5,5900,12.821919
2005-06-23,15.43,15.47,15.33,15.33,3800,12.681291
2005-06-24,15.29,15.3,15.2,15.24,23200,12.606841
2005-06-27,15.21,15.26,15.21,15.26,16900,12.623386
2005-06-28,15.34,15.48,15.34,15.47,15100,12.797102
2005-06-29,15.51,15.52,15.47,15.48,12000,12.805374
2005-06-30,15.51,15.51,15.45,15.45,3000,12.780557
2005-07-01,15.46,15.5,15.46,15.5,13400,12.821919
2005-07-05,15.47,15.63,15.47,15.62,4100,12.921185
2005-07-06,15.62,15.65,15.54,15.56,9300,12.871552
2005-07-07,15.44,15.59,15.41,15.59,16300,12.896369
2005-07-08,15.6,15.69,15.57,15.67,8200,12.962546
2005-07-11,15.72,15.79,15.72,15.79,7000,13.061813
2005-07-12,15.79,15.86,15.72,15.83,4300,13.094901
2005-07-13,15.84,15.84,15.82,15.84,6500,13.103174
2005-07-14,15.87,15.91,15.81,15.86,22300,13.119718
2005-07-15,15.87,15.87,15.8,15.87,10700,13.12799
2005-07-18,15.88,15.91,15.86,15.89,30700,13.144535
2005-07-19,15.89,16.01,15.89,16,51200,13.235529
2005-07-20,16,16.16,15.98,16.16,17600,13.367884
2005-07-21,16.129999,16.129999,15.99,16.01,24400,13.243801
2005-07-22,16.01,16.110001,16,16.110001,9600,13.326524
2005-07-25,16.129999,16.18,16.030001,16.030001,4600,13.260346
2005-07-26,16.049999,16.07,16.049999,16.059999,1500,13.285162
2005-07-27,16.08,16.09,16.030001,16.09,9700,13.309979
2005-07-28,16.120001,16.25,16.120001,16.25,17200,13.442334
2005-07-29,16.25,16.27,16.16,16.16,10800,13.367884
2005-08-01,16.16,16.18,16.129999,16.17,5300,13.376157
2005-08-02,16.17,16.299999,16.17,16.280001,11600,13.467151
2005-08-03,16.26,16.4,16.26,16.379999,15800,13.549872
2005-08-04,16.24,16.24,16.16,16.17,3800,13.376157
2005-08-05,16.139999,16.139999,15.92,15.94,11200,13.185895
2005-08-08,16,16.02,15.85,15.88,16800,13.136263
2005-08-09,15.92,15.94,15.91,15.94,9400,13.185895
2005-08-10,16.040001,16.110001,15.93,15.94,8400,13.185895
2005-08-11,15.9,15.98,15.9,15.98,6900,13.218984
2005-08-12,15.97,16,15.88,15.98,5800,13.218984
2005-08-15,15.95,16.030001,15.9,15.98,7900,13.218984
2005-08-16,15.97,15.97,15.77,15.77,5200,13.045269
2005-08-17,15.8,15.87,15.8,15.84,9600,13.103174
2005-08-18,15.79,15.84,15.75,15.82,6300,13.086629
2005-08-19,15.85,15.86,15.83,15.84,6400,13.103174
2005-08-22,15.88,15.93,15.8,15.82,10100,13.086629
2005-08-23,15.85,15.85,15.75,15.77,9200,13.045269
2005-08-24,15.75,15.84,15.66,15.66,8700,12.954274
2005-08-25,15.73,15.78,15.71,15.76,6400,13.036996
2005-08-26,15.78,15.78,15.65,15.71,32200,12.995635
2005-08-29,15.57,15.78,15.57,15.78,9800,13.05354
2005-08-30,15.74,15.74,15.6,15.7,10600,12.987363
2005-08-31,15.7,15.84,15.65,15.82,7400,13.086629
2005-09-01,15.89,15.93,15.8,15.93,4300,13.177624
2005-09-02,15.92,15.92,15.82,15.85,1800,13.111446
2005-09-06,15.91,15.94,15.91,15.93,800,13.177624
2005-09-07,15.88,15.95,15.88,15.92,4900,13.169351
2005-09-08,15.92,15.92,15.79,15.79,5700,13.061813
2005-09-09,15.84,15.96,15.84,15.95,6500,13.194168
2005-09-12,15.94,16.030001,15.94,16.030001,19000,13.260346
2005-09-13,15.98,15.98,15.88,15.88,7900,13.136263
2005-09-14,15.9,15.9,15.83,15.83,11200,13.094901
2005-09-15,15.92,15.92,15.85,15.89,7400,13.144535
2005-09-16,15.92,15.92,15.86,15.91,2100,13.200955
2005-09-19,15.91,15.91,15.84,15.86,12000,13.159469
2005-09-20,16,16,15.74,15.76,8300,13.076497
2005-09-21,15.7,15.72,15.62,15.62,30800,12.960335
2005-09-22,15.58,15.66,15.52,15.65,8900,12.985226
2005-09-23,15.61,15.68,15.59,15.68,2000,13.010119
2005-09-26,15.73,15.77,15.66,15.69,19900,13.018415
2005-09-27,15.7,15.73,15.61,15.7,18700,13.026713
2005-09-28,15.8,15.81,15.69,15.74,8400,13.059902
2005-09-29,15.73,15.9,15.72,15.89,8900,13.184361
2005-09-30,15.92,16,15.9,15.96,9300,13.242442
2005-10-03,15.92,15.98,15.92,15.98,3900,13.259036
2005-10-04,16.01,16.01,15.8,15.83,13600,13.134577
2005-10-05,15.69,15.69,15.53,15.53,9100,12.885659
2005-10-06,15.47,15.52,15.26,15.36,20100,12.744605
2005-10-07,15.45,15.47,15.4,15.47,4300,12.835876
2005-10-10,15.47,15.47,15.32,15.32,15900,12.711416
