"Index","open","high","low","close","volume","adjusted"
2005-03-03,15.14,15.15,15.08,15.15,2400,14.481283
2005-03-04,15.14,15.23,15.09,15.2,7300,14.529077
2005-03-07,15.27,15.31,15.24,15.27,8600,14.595987
2005-03-08,15.22,15.25,15.09,15.09,4100,14.423932
2005-03-09,15.02,15.09,14.96,14.96,6300,14.29967
2005-03-10,14.96,14.96,14.79,14.92,3100,14.261436
2005-03-11,14.85,14.85,14.75,14.78,9000,14.127615
2005-03-14,14.84,14.86,14.78,14.81,6800,14.156292
2005-03-15,14.88,14.88,14.74,14.74,2800,14.089381
2005-03-16,14.7,14.74,14.62,14.62,9800,13.974678
2005-03-17,14.65,14.72,14.61,14.72,24100,14.070264
2005-03-18,14.57,14.57,14.54,14.54,3600,13.898209
2005-03-21,14.51,14.52,14.46,14.52,30700,13.879092
2005-03-22,14.66,14.78,14.57,14.57,36600,13.926885
2005-03-23,14.5,14.5,14.43,14.43,4300,13.793065
2005-03-24,14.49,14.56,14.49,14.56,900,13.917327
2005-03-28,14.61,14.61,14.49,14.59,4500,13.946002
2005-03-29,14.54,14.57,14.45,14.45,7200,13.812181
2005-03-30,14.56,14.59,14.56,14.58,4000,13.936443
2005-03-31,14.66,14.68,14.66,14.67,2200,14.022471
2005-04-01,14.77,14.77,14.64,14.68,6700,14.03203
2005-04-04,14.52,14.52,14.52,14.52,2000,13.879092
2005-04-05,14.73,14.74,14.66,14.74,15100,14.089381
2005-04-06,14.79,14.86,14.77,14.86,45600,14.204084
2005-04-07,14.78,14.88,14.78,14.87,1400,14.213643
2005-04-08,14.92,14.92,14.77,14.77,19200,14.118057
2005-04-11,14.76,14.76,14.69,14.71,3300,14.060705
2005-04-12,14.47,14.8,14.47,14.8,7400,14.146733
2005-04-13,14.74,14.74,14.58,14.62,1800,13.974678
2005-04-14,14.63,14.63,14.35,14.35,2200,13.716596
2005-04-15,14.24,14.27,14.05,14.05,1100,13.429838
2005-04-18,14.05,14.08,13.99,14.02,3400,13.401162
2005-04-19,14.15,14.31,14.15,14.29,2800,13.659244
2005-04-20,14.32,14.32,14.17,14.17,5600,13.544541
2005-04-21,14.32,14.49,14.26,14.49,4300,13.850416
2005-04-22,14.26,14.33,14.06,14.06,3400,13.439396
2005-04-25,14.06,14.06,14.06,14.06,0,13.439396
2005-04-26,14.3,14.3,14.29,14.29,1100,13.659244
2005-04-27,13.93,14.15,13.89,14.15,38600,13.525423
2005-04-28,14,14,13.9,13.9,8900,13.286458
2005-04-29,13.88,13.89,13.66,13.83,4400,13.219548
2005-05-02,13.93,14.01,13.92,13.92,700,13.305576
2005-05-03,14.1,14.12,14.1,14.1,1500,13.477631
2005-05-04,14.17,14.32,14.12,14.29,12000,13.659244
2005-05-05,14.3,14.3,14.21,14.21,3000,13.582775
2005-05-06,14.37,14.37,14.29,14.37,2700,13.735713
2005-05-09,14.33,14.4,14.33,14.39,500,13.75483
2005-05-10,14.38,14.38,14.2,14.2,1100,13.573216
2005-05-11,14.27,14.27,14,14.15,2800,13.525423
2005-05-12,14.11,14.11,14.11,14.11,500,13.487189
2005-05-13,14.02,14.02,13.9,13.9,4400,13.286458
2005-05-16,14.07,14.13,14.06,14.13,4100,13.506306
2005-05-17,14.08,14.08,14.08,14.08,300,13.458513
2005-05-18,14.39,14.53,14.39,14.51,10500,13.869533
2005-05-19,14.61,14.66,14.57,14.63,4500,13.984237
2005-05-20,14.66,14.66,14.55,14.63,11700,13.984237
2005-05-23,14.67,14.72,14.67,14.72,900,14.070264
2005-05-24,14.85,14.85,14.75,14.8,3800,14.146733
2005-05-25,14.8,14.8,14.68,14.68,4500,14.03203
2005-05-26,14.68,14.68,14.68,14.68,0,14.03203
2005-05-27,14.96,15.05,14.96,15.05,700,14.385698
2005-05-31,15.04,15.04,14.96,14.98,3800,14.318787
2005-06-01,15.04,15.06,15.04,15.05,600,14.385698
2005-06-02,15.23,15.26,15.21,15.21,5100,14.538635
2005-06-03,15.3,15.36,15.18,15.26,4900,14.586429
2005-06-06,15.24,15.37,15.24,15.36,5700,14.682014
2005-06-07,15.58,15.58,15.38,15.38,17800,14.701132
2005-06-08,15.4,15.4,15.04,15.04,10300,14.376139
2005-06-09,15.13,15.29,15.13,15.28,5800,14.605545
2005-06-10,15.39,15.4,15.23,15.31,15600,14.634222
2005-06-13,15.39,15.4,15.39,15.4,2000,14.720249
2005-06-14,15.42,15.42,15.39,15.41,15900,14.729807
2005-06-15,15.57,15.57,15.32,15.5,4600,14.815835
2005-06-16,15.56,15.64,15.56,15.64,8200,14.949656
2005-06-17,15.79,15.79,15.61,15.68,16200,14.98789
2005-06-20,15.66,15.66,15.52,15.52,3200,14.834953
2005-06-21,15.62,15.62,15.46,15.46,7200,14.777601
2005-06-22,15.61,15.61,15.48,15.55,2300,14.863628
2005-06-23,15.58,15.6,15.37,15.38,6100,14.701132
2005-06-24,15.4,15.4,15.1,15.15,27900,14.481283
2005-06-27,15.05,15.16,15.05,15.13,4300,14.462167
2005-06-28,15.27,15.42,15.27,15.42,17400,14.739366
2005-06-29,15.45,15.51,15.45,15.47,8100,14.787159
2005-06-30,15.47,15.5,15.42,15.46,8700,14.777601
2005-07-01,15.4,15.47,15.4,15.47,1400,14.787159
2005-07-05,15.54,15.72,15.54,15.71,6500,15.016566
2005-07-06,15.81,15.81,15.63,15.66,20300,14.968772
2005-07-07,15.5,15.66,15.41,15.66,6100,14.968772
2005-07-08,15.75,15.93,15.74,15.93,17100,15.226855
2005-07-11,16.030001,16.190001,16,16.110001,20900,15.39891
2005-07-12,16.200001,16.24,16.07,16.139999,5800,15.427585
2005-07-13,16.209999,16.209999,16,16,26000,15.293765
2005-07-14,16.139999,16.16,15.85,15.9,13300,15.198179
2005-07-15,15.93,15.93,15.78,15.91,13100,15.207737
2005-07-18,15.94,15.94,15.76,15.76,8000,15.064359
2005-07-19,15.76,15.98,15.76,15.98,63000,15.274647
2005-07-20,15.98,16.129999,15.87,16.129999,14000,15.418026
2005-07-21,16.049999,16.049999,15.74,15.78,69400,15.083476
2005-07-22,15.87,16.040001,15.84,16.040001,20300,15.332
2005-07-25,16.049999,16.110001,15.87,15.95,9000,15.245972
2005-07-26,16,16.01,15.89,15.99,18500,15.284206
