"Index","open","high","low","close","volume","adjusted"
2005-03-03,15.11,15.11,14.99,15.09,17400,12.668605
2005-03-04,15.19,15.34,15.19,15.3,6700,12.844908
2005-03-07,15.27,15.32,15.2,15.21,23800,12.769349
2005-03-08,15.19,15.19,15.03,15.04,7100,12.626628
2005-03-09,14.99,14.99,14.85,14.85,11000,12.467116
2005-03-10,14.83,14.92,14.76,14.79,6700,12.416744
2005-03-11,14.83,14.88,14.76,14.8,19900,12.425139
2005-03-14,14.85,14.86,14.8,14.82,3700,12.44193
2005-03-15,14.97,14.99,14.83,14.86,15000,12.475511
2005-03-16,14.8,14.81,14.7,14.73,21900,12.366371
2005-03-17,14.71,14.8,14.66,14.8,12900,12.425139
2005-03-18,14.69,14.69,14.56,14.67,97300,12.315999
2005-03-21,14.63,14.64,14.58,14.64,153900,12.290814
2005-03-22,14.75,14.84,14.59,14.59,4600,12.248837
2005-03-23,14.55,14.55,14.47,14.47,7500,12.148092
2005-03-24,14.55,14.59,14.48,14.48,4000,12.156487
2005-03-28,14.56,14.56,13.45,14.45,17300,12.131301
2005-03-29,14.45,14.57,14.26,14.26,18200,11.97179
2005-03-30,14.3,14.43,14.3,14.42,12100,12.106115
2005-03-31,14.46,14.48,14.44,14.45,4800,12.131301
2005-04-01,14.56,14.6,14.29,14.36,27300,12.055743
2005-04-04,14.29,14.31,14.26,14.3,1800,12.005371
2005-04-05,14.5,14.53,14.46,14.53,25100,12.198464
2005-04-06,14.55,14.58,14.49,14.49,3300,12.164883
2005-04-07,14.49,14.55,14.49,14.55,3800,12.215255
2005-04-08,14.46,14.48,14.38,14.38,30000,12.072534
2005-04-11,14.31,14.34,14.25,14.34,6700,12.038953
2005-04-12,14.27,14.59,14.2,14.59,13200,12.248837
2005-04-13,14.52,14.52,14.29,14.32,7200,12.022161
2005-04-14,14.31,14.31,14.11,14.17,6100,11.896231
2005-04-15,14.05,14.1,13.74,13.74,4600,11.53523
2005-04-18,13.95,14.01,13.91,13.96,33800,11.719929
2005-04-19,14.08,14.16,14.07,14.16,5400,11.887836
2005-04-20,14.14,14.14,13.87,13.87,19700,11.64437
2005-04-21,13.99,14.19,13.93,14.19,6200,11.913022
2005-04-22,14.15,14.16,13.83,13.83,14200,11.610789
2005-04-25,14,14.13,14,14.13,13100,11.86265
2005-04-26,14.14,14.19,13.92,13.92,22100,11.686347
2005-04-27,13.89,14.03,13.78,14.01,16900,11.761906
2005-04-28,13.92,13.92,13.67,13.67,20500,11.476463
2005-04-29,13.65,13.7,13.54,13.69,7600,11.493253
2005-05-02,13.9,13.94,13.87,13.94,8800,11.703137
2005-05-03,13.97,14.04,13.91,13.91,27700,11.677952
2005-05-04,14.09,14.24,14.05,14.21,10200,11.929813
2005-05-05,14.24,14.34,14.21,14.24,5600,11.954999
2005-05-06,14.34,14.34,14.25,14.25,12000,11.963394
2005-05-09,14.2,14.39,14.18,14.32,10700,12.022161
2005-05-10,14.33,14.33,14.1,14.16,18400,11.887836
2005-05-11,14.16,14.24,14.09,14.22,10700,11.938208
2005-05-12,14.24,14.24,14.02,14.02,4800,11.770301
2005-05-13,14.04,14.07,13.94,13.95,2700,11.711533
2005-05-16,14.03,14.2,14.03,14.2,7700,11.921417
2005-05-17,14.08,14.28,14.08,14.27,4200,11.980185
2005-05-18,14.37,14.6,14.37,14.58,18300,12.240441
2005-05-19,14.57,14.6,14.53,14.6,29500,12.257232
2005-05-20,14.53,14.62,14.53,14.57,4200,12.232046
2005-05-23,14.65,14.76,14.6,14.67,13700,12.315999
2005-05-24,14.61,14.71,14.61,14.66,19900,12.307604
2005-05-25,14.55,14.66,14.49,14.62,9600,12.274022
2005-05-26,14.74,14.77,14.74,14.77,4400,12.399953
2005-05-27,14.81,14.81,14.76,14.81,4000,12.433535
2005-05-31,14.8,14.8,14.75,14.8,6300,12.425139
2005-06-01,14.74,14.89,14.74,14.83,35600,12.450325
2005-06-02,14.78,14.89,14.78,14.87,50500,12.483907
2005-06-03,14.92,14.92,14.77,14.79,11500,12.416744
2005-06-06,14.78,14.86,14.75,14.85,1700,12.467116
2005-06-07,14.99,15.11,14.95,15,34600,12.593046
2005-06-08,15.08,15.08,15,15.03,13100,12.618232
2005-06-09,14.96,15.05,14.93,15.04,19800,12.626628
2005-06-10,15.08,15.08,14.97,15.02,9900,12.609838
2005-06-13,15.1,15.1,15.06,15.08,8300,12.660209
2005-06-14,15.14,15.2,15.14,15.2,4100,12.760954
2005-06-15,15.31,15.31,15.17,15.29,7400,12.836512
2005-06-16,15.3,15.37,15.25,15.37,17000,12.903675
2005-06-17,15.44,15.44,15.27,15.35,73800,12.916297
2005-06-20,15.34,15.34,15.23,15.29,7500,12.865809
2005-06-21,15.35,15.35,15.22,15.27,7800,12.848981
2005-06-22,15.38,15.38,15.21,15.27,7700,12.848981
2005-06-23,15.3,15.3,15.03,15.03,6100,12.647031
2005-06-24,15.1,15.1,14.88,14.92,27600,12.554472
2005-06-27,14.93,14.99,14.93,14.99,37600,12.613373
2005-06-28,15.17,15.28,15.17,15.25,18800,12.832151
2005-06-29,15.3,15.32,15.27,15.32,11700,12.891053
2005-06-30,15.32,15.37,15.24,15.24,11000,12.823737
2005-07-01,15.24,15.32,15.24,15.3,9800,12.874224
2005-07-05,15.38,15.53,15.38,15.53,9200,13.067758
2005-07-06,15.6,15.6,15.43,15.44,20900,12.992027
2005-07-07,15.4,15.45,15.23,15.44,31500,12.992027
2005-07-08,15.49,15.67,15.45,15.67,12500,13.185561
2005-07-11,15.79,15.94,15.79,15.85,27300,13.337023
2005-07-12,15.91,15.91,15.77,15.84,22900,13.328608
2005-07-13,15.87,15.87,15.73,15.79,13800,13.286536
2005-07-14,15.81,15.92,15.66,15.73,30600,13.236048
2005-07-15,15.72,15.72,15.59,15.7,10500,13.210805
2005-07-18,15.65,15.65,15.59,15.62,4200,13.143489
2005-07-19,15.65,15.84,15.59,15.84,44600,13.328608
2005-07-20,15.81,16.01,15.79,16.01,12400,13.471655
2005-07-21,15.93,15.96,15.71,15.74,39600,13.244463
2005-07-22,15.77,15.95,15.77,15.95,8900,13.421168
2005-07-25,15.95,15.99,15.76,15.82,17200,13.311779
2005-07-26,15.91,15.93,15.76,15.9,21100,13.379095
2005-07-27,15.94,15.94,15.75,15.88,11700,13.362266
2005-07-28,16.01,16.1,15.88,16.1,19500,13.547386
2005-07-29,16.1,16.1,15.98,16.02,13000,13.48007
2005-08-01,16.08,16.08,15.92,15.98,14800,13.446411
2005-08-02,16.049999,16.139999,16.040001,16.139999,16400,13.581043
2005-08-03,16.139999,16.139999,15.93,15.93,18500,13.404339
2005-08-04,15.95,15.95,15.78,15.78,5900,13.278121
2005-08-05,15.82,15.82,15.5,15.59,18500,13.118245
2005-08-08,15.72,15.72,15.51,15.54,55900,13.076172
2005-08-09,15.65,15.65,15.48,15.48,17200,13.025685
2005-08-10,15.68,15.78,15.55,15.56,17200,13.093002
2005-08-11,15.56,15.65,15.52,15.65,9500,13.168732
2005-08-12,15.45,15.5,15.36,15.5,9900,13.042514
2005-08-15,15.53,15.67,15.42,15.63,14100,13.151903
2005-08-16,15.59,15.59,15.38,15.38,16700,12.94154
2005-08-17,15.38,15.44,15.28,15.41,7800,12.966783
2005-08-18,15.21,15.33,15.2,15.28,30600,12.857395
2005-08-19,15.22,15.36,15.22,15.3,13400,12.874224
2005-08-22,15.39,15.43,15.32,15.38,16800,12.94154
2005-08-23,15.44,15.44,15.26,15.33,7500,12.899467
2005-08-24,15.4,15.44,15.24,15.3,19300,12.874224
2005-08-25,15.41,15.42,15.35,15.37,26200,12.933125
2005-08-26,15.42,15.42,15.17,15.18,23300,12.77325
2005-08-29,15.02,15.32,15,15.3,10000,12.874224
2005-08-30,15.3,15.3,15.16,15.26,9500,12.840566
2005-08-31,15.29,15.48,15.29,15.46,17700,13.008856
2005-09-01,15.42,15.56,15.42,15.52,42300,13.059344
2005-09-02,15.49,15.52,15.39,15.39,21300,12.949955
2005-09-06,15.52,15.61,15.5,15.61,13000,13.135074
2005-09-07,15.61,15.65,15.53,15.65,9500,13.168732
2005-09-08,15.69,15.69,15.53,15.57,33600,13.101416
2005-09-09,15.65,15.7,15.6,15.7,13300,13.210805
2005-09-12,15.7,15.76,15.65,15.75,18600,13.252877
2005-09-13,15.67,15.67,15.54,15.55,18600,13.084587
2005-09-14,15.59,15.59,15.39,15.42,18500,12.975198
2005-09-15,15.47,15.47,15.36,15.45,19600,13.000442
2005-09-16,15.5,15.58,15.45,15.58,16000,13.133632
2005-09-19,15.62,15.62,15.44,15.46,21300,13.032475
2005-09-20,15.8,15.8,15.28,15.28,14200,12.880738
2005-09-21,15.24,15.24,15.11,15.14,43500,12.762722
2005-09-22,15.02,15.24,15.02,15.24,26200,12.847019
2005-09-23,15.18,15.36,15.14,15.33,34200,12.922887
2005-09-26,15.43,15.48,15.37,15.38,23900,12.965037
2005-09-27,15.41,15.47,15.26,15.4,23700,12.981896
2005-09-28,15.46,15.46,15.22,15.31,4300,12.906028
2005-09-29,15.33,15.52,15.25,15.51,14500,13.074624
2005-09-30,15.57,15.57,15.46,15.57,15300,13.125202
2005-10-03,15.65,15.71,15.57,15.65,21900,13.192641
2005-10-04,15.71,15.71,15.45,15.48,24800,13.049334
2005-10-05,15.38,15.4,15.04,15.04,30200,12.678423
2005-10-06,15,15.17,14.86,14.99,18100,12.636274
2005-10-07,15.06,15.14,14.98,15.07,6700,12.703712
2005-10-10,15.09,15.09,14.9,14.93,19300,12.585696
2005-10-11,15,15.02,14.81,14.81,11700,12.484538
2005-10-12,14.83,14.83,14.55,14.63,24700,12.332801
2005-10-13,14.66,14.66,14.45,14.64,26700,12.341231
2005-10-14,14.62,14.81,14.55,14.8,58300,12.476108
2005-10-17,14.86,14.86,14.64,14.79,23500,12.467678
2005-10-18,14.64,14.74,14.59,14.65,7800,12.349661
2005-10-19,14.49,14.85,14.4,14.85,63000,12.518257
2005-10-20,14.91,14.91,14.48,14.55,14300,12.265363
2005-10-21,14.59,14.83,14.59,14.71,11700,12.40024
2005-10-24,14.87,15.03,14.78,15.03,84600,12.669993
2005-10-25,15.03,15.14,14.89,15.02,13700,12.661564
2005-10-26,14.9,15.09,14.89,14.92,15200,12.577266
2005-10-27,14.95,14.95,14.69,14.71,4000,12.40024
2005-10-28,14.75,14.88,14.75,14.85,3400,12.518257
2005-10-31,15,15.32,15,15.23,20300,12.838589
2005-11-01,15.17,15.25,15.09,15.17,18400,12.788011
2005-11-02,15.29,15.47,15.29,15.45,9400,13.024045
2005-11-03,15.54,15.57,15.45,15.47,18400,13.040905
2005-11-04,15.45,15.46,15.3,15.3,7500,12.897598
2005-11-07,15.44,15.53,15.38,15.49,10700,13.057764
2005-11-08,15.48,15.48,15.33,15.41,7100,12.990326
2005-11-09,15.36,15.55,15.36,15.45,12000,13.024045
2005-11-10,15.89,16,15.23,15.52,22500,13.083054
2005-11-11,15.46,15.56,15.42,15.53,26000,13.091483
2005-11-14,15.53,15.54,15.41,15.45,36000,13.024045
2005-11-15,15.5,15.51,15.23,15.26,57600,12.863879
2005-11-16,15.35,15.35,15.17,15.25,20700,12.855449
2005-11-17,15.39,15.53,15.32,15.53,38000,13.091483
2005-11-18,15.62,15.63,15.51,15.62,26000,13.167352
2005-11-21,15.63,15.78,15.52,15.76,26200,13.285369
2005-11-22,15.75,15.82,15.68,15.78,22900,13.302228
2005-11-23,15.78,15.94,15.78,15.85,20200,13.361238
2005-11-25,15.8,15.81,15.79,15.8,4100,13.319088
2005-11-28,15.8,15.82,15.57,15.58,12600,13.133632
2005-11-29,15.73,15.79,15.7,15.7,15800,13.23479
2005-11-30,15.84,15.86,15.73,15.73,11700,13.260079
2005-12-01,15.9,16.02,15.87,15.99,12200,13.479254
2005-12-02,15.98,15.98,15.87,15.91,35400,13.411816
2005-12-05,15.98,15.98,15.75,15.89,47500,13.394957
2005-12-06,16,16.02,15.87,15.87,11600,13.378097
2005-12-07,15.91,15.91,15.71,15.74,128100,13.268509
2005-12-08,15.84,15.92,15.72,15.81,16000,13.327518
2005-12-09,15.86,15.92,15.77,15.9,8300,13.403386
2005-12-12,15.88,15.98,15.82,15.91,16900,13.411816
2005-12-13,15.96,16.01,15.86,15.93,55200,13.428676
2005-12-14,15.92,16.110001,15.92,16.02,8600,13.504544
2005-12-15,16.01,16.01,15.76,15.88,29000,13.386527
2005-12-16,15.95,15.95,15.78,15.79,19600,13.335011
2005-12-19,15.69,15.72,15.53,15.53,12400,13.115435
2005-12-20,15.61,15.72,15.53,15.54,10700,13.12388
2005-12-21,15.58,15.76,15.58,15.64,14000,13.208333
2005-12-22,15.77,15.77,15.65,15.71,9200,13.267449
2005-12-23,15.8,15.8,15.75,15.8,7600,13.343456
2005-12-27,15.8,15.85,15.57,15.64,36800,13.208333
2005-12-28,15.59,15.74,15.58,15.73,7100,13.284339
2005-12-29,15.73,15.75,15.63,15.63,19900,13.199887
2005-12-30,15.51,15.57,15.44,15.51,26400,13.098545
2006-01-03,15.66,15.81,15.35,15.76,22900,13.309675
2006-01-04,15.8,15.88,15.73,15.87,22200,13.402573
2006-01-05,15.96,15.96,15.75,15.84,14200,13.377237
2006-01-06,15.85,16.01,15.82,16,15000,13.512361
2006-01-09,16.02,16.16,16.02,16.129999,9500,13.622148
2006-01-10,16.08,16.25,16.059999,16.200001,13400,13.681266
2006-01-11,16.129999,16.23,16.01,16.17,11700,13.655929
2006-01-12,16.110001,16.129999,15.99,16.040001,30000,13.546142
2006-01-13,16.110001,16.139999,16.040001,16.110001,15100,13.605259
2006-01-17,15.9,16.09,15.9,16.07,35700,13.571477
2006-01-18,16.07,16.07,15.92,16.040001,48800,13.546142
2006-01-19,16.120001,16.26,16.07,16.25,21000,13.723491
2006-01-20,16.33,16.33,16.07,16.07,45200,13.571477
2006-01-23,16.16,16.24,16.15,16.15,21000,13.639039
2006-01-24,16.24,16.379999,16.24,16.35,14800,13.807944
2006-01-25,16.42,16.42,16.190001,16.190001,30200,13.67282
